
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, episode 42, for May 29th, 2007.
[00:00:34.000 --> 00:00:36.000]   Justine, not Justin.
[00:00:36.000 --> 00:00:49.000]   It's time for Mac Break Weekly, ladies and gentlemen, and we are gathered together once again dispersed to the four wins, I'm sorry to say.
[00:00:49.000 --> 00:00:57.000]   No longer housed in the comfortable womb of the Padango Studios, we must instead venture forth into the real world.
[00:00:57.000 --> 00:01:01.000]   Merlin Mann in the chilled avenues of San Francisco.
[00:01:01.000 --> 00:01:04.000]   I can barely hear you, Leo. It's a very foggy day here.
[00:01:04.000 --> 00:01:06.000]   Oh!
[00:01:06.000 --> 00:01:08.000]   Ooh!
[00:01:08.000 --> 00:01:10.000]   Oh!
[00:01:10.000 --> 00:01:12.000]   Oh, corn.
[00:01:12.000 --> 00:01:14.000]   Scott Born, who is, I believe probably ensconced at Padango.
[00:01:14.000 --> 00:01:15.000]   I am a Padango.
[00:01:15.000 --> 00:01:17.000]   But almost all alone, except for his friends.
[00:01:17.000 --> 00:01:20.000]   Yeah, that's accurate.
[00:01:20.000 --> 00:01:22.000]   Yes, he has friends.
[00:01:22.000 --> 00:01:26.000]   And then I'm really thrilled to go to Pittsburgh to get Justine on the line.
[00:01:26.000 --> 00:01:28.000]   She's been on the line of Mac Break and Mac Break Weekly before.
[00:01:28.000 --> 00:01:29.000]   Hi, Justine.
[00:01:29.000 --> 00:01:30.000]   Hi, how are you?
[00:01:30.000 --> 00:01:31.000]   There's a little twist this time.
[00:01:31.000 --> 00:01:33.000]   She's also on Justin TV right now.
[00:01:33.000 --> 00:01:34.000]   Yes.
[00:01:34.000 --> 00:01:37.000]   Four days, 15 hours, and 15 minutes later.
[00:01:37.000 --> 00:01:40.000]   Except it's only been today, so I think I'm not sure.
[00:01:40.000 --> 00:01:41.000]   I know, why does it say that?
[00:01:41.000 --> 00:01:42.000]   I'm not sure.
[00:01:42.000 --> 00:01:44.000]   Today's the day you started is Justin.
[00:01:44.000 --> 00:01:46.000]   Don't go to Justine.tv.
[00:01:46.000 --> 00:01:48.000]   No, I Justine.tv.
[00:01:48.000 --> 00:01:51.000]   I'm going to forward that to the virtual link.
[00:01:51.000 --> 00:01:55.000]   Because if you go to Justine.tv, unless you like thongs a lot.
[00:01:55.000 --> 00:01:57.000]   So it's I Justine.tv.
[00:01:57.000 --> 00:02:00.000]   Oh, that was a good one to get.
[00:02:00.000 --> 00:02:03.000]   Or you can go to Justine.tv/Justine.
[00:02:03.000 --> 00:02:04.000]   I Justine.
[00:02:04.000 --> 00:02:05.000]   /I Justine.
[00:02:05.000 --> 00:02:08.000]   And they talked you into wearing the headgear.
[00:02:08.000 --> 00:02:09.000]   They did.
[00:02:09.000 --> 00:02:10.000]   They did.
[00:02:10.000 --> 00:02:13.000]   How has that been for you?
[00:02:13.000 --> 00:02:16.000]   Well, it's only been half of a day so far.
[00:02:16.000 --> 00:02:18.000]   And pretty much all I've done is type all day.
[00:02:18.000 --> 00:02:22.000]   So I feel bad for anyone watching, but hey, we still have work to do.
[00:02:22.000 --> 00:02:24.000]   I watched you drive in the car with Desiree.
[00:02:24.000 --> 00:02:26.000]   I watched you at the coffee shop.
[00:02:26.000 --> 00:02:27.000]   There you go.
[00:02:27.000 --> 00:02:28.000]   Crazy Mocha.
[00:02:28.000 --> 00:02:30.000]   Yes, that's pretty much all we did today.
[00:02:30.000 --> 00:02:33.000]   And you're going to a Pirates game later though, huh?
[00:02:33.000 --> 00:02:34.000]   We're going to try to.
[00:02:34.000 --> 00:02:36.000]   It's supposed to start at seven o'clock, which is right now.
[00:02:36.000 --> 00:02:37.000]   Oh.
[00:02:37.000 --> 00:02:38.000]   We might do that tomorrow.
[00:02:38.000 --> 00:02:39.000]   Oh, I'm sorry.
[00:02:39.000 --> 00:02:40.000]   It's okay.
[00:02:40.000 --> 00:02:42.000]   This is more fun than a Pirates game.
[00:02:42.000 --> 00:02:44.000]   It is more fun, but don't tell anyone.
[00:02:44.000 --> 00:02:47.000]   Also, you wouldn't have to get the express written permission of Major
[00:02:47.000 --> 00:02:48.000]   League Baseball.
[00:02:48.000 --> 00:02:49.000]   Yeah.
[00:02:49.000 --> 00:02:50.000]   You would not.
[00:02:50.000 --> 00:02:54.000]   You would have to point the camera away from the game, I think.
[00:02:54.000 --> 00:02:55.000]   I'm not sure.
[00:02:55.000 --> 00:02:58.000]   I was pretty much just going to kind of hide it in my purse and see what happens.
[00:02:58.000 --> 00:03:00.000]   I like what you said to the Apple store.
[00:03:00.000 --> 00:03:03.000]   Was it true you told him that you needed it in order to see?
[00:03:03.000 --> 00:03:04.000]   I did.
[00:03:04.000 --> 00:03:06.000]   I told this kid I was blind.
[00:03:06.000 --> 00:03:08.000]   You didn't buy it, huh?
[00:03:08.000 --> 00:03:09.000]   He did.
[00:03:09.000 --> 00:03:10.000]   He believed it.
[00:03:10.000 --> 00:03:11.000]   And I felt really bad out here.
[00:03:11.000 --> 00:03:13.000]   And no doubt he was one of the geniuses at the Genius bar.
[00:03:13.000 --> 00:03:14.000]   No, actually just--
[00:03:14.000 --> 00:03:16.000]   He just crossed your eyes a little bit and kind of like--
[00:03:16.000 --> 00:03:21.000]   He was just some random customer and he's like, "Hey, is that a camera on your head?"
[00:03:21.000 --> 00:03:24.000]   I'm like, "No, this is actually--I need to use this to see."
[00:03:24.000 --> 00:03:26.000]   And then I felt bad and I had to go tell him the truth afterwards.
[00:03:26.000 --> 00:03:28.000]   Did you get thrown out?
[00:03:28.000 --> 00:03:29.000]   No, I didn't.
[00:03:29.000 --> 00:03:30.000]   They just accepted it.
[00:03:30.000 --> 00:03:32.000]   They didn't mind you being in there, huh?
[00:03:32.000 --> 00:03:35.000]   Although you do have a history of being thrown out of the Apple store.
[00:03:35.000 --> 00:03:37.000]   Yeah, see, I saw that blog post, but that wasn't because of the camera.
[00:03:37.000 --> 00:03:38.000]   That was something else?
[00:03:38.000 --> 00:03:40.000]   No, that was actually fake.
[00:03:40.000 --> 00:03:44.000]   The guy, like he just randomly was joking around and he said, "Hey, no video blogging in the
[00:03:44.000 --> 00:03:45.000]   store."
[00:03:45.000 --> 00:03:48.000]   He just repeated and fake, getting kicked out.
[00:03:48.000 --> 00:03:52.000]   You got to be careful with faking things because people believe it and then it lives on forever.
[00:03:52.000 --> 00:03:53.000]   So true.
[00:03:53.000 --> 00:03:55.000]   Chris Perilla learned that.
[00:03:55.000 --> 00:04:01.000]   They did a little staged thing where they were looking at Edison cylinders and the guy was
[00:04:01.000 --> 00:04:04.000]   on and the guy said, "Yeah, there are only three of these.
[00:04:04.000 --> 00:04:06.000]   I think Chris said, 'How much is this worth?'
[00:04:06.000 --> 00:04:07.000]   He said, 'Well, it's priceless.
[00:04:07.000 --> 00:04:08.000]   There's only three.'
[00:04:08.000 --> 00:04:10.000]   And Chris says, 'Well, can I hold it?'
[00:04:10.000 --> 00:04:12.000]   And then drops it and it smashes.
[00:04:12.000 --> 00:04:17.000]   And if you go to YouTube or anywhere, you'll see, you know, amazing blooper, but the whole
[00:04:17.000 --> 00:04:18.000]   thing was staged.
[00:04:18.000 --> 00:04:19.000]   Oh, I did see that.
[00:04:19.000 --> 00:04:20.000]   That's pretty funny.
[00:04:20.000 --> 00:04:21.000]   The whole thing was staged.
[00:04:21.000 --> 00:04:26.000]   What about all those times that you misspeak and accidentally work blue on Tech TV?
[00:04:26.000 --> 00:04:27.000]   Is that all staged?
[00:04:27.000 --> 00:04:28.000]   Totally planned.
[00:04:28.000 --> 00:04:29.000]   Yeah.
[00:04:29.000 --> 00:04:30.000]   Really.
[00:04:30.000 --> 00:04:31.000]   We had it all worked out.
[00:04:31.000 --> 00:04:33.000]   I've seen some pretty good outtakes on you.
[00:04:33.000 --> 00:04:36.000]   Are you talking about the famous Bilbo Baggins blooper?
[00:04:36.000 --> 00:04:38.000]   I think that's the one.
[00:04:38.000 --> 00:04:41.000]   You know, my kids found that recently.
[00:04:41.000 --> 00:04:45.600]   And this is, again, an example of where you really got to be careful nowadays because everything
[00:04:45.600 --> 00:04:46.600]   lives forever.
[00:04:46.600 --> 00:04:47.600]   It does.
[00:04:47.600 --> 00:04:48.600]   It stains us.
[00:04:48.600 --> 00:04:51.000]   Now, you're smart because, you know, Justin wears the hat.
[00:04:51.000 --> 00:04:56.000]   So really all we see is his messy bedroom and, you know, his hands fiddling with things.
[00:04:56.000 --> 00:04:59.000]   But you take the hat off and you point it at yourself.
[00:04:59.000 --> 00:05:00.600]   I mean, I'm probably going to do both.
[00:05:00.600 --> 00:05:04.000]   I mean, I'll wear it and take it off, but it really depends.
[00:05:04.000 --> 00:05:06.000]   I mean, I know I'd always get irritated.
[00:05:06.000 --> 00:05:09.000]   I'm like, Justin, I'd like to see you when you're actually talking to us.
[00:05:09.000 --> 00:05:10.000]   It makes it a little more interesting.
[00:05:10.000 --> 00:05:13.000]   Well, speaking for Scott Borne, I think we'd all like to see you.
[00:05:13.000 --> 00:05:14.000]   Wait a minute.
[00:05:14.000 --> 00:05:19.000]   I'm going to say if my choice is looking at Justin or Justine, this is a pretty simple
[00:05:19.000 --> 00:05:20.000]   choice.
[00:05:20.000 --> 00:05:23.000]   They tried to send me the hat, but I'm thinking I don't really want to do that.
[00:05:23.000 --> 00:05:25.000]   I don't think my wife would let me do it for one thing.
[00:05:25.000 --> 00:05:26.000]   Yeah, that might be interesting.
[00:05:26.000 --> 00:05:29.000]   She's a little adverse to getting me on camera in general.
[00:05:29.000 --> 00:05:34.000]   If I wake up in the morning with a hat on with a camera and say, "Hi, dear."
[00:05:34.000 --> 00:05:39.000]   I'm getting it in the pusser, in the puss, just big fat fist, you know, "Poom!"
[00:05:39.000 --> 00:05:41.000]   So I don't think that's going to work.
[00:05:41.000 --> 00:05:43.000]   Yeah, that might not work out too well.
[00:05:43.000 --> 00:05:45.000]   Wait, how long are you going to do this?
[00:05:45.000 --> 00:05:47.000]   You're going to do a 24/7 and everything?
[00:05:47.000 --> 00:05:48.000]   Probably.
[00:05:48.000 --> 00:05:49.000]   Really?
[00:05:49.000 --> 00:05:53.000]   Other than if Gortonos is not going to have it on the shower or bathroom, none of that,
[00:05:53.000 --> 00:05:54.000]   but I mean, I pretty much can't.
[00:05:54.000 --> 00:05:55.000]   I'm canceling my subscription.
[00:05:55.000 --> 00:05:56.000]   Oh, stop.
[00:05:56.000 --> 00:05:57.000]   Oh, no.
[00:05:57.000 --> 00:05:59.000]   Justine, do you have a boyfriend?
[00:05:59.000 --> 00:06:00.000]   Good choice.
[00:06:00.000 --> 00:06:02.000]   Don't go blue because you can never go back.
[00:06:02.000 --> 00:06:03.000]   Thanks, Lillen Merlin.
[00:06:03.000 --> 00:06:06.000]   He's been giving me that advice for years.
[00:06:06.000 --> 00:06:07.000]   We did that.
[00:06:07.000 --> 00:06:10.000]   And then we went and came back on Mac Break Weekly.
[00:06:10.000 --> 00:06:12.000]   We took what the explicit tag up.
[00:06:12.000 --> 00:06:13.000]   Uh-oh.
[00:06:13.000 --> 00:06:16.000]   And we never even actually said any dirty words.
[00:06:16.000 --> 00:06:17.000]   No, we just did.
[00:06:17.000 --> 00:06:18.000]   Yeah, you know who yelled at us?
[00:06:18.000 --> 00:06:20.000]   Alex, he said, "I want my kids to watch!"
[00:06:20.000 --> 00:06:21.000]   Or listen.
[00:06:21.000 --> 00:06:22.000]   Oh, we'll see.
[00:06:22.000 --> 00:06:25.000]   I know, I have to be very careful because I know my mom and my grandma watch everything.
[00:06:25.000 --> 00:06:26.000]   Oh, that's so cool.
[00:06:26.000 --> 00:06:29.000]   Alex has his kids watching and I have my mom and grandma.
[00:06:29.000 --> 00:06:30.000]   So, how do you feel about it?
[00:06:30.000 --> 00:06:32.000]   Are they think it's a good idea?
[00:06:32.000 --> 00:06:35.000]   Well, I haven't really officially told them.
[00:06:35.000 --> 00:06:37.000]   I've made mention to it.
[00:06:37.000 --> 00:06:39.000]   You don't think they noticed that camera on your head?
[00:06:39.000 --> 00:06:40.000]   You made a paper here.
[00:06:40.000 --> 00:06:43.000]   You were in the front page of the SF gate here.
[00:06:43.000 --> 00:06:44.000]   I know.
[00:06:44.000 --> 00:06:47.000]   See, Pittsburgh hasn't really adapted yet, but I'm sure when they find out.
[00:06:47.000 --> 00:06:48.000]   Plus, my mom reads my blog.
[00:06:48.000 --> 00:06:52.000]   So, I'm sure when she gets home from work, she's going to find out and give me a call.
[00:06:52.000 --> 00:06:54.000]   Tastyblogsnacks.com.
[00:06:54.000 --> 00:06:57.000]   She also has a site, a video site called "Mommy Packed My Lunch."
