;FFMETADATA1
album=MacBreak Weekly November 2007
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, and Peter Cohen
comment=http://twit.tv/mbw65
genre=Podcast
title=MacBreak Weekly 65: Burn and Eject
date=2007

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, episode 65 for November 6, 2007.
[00:00:34.000 --> 00:00:38.000]   Burn and eject.
[00:00:38.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:55.000]   It's time for MacBreak Weekly, everybody's favorite show
[00:00:55.000 --> 00:00:58.000]   about all things iPod, iPhone, and...
[00:00:58.000 --> 00:01:00.000]   Yes, Macintosh.
[00:01:00.000 --> 00:01:03.000]   I'm Leo LaPorte joining us on the panel today.
[00:01:03.000 --> 00:01:05.000]   Alex Lindsey from the Pixel Corps.
[00:01:05.000 --> 00:01:06.000]   Hello.
[00:01:06.000 --> 00:01:08.000]   You probably hate it when people call it the Pixel Corps.
[00:01:08.000 --> 00:01:09.000]   [ Laughter ]
[00:01:09.000 --> 00:01:10.000]   But that's how it's spelled.
[00:01:10.000 --> 00:01:12.000]   I've gotten used to it after a while.
[00:01:12.000 --> 00:01:13.000]   So I think it's a cool piece.
[00:01:13.000 --> 00:01:15.000]   Or a Marine Corps or a support.
[00:01:15.000 --> 00:01:16.000]   Yeah, it's the core.
[00:01:16.000 --> 00:01:18.000]   It's a core, man.
[00:01:18.000 --> 00:01:20.000]   And it kind of ties in well with Apple, too,
[00:01:20.000 --> 00:01:21.000]   if you spell the C-O-R-E.
[00:01:21.000 --> 00:01:23.000]   It's a...
[00:01:23.000 --> 00:01:25.000]   Andy Inaco from the Chicago Sun Times.
[00:01:25.000 --> 00:01:26.000]   Good to see you.
[00:01:26.000 --> 00:01:28.000]   Red Five standing by.
[00:01:28.000 --> 00:01:30.000]   [ Laughter ]
[00:01:30.000 --> 00:01:34.000]   It's just like shooting Wumprats back home on Tatooine.
[00:01:34.000 --> 00:01:36.000]   You didn't do it quite whiny enough, Leo.
[00:01:36.000 --> 00:01:37.000]   [ Laughter ]
[00:01:37.000 --> 00:01:38.000]   I can't say...
[00:01:38.000 --> 00:01:39.000]   [ Laughter ]
[00:01:39.000 --> 00:01:40.000]   [ Speaking in German ]
[00:01:40.000 --> 00:01:42.000]   I wanted to go to Tasha Station and try...
[00:01:42.000 --> 00:01:44.000]   It's a fabric in theaters.
[00:01:44.000 --> 00:01:45.000]   [ Laughter ]
[00:01:45.000 --> 00:01:49.000]   And a brand new member of the panel joining us, Peter Cohen,
[00:01:49.000 --> 00:01:50.000]   who has been around for a long time,
[00:01:50.000 --> 00:01:52.000]   senior editor now at Macworld.
[00:01:52.000 --> 00:01:54.000]   But you did a whole series of...
[00:01:54.000 --> 00:01:56.000]   What was it?
[00:01:56.000 --> 00:01:57.000]   Gaming books?
[00:01:57.000 --> 00:01:58.000]   I'm trying to remember, Peter.
[00:01:58.000 --> 00:02:00.000]   Oh, well, I've been writing about games since about 1994.
[00:02:00.000 --> 00:02:01.000]   So, yeah.
[00:02:01.000 --> 00:02:02.000]   No books, though.
[00:02:02.000 --> 00:02:03.000]   Thank God.
[00:02:03.000 --> 00:02:04.000]   No books?
[00:02:04.000 --> 00:02:07.000]   Why did I think you had a whole bunch of books under your belt?
[00:02:07.000 --> 00:02:09.000]   Yeah, thank God would be the right word.
[00:02:09.000 --> 00:02:10.000]   My publishers...
[00:02:10.000 --> 00:02:11.000]   I'm talking about games.
[00:02:11.000 --> 00:02:13.000]   You have time to write books.
[00:02:13.000 --> 00:02:17.000]   I've had dinner with Andy enough to know that there's absolutely no money in it.
[00:02:17.000 --> 00:02:19.000]   [ Laughter ]
[00:02:19.000 --> 00:02:22.000]   Are you covering gaming at Macworld or everything?
[00:02:22.000 --> 00:02:26.000]   Well, I spent about maybe 20% of my time writing about games
[00:02:26.000 --> 00:02:30.000]   and about 80% of my time writing news for the Macworld.com website.
[00:02:30.000 --> 00:02:31.000]   Then you're perfect.
[00:02:31.000 --> 00:02:33.000]   You'll actually know something about what we're talking about,
[00:02:33.000 --> 00:02:34.000]   unlike the rest of us.
[00:02:34.000 --> 00:02:35.000]   [ Laughter ]
[00:02:35.000 --> 00:02:37.000]   We're so glad to have you aboard.
[00:02:37.000 --> 00:02:38.000]   It's good to see you.
[00:02:38.000 --> 00:02:40.000]   I just know you felt this way about me and the rest of the video.
[00:02:40.000 --> 00:02:42.000]   No, you're the other expert.
[00:02:42.000 --> 00:02:43.000]   It's the rest of us.
[00:02:43.000 --> 00:02:46.000]   I've had eight episodes of Mythbusters on my Tivo downstairs.
[00:02:46.000 --> 00:02:47.000]   Maybe that's going to be more interesting.
[00:02:47.000 --> 00:02:48.000]   No, no, no.
[00:02:48.000 --> 00:02:49.000]   It's not an insult.
[00:02:49.000 --> 00:02:50.000]   It's a joke.
[00:02:50.000 --> 00:02:54.000]   I didn't know you were so thin-skinned, Mr. McNatto.
[00:02:54.000 --> 00:02:57.000]   And now you're mispronouncing my name for comedic effect.
[00:02:57.000 --> 00:02:59.000]   Well, this is going to be a great podcast.
[00:02:59.000 --> 00:03:02.000]   Another red letter day for-- go ahead.
[00:03:02.000 --> 00:03:04.000]   Andy, talk away, Matt. Just go away.
[00:03:04.000 --> 00:03:06.000]   No, see, now you're-- now, now, that's caling on.
[00:03:06.000 --> 00:03:07.000]   Here we go.
[00:03:07.000 --> 00:03:08.000]   No, no.
[00:03:08.000 --> 00:03:10.000]   He's got a Furnish Man coming at any minute now,
[00:03:10.000 --> 00:03:14.000]   and if the Furnish Man knocks, it's kind of like they're the Ice Man coming.
[00:03:14.000 --> 00:03:16.000]   It's only the Furnish Man coming.
[00:03:16.000 --> 00:03:18.000]   We have to let him go.
[00:03:18.000 --> 00:03:20.000]   He's here until then.
[00:03:20.000 --> 00:03:22.000]   Alex Lindsay, I didn't mean anything nasty against you either.
[00:03:22.000 --> 00:03:23.000]   I'm the one I'm talking about.
[00:03:23.000 --> 00:03:24.000]   I know nothing.
[00:03:24.000 --> 00:03:25.000]   It's fine.
[00:03:25.000 --> 00:03:26.000]   I don't dare.
[00:03:26.000 --> 00:03:27.000]   It's fine.
[00:03:27.000 --> 00:03:29.000]   Alex, we'll start our own podcast.
[00:03:29.000 --> 00:03:30.000]   Okay?
[00:03:30.000 --> 00:03:32.000]   Yeah, I'm going to go somewhere.
[00:03:32.000 --> 00:03:33.000]   Geez, somewhere else.
[00:03:33.000 --> 00:03:38.000]   Light some sage and get rid of some of the bad vibes that somebody here seems to be investing
[00:03:38.000 --> 00:03:39.000]   the situation with.
[00:03:39.000 --> 00:03:40.000]   Somebody I--
[00:03:40.000 --> 00:03:41.000]   It'll be--
[00:03:41.000 --> 00:03:43.000]   Used to do that, by the way.
[00:03:43.000 --> 00:03:45.000]   Light the sage and disinfect with the sage.
[00:03:45.000 --> 00:03:46.000]   Did it work?
[00:03:46.000 --> 00:03:47.000]   No.
[00:03:47.000 --> 00:03:49.000]   Did it cover up the pot smell?
[00:03:49.000 --> 00:03:50.000]   He was leaving my mind?
[00:03:50.000 --> 00:03:51.000]   That's what it was all about.
[00:03:51.000 --> 00:03:52.000]   I think that was a lot of people think.
[00:03:52.000 --> 00:03:53.000]   It was a lot of people think.
[00:03:53.000 --> 00:03:55.000]   They need to cleanse spiritually.
[00:03:55.000 --> 00:03:56.000]   They're dorm rooms.
[00:03:56.000 --> 00:04:00.000]   So Peter is just back from Finland.
[00:04:00.000 --> 00:04:01.000]   Wow, that's cool.
[00:04:01.000 --> 00:04:02.000]   Or Iceland.
[00:04:02.000 --> 00:04:05.000]   Iceland, that is correct.
[00:04:05.000 --> 00:04:06.000]   Not Finland, Iceland.
[00:04:06.000 --> 00:04:08.000]   Not Greenland either, Iceland.
[00:04:08.000 --> 00:04:09.000]   No.
[00:04:09.000 --> 00:04:10.000]   Iceland.
[00:04:10.000 --> 00:04:16.000]   Iceland's supposed to be the nice part of the Arctic Circle.
[00:04:16.000 --> 00:04:18.000]   Let me tell you something.
[00:04:18.000 --> 00:04:24.000]   That is a lie.
[00:04:24.000 --> 00:04:30.000]   When the hail is blowing 80 miles an hour, that's not nice.
[00:04:30.000 --> 00:04:32.000]   But yeah, no, yeah, I was there actually on business.
[00:04:32.000 --> 00:04:39.000]   I was there covering the Macintosh release of EVE Online, which is a new massively multiplayer
[00:04:39.000 --> 00:04:41.000]   online game for the Macintosh.
[00:04:41.000 --> 00:04:43.000]   Oh, yeah, they just announced that.
[00:04:43.000 --> 00:04:48.000]   Indeed, and they just rolled it out today, but they announced it over the weekend.
[00:04:48.000 --> 00:04:52.000]   And it had a fabulous time in Reykjavik, which is an absolutely lovely city.
[00:04:52.000 --> 00:05:02.000]   I just wish I'd managed to bring back a big bottle of Blue Opal, which is one of the local beverages.
[00:05:02.000 --> 00:05:08.000]   Indeed, it's menthol-flavored schnapps, and I really could use it with the colt that I brought back with me too.
[00:05:08.000 --> 00:05:13.000]   Menthol-flavored schnapps.
[00:05:13.000 --> 00:05:16.000]   You can use it as a limit.
[00:05:16.000 --> 00:05:17.000]   It's wonderful.
[00:05:17.000 --> 00:05:18.000]   Or set it on fire.
[00:05:18.000 --> 00:05:21.000]   It probably makes a fine kerosene-like substance.
[00:05:21.000 --> 00:05:24.000]   It makes you feel like you're getting healthier whether you are not.
[00:05:24.000 --> 00:05:29.000]   Let's talk quickly about Leopard.
[00:05:29.000 --> 00:05:30.000]   Just kind of wrap it up.
[00:05:30.000 --> 00:05:35.000]   We did a full Leopard Show last week, but we had just got, you know, it was pretty new.
[00:05:35.000 --> 00:05:36.000]   Any changes?
[00:05:36.000 --> 00:05:37.000]   Andy, I know you didn't like the transparent menu in the doc.
[00:05:37.000 --> 00:05:48.000]   Yeah, it didn't take long for different developers to write simple applications that do nothing more than, you know, basically put a white background behind the menu bar so that it's no longer translucent.
[00:05:48.000 --> 00:05:49.000]   I think it's going to be...
[00:05:49.000 --> 00:05:54.000]   Apple should just send a case of beer to one of these people and say, "Look, we're sorry.
[00:05:54.000 --> 00:05:55.000]   Can we just use this?
[00:05:55.000 --> 00:05:56.000]   Thank you."
[00:05:56.000 --> 00:05:57.000]   There's a site.
[00:05:57.000 --> 00:05:58.000]   I'm a Treadit.
[00:05:58.000 --> 00:06:01.000]   LeopardDocs.com that has like all kinds of docs.
[00:06:01.000 --> 00:06:03.000]   Like, you know, you can have grass.
[00:06:03.000 --> 00:06:04.000]   I guess it's just a resource.
[00:06:04.000 --> 00:06:05.000]   You could edit it.
[00:06:05.000 --> 00:06:11.000]   Yeah, and there's a terminal hack for making it opaque again, all that other sort of cool stuff.
[00:06:11.000 --> 00:06:18.000]   I mean, I think that, you know, users have pretty much clearly voted on what they think about both the menu bar and the doc.
[00:06:18.000 --> 00:06:24.000]   The fact that usually it takes a small amount of time before hacks start appearing for turning something off.
[00:06:24.000 --> 00:06:27.000]   I mean, that's the clearest vote you can possibly collect on this.
[00:06:27.000 --> 00:06:34.000]   Traditionally, Apple has not been, unlike Windows, you know, Windows, there's all these companies that kind of live off on the periphery of making Windows.
[00:06:34.000 --> 00:06:37.000]   Many of them look more like Mac, but making Windows look different.
[00:06:37.000 --> 00:06:39.000]   It is not so, I mean, what happened?
[00:06:39.000 --> 00:06:43.000]   Remember, there used to be a Parents Manager and then there were all those little ways to modify the appearance.
[00:06:43.000 --> 00:06:45.000]   It doesn't seem like people are doing that as much.
[00:06:45.000 --> 00:06:48.000]   Or am I just not in touch with the right people?
[00:06:48.000 --> 00:06:49.000]   I don't know.
[00:06:49.000 --> 00:07:01.000]   I think it's more like they're being more ambitious with stuff like Quicksilver and Growl that, as opposed to getting restyling what's there, adding new controls that you tend to use instead of the old thing.
[00:07:01.000 --> 00:07:02.000]   Right.
[00:07:02.000 --> 00:07:04.000]   And also, I've never been a fan for reskinning.
[00:07:04.000 --> 00:07:11.000]   I think that all I want to say is it's like jumping into a car no longer knowing whether the shift goes left or right anymore.
[00:07:11.000 --> 00:07:13.000]   That's a good way to wrap something around a phone pole.
[00:07:13.000 --> 00:07:15.000]   That's not a good thing on a computer either.
[00:07:15.000 --> 00:07:22.000]   I work on too many different computers and so I'm always afraid of customizing too much because I don't want to get used to something I can't find later.
