;FFMETADATA1
album=MacBreak Weekly November 2007
artist=Leo Laporte, Scott Bourne, Alex Lindsay, and Liana Lehua
comment=http://twit.tv/mbw65
genre=Podcast
title=MacBreak Weekly 65: Girls Gone Mac
date=2007
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.800]   [ Sound Effects ]
[00:00:03.800 --> 00:00:05.400]   >> Netcast you love.
[00:00:05.400 --> 00:00:07.300]   >> From people you trust.
[00:00:07.300 --> 00:00:11.100]   [ Music ]
[00:00:11.100 --> 00:00:12.700]   >> This is Twit.
[00:00:12.700 --> 00:00:14.300]   [ Music ]
[00:00:14.300 --> 00:00:17.200]   >> Bandwidth for Mac Break Weekly is provided by
[00:00:17.200 --> 00:00:21.700]   cashfly@cachafly.com.
[00:00:21.700 --> 00:00:29.700]   [ Music ]
[00:00:29.700 --> 00:00:36.200]   >> This is Mac Break Weekly, episode 66 for November 13, 2007.
[00:00:36.200 --> 00:00:40.200]   Girls Gone Mac.
[00:00:40.200 --> 00:00:43.400]   Mac Break Weekly is brought to you by Audible.com.
[00:00:43.400 --> 00:00:49.100]   For your free audio book, visit Audible.com/MacBreak.
[00:00:49.100 --> 00:00:53.400]   And by listeners like you, thanks for your donations.
[00:00:53.400 --> 00:00:57.200]   >> From the Bob Heil PR40 Microphone Capital of the World,
[00:00:57.200 --> 00:00:59.200]   it's Mac Break Weekly.
[00:00:59.600 --> 00:01:01.100]   >> Wow, that was great.
[00:01:01.100 --> 00:01:04.600]   Ladies and gentlemen, Scott Born our announcer of the week.
[00:01:04.600 --> 00:01:07.100]   You must have worked in radio at some point.
[00:01:07.100 --> 00:01:08.400]   >> Who said that?
[00:01:08.400 --> 00:01:11.300]   >> Scott Born is here from the Apple Phone Show at Applephone
[00:01:11.300 --> 00:01:14.600]   Show.com and also girlsgongeek.tv.
[00:01:14.600 --> 00:01:16.100]   And look, it's a girl gone geek.
[00:01:16.100 --> 00:01:18.100]   I brought my very own with me.
[00:01:18.100 --> 00:01:21.100]   I just, you know, we had girls gone geeks laying around.
[00:01:21.100 --> 00:01:23.500]   So I said, what the heck was bring one to Mac Break Weekly?
[00:01:23.500 --> 00:01:25.200]   >> Leanna, how do you say your last name?
[00:01:25.200 --> 00:01:26.200]   >> Lehua.
[00:01:26.200 --> 00:01:27.900]   >> That's what I said.
[00:01:27.900 --> 00:01:28.900]   >> Lehua.
[00:01:28.900 --> 00:01:29.900]   >> Leanna Lehua.
[00:01:29.900 --> 00:01:31.900]   That sounds like a Hawaiian name.
[00:01:31.900 --> 00:01:32.900]   >> It is.
[00:01:32.900 --> 00:01:33.900]   >> It's beautiful.
[00:01:33.900 --> 00:01:36.900]   Leanna Lehua is one of the, probably the chief girlsgongeek,
[00:01:36.900 --> 00:01:39.900]   although I wouldn't say that in front of the other girls because they didn't.
[00:01:39.900 --> 00:01:42.900]   >> Oh, well, she's the geekiest of the girlsgongeek.
[00:01:42.900 --> 00:01:44.900]   >> The geekiest girlgongeek.
[00:01:44.900 --> 00:01:46.900]   But she's a woman now.
[00:01:46.900 --> 00:01:49.900]   Because she's on Mac Break Weekly.
[00:01:49.900 --> 00:01:51.900]   Thank you for joining us.
[00:01:51.900 --> 00:01:52.900]   >> Thank you for having me.
[00:01:52.900 --> 00:01:55.900]   >> Also here, Alex Lindsay, in fact, we're being hosted in the
[00:01:55.900 --> 00:02:00.900]   Alex Lindsay Memorial Studio today.
[00:02:00.900 --> 00:02:03.900]   >> I never thought of it as a memorial studio, but it doesn't, you know.
[00:02:03.900 --> 00:02:04.900]   >> Should fire break out?
[00:02:04.900 --> 00:02:07.900]   Well, it'll be like the Apollo 11 capsule.
[00:02:07.900 --> 00:02:10.900]   Because he pumps pure oxygen in here.
[00:02:10.900 --> 00:02:11.900]   Does that keep you younger?
[00:02:11.900 --> 00:02:12.900]   >> It does.
[00:02:12.900 --> 00:02:13.900]   It does.
[00:02:13.900 --> 00:02:14.900]   64 degrees pure oxygen.
[00:02:14.900 --> 00:02:15.900]   No windows.
[00:02:15.900 --> 00:02:16.900]   It's really very effective.
[00:02:16.900 --> 00:02:19.900]   >> And that soundproofing on the walls, that's fireproof, right?
[00:02:19.900 --> 00:02:20.900]   >> It is.
[00:02:20.900 --> 00:02:23.900]   It's the expensive fireproof kind of.
[00:02:23.900 --> 00:02:24.900]   >> Yeah.
[00:02:24.900 --> 00:02:25.900]   >> Do you have a lighter, Scott?
[00:02:25.900 --> 00:02:27.900]   >> Yeah, let's give it a shot.
[00:02:27.900 --> 00:02:28.900]   Come on.
[00:02:28.900 --> 00:02:30.900]   >> That's the one problem with the pure oxygen atmosphere as your
[00:02:30.900 --> 00:02:32.900]   cigarette breaks only last about three seconds.
[00:02:32.900 --> 00:02:33.900]   It's only negative.
[00:02:33.900 --> 00:02:36.900]   >> It's good to be all of us together in one room.
[00:02:36.900 --> 00:02:37.900]   We don't have to do this very often.
[00:02:37.900 --> 00:02:38.900]   We're usually skyping in.
[00:02:38.900 --> 00:02:41.900]   >> I can wink it at Ms. LaHoe here over here.
[00:02:41.900 --> 00:02:42.900]   >> Thank you.
[00:02:42.900 --> 00:02:43.900]   >> It's got what's C.
[00:02:43.900 --> 00:02:45.900]   Right around your head.
[00:02:45.900 --> 00:02:48.900]   So news today, there's actually a little bit.
[00:02:48.900 --> 00:02:50.900]   1.1.2 came out, Mr. Phone Show.
[00:02:50.900 --> 00:02:51.900]   >> It did.
[00:02:51.900 --> 00:02:52.900]   1.1.2.
[00:02:52.900 --> 00:02:54.900]   >> I didn't notice anything.
[00:02:54.900 --> 00:02:56.900]   >> Does it do anything?
[00:02:56.900 --> 00:02:58.900]   >> You would notice it if you lived in Germany because it does
[00:02:58.900 --> 00:03:01.900]   the international character set for our friends in Germany.
[00:03:01.900 --> 00:03:03.900]   O2 has been selling a lot of phones.
[00:03:03.900 --> 00:03:08.900]   And allegedly, there's a couple of bug fixes as well as the TIFF
[00:03:08.900 --> 00:03:10.900]   exploit fix.
[00:03:10.900 --> 00:03:14.900]   However, according to Leon Olehooah, let's find out some more
[00:03:14.900 --> 00:03:15.900]   about that.
[00:03:15.900 --> 00:03:18.900]   How does it affect the iPhone or some of those things?
[00:03:18.900 --> 00:03:19.900]   >> You know, I haven't.
[00:03:19.900 --> 00:03:21.900]   The only application I've tested with it since I updated it is
[00:03:21.900 --> 00:03:22.900]   the eye toner.
[00:03:22.900 --> 00:03:25.900]   >> Had you done a jailbreak on the phone before you did the update?
[00:03:25.900 --> 00:03:29.900]   >> Well, the one that I tried eye toner on with the newest 1.1.2
[00:03:29.900 --> 00:03:31.900]   is not a jailbroken phone.
[00:03:31.900 --> 00:03:34.900]   I did try to update my jailbroken phone because I have another
[00:03:34.900 --> 00:03:35.900]   phone that's jailbroken.
[00:03:35.900 --> 00:03:36.900]   And it didn't do anything.
[00:03:36.900 --> 00:03:38.900]   I actually just didn't update, but it didn't break it or do
[00:03:38.900 --> 00:03:39.900]   anything to it.
[00:03:39.900 --> 00:03:43.900]   There is now with, I think, Erica Stoon and the iPhone dev team
[00:03:43.900 --> 00:03:45.900]   or it might be iPhone Elite.
[00:03:45.900 --> 00:03:46.900]   I'm not sure which team it is.
[00:03:46.900 --> 00:03:49.900]   But one of the teams has created a new GUI jailbreak that you
[00:03:49.900 --> 00:03:53.900]   actually have to go in, but you can't do it with an hacked iPhone.
[00:03:53.900 --> 00:03:55.900]   >> Jailbreak.com no longer works.
[00:03:55.900 --> 00:03:56.900]   >> Correct.
[00:03:56.900 --> 00:04:00.900]   >> So don't use, if you're going to 1.1.2, don't go to jailbreak.com
[00:04:00.900 --> 00:04:01.900]   first.
[00:04:01.900 --> 00:04:02.900]   >> Correct.
[00:04:02.900 --> 00:04:04.900]   >> If you want to go to 1.1.2 and if you've gone to 1.1.2, it
[00:04:04.900 --> 00:04:05.900]   won't work at all.
[00:04:05.900 --> 00:04:06.900]   >> Correct.
[00:04:06.900 --> 00:04:08.900]   >> You have to go back to 1.1.1 to try to make that happen from
[00:04:08.900 --> 00:04:09.900]   what I had to do.
