;FFMETADATA1
album=MacBreak Weekly December 2007
artist=Leo Laporte, Merlin Mann, Alex Lindsay, Scott Bourne, Andy Ihnatko, and Chris Breen
comment=http://twit.tv/mbw70
genre=Podcast
title=MacBreak Weekly 70: Happy Life Day
date=2007

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachafly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:35.000]   This is Mac Break Weekly, Episode 70 for December 18, 2007.
[00:00:35.000 --> 00:00:37.000]   Happy Life Day.
[00:00:37.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:52.000]   And by listeners like you. Thanks for your donations.
[00:00:52.000 --> 00:00:55.000]   Alright ladies and gentlemen, I guess you probably gathered.
[00:00:55.000 --> 00:00:59.000]   There's a pretty big panel here for Mac Break Weekly,
[00:00:59.000 --> 00:01:01.000]   our year ender.
[00:01:01.000 --> 00:01:04.000]   I'm going to do it in alphabetical order.
[00:01:04.000 --> 00:01:05.000]   Hey.
[00:01:05.000 --> 00:01:08.000]   Alex Lindsay, ladies and gentlemen, he is with the Pixel Core.
[00:01:08.000 --> 00:01:09.000]   What are you laughing at?
[00:01:09.000 --> 00:01:11.000]   I have to go through. I'm looking at my fingers.
[00:01:11.000 --> 00:01:13.000]   Alex, into the Pixel Core.
[00:01:13.000 --> 00:01:14.000]   Can we talk speak?
[00:01:14.000 --> 00:01:17.000]   And actually, not only a founding member of Mac Break Weekly,
[00:01:17.000 --> 00:01:20.000]   but really the founder of Mac Break Weekly since you started Mac Break.
[00:01:20.000 --> 00:01:24.000]   And that spun off into the audio only version of Mac Break Weekly.
[00:01:24.000 --> 00:01:26.000]   Yes, which is now the biggest thing.
[00:01:26.000 --> 00:01:27.000]   [ Laughter ]
[00:01:27.000 --> 00:01:29.000]   Well, audio distributes a lot.
[00:01:29.000 --> 00:01:31.000]   You know, it really does.
[00:01:31.000 --> 00:01:36.000]   I think I was a much more of a video guy at the beginning of this year than at the end of the year.
[00:01:36.000 --> 00:01:39.000]   So we really look at the two of them working together,
[00:01:39.000 --> 00:01:43.000]   and we really see that the audio for us will be, you know, when we look at podcasts now,
[00:01:43.000 --> 00:01:46.000]   we think those ones will have more listeners than the video ones.
[00:01:46.000 --> 00:01:48.000]   The video ones just serve a different use.
[00:01:48.000 --> 00:01:52.000]   They're getting all the attention because everybody thinks video is so sexy.
[00:01:52.000 --> 00:01:54.000]   So it really garners more attention.
[00:01:54.000 --> 00:01:55.000]   Let's see.
[00:01:55.000 --> 00:01:59.000]   Also in the A's, Andy, Ennaco from the Chicago Sun Times,
[00:01:59.000 --> 00:02:03.000]   Tondimes, and the colossal waste of bandwidth, and many, many books.
[00:02:03.000 --> 00:02:05.000]   Hello, Andy.
[00:02:05.000 --> 00:02:07.000]   God bless us, everyone, Leo.
[00:02:07.000 --> 00:02:09.000]   And he's the tiny Tim of the bunch.
[00:02:09.000 --> 00:02:13.000]   I like that little wood-cross you fashioned out of your own.
[00:02:13.000 --> 00:02:18.000]   A lot of people like to take the Christ out of Christmas.
[00:02:18.000 --> 00:02:21.000]   I like to put them four of them back in to take this place.
[00:02:21.000 --> 00:02:22.000]   Okay.
[00:02:22.000 --> 00:02:25.000]   We're treading on thin ice here.
[00:02:25.000 --> 00:02:27.000]   So where the fort?
[00:02:27.000 --> 00:02:28.000]   Yeah, it is.
[00:02:28.000 --> 00:02:30.000]   I know you've been shoveling.
[00:02:30.000 --> 00:02:32.000]   Yes, I created a brick.
[00:02:32.000 --> 00:02:35.000]   I was so excited because it's been, we've had such a warm winter-like last year.
[00:02:35.000 --> 00:02:36.000]   We got basically nothing.
[00:02:36.000 --> 00:02:41.000]   I can't, I was so excited about snow that I actually like was watching it come down
[00:02:41.000 --> 00:02:47.000]   and spent three minutes trying to put together the perfect snow shoveling I mix for, you know,
[00:02:47.000 --> 00:02:53.000]   where like it's like nothing but like 70s funk, you know, not too fast so that you get a heart attack,
[00:02:53.000 --> 00:02:57.000]   but enough that you can get a good swing with a shovel and with an opera break every 10 minutes.
[00:02:57.000 --> 00:03:02.000]   It was really quite, and I understand you'll be offering that to our audience a little later on in the show.
[00:03:02.000 --> 00:03:03.000]   It is online.
[00:03:03.000 --> 00:03:04.000]   I make no money from this.
[00:03:04.000 --> 00:03:06.000]   I just want to help people, Leo.
[00:03:06.000 --> 00:03:08.000]   He's so generous.
[00:03:08.000 --> 00:03:13.000]   Chris Breen is the Mac Daddy, the Buffont of all Mac knowledge from Mac,
[00:03:13.000 --> 00:03:16.000]   from Mac, Mac, World Magazine, Hi, Chris.
[00:03:16.000 --> 00:03:17.000]   I got a T-shirt.
[00:03:17.000 --> 00:03:18.000]   Put it on a T-shirt.
[00:03:18.000 --> 00:03:22.000]   I know I want a T-shirt at Expo, you know, out to everybody.
[00:03:22.000 --> 00:03:25.000]   I would like my own T-shirt with just the Buffont honey.
[00:03:25.000 --> 00:03:27.000]   You don't have to put me in there just there.
[00:03:27.000 --> 00:03:30.000]   And we really credit to Mac, for pointing that phrase.
[00:03:30.000 --> 00:03:31.000]   Yeah.
[00:03:31.000 --> 00:03:35.000]   He's not with us today only because I've already got six people on Skype and I'm afraid I could actually
[00:03:35.000 --> 00:03:39.000]   collapse the entire Skype infrastructure if I add any more people.
[00:03:39.000 --> 00:03:40.000]   Oh, let's try.
[00:03:40.000 --> 00:03:41.000]   Should I?
[00:03:41.000 --> 00:03:43.000]   Skype can collapse on a phone.
[00:03:43.000 --> 00:03:44.000]   It doesn't need help.
[00:03:44.000 --> 00:03:45.000]   It's very selfish.
[00:03:45.000 --> 00:03:46.000]   Wait.
[00:03:46.000 --> 00:03:51.000]   Andy's taken the role of Skype Hater away from Alex Lindsay.
[00:03:51.000 --> 00:03:53.000]   Now that Alex is a T-1, he likes Skype again.
[00:03:53.000 --> 00:03:54.000]   Yeah, it's nice.
[00:03:54.000 --> 00:03:56.000]   Now that I have a fast connection.
[00:03:56.000 --> 00:03:58.000]   I'm ordering a T-1 actually.
[00:03:58.000 --> 00:04:00.000]   That's my Christmas present to it.
[00:04:00.000 --> 00:04:01.000]   I would suggest it to everyone.
[00:04:01.000 --> 00:04:03.000]   You know, if you have it, everyone should have a T-1.
[00:04:03.000 --> 00:04:05.000]   Well, it's only 260 bucks.
[00:04:05.000 --> 00:04:06.000]   I was surprised to have an expense.
[00:04:06.000 --> 00:04:09.000]   Well, if you were in Korea, you would say, "Why would I want that?"
[00:04:09.000 --> 00:04:11.000]   You would say, "Why would I want that?"
[00:04:11.000 --> 00:04:13.000]   You would say, "Why would I want that?"
[00:04:13.000 --> 00:04:15.000]   You would say, "Why would I want that?"
[00:04:15.000 --> 00:04:17.000]   You would say, "Why would I want that?"
[00:04:17.000 --> 00:04:19.000]   You would say, "Why would I want that?"
[00:04:19.000 --> 00:04:21.000]   You would say, "Why would I want that?"
[00:04:21.000 --> 00:04:23.000]   You would say, "Why would I want that?"
[00:04:23.000 --> 00:04:25.000]   You would say, "Why would I want that?"
[00:04:25.000 --> 00:04:27.000]   You would say, "Why would I want that?"
[00:04:27.000 --> 00:04:29.000]   You would say, "Why would I want that?"
[00:04:29.000 --> 00:04:31.000]   You would say, "Why would I want that?"
[00:04:31.000 --> 00:04:33.000]   You would say, "Why would I want that?"
[00:04:33.000 --> 00:04:35.000]   You would say, "Why would I want that?"
[00:04:35.000 --> 00:04:37.000]   You would say, "Why would I want that?"
[00:04:37.000 --> 00:04:39.000]   You would say, "Why would I want that?"
[00:04:39.000 --> 00:04:41.000]   You would say, "Why would I want that?"
[00:04:41.000 --> 00:04:43.000]   You would say, "Why would I want that?"
[00:04:43.000 --> 00:04:45.000]   You would say, "Why would I want that?"
[00:04:45.000 --> 00:04:47.000]   You would say, "Why would I want that?"
[00:04:47.000 --> 00:04:49.000]   You would say, "Why would I want that?"
[00:04:49.000 --> 00:04:51.000]   You would say, "Why would I want that?"
[00:04:51.000 --> 00:04:53.000]   You would say, "Why would I want that?"
[00:04:53.000 --> 00:04:55.000]   You would say, "Why would I want that?"
[00:04:55.000 --> 00:04:57.000]   You would say, "Why would I want that?"
[00:04:57.000 --> 00:04:59.000]   You would say, "Why would I want that?"
[00:04:59.000 --> 00:05:01.000]   You would say, "Why would I want that?"
[00:05:01.000 --> 00:05:03.000]   You would say, "Why would I want that?"
[00:05:03.000 --> 00:05:05.000]   You would say, "Why would I want that?"
[00:05:05.000 --> 00:05:07.000]   You would say, "Why would I want that?"
[00:05:07.000 --> 00:05:09.000]   You would say, "Why would I want that?"
[00:05:09.000 --> 00:05:11.000]   You would say, "Why would I want that?"
[00:05:11.000 --> 00:05:13.000]   You would say, "Why would I want that?"
[00:05:13.000 --> 00:05:15.000]   You would say, "Why would I want that?"
[00:05:15.000 --> 00:05:17.000]   You would say, "Why would I want that?"
[00:05:17.000 --> 00:05:19.000]   You would say, "Why would I want that?"
[00:05:19.000 --> 00:05:21.000]   You would say, "Why would I want that?"
[00:05:21.000 --> 00:05:23.000]   You would say, "Why would I want that?"
[00:05:23.000 --> 00:05:25.000]   You would say, "Why would I want that?"
[00:05:25.000 --> 00:05:27.000]   You would say, "Why would I want that?"
[00:05:27.000 --> 00:05:29.000]   You would say, "Why would I want that?"
[00:05:29.000 --> 00:05:31.000]   You would say, "Why would I want that?"
[00:05:31.000 --> 00:05:33.000]   I have a little bit of a medical thing in my throat,
[00:05:33.000 --> 00:05:35.000]   so if I sound craggy, there's a reason.
[00:05:35.000 --> 00:05:37.000]   Oh, dear, I'm sorry. You actually sound great.
[00:05:37.000 --> 00:05:40.000]   Sorry to hear that. I hope it all will be well.
[00:05:40.000 --> 00:05:42.000]   It will, someday.
[00:05:42.000 --> 00:05:45.000]   You ate too big of a turkey for dinner last night.
[00:05:45.000 --> 00:05:47.000]   I got stuck in your throat.
[00:05:47.000 --> 00:05:49.000]   No, no, no. I did the doctor have to leap on the table
[00:05:49.000 --> 00:05:51.000]   and use a big pen to save your life.
[00:05:51.000 --> 00:05:53.000]   No, actually what happens is my neighbor asked me
[00:05:53.000 --> 00:05:56.000]   to come fix his computer, and I thought he had a Mac
[00:05:56.000 --> 00:05:58.000]   because I seen him bring a Mac box in,
[00:05:58.000 --> 00:06:00.000]   and then I walked in and there was a Windows machine
[00:06:00.000 --> 00:06:02.000]   and much like Kryptonite-fect Superman,
[00:06:02.000 --> 00:06:04.000]   I was immediately stricken.
[00:06:04.000 --> 00:06:07.000]   I thought I could have been mistaken here,
[00:06:07.000 --> 00:06:09.000]   and then maybe it was just a flashback to better days,
[00:06:09.000 --> 00:06:12.000]   but I just could have sworn I heard a little Merlin man
[00:06:12.000 --> 00:06:14.000]   in the background there. That would be...
[00:06:14.000 --> 00:06:16.000]   Mm-hmm. Oh, hi, Leo. How are you?
[00:06:16.000 --> 00:06:18.000]   Oh, my God. It's Merlin, man.
[00:06:18.000 --> 00:06:20.000]   Hey! What are you guys doing in my room?
[00:06:20.000 --> 00:06:21.000]   [ Laughs ]
[00:06:21.000 --> 00:06:22.000]   This is awkward.
[00:06:22.000 --> 00:06:24.000]   That's the old Frank Sinatra line.
[00:06:24.000 --> 00:06:26.000]   How'd all you guys get in my room?
[00:06:26.000 --> 00:06:28.000]   So Merlin, congratulations on the baby.
[00:06:28.000 --> 00:06:30.000]   We haven't talked to you since then.
[00:06:30.000 --> 00:06:32.000]   Yeah, thank you. It's a lot of fun.
[00:06:32.000 --> 00:06:34.000]   She's enough. They weren't adorable.
[00:06:34.000 --> 00:06:35.000]   We'd be throwing them in a river.
[00:06:35.000 --> 00:06:38.000]   She's really cute and a lot of fun.
[00:06:38.000 --> 00:06:39.000]   It's really cute.
[00:06:39.000 --> 00:06:40.000]   And she's... I don't know.
[00:06:40.000 --> 00:06:42.000]   She's... I don't know. It's hard to describe.
[00:06:42.000 --> 00:06:43.000]   It's... You know, nobody cares.
[00:06:43.000 --> 00:06:45.000]   If you've had a kid, you understand,
[00:06:45.000 --> 00:06:47.000]   and if you haven't had a kid, you don't care.
[00:06:47.000 --> 00:06:49.000]   So... I think... Let's not gloss over this.
[00:06:49.000 --> 00:06:50.000]   Let me just ask you, is this, in fact,
[00:06:50.000 --> 00:06:53.000]   the first baby that you conceived?
[00:06:53.000 --> 00:06:54.000]   [ Laughs ]
[00:06:54.000 --> 00:06:55.000]   That I'm aware of.
[00:06:55.000 --> 00:06:56.000]   That you know of.
