;FFMETADATA1
album=MacBreak Weekly February 2008
artist=Leo Laporte, Andy Ihnatko, Scott Bourne, Merlin Mann, and Alex Lindsay
comment=http://twit.tv/mbw76
genre=Podcast
title=MacBreak Weekly 76: Googlewhack
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 76 for February 5th, 2008.
[00:00:34.000 --> 00:00:37.000]   Google WAC.
[00:00:37.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:52.000]   And by listeners like you. Thanks for your donations.
[00:00:52.000 --> 00:00:57.000]   It's time for Mac Break Weekly, our weekly travel down the river,
[00:00:57.000 --> 00:01:02.000]   the wide river that is the Mac cult with us right now.
[00:01:02.000 --> 00:01:06.000]   Our guides from all the way from Boston, Massachusetts, Andy and Naco.
[00:01:06.000 --> 00:01:09.000]   Hello Leo. Hello Andy. How are you?
[00:01:09.000 --> 00:01:13.000]   Doesn't feel like the sky is crying to you. It really feels as though the sky is crying to me.
[00:01:13.000 --> 00:01:15.000]   Is it raining in Baston?
[00:01:15.000 --> 00:01:17.000]   Oh, it's raining in our hearts.
[00:01:17.000 --> 00:01:18.000]   [ Laughter ]
[00:01:18.000 --> 00:01:20.000]   Has somebody doing a football game, bro?
[00:01:20.000 --> 00:01:21.000]   Oh, a little...
[00:01:21.000 --> 00:01:22.000]   Oh, right.
[00:01:22.000 --> 00:01:23.000]   A little patriot.
[00:01:23.000 --> 00:01:27.000]   It has to do with the fact that me and just about everybody in my peer group
[00:01:27.000 --> 00:01:31.000]   seems to have not seen the last 20 minutes of this Sunday's episode of "House"
[00:01:31.000 --> 00:01:35.000]   because Fox kept screwing with us on when the start and end time was going to be.
[00:01:35.000 --> 00:01:41.000]   Now, we're not pleased that we lost the Super Bowl, but we need to know what happened to that woman at the Arctic Research Station.
[00:01:41.000 --> 00:01:43.000]   Yes, they were promoting it like crazy.
[00:01:43.000 --> 00:01:47.000]   Oh my God, it's hilarious. It was ridiculous how they were promoting it.
[00:01:47.000 --> 00:01:52.000]   Yeah. So Andy, I'm sorry, our commiseration. Were there any Giants fans in the group here?
[00:01:52.000 --> 00:01:53.000]   No.
[00:01:53.000 --> 00:01:55.000]   Good, we killed them all.
[00:01:55.000 --> 00:01:56.000]   They're gone.
[00:01:56.000 --> 00:01:57.000]   [ Laughter ]
[00:01:57.000 --> 00:02:01.000]   I was rooting for the pets, but that was such a dramatic game.
[00:02:01.000 --> 00:02:02.000]   It was an awesome game.
[00:02:02.000 --> 00:02:04.000]   It was an awesome game.
[00:02:04.000 --> 00:02:05.000]   Yes.
[00:02:05.000 --> 00:02:06.000]   And Andy...
[00:02:06.000 --> 00:02:07.000]   Say again...
[00:02:07.000 --> 00:02:08.000]   Not the best...
[00:02:08.000 --> 00:02:09.000]   Two minutes I've ever seen.
[00:02:09.000 --> 00:02:10.000]   It was very exciting.
[00:02:10.000 --> 00:02:15.000]   Well, remind me of those Joe Montana two-minute drills for the Niners many years ago.
[00:02:15.000 --> 00:02:19.000]   Not quite as... not quite as clockwork, but still very exciting.
[00:02:19.000 --> 00:02:21.000]   And when he broke that tackle...
[00:02:21.000 --> 00:02:22.000]   That was a...
[00:02:22.000 --> 00:02:23.000]   Oh man, that was great.
[00:02:23.000 --> 00:02:24.000]   Then caught the ball on his head.
[00:02:24.000 --> 00:02:27.000]   Yeah, that was a wild catch. Anyway, this isn't...
[00:02:27.000 --> 00:02:28.000]   This isn't...
[00:02:28.000 --> 00:02:29.000]   [ Laughter ]
[00:02:29.000 --> 00:02:32.000]   Big Giants today. There are many, many football podcasts.
[00:02:32.000 --> 00:02:34.000]   We invite you to listen to those, but not this.
[00:02:34.000 --> 00:02:35.000]   This weekend Super Bowl.
[00:02:35.000 --> 00:02:39.000]   Scott Ford is here from Padango and...
[00:02:39.000 --> 00:02:42.000]   PhoneCrazyGirlsGoneWildShow.com.
[00:02:42.000 --> 00:02:45.000]   Not exactly, but thank you.
[00:02:45.000 --> 00:02:49.000]   Geeks, GirlsGoneGeek.tv and ApplePhoneShow.com.
[00:02:49.000 --> 00:02:50.000]   Thank you, sir.
[00:02:50.000 --> 00:02:53.000]   And Mr. Merlin Mann from 43folders.com.
[00:02:53.000 --> 00:02:54.000]   Hey, Merlin.
[00:02:54.000 --> 00:02:55.000]   Hello, Leo. How are you?
[00:02:55.000 --> 00:02:58.000]   I was watching Andy... I'm well. Thank you.
[00:02:58.000 --> 00:03:00.000]   I was watching Andy Twitter during Super Bowl.
[00:03:00.000 --> 00:03:01.000]   It was fun to watch him.
[00:03:01.000 --> 00:03:03.000]   And others talk about the ads in the game.
[00:03:03.000 --> 00:03:05.000]   It felt like a little Super Bowl party.
[00:03:05.000 --> 00:03:07.000]   Really? The fact of the matter is Leo Laporthe.
[00:03:07.000 --> 00:03:09.000]   These are two teams that really came into play football.
[00:03:09.000 --> 00:03:12.000]   And the fact is whoever gets more points on that board
[00:03:12.000 --> 00:03:14.000]   by the end of the game is going to walk away with any questions.
[00:03:14.000 --> 00:03:15.000]   Andy...
[00:03:15.000 --> 00:03:17.000]   But, Merlin, the question is, is Montana hurt?
[00:03:17.000 --> 00:03:19.000]   Or is he just holding up for free agency?
[00:03:19.000 --> 00:03:21.000]   I've got to tell you the truth, Andy.
[00:03:21.000 --> 00:03:22.000]   You've got to play this game hurt.
[00:03:22.000 --> 00:03:25.000]   And if you let the other team get more points on that board,
[00:03:25.000 --> 00:03:26.000]   you're not going to win this football game.
[00:03:26.000 --> 00:03:28.000]   I'm just not convinced that he came to help the ball club.
[00:03:28.000 --> 00:03:29.000]   Yeah.
[00:03:29.000 --> 00:03:30.000]   Alex...
[00:03:30.000 --> 00:03:32.000]   He just had the contest for it, too, that I like to see.
[00:03:32.000 --> 00:03:35.000]   Alex, Lindsay's also here from Podshow.
[00:03:35.000 --> 00:03:36.000]   No.
[00:03:36.000 --> 00:03:38.000]   From Pixelcore.
[00:03:38.000 --> 00:03:41.000]   Unless you have an announcement to make.
[00:03:41.000 --> 00:03:45.000]   You sound like you might be like some kind of a malfunctioning AI at this point.
[00:03:45.000 --> 00:03:46.000]   I think there's something going wrong with my brain.
[00:03:46.000 --> 00:03:48.000]   Is this her next friend from Podcheck?
[00:03:48.000 --> 00:03:49.000]   Podcheck.
[00:03:49.000 --> 00:03:50.000]   Podcheck.
[00:03:50.000 --> 00:03:51.000]   Pod.
[00:03:51.000 --> 00:03:53.000]   I can help you with that.
[00:03:53.000 --> 00:03:54.000]   Unhappy, Macknay.
[00:03:54.000 --> 00:03:55.000]   Things about your order.
[00:03:55.000 --> 00:03:56.000]   Okay.
[00:03:56.000 --> 00:03:58.000]   Sounds like you said yes.
[00:03:58.000 --> 00:04:00.000]   That's my favorite.
[00:04:00.000 --> 00:04:02.000]   Your podcast.
[00:04:02.000 --> 00:04:03.000]   Your podcast is important.
[00:04:03.000 --> 00:04:07.000]   The way he says sounds like it's like, "Okay.
[00:04:07.000 --> 00:04:09.000]   Sounds like you said yes."
[00:04:09.000 --> 00:04:10.000]   It's like there's something going on.
[00:04:10.000 --> 00:04:12.000]   There's some subtext I'm missing there.
[00:04:12.000 --> 00:04:13.000]   Okay.
[00:04:13.000 --> 00:04:14.000]   It sounds like you're screaming at some of these.
[00:04:14.000 --> 00:04:15.000]   Let me get you an upgrade.
[00:04:15.000 --> 00:04:16.000]   Okay.
[00:04:16.000 --> 00:04:17.000]   Breathe deeply.
[00:04:17.000 --> 00:04:18.000]   He's got the Alex Trebek.
[00:04:18.000 --> 00:04:20.000]   Oh, I'm sorry.
[00:04:20.000 --> 00:04:26.240]   Is that the same guy on the Virgin America oxygen mask announcement?
[00:04:26.240 --> 00:04:27.240]   Sounds like it.
[00:04:27.240 --> 00:04:28.240]   It might be.
[00:04:28.240 --> 00:04:31.440]   That one's really, it's going to be really funny for a little while and then it's going
[00:04:31.440 --> 00:04:32.440]   to get really old.
[00:04:32.440 --> 00:04:33.960]   The last two times I flew it, they didn't use it.
[00:04:33.960 --> 00:04:34.960]   I'm wondering.
[00:04:34.960 --> 00:04:35.960]   Oh, did they?
[00:04:35.960 --> 00:04:36.960]   I'm sorry.
[00:04:36.960 --> 00:04:37.960]   I've gotten old.
[00:04:37.960 --> 00:04:38.960]   Scott, you've been on Virgin America recently.
[00:04:38.960 --> 00:04:39.960]   Are they still using the prerecorded safety announcement?
[00:04:39.960 --> 00:04:44.400]   I'm sorry to say I only sit in first class where the videos don't deliver that service.
[00:04:44.400 --> 00:04:45.400]   So they have to actually do it.
[00:04:45.400 --> 00:04:46.960]   They actually do it with the real person.
[00:04:46.960 --> 00:04:50.960]   The instrels cohort for you and the out between or sleeves and the one in front of you.
[00:04:50.960 --> 00:04:51.960]   Yes.
[00:04:51.960 --> 00:04:53.840]   We've heard the tambourines during coach.
[00:04:53.840 --> 00:05:00.040]   No, actually it's just the, let's say well seasoned flight attendant who can't be fired
[00:05:00.040 --> 00:05:03.000]   due to age discrimination rules who ends up in first class.
[00:05:03.000 --> 00:05:04.200]   No, it's minstrel.
[00:05:04.200 --> 00:05:05.200]   It's minstrel.
[00:05:05.200 --> 00:05:08.160]   Minstrel would not be the word I would use to describe most of them.
[00:05:08.160 --> 00:05:11.640]   I'm sorry, but I can still hear the rattling of orlocks from the galley.
[00:05:11.640 --> 00:05:13.720]   Could you do something about that?
[00:05:13.720 --> 00:05:15.720]   Boom, boom, boom.
[00:05:15.720 --> 00:05:17.840]   I have seen the video in question.
[00:05:17.840 --> 00:05:19.080]   I know which one you're talking about.
[00:05:19.080 --> 00:05:20.080]   I saw it.
[00:05:20.080 --> 00:05:21.320]   I think on Alex's site, didn't I?
[00:05:21.320 --> 00:05:22.320]   Or I don't remember.
[00:05:22.320 --> 00:05:26.760]   Alex, I remember I saw part of it while you were playing your video.
[00:05:26.760 --> 00:05:28.920]   You had done when they were showing off the planes.
[00:05:28.920 --> 00:05:30.400]   Right, right, right, right.
[00:05:30.400 --> 00:05:33.360]   In any event, little, little news story today.
[00:05:33.360 --> 00:05:36.920]   We're going to, in just a bit, we're going to talk to a guy who just opened his brand
[00:05:36.920 --> 00:05:40.600]   new Apple II C.
[00:05:40.600 --> 00:05:42.400]   Huh?
[00:05:42.400 --> 00:05:43.880]   Live the dream folks.
[00:05:43.880 --> 00:05:46.600]   Saving those pennies, you can live the dream.
[00:05:46.600 --> 00:05:49.920]   I think Asian chamber really works.
[00:05:49.920 --> 00:05:53.320]   Dan says, oh, Janice, and just a little bit before that though.
[00:05:53.320 --> 00:05:57.040]   Micra who, I mean, Yasoft, I mean, what the hell?
[00:05:57.040 --> 00:05:59.520]   Microsoft, we talked about this on Twitter, of course, to great length.
[00:05:59.520 --> 00:06:02.080]   But I think that Mac people have some interest in this as well.
[00:06:02.080 --> 00:06:08.200]   Microsoft's attempt to basically run over this search and advertising industry by buying
[00:06:08.200 --> 00:06:15.800]   Yahoo and becoming the biggest player in online mail, online search, online advertising.
[00:06:15.800 --> 00:06:17.960]   Are we scared of Microsoft doing this?
[00:06:17.960 --> 00:06:20.680]   Google seems to think it's the evil empire.
[00:06:20.680 --> 00:06:26.080]   Oh, okay, the yawns I hear, but let's get Dan on before it goes on too long because I
[00:06:26.080 --> 00:06:27.080]   hear him in the background.
[00:06:27.080 --> 00:06:28.080]   Hey, Dan.
[00:06:28.080 --> 00:06:29.080]   Hey, Leo, how are you?
[00:06:29.080 --> 00:06:30.080]   Great.
[00:06:30.080 --> 00:06:37.720]   Let me make some noises so that those of you in the listening audience can hear Dan.
[00:06:37.720 --> 00:06:39.720]   Merlin, Dan's a friend of yours.
[00:06:39.720 --> 00:06:40.720]   It's me as hello, Dan.
[00:06:40.720 --> 00:06:41.720]   Are you there?
[00:06:41.720 --> 00:06:42.720]   Hey, Marlon, I'm here.
[00:06:42.720 --> 00:06:43.720]   Hello, my friend.
[00:06:43.720 --> 00:06:44.720]   Hi.
[00:06:44.720 --> 00:06:49.400]   And it was all over the interwebs this weekend.
[00:06:49.400 --> 00:06:51.480]   Dan got a brand new 2C.
[00:06:51.480 --> 00:06:53.040]   Congratulations, Dan.
[00:06:53.040 --> 00:06:54.040]   Thank you, Phil.
[00:06:54.040 --> 00:06:56.040]   Was the 2C plus?
[00:06:56.040 --> 00:06:58.640]   No, I had a 2C, the regular.
