;FFMETADATA1
album=MacBreak Weekly March 2008
artist=Leo Laporte, Andy Ihnatko, Scott Bourne, Alex Lindsay, and Merlin Mann
comment=http://twit.tv/mbw79
genre=Podcast
title=MacBreak Weekly 79: Louder Than Bombs
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.600]   [ Music ]
[00:00:10.600 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACHEFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:32.200]   >> This is Mac Break Weekly, episode 79,
[00:00:32.200 --> 00:00:36.400]   for March 4th, 2008, Louder Than Bombs.
[00:00:36.400 --> 00:00:38.840]   [ Music ]
[00:00:38.840 --> 00:00:42.120]   Mac Break Weekly is brought to you by audible.com.
[00:00:42.120 --> 00:00:47.880]   For your free audio book, visit audible.com/macbreak.
[00:00:47.880 --> 00:00:50.360]   And by listeners like you.
[00:00:50.360 --> 00:00:52.400]   Thanks for your donations.
[00:00:52.400 --> 00:00:56.240]   It's time for Mac Break Weekly and sorry about last week, folks.
[00:00:56.240 --> 00:00:58.520]   Just couldn't get it up.
[00:00:58.520 --> 00:01:02.160]   And you know, when I can't get it up, it's hard to do a show.
[00:01:02.160 --> 00:01:05.400]   Well, it's not hard, but anyway, that's another matter for another day.
[00:01:05.400 --> 00:01:06.920]   >> Merlin, man.
[00:01:06.920 --> 00:01:08.560]   >> A film from the Gem Show, ladies and gentlemen.
[00:01:08.560 --> 00:01:11.160]   Here's the golden nut at Casino and Five Las Vegas Le Mans.
[00:01:11.160 --> 00:01:12.240]   >> Where's my rimshot?
[00:01:12.240 --> 00:01:16.040]   Andy Inaco from the colossal waist of...
[00:01:16.040 --> 00:01:18.000]   What's the B stand for now?
[00:01:18.000 --> 00:01:18.760]   >> Well, bandwidth.
[00:01:18.760 --> 00:01:20.520]   >> Oh, it's celestial waist of bandwidth.
[00:01:20.520 --> 00:01:25.880]   >> That's still, I'm on a mission from God now to waste your time in bandwidth.
[00:01:25.880 --> 00:01:28.440]   It's great to have you also from the Chicago Sun-Times.
[00:01:28.440 --> 00:01:32.560]   Scott Borne is there back from a long absence because we, I think we missed you on a show
[00:01:32.560 --> 00:01:33.560]   right before we left.
[00:01:33.560 --> 00:01:35.360]   >> Yeah, this is two week absence.
