;FFMETADATA1
album=MacBreak Weekly March 2008
artist=Leo Laporte, Scott Bourne, Alex Lindsay, and Andy Ihnatko
comment=http://twit.tv/mbw80
genre=Podcast
title=MacBreak Weekly 80: The 30 Percent Solution
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:33.000]   This is Mac Break Weekly, Episode 80, for March 12, 2008.
[00:00:33.000 --> 00:00:35.000]   The 30% solution.
[00:00:35.000 --> 00:00:41.000]   MacBreak Weekly is brought to you by audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:51.000]   And by listeners like you. Thanks for your donations.
[00:00:51.000 --> 00:00:53.000]   It's time for Mac Break Weekly.
[00:00:53.000 --> 00:00:57.000]   Number 80 are Octogenarian Episode.
[00:00:57.000 --> 00:01:01.000]   So if any of you are Octogenarian's show hands.
[00:01:01.000 --> 00:01:03.000]   I'm getting there.
[00:01:03.000 --> 00:01:05.000]   Scott Bourn.
[00:01:05.000 --> 00:01:08.000]   You know, Scott, you keep saying that, but you and I are the same age.
[00:01:08.000 --> 00:01:11.000]   So can you not do that? Because it makes me feel old.
[00:01:11.000 --> 00:01:14.000]   I'm just a tad older than you.
[00:01:14.000 --> 00:01:16.000]   A tad is right. Like what, a year?
[00:01:16.000 --> 00:01:18.000]   Two years, not much older.
[00:01:18.000 --> 00:01:19.000]   Yeah, enough.
[00:01:19.000 --> 00:01:22.000]   You'll see in the next 12 months what I mean.
[00:01:22.000 --> 00:01:24.000]   When your hair starts to get gray.
[00:01:24.000 --> 00:01:28.000]   Okay, and instead of having four girls on your arms, you only have two.
[00:01:28.000 --> 00:01:30.000]   Of course, Hugh Heffner is in his 80s and he's got four.
[00:01:30.000 --> 00:01:35.000]   Yeah, well, Scott Bourn is, of course, from Padango.com, the Apple Phone Show,
[00:01:35.000 --> 00:01:40.000]   girlsgongeek.tv, and iLifeZone, and...
[00:01:40.000 --> 00:01:41.000]   This weekend photography.
[00:01:41.000 --> 00:01:43.000]   Oh, I forgot Twip.
[00:01:43.000 --> 00:01:44.000]   You and Alex do Twip.
[00:01:44.000 --> 00:01:48.000]   We got knocked down to the number one spot by that lousy Apple company.
[00:01:48.000 --> 00:01:51.000]   But other than that, did you get to number one on iTunes?
[00:01:51.000 --> 00:01:55.000]   No, no, no, in the tech area. We're still floating around the top 20 in the iTunes.
[00:01:55.000 --> 00:01:58.000]   You think the highest we got was like seven?
[00:01:58.000 --> 00:02:00.000]   I really have to emphasize this.
[00:02:00.000 --> 00:02:01.000]   Congratulations on that.
[00:02:01.000 --> 00:02:04.000]   And nobody stays up there because it's just like a billboard chart.
[00:02:04.000 --> 00:02:06.000]   It's what it's what have you done for me lately.
[00:02:06.000 --> 00:02:09.000]   It's only today's heavily weighted and then the rest of the week.
[00:02:09.000 --> 00:02:11.000]   And after that, subscriptions don't matter.
[00:02:11.000 --> 00:02:14.000]   So it's not a total subscription count or a total listener count.
[00:02:14.000 --> 00:02:16.000]   And that's not clear in iTunes.
[00:02:16.000 --> 00:02:18.000]   But it's ballistic.
[00:02:18.000 --> 00:02:20.000]   And so, of course, you didn't stay there.
[00:02:20.000 --> 00:02:21.000]   But you got there.
[00:02:21.000 --> 00:02:22.000]   And that's the point.
[00:02:22.000 --> 00:02:23.000]   Right.
[00:02:23.000 --> 00:02:24.000]   And we've been in this...
[00:02:24.000 --> 00:02:27.000]   And the number of new people that have been joining or continuing to watch.
[00:02:27.000 --> 00:02:28.000]   Well, that's what it shows.
[00:02:28.000 --> 00:02:32.000]   If you stay in the top 10 or 20, it means lots of new people all the time.
[00:02:32.000 --> 00:02:33.000]   I don't know what...
[00:02:33.000 --> 00:02:34.000]   No one knows exactly what it means.
[00:02:34.000 --> 00:02:37.000]   But a thousand a day or 5,000...
[00:02:37.000 --> 00:02:38.000]   Nobody knows.
[00:02:38.000 --> 00:02:39.000]   Apple doesn't say.
[00:02:39.000 --> 00:02:40.000]   Right.
[00:02:40.000 --> 00:02:41.000]   But it's been a very successful show.
[00:02:41.000 --> 00:02:43.000]   We're having a lot of fun with it.
[00:02:43.000 --> 00:02:47.000]   I listen and watch, I should say, and watch because you're doing something interesting.
[00:02:47.000 --> 00:02:50.000]   You're doing both audio and video.
[00:02:50.000 --> 00:02:52.000]   Yeah, we can...
[00:02:52.000 --> 00:02:53.000]   And it's free-cast.
[00:02:53.000 --> 00:02:55.000]   Yeah, it's the...
[00:02:55.000 --> 00:02:58.000]   I think we're going to end up doing shooting video.
[00:02:58.000 --> 00:03:03.000]   The idea was that a lot of people are going to want both pieces of information.
[00:03:03.000 --> 00:03:05.000]   Especially for a photography show.
[00:03:05.000 --> 00:03:06.000]   Visual show.
[00:03:06.000 --> 00:03:07.000]   Exactly.
[00:03:07.000 --> 00:03:11.000]   It seems odd to be doing audio show, but there's a lot of people that like to listen to it.
[00:03:11.000 --> 00:03:16.000]   And we've learned mostly from your example, actually, that the audio shows often times do much better.
[00:03:16.000 --> 00:03:18.000]   Sometimes do much better than the video shows.
[00:03:18.000 --> 00:03:24.000]   So the idea is to have the audio shows the main drive, but also to be adding these video additions to it as we move forward.
[00:03:24.000 --> 00:03:26.000]   Yeah, I think that makes sense.
[00:03:26.000 --> 00:03:31.000]   No, but I don't know of anybody else who's combining audio and video on the same RSS feed.
[00:03:31.000 --> 00:03:35.000]   I'll be very curious as to how people react to that as I move into the video.
[00:03:35.000 --> 00:03:37.000]   Hey, let me introduce Andy before we get into that discussion.
[00:03:37.000 --> 00:03:42.000]   Let me introduce Andy Anako because he's just sitting there quietly pretending he's not there until we say his name.
[00:03:42.000 --> 00:03:44.000]   Oh, he's a little leprechaun mouse, actually.
[00:03:44.000 --> 00:03:46.000]   Andy Anako from the Chicago Sun Times.
[00:03:46.000 --> 00:03:50.000]   And the celestial waste of bandwidth.
[00:03:50.000 --> 00:03:52.000]   The celestial waste of bandwidth.
[00:03:52.000 --> 00:03:55.000]   Folks, there's a hole in your life.
[00:03:55.000 --> 00:03:57.000]   A player in your life you've been ignoring.
[00:03:57.000 --> 00:04:01.000]   I have absolutely no intentions of filling that lie that hole in your life.
[00:04:01.000 --> 00:04:03.000]   Totally still kill 15 minutes of work.
[00:04:03.000 --> 00:04:04.000]   That's all it really.
[00:04:04.000 --> 00:04:05.000]   That's all it really is.
[00:04:05.000 --> 00:04:07.000]   I'm going to be a little bit more careful.
[00:04:07.000 --> 00:04:12.000]   I'm promising that I'll entertain myself.
[00:04:12.000 --> 00:04:17.000]   I will put off doing the work I'm supposed to be doing while I'm writing about buying pants on the internet.
[00:04:17.000 --> 00:04:20.000]   If you guys enjoy it, good.
[00:04:20.000 --> 00:04:25.000]   Unfortunately, I don't have enough of an audience that can start exploiting you yet, but that'll come in four, five, six, seven months.
[00:04:25.000 --> 00:04:27.000]   But for now, just enjoy it.
[00:04:27.000 --> 00:04:30.000]   I'm going to be a little bit more careful about it.
[00:04:30.000 --> 00:04:32.000]   I'm going to be a little bit more careful about it.
[00:04:32.000 --> 00:04:37.000]   I'm going to be a little bit more careful about it.
[00:04:37.000 --> 00:04:42.000]   I'm going to be a little bit more careful about it.
[00:04:42.000 --> 00:04:45.000]   I'm going to be a little bit more careful about it.
[00:04:45.000 --> 00:04:48.000]   I'm going to be a little bit more careful about it.
[00:04:48.000 --> 00:04:51.000]   I'm going to be a little bit more careful about it.
[00:04:51.000 --> 00:04:54.000]   I'm going to be a little bit more careful about it.
[00:04:54.000 --> 00:04:57.000]   I'm going to be a little bit more careful about it.
[00:04:57.000 --> 00:05:00.000]   I'm going to be a little bit more careful about it.
[00:05:00.000 --> 00:05:02.000]   It's funny.
[00:05:02.000 --> 00:05:04.000]   People seem to like it.
[00:05:04.000 --> 00:05:09.000]   I don't think I asked any stupid questions of Steve Jobs that actually got asked there.
[00:05:09.000 --> 00:05:11.000]   I'll put that in the wind column.
[00:05:11.000 --> 00:05:18.000]   My friend, maybe not Scott's friend, Brian Block from Engadget took a little heat for his question.
[00:05:18.000 --> 00:05:21.000]   We'll get to that in a second.
[00:05:21.000 --> 00:05:25.000]   There are several big stories in the Mac world this week.
[00:05:25.000 --> 00:05:28.000]   Of course, the biggest one is the Apple SDK announcement.
[00:05:28.000 --> 00:05:30.000]   Of course, it happened last Thursday.
[00:05:30.000 --> 00:05:37.000]   We thought we might do a special, but we figured, "Hey, give us some time to look at it, play with it.
[00:05:37.000 --> 00:05:41.000]   We'll probably have something more intelligent to say the following week."
[00:05:41.000 --> 00:05:43.000]   That's one subject.
[00:05:43.000 --> 00:05:45.000]   Of course, the Beatles on iTunes.
[00:05:45.000 --> 00:05:47.000]   Another subject.
[00:05:47.000 --> 00:05:50.000]   A big subject.
[00:05:50.000 --> 00:05:55.000]   I guess there's a few other stories, but I think those are two are pretty big.
[00:05:55.000 --> 00:05:57.000]   Let's start with the SDK announcement.
[00:05:57.000 --> 00:05:58.000]   Scott, you were there.
[00:05:58.000 --> 00:05:59.000]   No, I didn't go.
[00:05:59.000 --> 00:06:00.000]   You didn't go.
[00:06:00.000 --> 00:06:03.000]   I had to go to Seattle.
[00:06:03.000 --> 00:06:12.000]   I did not make it, but I was able to participate through any number of live blogs as were many
[00:06:12.000 --> 00:06:13.000]   people.
[00:06:13.000 --> 00:06:19.000]   It did dawn on me that I'm not so sure why I do go when I do go since I don't know that
[00:06:19.000 --> 00:06:24.000]   I get any information being in the crowd that I can't get from sitting there looking at the
[00:06:24.000 --> 00:06:26.000]   40 or 50 blogs that are pointed at the thing.
[00:06:26.000 --> 00:06:29.000]   Did you stick with one or did you watch a couple of different ones or how did you do that?
[00:06:29.000 --> 00:06:31.000]   I actually had two different computers.
[00:06:31.000 --> 00:06:38.000]   I had my desktop and my laptop fired up, and I had two different blogs open at once, and
[00:06:38.000 --> 00:06:41.000]   gadget was not one of them.
[00:06:41.000 --> 00:06:43.000]   That's who I was.
[00:06:43.000 --> 00:06:45.000]   I got some interesting information.
[00:06:45.000 --> 00:06:51.000]   I think I got the ambiance of what was going on, and I came away from it very, very excited.
[00:06:51.000 --> 00:06:56.000]   I was expecting a lot less than what we got, frankly.
[00:06:56.000 --> 00:07:00.120]   I've said this on a couple other shows, but I think the really big news was the Kleiner
[00:07:00.120 --> 00:07:01.120]   Birken's announcement.
[00:07:01.120 --> 00:07:07.200]   As a business guy, a $100 million fund being out there legitimizes the iPhone as a platform
[00:07:07.200 --> 00:07:12.160]   the way nothing else Steve Jobs could have done that day did.
[00:07:12.160 --> 00:07:16.400]   To have John Dower come up and say, "We think this is a big deal."
[00:07:16.400 --> 00:07:20.040]   Let me tell you, that might have something to do with the fact that Apple today announced
[00:07:20.040 --> 00:07:24.040]   that they've got more than 100,000 downloads to the SDK.
[00:07:24.040 --> 00:07:26.040]   I downloaded it immediately.
[00:07:26.040 --> 00:07:27.040]   I paid my $99.
[00:07:27.040 --> 00:07:30.640]   I'm still waiting for my ... You have to be approved to get your certificate so that you
[00:07:30.640 --> 00:07:32.880]   can actually deliver applications.
[00:07:32.880 --> 00:07:37.040]   You are correct, sir, and they said that's going to take them a while to catch up.
[00:07:37.040 --> 00:07:38.560]   So there was a big deal.
[00:07:38.560 --> 00:07:40.320]   There were three separate announcements really.
[00:07:40.320 --> 00:07:44.560]   There was the SDK, and for developers and users, that might be the one that we're paying
[00:07:44.560 --> 00:07:48.880]   a lot of attention to, but for business users, I think a huge announcement that they support
[00:07:48.880 --> 00:07:50.760]   exchange and they've licensed active sync.
[00:07:50.760 --> 00:07:55.600]   So if you're using Windows and you have an exchange server at work, this is a strong
[00:07:55.600 --> 00:07:58.240]   competitor to the BlackBerry.
[00:07:58.240 --> 00:08:02.240]   And some people have said it might even deliver the information in a way that supersedes
[00:08:02.240 --> 00:08:07.240]   the way the BlackBerry does because of some of the server side requirements in the IT
[00:08:07.240 --> 00:08:09.080]   configuration for BlackBerry users.
[00:08:09.080 --> 00:08:10.080]   I don't know.
[00:08:10.080 --> 00:08:12.360]   Oh, you don't have to run a BlackBerry server for one thing.
[00:08:12.360 --> 00:08:16.080]   Many people running exchange and don't want to put the BIS on there.
[00:08:16.080 --> 00:08:18.360]   I think the ... or BES, what camera would it ...
[00:08:18.360 --> 00:08:24.000]   The other issue is Steve Jobs brought up spreading a little fud is do you really want your all
[00:08:24.000 --> 00:08:26.760]   your mail sent through Waterloo, Canada?
[00:08:26.760 --> 00:08:30.640]   It goes to Canada, you know.
[00:08:30.640 --> 00:08:34.680]   The other big announcement, as you said, was the big announcement that of a $100 million
[00:08:34.680 --> 00:08:36.720]   venture fund to support iPhone applications.
