;FFMETADATA1
album=MacBreak Weekly March 2008
artist=Leo Laporte, Andy Ihnatko, Merlin Mann, Scott Bourne, and Alex Lindsay
comment=http://twit.tv/mbw82
genre=Podcast
title=MacBreak Weekly 82: The Double Album
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 82, from March 26, 2008.
[00:00:34.000 --> 00:00:37.000]   The Double Album.
[00:00:37.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:52.000]   And by listeners like you. Thanks for your donations.
[00:00:52.000 --> 00:00:57.000]   Let us begin this show. Whatever it might be, whatever it may turn out to be.
[00:00:57.000 --> 00:01:01.000]   This is Mac Break Weekly with the largest cast ever assembled.
[00:01:01.000 --> 00:01:05.000]   A cast so big, we had to fill a stadium.
[00:01:05.000 --> 00:01:10.000]   Starting, I'm going to do this in Skype order, which means totally randomly.
[00:01:10.000 --> 00:01:16.000]   Andy Ennaco from the Chicago Times, "Suntimes" or "Tuntimes" or "Fun Times".
[00:01:16.000 --> 00:01:21.000]   Unfortunately, the guy who is supposed to register the "Suntimes" domain let it lapse.
[00:01:21.000 --> 00:01:23.000]   So we had to register something similar.
[00:01:23.000 --> 00:01:24.000]   So update your bookmarks.
[00:01:24.000 --> 00:01:26.000]   It's now "Tuntimes.com".
[00:01:26.000 --> 00:01:31.000]   I think "Suntimes.com" goes to some sort of like organic nut in the Berry Farm.
[00:01:31.000 --> 00:01:32.000]   He's joking, kids.
[00:01:32.000 --> 00:01:40.000]   I should just warn everybody as we probably should have done last week before the FSK CY incident,
[00:01:40.000 --> 00:01:43.000]   that anything you hear on this show you should not do.
[00:01:43.000 --> 00:01:48.000]   You should not believe it is all a hoax.
[00:01:48.000 --> 00:01:53.000]   Merlin Mann, Mr. FSCK-FY. Hello, Merlin Mann.
[00:01:53.000 --> 00:01:58.000]   I got a note from a friend who literally turned his Mac into a Bologna.
[00:01:58.000 --> 00:02:00.000]   He's FSCK.
[00:02:00.000 --> 00:02:02.000]   And now he has a large piece of deli meat.
[00:02:02.000 --> 00:02:06.000]   My Bologna, he has a first name, it's FSCK-FY.
[00:02:06.000 --> 00:02:08.000]   Thank you, Merlin.
[00:02:08.000 --> 00:02:09.000]   Merlin's at 43folders.com.
[00:02:09.000 --> 00:02:14.000]   Also here is Scott Born from the Born Ultimatum, the Born Supremacy,
[00:02:14.000 --> 00:02:19.000]   but more importantly, Padango, GirlsGongiq.TV and the ApplephoneShow.com.
[00:02:19.000 --> 00:02:20.000]   Hello, Scott Born.
[00:02:20.000 --> 00:02:23.000]   I am so excited to show all about Geezer.
[00:02:23.000 --> 00:02:25.000]   Finally, I get to shine.
[00:02:25.000 --> 00:02:26.000]   No, no, no.
[00:02:26.000 --> 00:02:27.000]   Weez-weezer.
[00:02:27.000 --> 00:02:28.000]   Weezer?
[00:02:28.000 --> 00:02:29.000]   Weezer?
[00:02:29.000 --> 00:02:30.000]   Who is we?
[00:02:30.000 --> 00:02:31.000]   It's Weezer.
[00:02:31.000 --> 00:02:32.000]   I thought it was all about Geezer's old guys.
[00:02:32.000 --> 00:02:34.000]   I thought it was time for me to really get to shine.
[00:02:34.000 --> 00:02:35.000]   Never mind.
[00:02:35.000 --> 00:02:37.000]   What's all this about Geezer's?
[00:02:37.000 --> 00:02:38.000]   Alex Lindsay.
[00:02:38.000 --> 00:02:41.000]   Alex Lindsay's also here from the Pixel Core, but I want...
[00:02:41.000 --> 00:02:42.000]   Hello, Alex.
[00:02:42.000 --> 00:02:43.000]   Hello.
[00:02:43.000 --> 00:02:45.000]   Oh, see now your T1 sounds great.
[00:02:45.000 --> 00:02:46.000]   Oh, doesn't seem to...
[00:02:46.000 --> 00:02:47.000]   We just need to...
[00:02:47.000 --> 00:02:48.000]   We wired it.
[00:02:48.000 --> 00:02:49.000]   Yeah, exactly.
[00:02:49.000 --> 00:02:50.000]   We're not even...
[00:02:50.000 --> 00:02:55.000]   But our biggest, most exciting person here on the panel, I am so thrilled to welcome.
[00:02:55.000 --> 00:02:57.000]   The drummer from Weezer, Mr. Patrick Wilson.
[00:02:57.000 --> 00:02:58.000]   Patrick, hello, welcome.
[00:02:58.000 --> 00:02:59.000]   Thank you very much.
[00:02:59.000 --> 00:03:00.000]   How's everyone?
[00:03:00.000 --> 00:03:01.000]   Doesn't he sound warm?
[00:03:01.000 --> 00:03:03.000]   It's that two...
[00:03:03.000 --> 00:03:05.000]   That's the proximity effect on the mic here.
[00:03:05.000 --> 00:03:06.000]   And the tube amp.
[00:03:06.000 --> 00:03:07.000]   Yeah.
[00:03:07.000 --> 00:03:09.000]   You're actually going through a tube amp?
[00:03:09.000 --> 00:03:11.000]   I'm actually going through an...
[00:03:11.000 --> 00:03:17.000]   A vintage channel strip out of a quad-eight console with transformers, so that's why it's
[00:03:17.000 --> 00:03:18.000]   so smooth.
[00:03:18.000 --> 00:03:19.000]   Wow.
[00:03:19.000 --> 00:03:20.000]   It's a little bit of a cool thing.
[00:03:20.000 --> 00:03:21.000]   It's a little bit of a cool thing.
[00:03:21.000 --> 00:03:22.000]   It's a little bit of a cool thing.
[00:03:22.000 --> 00:03:23.000]   It's a little bit of a cool thing.
[00:03:23.000 --> 00:03:24.000]   It's a little bit of a cool thing.
[00:03:24.000 --> 00:03:25.000]   It's a little bit of a cool thing.
[00:03:25.000 --> 00:03:26.000]   It's a little bit of a cool thing.
[00:03:26.000 --> 00:03:27.000]   It's a little bit of a cool thing.
[00:03:27.000 --> 00:03:28.000]   It's a little bit of a cool thing.
[00:03:28.000 --> 00:03:29.000]   It's a little bit of a cool thing.
[00:03:29.000 --> 00:03:30.000]   It's a little bit of a cool thing.
[00:03:30.000 --> 00:03:31.000]   It's a little bit of a cool thing.
[00:03:31.000 --> 00:03:32.000]   It's a little bit of a cool thing.
[00:03:32.000 --> 00:03:33.000]   It's a little bit of a cool thing.
[00:03:33.000 --> 00:03:34.000]   It's a little bit of a cool thing.
[00:03:34.000 --> 00:03:35.000]   It's a little bit of a cool thing.
[00:03:35.000 --> 00:03:36.000]   It's a little bit of a cool thing.
[00:03:36.000 --> 00:03:37.000]   It's a little bit of a cool thing.
[00:03:37.000 --> 00:03:44.000]   It's a little bit of a cool thing.
[00:03:44.000 --> 00:03:47.000]   It's a little bit of a cool thing.
[00:03:47.000 --> 00:03:48.000]   It's a little bit of a cool thing.
[00:03:48.000 --> 00:03:49.000]   It's a little bit of a cool thing.
[00:03:49.000 --> 00:03:50.000]   It's a little bit of a cool thing.
[00:03:50.000 --> 00:03:51.000]   It's a little bit of a cool thing.
[00:03:51.000 --> 00:03:52.000]   It's a little bit of a cool thing.
[00:03:52.000 --> 00:03:53.000]   It's a little bit of a cool thing.
[00:03:53.000 --> 00:03:54.000]   It's a little bit of a cool thing.
[00:03:54.000 --> 00:03:55.000]   It's a little bit of a cool thing.
[00:03:55.000 --> 00:03:56.000]   It's a little bit of a cool thing.
[00:03:56.000 --> 00:03:57.000]   It's a little bit of a cool thing.
[00:03:57.000 --> 00:03:58.000]   It's a little bit of a cool thing.
[00:03:58.000 --> 00:03:59.000]   It's a little bit of a cool thing.
[00:03:59.000 --> 00:04:00.000]   It's a little bit of a cool thing.
[00:04:00.000 --> 00:04:01.000]   It's a little bit of a cool thing.
[00:04:01.000 --> 00:04:02.000]   It's a little bit of a cool thing.
[00:04:02.000 --> 00:04:03.000]   It's a little bit of a cool thing.
[00:04:03.000 --> 00:04:08.000]   It's a little bit of a cool thing.
[00:04:08.000 --> 00:04:09.000]   It's a little bit of a cool thing.
[00:04:09.000 --> 00:04:10.000]   It's a little bit of a cool thing.
[00:04:10.000 --> 00:04:11.000]   It's a little bit of a cool thing.
[00:04:11.000 --> 00:04:12.000]   It's a little bit of a cool thing.
[00:04:12.000 --> 00:04:13.000]   It's a little bit of a cool thing.
[00:04:13.000 --> 00:04:14.000]   It's a little bit of a cool thing.
[00:04:14.000 --> 00:04:15.000]   It's a little bit of a cool thing.
[00:04:15.000 --> 00:04:16.000]   It's a little bit of a cool thing.
[00:04:16.000 --> 00:04:17.000]   It's a little bit of a cool thing.
[00:04:17.000 --> 00:04:18.000]   It's a little bit of a cool thing.
[00:04:18.000 --> 00:04:19.000]   It's a little bit of a cool thing.
[00:04:19.000 --> 00:04:20.000]   It's a little bit of a cool thing.
[00:04:20.000 --> 00:04:21.000]   It's a little bit of a cool thing.
[00:04:21.000 --> 00:04:22.000]   It's a little bit of a cool thing.
[00:04:22.000 --> 00:04:23.000]   It's a little bit of a cool thing.
[00:04:23.000 --> 00:04:24.000]   It's a little bit of a cool thing.
[00:04:24.000 --> 00:04:25.000]   It's a little bit of a cool thing.
[00:04:25.000 --> 00:04:32.000]   It's a little bit of a cool thing.
[00:04:32.000 --> 00:04:39.000]   It's a little bit of a cool thing.
[00:04:39.000 --> 00:04:46.000]   It's a little bit of a cool thing.
[00:04:46.000 --> 00:04:53.000]   It's a little bit of a cool thing.
[00:04:53.000 --> 00:04:54.000]   It's a little bit of a cool thing.
[00:04:54.000 --> 00:04:55.000]   It's a little bit of a cool thing.
[00:04:55.000 --> 00:04:56.000]   It's a little bit of a cool thing.
[00:04:56.000 --> 00:04:57.000]   It's a little bit of a cool thing.
[00:04:57.000 --> 00:04:58.000]   It's a little bit of a cool thing.
[00:04:58.000 --> 00:04:59.000]   It's a little bit of a cool thing.
[00:04:59.000 --> 00:05:00.000]   It's a little bit of a cool thing.
[00:05:00.000 --> 00:05:01.000]   It's a little bit of a cool thing.
[00:05:01.000 --> 00:05:02.000]   It's a little bit of a cool thing.
[00:05:02.000 --> 00:05:03.000]   It's a little bit of a cool thing.
[00:05:03.000 --> 00:05:04.000]   It's a little bit of a cool thing.
[00:05:04.000 --> 00:05:05.000]   It's a little bit of a cool thing.
[00:05:05.000 --> 00:05:06.000]   It's a little bit of a cool thing.
[00:05:06.000 --> 00:05:07.000]   It's a little bit of a cool thing.
[00:05:07.000 --> 00:05:08.000]   It's a little bit of a cool thing.
[00:05:08.000 --> 00:05:09.000]   It's a little bit of a cool thing.
[00:05:09.000 --> 00:05:10.000]   It's a little bit of a cool thing.
[00:05:10.000 --> 00:05:11.000]   It's a little bit of a cool thing.
[00:05:11.000 --> 00:05:18.000]   It's a little bit of a cool thing.
[00:05:18.000 --> 00:05:25.000]   It's a little bit of a cool thing.
[00:05:25.000 --> 00:05:32.000]   It's a little bit of a cool thing.
[00:05:32.000 --> 00:05:39.000]   It's a little bit of a cool thing.
[00:05:39.000 --> 00:05:40.000]   It's a little bit of a cool thing.
[00:05:40.000 --> 00:05:41.000]   It's a little bit of a cool thing.
[00:05:41.000 --> 00:05:42.000]   It's a little bit of a cool thing.
[00:05:42.000 --> 00:05:43.000]   It's a little bit of a cool thing.
[00:05:43.000 --> 00:05:44.000]   It's a little bit of a cool thing.
[00:05:44.000 --> 00:05:45.000]   It's a little bit of a cool thing.
[00:05:45.000 --> 00:05:46.000]   It's a little bit of a cool thing.
[00:05:46.000 --> 00:05:47.000]   It's a little bit of a cool thing.
[00:05:47.000 --> 00:05:48.000]   It's a little bit of a cool thing.
[00:05:48.000 --> 00:05:49.000]   It's a little bit of a cool thing.
[00:05:49.000 --> 00:05:50.000]   It's a little bit of a cool thing.
[00:05:50.000 --> 00:05:51.000]   It's a little bit of a cool thing.
[00:05:51.000 --> 00:05:52.000]   It's a little bit of a cool thing.
[00:05:52.000 --> 00:05:53.000]   It's a little bit of a cool thing.
[00:05:53.000 --> 00:05:54.000]   It's a little bit of a cool thing.
[00:05:54.000 --> 00:05:55.000]   It's a little bit of a cool thing.
[00:05:55.000 --> 00:05:56.000]   It's a little bit of a cool thing.
[00:05:56.000 --> 00:05:57.000]   It's a little bit of a cool thing.
[00:05:57.000 --> 00:06:23.000]   It's a little bit of a cool thing.
[00:06:23.000 --> 00:06:30.000]   It's a little bit of a cool thing.
[00:06:30.000 --> 00:06:38.000]   It's a little bit of a cool thing.
[00:06:38.000 --> 00:06:45.000]   It's a little bit of a cool thing.
[00:06:45.000 --> 00:06:52.000]   It's a little bit of a cool thing.
[00:06:52.000 --> 00:06:56.000]   It's a little bit of a cool thing.
[00:06:56.000 --> 00:07:00.000]   It's a little bit of a cool thing.
[00:07:00.000 --> 00:07:07.000]   It's a little bit of a cool thing.
