;FFMETADATA1
album=MacBreak Weekly April 2008
artist=Alex Lindsay, Andy Ihnatko, Ron Brinkman, and John Foster
comment=http://twit.tv/mbw84
genre=Podcast
title=MacBreak Weekly 84: Lederhosen
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:33.000]   This is MacBreak Weekly, episode 84 for April 9th, 2008.
[00:00:33.000 --> 00:00:35.000]   Later, Hosen.
[00:00:35.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:52.000]   And by listeners like you, thanks for your donations.
[00:00:52.000 --> 00:00:56.000]   And yes, it's another week of MacBreak Weekly.
[00:00:56.000 --> 00:00:59.000]   As you would expect, given that it says it's called Weekly,
[00:00:59.000 --> 00:01:03.000]   we are spread out once again all over the United States.
[00:01:03.000 --> 00:01:05.000]   Not the world this time, but the United States.
[00:01:05.000 --> 00:01:06.000]   This is Alex Lindsey.
[00:01:06.000 --> 00:01:10.000]   I'm once again in for Leo and from New York or Boston.
[00:01:10.000 --> 00:01:11.000]   Sorry, Boston.
[00:01:11.000 --> 00:01:12.000]   We have Andy and I go, Andy.
[00:01:12.000 --> 00:01:14.000]   Hey, are there other?
[00:01:14.000 --> 00:01:15.000]   [ Laughter ]
[00:01:15.000 --> 00:01:17.000]   And I'm sorry, I'm sorry.
[00:01:17.000 --> 00:01:18.000]   I'm in Colorado.
[00:01:18.000 --> 00:01:20.000]   The altitude is 55,412 feet.
[00:01:20.000 --> 00:01:23.000]   I have an under-clocked CPU wise mentally
[00:01:23.000 --> 00:01:24.000]   because of the lack of oxygen.
[00:01:24.000 --> 00:01:26.000]   So I have a little extra interesting this time.
[00:01:26.000 --> 00:01:28.000]   Where are you in Colorado?
[00:01:28.000 --> 00:01:30.000]   University of Colorado at Boulder at the conference
[00:01:30.000 --> 00:01:32.000]   on World Affairs, believe it or not.
[00:01:32.000 --> 00:01:33.000]   Oh, I'm so jealous.
[00:01:33.000 --> 00:01:35.000]   I used to live in Boulder.
[00:01:35.000 --> 00:01:37.000]   Later on, I'll tell you before I did it with last night,
[00:01:37.000 --> 00:01:39.000]   and then you'll be sick with jealousy.
[00:01:39.000 --> 00:01:41.000]   Oh, I'm already jealous.
[00:01:41.000 --> 00:01:42.000]   I love Boulder.
[00:01:42.000 --> 00:01:45.000]   Boulder, 27 square miles surrounded by reality.
[00:01:45.000 --> 00:01:47.000]   [ Laughter ]
[00:01:47.000 --> 00:01:48.000]   From Hermosa.
[00:01:48.000 --> 00:01:49.000]   Hermosa.
[00:01:49.000 --> 00:01:51.000]   See, I can't even get it right when I get it.
[00:01:51.000 --> 00:01:56.000]   Hermosa.
[00:01:56.000 --> 00:01:59.000]   Hey, and even though I'm not actually located in San Francisco,
[00:01:59.000 --> 00:02:02.000]   I've built myself a scale model of the Golden Gate Bridge
[00:02:02.000 --> 00:02:04.000]   out of spare iPods and Firewire cables,
[00:02:04.000 --> 00:02:07.000]   and I've hung up free-to-bet banner from it down here.
[00:02:07.000 --> 00:02:08.000]   [ Laughter ]
[00:02:08.000 --> 00:02:11.000]   I just -- I'm just getting word from the Chinese embassy.
[00:02:11.000 --> 00:02:13.000]   Yes, they are backing down.
[00:02:13.000 --> 00:02:14.000]   Well done!
[00:02:14.000 --> 00:02:15.000]   [ Laughter ]
[00:02:15.000 --> 00:02:16.000]   Thank you.
[00:02:16.000 --> 00:02:19.000]   We just needed Ron to put his iPods to positive action.
[00:02:19.000 --> 00:02:20.000]   Exactly.
[00:02:20.000 --> 00:02:23.000]   Now, Ron, this is your first time on Macbreak, right?
[00:02:23.000 --> 00:02:24.000]   Yeah, I think it is.
[00:02:24.000 --> 00:02:25.000]   Yeah, I think it is.
[00:02:25.000 --> 00:02:26.000]   I think it is.
[00:02:26.000 --> 00:02:27.000]   Great to be here.
[00:02:27.000 --> 00:02:30.000]   Can you give people a little of your background so they know why
[00:02:30.000 --> 00:02:31.000]   you're here?
[00:02:31.000 --> 00:02:32.000]   [ Laughter ]
[00:02:32.000 --> 00:02:33.000]   As to why.
[00:02:33.000 --> 00:02:34.000]   That's rather existential.
[00:02:34.000 --> 00:02:39.000]   But, I mean, my background's in visual effects and that sort of stuff.
[00:02:39.000 --> 00:02:41.000]   And photography as well.
[00:02:41.000 --> 00:02:44.000]   And for those of you that haven't yet caught the This Week
[00:02:44.000 --> 00:02:48.000]   in Photography podcast that Alex and Scott Born and I
[00:02:48.000 --> 00:02:50.000]   and a few others do.
[00:02:50.000 --> 00:02:53.000]   That's mostly where you'll hear me on the ether these days.
[00:02:53.000 --> 00:02:58.000]   And you also -- you had a stint with a company in Cupertino, right?
[00:02:58.000 --> 00:03:01.000]   Yeah, I guess I'm actually one of the rare guests that's actually worked
[00:03:01.000 --> 00:03:03.000]   for Apple at one point in time.
[00:03:03.000 --> 00:03:05.000]   I was acquired by Apple.
[00:03:05.000 --> 00:03:09.000]   We had a little small software company for doing visual effects software
[00:03:09.000 --> 00:03:11.000]   called Shake, which you probably heard of.
[00:03:11.000 --> 00:03:12.000]   I know you guys use it.
[00:03:12.000 --> 00:03:15.000]   And that was acquired by Apple many years ago.
[00:03:15.000 --> 00:03:19.000]   And I did my tour of duty at Apple after we were acquired.
[00:03:19.000 --> 00:03:21.000]   But I've been out of there for about a year now.
[00:03:21.000 --> 00:03:25.000]   So I can say all kinds of bad things about them and hopefully not
[00:03:25.000 --> 00:03:27.000]   a terrible retribution.
[00:03:27.000 --> 00:03:29.000]   Also here in the studio, we've got John Foster.
[00:03:29.000 --> 00:03:30.000]   Hey, John.
[00:03:30.000 --> 00:03:31.000]   I have one question.
[00:03:31.000 --> 00:03:32.000]   Yeah.
[00:03:32.000 --> 00:03:34.000]   What's Andy and not code doing on This Week in Media?
[00:03:34.000 --> 00:03:38.000]   It's everybody hears from that show.
[00:03:38.000 --> 00:03:40.000]   It wasn't more -- it was a more twin-like news.
[00:03:40.000 --> 00:03:42.000]   We have more twin-like guests.
[00:03:42.000 --> 00:03:46.000]   I've decided that before I'm 40, I want to be on every podcast,
[00:03:46.000 --> 00:03:48.000]   ever recorded everywhere.
[00:03:48.000 --> 00:03:52.000]   And this week in the conference, I've made a lot of leaps toward that goal
[00:03:52.000 --> 00:03:55.000]   because everybody has an iPod with a Belkin microphone attached to it
[00:03:55.000 --> 00:03:57.000]   and I've been asked to say things into it.
[00:03:57.000 --> 00:04:01.000]   What is the conference about?
[00:04:01.000 --> 00:04:03.000]   It's really cool.
[00:04:03.000 --> 00:04:05.000]   It started in about 60 years.
[00:04:05.000 --> 00:04:07.000]   This is the 60th time this has been run.
[00:04:07.000 --> 00:04:10.000]   It started off as a way to bamboozled the university into paying
[00:04:10.000 --> 00:04:15.000]   to have Eleanor Roosevelt flown out here to get a talk to the students.
[00:04:15.000 --> 00:04:18.000]   So they turned him down the request for her to be a speaker initially.
[00:04:18.000 --> 00:04:20.000]   But then when some clever history professors said,
[00:04:20.000 --> 00:04:25.000]   "Well, what if we have a week-long conference on World Affairs, let's call it?"
[00:04:25.000 --> 00:04:28.000]   And which we bring 100 people from all different professional disciplines
[00:04:28.000 --> 00:04:31.000]   to talk about issues of the day in a public forum for the --
[00:04:31.000 --> 00:04:34.000]   used to recall a Colorado campus community and Boulder community.
[00:04:34.000 --> 00:04:35.000]   Would that work?
[00:04:35.000 --> 00:04:37.000]   Then they wrote them a check.
[00:04:37.000 --> 00:04:39.000]   So it was cool.
[00:04:39.000 --> 00:04:44.000]   I mean, just during lunch, I was at a table and the director of the SETI Institute
[00:04:44.000 --> 00:04:48.000]   was talking to Dave Grewson about what kind of music dogs would compose
[00:04:48.000 --> 00:04:50.000]   if they could compose music.
[00:04:50.000 --> 00:04:54.000]   So you have a lot of conversations that you just aren't going to have alone
[00:04:54.000 --> 00:04:56.000]   in my house watching TV.
[00:04:56.000 --> 00:04:57.000]   That's for sure.
[00:04:57.000 --> 00:05:00.000]   Now, the question is from a Mac break point of view, of course,
[00:05:00.000 --> 00:05:04.000]   was there a high Mac content at the show?
[00:05:04.000 --> 00:05:07.000]   I'm here, so that's definitely true.
[00:05:07.000 --> 00:05:12.000]   I've done a lot of iPhone troubleshooting and people talking to people
[00:05:12.000 --> 00:05:16.000]   about my Mac Air here, people who want long to touch it and have long to buy one,
[00:05:16.000 --> 00:05:18.000]   but haven't actually seen one.
[00:05:18.000 --> 00:05:20.000]   James Randy got an iPhone.
[00:05:20.000 --> 00:05:22.000]   He's writing about it for the Wall Street Journal, I think.
[00:05:22.000 --> 00:05:26.000]   So we've been talking about the lack of button and the lack of voice dialing
[00:05:26.000 --> 00:05:29.000]   that he wishes -- the features that he wishes has had.
[00:05:29.000 --> 00:05:31.000]   I mean, it's Apple, man.
[00:05:31.000 --> 00:05:33.000]   It's a college campus, so the Apple logo is everywhere.
[00:05:33.000 --> 00:05:36.000]   Yeah, I've been noticing as I travel, especially in airports,
[00:05:36.000 --> 00:05:39.000]   the Mac content is very high.
[00:05:39.000 --> 00:05:43.000]   So that and when you log on to Pittsburgh International Airport,
[00:05:43.000 --> 00:05:46.000]   I was there over last weekend.
[00:05:46.000 --> 00:05:53.000]   There were at least 20, I think I counted 26 people with their Wi-Fi open,
[00:05:53.000 --> 00:05:58.000]   and I actually made a little text document and I would just drop it into their desktop.
[00:05:58.000 --> 00:06:02.000]   Yeah, that's the -- every time I come to a college campus,
[00:06:02.000 --> 00:06:05.000]   I had to sort of bastard-proof this computer, like, okay, everything --
[00:06:05.000 --> 00:06:08.000]   every port, shut it down, every piece of software, disable it.
[00:06:08.000 --> 00:06:12.000]   Don't set mail so it doesn't automatically launch itself when I open up the lid.
[00:06:12.000 --> 00:06:13.000]   It's like, oh, jeez.
[00:06:13.000 --> 00:06:18.000]   You really have to -- I mean, it's amazing because Pittsburgh has an open free Wi-Fi,
[00:06:18.000 --> 00:06:21.000]   and you really realize people bought the laptops,
[00:06:21.000 --> 00:06:23.000]   didn't really think of closing it down, work at the office,
[00:06:23.000 --> 00:06:26.000]   put the, you know, just say, share and not think about it.
[00:06:26.000 --> 00:06:28.000]   And I was amazed.
[00:06:28.000 --> 00:06:30.000]   There were six computers that were open that were literally --
[00:06:30.000 --> 00:06:32.000]   I could just go right to their desktop.
[00:06:32.000 --> 00:06:34.000]   Isn't that like -- screw the desktop.
[00:06:34.000 --> 00:06:38.000]   Isn't the fun part, you know, going to iTunes and see what shared libraries are available?
[00:06:38.000 --> 00:06:42.000]   I just -- listening to some 60, 70-year-old man's, like, music library or something like --
[00:06:42.000 --> 00:06:46.000]   No, no, no, no, no one was sharing their photo or iTunes.
[00:06:46.000 --> 00:06:49.000]   And now what I did, of course, is I had this little text document that said,
[00:06:49.000 --> 00:06:52.000]   you know, whether you know it or not, your computer's opened.
[00:06:52.000 --> 00:06:54.000]   You know, I'm leaving this on your desktop.
[00:06:54.000 --> 00:06:56.000]   You should probably shut it down.
[00:06:56.000 --> 00:06:59.000]   So that was the -- my little warning there for people like --
[00:06:59.000 --> 00:07:01.000]   I was waiting for a flight and had nothing better to do.
[00:07:01.000 --> 00:07:02.000]   So the --
[00:07:02.000 --> 00:07:04.000]   It's nothing to freak out the squares.
[00:07:04.000 --> 00:07:05.000]   Yeah, exactly.
[00:07:05.000 --> 00:07:06.000]   Exactly.
[00:07:06.000 --> 00:07:08.000]   You know, that's a good thing you didn't do that in Florida, Alex,
[00:07:08.000 --> 00:07:11.000]   because you would have been arrested for computer trespassing.
[00:07:11.000 --> 00:07:12.000]   I'm sure.
[00:07:12.000 --> 00:07:13.000]   There's that law there.
[00:07:13.000 --> 00:07:14.000]   Is that -- is that a law there?
[00:07:14.000 --> 00:07:15.000]   Yeah, there's a law there.
[00:07:15.000 --> 00:07:16.000]   Yeah.
[00:07:16.000 --> 00:07:17.000]   Well, not in Pittsburgh.
[00:07:17.000 --> 00:07:20.000]   I'd be more concerned about the concealed carry law than any, like, eavesdropping laws.
[00:07:20.000 --> 00:07:23.000]   Don't do that in Texas, for instance.
[00:07:23.000 --> 00:07:25.000]   Yeah, exactly, exactly.
[00:07:25.000 --> 00:07:28.000]   Yeah, well, the person got to figure out who's leaving the note, you know, so --
[00:07:28.000 --> 00:07:29.000]   Yeah, the --
[00:07:29.000 --> 00:07:32.000]   Now, in the news, we have Apple.
[00:07:32.000 --> 00:07:33.000]   It is official.
