;FFMETADATA1
album=MacBreak Weekly April 2008
artist=Leo Laporte, Merlin Mann, and Andy Ihnatko
comment=http://twit.tv/mbw85
genre=Podcast
title=MacBreak Weekly 85: You Look Mac Today
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.640]   [ Music ]
[00:00:10.640 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACHEFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.920]   >> This is Mac Break Weekly, episode 85 for April 16, 2008.
[00:00:34.920 --> 00:00:38.840]   You look Mac today.
[00:00:38.840 --> 00:00:42.120]   Mac Break Weekly is brought to you by audible.com.
[00:00:42.120 --> 00:00:47.880]   For your free audio book, visit audible.com/macbreak.
[00:00:47.880 --> 00:00:50.400]   And by listeners like you.
[00:00:50.400 --> 00:00:52.400]   Thanks for your donations.
[00:00:52.400 --> 00:00:53.400]   >> Okay, rock a ball.
[00:00:53.400 --> 00:00:54.400]   >> It's time to--
[00:00:54.400 --> 00:00:56.920]   [ Laughter ]
[00:00:56.920 --> 00:01:00.440]   >> Oh, I've been gone two weeks and my timing's off.
[00:01:00.440 --> 00:01:01.880]   That's all.
[00:01:01.880 --> 00:01:03.880]   It's time--
[00:01:03.880 --> 00:01:04.880]   >> It's amazing.
[00:01:04.880 --> 00:01:05.880]   [ Laughter ]
[00:01:05.880 --> 00:01:08.880]   >> It's time for Mac Break Weekly, episode 85.
[00:01:08.880 --> 00:01:13.240]   And I've been gone for two weeks.
[00:01:13.240 --> 00:01:18.680]   Thank you to Mr. Lindsey who held down the fort and now he's gone at NAB, the National
[00:01:18.680 --> 00:01:21.760]   Association of Broadcasters, where Apple is also gone.
[00:01:21.760 --> 00:01:23.040]   I don't know why he went there.
[00:01:23.040 --> 00:01:26.000]   Well, I guess because he, you know, is interested in broadcasting stuff.
[00:01:26.000 --> 00:01:27.400]   That's where Scott Morn is as well.
[00:01:27.400 --> 00:01:32.800]   But fortunately, the comedy duo, the comedy stylings of Merlin Mann and Andy Inako are
[00:01:32.800 --> 00:01:34.280]   here.
[00:01:34.280 --> 00:01:36.080]   And I'm just going to sit back and enjoy.
[00:01:36.080 --> 00:01:37.680]   Merlin Mann has a new podcast.
[00:01:37.680 --> 00:01:39.480]   We'll talk about that.
