;FFMETADATA1
album=MacBreak Weekly May 2008
artist=Leo Laporte, Scott Bourne, Liana Lehua, Andy Ihnatko, Merlin Mann, and Alex Lindsay
comment=http://twit.tv/mbw91
genre=Podcast
title=MacBreak Weekly 91: Monocle Pete's Magic Yacht Wax
date=2008

[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.800]   Netcast you love.
[00:00:05.800 --> 00:00:07.600]   From people you trust.
[00:00:07.600 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:12.700]   This is Detroit.
[00:00:12.700 --> 00:00:14.300]   [ Music ]
[00:00:14.300 --> 00:00:17.200]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.200 --> 00:00:21.800]   cashfly@cachiefly.com.
[00:00:21.800 --> 00:00:29.100]   [ Music ]
[00:00:29.100 --> 00:00:34.800]   This is Mac Break Weekly, episode 91 for May 28, 2008.
[00:00:34.800 --> 00:00:37.100]   Monocle Pete's Magic Yacht Wax.
[00:00:37.100 --> 00:00:40.600]   [ Music ]
[00:00:40.600 --> 00:00:43.900]   Mac Break Weekly is brought to you by Audible.com.
[00:00:43.900 --> 00:00:49.900]   For your free audio book, visit Audible.com/MacBreak.
[00:00:49.900 --> 00:00:54.100]   And by Drobo, the intelligent automated data storage device.
[00:00:54.100 --> 00:00:57.100]   To learn more and receive an instant $50 off your own Drobo,
[00:00:57.100 --> 00:01:00.500]   visit Drobo.com/MacBreak.
[00:01:00.500 --> 00:01:03.000]   And by, listeners like you.
[00:01:03.000 --> 00:01:05.800]   Thanks for your donations.
[00:01:05.800 --> 00:01:09.600]   It's time for Mac Break Weekly and boy is this a big panel today.
[00:01:09.600 --> 00:01:12.100]   Mostly because Scott Born is eating my chocolate.
[00:01:12.100 --> 00:01:13.400]   It's getting bigger every moment.
[00:01:13.400 --> 00:01:15.400]   How do you like that chocolate?
[00:01:15.400 --> 00:01:16.700]   That's a good chocolate.
[00:01:16.700 --> 00:01:18.500]   Scott Born, I've lured him up here.
[00:01:18.500 --> 00:01:20.900]   And not only worked really well because I offered him chocolate
[00:01:20.900 --> 00:01:23.500]   and all of a sudden, Liana LaHue came up as well.
[00:01:23.500 --> 00:01:24.500]   From Girls' Gunky.
[00:01:24.500 --> 00:01:25.500]   I didn't heard there was going to be chocolate.
[00:01:25.500 --> 00:01:26.500]   I had to be here.
[00:01:26.500 --> 00:01:27.500]   I had chocolate.
[00:01:27.500 --> 00:01:30.500]   Those two are in studio with me and also here via Skype.
[00:01:30.500 --> 00:01:34.500]   We've got Andy Enoco who is avoiding the big wood chipper in his backyard.
[00:01:34.500 --> 00:01:37.500]   Yes, those of you who have been praying for a vacation from the birds.
[00:01:37.500 --> 00:01:45.500]   It was next door neighbor operating a huge, like, last act of Fargo scale wood chipper in the backyard.
[00:01:45.500 --> 00:01:49.500]   That has driven me inside here to the spare bedroom of my mom's house.
[00:01:49.500 --> 00:01:52.500]   You know what's funny is the guy, house wrote me.
[00:01:52.500 --> 00:01:54.500]   The guy you were calling house last episode.
