;FFMETADATA1
album=MacBreak Weekly June 2008
artist=Leo Laporte, Andy Ihnatko, Chris Breen, Scott Bourne, and Daniel Eran Dilger
comment=http://twit.tv/mbw94
genre=Podcast
title=MacBreak Weekly 94: SproutCore
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.640]   [ Music ]
[00:00:10.640 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACAGFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.600]   >> This is Mac Break Weekly, episode 94 for June 18, 2008.
[00:00:34.600 --> 00:00:36.600]   Sprout Corps.
[00:00:36.600 --> 00:00:40.600]   [ Music ]
[00:00:40.600 --> 00:00:43.920]   >> Mac Break Weekly is brought to you by Audible.com.
[00:00:43.920 --> 00:00:49.920]   For your free audio book, visit Audible.com/MacBreak.
[00:00:49.920 --> 00:00:54.160]   And by Drobo, the intelligent automated data storage device.
[00:00:54.160 --> 00:00:57.160]   To learn more and receive an instant $50 off your own Drobo,
[00:00:57.160 --> 00:01:00.520]   visit Drobo.com/MacBreak.
[00:01:00.520 --> 00:01:03.000]   And by, listeners like you.
[00:01:03.000 --> 00:01:05.800]   Thanks for your donations.
[00:01:05.800 --> 00:01:08.200]   It's time for Mac Break Weekly, ladies and gentlemen,
[00:01:08.200 --> 00:01:12.520]   the show where we discuss, dissect, and analyze every last tidbit
[00:01:12.520 --> 00:01:16.560]   of morsel of information or non-information about Apple
[00:01:16.560 --> 00:01:18.720]   and Macintosh we can ever get our hands on.
[00:01:18.720 --> 00:01:21.600]   And we've got a great team of people to do that for you this week,
[00:01:21.600 --> 00:01:25.120]   starting with Andy and not co from Boston.
[00:01:25.120 --> 00:01:26.320]   Hello, Andy.
[00:01:26.320 --> 00:01:27.680]   >> Hello, Leo.
[00:01:27.680 --> 00:01:28.720]   Please ignore the pounding.
[00:01:28.720 --> 00:01:30.680]   It's that telltale heart, you know.
[00:01:30.680 --> 00:01:32.040]   Just ignore it.
[00:01:32.040 --> 00:01:33.400]   It'll go away on its own.
[00:01:33.400 --> 00:01:34.520]   >> Yeah, break it up.
[00:01:34.520 --> 00:01:36.480]   Y'all just cement it in.
[00:01:36.480 --> 00:01:39.000]   It just keeps on ticking, doesn't it?
