;FFMETADATA1
album=MacBreak Weekly July 2008
artist=Leo Laporte, Andy Ihnatko, Chris Breen, Scott Bourne, and Daniel Eran Dilger
comment=http://twit.tv/mbw96
genre=Podcast
title=MacBreak Weekly 96: iReady
date=2008

[00:00:00.000 --> 00:00:03.800]   [ Sound Effects ]
[00:00:03.800 --> 00:00:05.800]   Netcast you love.
[00:00:05.800 --> 00:00:07.800]   From people you trust.
[00:00:07.800 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:12.800]   This is Detroit.
[00:00:12.800 --> 00:00:14.300]   [ Music ]
[00:00:14.300 --> 00:00:17.200]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.200 --> 00:00:21.800]   cashfly@cachafly.com.
[00:00:21.800 --> 00:00:29.100]   [ Music ]
[00:00:29.100 --> 00:00:34.100]   This is Mac Break Weekly, episode 96, for July 2, 2008.
[00:00:34.100 --> 00:00:35.100]   I Ready!
[00:00:35.100 --> 00:00:38.600]   [ Music ]
[00:00:38.600 --> 00:00:42.100]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.100 --> 00:00:47.600]   For your free audio book, visit Audible.com/MacBreak.
[00:00:47.600 --> 00:00:50.100]   And by listeners like you.
[00:00:50.100 --> 00:00:52.100]   Thanks for your donations.
[00:00:52.100 --> 00:00:54.100]   This is Mac Break Weekly.
[00:00:54.100 --> 00:00:57.600]   We are gathered round once again to discuss all things Macintosh.
[00:00:57.600 --> 00:01:02.380]   And I am so glad you are here today joining us in studio, Mr. Alex Lindsey of the Pixel
[00:01:02.380 --> 00:01:03.380]   Core.
[00:01:03.380 --> 00:01:04.380]   Hello.
[00:01:04.380 --> 00:01:05.380]   Hey Alex.
[00:01:05.380 --> 00:01:07.940]   Pixel Core.com, Pixel Core.tv for the podcasts.
[00:01:07.940 --> 00:01:09.660]   And we are going to see a lot more of you I think.
[00:01:09.660 --> 00:01:10.660]   Yes.
[00:01:10.660 --> 00:01:11.660]   I hope anyway.
[00:01:11.660 --> 00:01:12.660]   This week and next week at least.
[00:01:12.660 --> 00:01:15.980]   But we are looking at places where wandering around Petaluma.
[00:01:15.980 --> 00:01:19.380]   I have offered Alex a stool in the corner.
[00:01:19.380 --> 00:01:21.020]   Right by the fire.
[00:01:21.020 --> 00:01:22.020]   Right by the fire.
[00:01:22.020 --> 00:01:23.020]   That was the key.
[00:01:23.020 --> 00:01:25.220]   I wasn't sure until I knew I could be near a fire.
[00:01:25.220 --> 00:01:27.060]   You will be right next to the fire.
[00:01:27.060 --> 00:01:33.680]   So on the horn as it were we have Mr. Scott Born on the horn from his special studio.
[00:01:33.680 --> 00:01:34.680]   Hello.
[00:01:34.680 --> 00:01:35.680]   Hello.
[00:01:35.680 --> 00:01:36.680]   Hi there.
[00:01:36.680 --> 00:01:37.680]   Hi there.
[00:01:37.680 --> 00:01:38.680]   Our day to go labs.
[00:01:38.680 --> 00:01:39.680]   Scottborn.com is one place to go.
[00:01:39.680 --> 00:01:41.120]   That's the best place to go to find everything.
[00:01:41.120 --> 00:01:44.940]   We are going to run over to Twipp Photo where me and Alex do this weekend photography.
[00:01:44.940 --> 00:01:46.440]   Oh yeah, I love this week.
[00:01:46.440 --> 00:01:50.560]   In fact we were talking before the show began about you're going Nikon.
[00:01:50.560 --> 00:01:51.560]   I made.
[00:01:51.560 --> 00:01:52.860]   That's a shocker, Scott Born.
[00:01:52.860 --> 00:01:55.760]   After like 17 years I made the switch.
[00:01:55.760 --> 00:01:56.760]   Wow.
[00:01:56.760 --> 00:02:02.620]   This sort of, this was such big news that you served the Obama campaign fighting with the
[00:02:02.620 --> 00:02:07.740]   McCain campaign over who's a better general.
[00:02:07.740 --> 00:02:09.980]   That's how huge this story is.
[00:02:09.980 --> 00:02:10.980]   It's that big.
[00:02:10.980 --> 00:02:11.980]   It's so big.
[00:02:11.980 --> 00:02:14.340]   We'll tune to Twipp for more about why you made that.
[00:02:14.340 --> 00:02:16.180]   We're going to have an in-depth discussion.
[00:02:16.180 --> 00:02:17.740]   I'm sure Fred is going to needle me.
[00:02:17.740 --> 00:02:19.700]   Fred's going to give you a little therapy session.
[00:02:19.700 --> 00:02:20.900]   Actually Fred's a Nikon guy, right?
[00:02:20.900 --> 00:02:21.900]   Yeah.
[00:02:21.900 --> 00:02:22.900]   We're slowly becoming on Nikon.
[00:02:22.900 --> 00:02:25.420]   I mean I'm, you're not a Nikon guy.
[00:02:25.420 --> 00:02:26.580]   I'm on my way.
[00:02:26.580 --> 00:02:27.580]   I'm going to test.
[00:02:27.580 --> 00:02:30.560]   I'm going to test Scott's and then I'm going to see if I think Scott was crazy then I'll
[00:02:30.560 --> 00:02:33.840]   stick with my Canon but I have a feeling that by the end of August I could end up in the
[00:02:33.840 --> 00:02:34.840]   Nikon.
[00:02:34.840 --> 00:02:36.200]   I already made the Nikon Canon switch.
[00:02:36.200 --> 00:02:37.800]   I can't switch back.
[00:02:37.800 --> 00:02:39.240]   I've spent so much money on lenses.
[00:02:39.240 --> 00:02:40.480]   It's not going to do it.
[00:02:40.480 --> 00:02:42.480]   It's not going to happen.
[00:02:42.480 --> 00:02:44.880]   Scott's selling all his lenses though.
[00:02:44.880 --> 00:02:46.680]   Everything sold except one lens.
[00:02:46.680 --> 00:02:50.080]   I sold like $20,000 with a gear in four hours yesterday.
[00:02:50.080 --> 00:02:52.280]   But did you make it back?
[00:02:52.280 --> 00:02:53.280]   Did you let me, you lost someone.
[00:02:53.280 --> 00:02:54.280]   Oh heck no.
[00:02:54.280 --> 00:02:55.280]   I took a huge loss.
[00:02:55.280 --> 00:02:56.280]   That's the problem.
[00:02:56.280 --> 00:03:00.240]   But you know it's like I was always going to take a huge loss if I made the switch.
[00:03:00.240 --> 00:03:04.600]   I just felt like I really wasn't getting what I needed out of the Canon system.
[00:03:04.600 --> 00:03:06.360]   Nikon jumped ahead in my opinion.
[00:03:06.360 --> 00:03:07.560]   I can switch back if I can.
[00:03:07.560 --> 00:03:08.560]   Canon's coming back.
[00:03:08.560 --> 00:03:12.240]   And by the way you know these are both, the Nikon chip is a Sony chip.
[00:03:12.240 --> 00:03:13.560]   We're not going to do a chip here.
[00:03:13.560 --> 00:03:16.920]   But Sony is going to do the same thing with what is it?
[00:03:16.920 --> 00:03:19.080]   22 megapixels or 29 or something like that.
[00:03:19.080 --> 00:03:20.080]   I know.
[00:03:20.080 --> 00:03:21.400]   You know we're just good.
[00:03:21.400 --> 00:03:22.400]   Yeah.
[00:03:22.400 --> 00:03:24.240]   Also here Mr. Merlin Man.
[00:03:24.240 --> 00:03:25.240]   Hello Merlin Man.
[00:03:25.240 --> 00:03:26.240]   Hello.
[00:03:26.240 --> 00:03:27.240]   How are you today?
[00:03:27.240 --> 00:03:29.240]   From the fabulous, I'm fantastic Merlin.
[00:03:29.240 --> 00:03:30.240]   I have now.
[00:03:30.240 --> 00:03:31.560]   You sound clear.
[00:03:31.560 --> 00:03:33.720]   You sound like you got a big wide open space.
[00:03:33.720 --> 00:03:35.840]   You sound like you got Alex nearby.
[00:03:35.840 --> 00:03:36.840]   It sounds great.
[00:03:36.840 --> 00:03:37.840]   I did.
[00:03:37.840 --> 00:03:42.840]   I'm wearing, you know that little tape that they wear on their noses so that they, so
[00:03:42.840 --> 00:03:44.240]   you can have a better breathing.
[00:03:44.240 --> 00:03:45.240]   I'm using that now.
[00:03:45.240 --> 00:03:46.640]   Oh you breathe right.
[00:03:46.640 --> 00:03:47.920]   Can you tell the breathe right strip?
[00:03:47.920 --> 00:03:49.400]   Can you tell it's in play?
[00:03:49.400 --> 00:03:50.400]   Terrific.
[00:03:50.400 --> 00:03:51.400]   You sound like you're breathing freely.
[00:03:51.400 --> 00:03:52.520]   I am breathing freely.
[00:03:52.520 --> 00:03:57.680]   You look nice today is the place to go for Mr. Man's fabulous podcast.
[00:03:57.680 --> 00:03:58.920]   You know why I'm happy today?
[00:03:58.920 --> 00:04:01.000]   I have finally caught up.
[00:04:01.000 --> 00:04:04.000]   I've listened to every show.
[00:04:04.000 --> 00:04:07.120]   I can now be part of the in crowd when you do in jokes.
[00:04:07.120 --> 00:04:08.120]   I know.
[00:04:08.120 --> 00:04:09.120]   Yeah.
[00:04:09.120 --> 00:04:11.200]   You and your four friends.
[00:04:11.200 --> 00:04:12.200]   You're four.
[00:04:12.200 --> 00:04:17.680]   No you have a big community because when you, you know, like when you did the snare thing,
[00:04:17.680 --> 00:04:23.640]   the snare size thing, the newest exercise sensation sweep in the nation, there's some
[00:04:23.640 --> 00:04:26.240]   great submissions to Flickr of snare posters.
[00:04:26.240 --> 00:04:31.680]   A lot of people who are program or shut-ins and they're looking for a pick off, just really
[00:04:31.680 --> 00:04:35.080]   take up the top 400 pounds so they can get out.
[00:04:35.080 --> 00:04:38.800]   They're very, very hungry at this point and they need a way to just take up enough to
[00:04:38.800 --> 00:04:43.880]   get out, be able to get on like a rascal or maybe two rascals and be able to get some
[00:04:43.880 --> 00:04:45.360]   place where they got like powdered donuts.
[00:04:45.360 --> 00:04:46.360]   So we're helping.
[00:04:46.360 --> 00:04:48.320]   Well, you succeeded.
[00:04:48.320 --> 00:04:51.880]   I think that's really good snare.
[00:04:51.880 --> 00:04:56.120]   And also with us today, I'm very pleased to say Andy Enoco, the Chicago Sun-Time.
[00:04:56.120 --> 00:05:00.480]   Somehow the rain seems to be trickling off in beautiful places.
[00:05:00.480 --> 00:05:05.000]   Well, that's actually very good news here, Leo, because here at the Tonga room with the
[00:05:05.000 --> 00:05:10.000]   hotel, Falmermont in San Francisco, the rain signals that the bandstand has pulled out
[00:05:10.000 --> 00:05:14.200]   into the lagoon and we're about to be favored with Polynesian favorites.
[00:05:14.200 --> 00:05:28.640]   I love the Tonga room.
[00:05:28.640 --> 00:05:34.640]   I used to go there to watch a radio show that KSOFO used to do, it's a Friday afternoon
[00:05:34.640 --> 00:05:36.380]   show there with Buddy Hatton.
[00:05:36.380 --> 00:05:38.280]   I love that.
[00:05:38.280 --> 00:05:42.360]   It's not the cheapest Pad Thai you will ever eat, but it's definitely an experience that
[00:05:42.360 --> 00:05:43.920]   you should have at least once in life.
[00:05:43.920 --> 00:05:47.800]   But did they turn off the rain while you were there doing the radio show?
[00:05:47.800 --> 00:05:51.040]   No, it comes every, what is it, every hour or something like that?
[00:05:51.040 --> 00:05:55.800]   Every hour on the hour, the rain starts, it fills the pool, then the boat comes out of
[00:05:55.800 --> 00:06:00.920]   the lagoon, they fly their set, and then the rain starts again, signaling that God has
[00:06:00.920 --> 00:06:03.240]   been displeased by this play of music.
[00:06:03.240 --> 00:06:04.240]   The band receives!
[00:06:04.240 --> 00:06:05.240]   The band receives!
[00:06:05.240 --> 00:06:08.920]   Exactly, it goes out of the lagoon and into its little parking spot.
[00:06:08.920 --> 00:06:12.920]   It's like talking about a giant Polynesian cuckoo clock.
[00:06:12.920 --> 00:06:15.720]   Exactly, it's like a life-sized cuckoo clock.
[00:06:15.720 --> 00:06:20.160]   The rain that was preceded, I think the waiter goes in the back and he flips the light switches
[00:06:20.160 --> 00:06:23.040]   on and off because it's preceded by lightning and thunder.
[00:06:23.040 --> 00:06:25.280]   That's right, lightning and thunder makes it.
[00:06:25.280 --> 00:06:26.760]   There's lightning and thunder.
[00:06:26.760 --> 00:06:30.120]   No, no, this is a class act, they actually have strobe lights.
[00:06:30.120 --> 00:06:34.480]   Also want to welcome Jeff Smith, I'm really pleased to have Jeff here.
[00:06:34.480 --> 00:06:37.160]   Jeff is a musician from Nashville, Tennessee.
[00:06:37.160 --> 00:06:39.040]   You probably, I know you've heard his stuff.
[00:06:39.040 --> 00:06:42.240]   He's the guy who did "I'm a Twit" which is one of my favorite songs we played all the
[00:06:42.240 --> 00:06:43.240]   time.
[00:06:43.240 --> 00:06:47.040]   In fact, Jeff has become the closing theme for the Twit Live production.
[00:06:47.040 --> 00:06:48.800]   That is so awesome.
[00:06:48.800 --> 00:06:49.800]   Hello everybody.
[00:06:49.800 --> 00:06:54.920]   I play it and then I leave the cameras on and I slowly turn out all the closed curtains,
[00:06:54.920 --> 00:06:58.320]   lock the windows, turn out the lights and then wander off.
[00:06:58.320 --> 00:07:00.320]   It's that type of song, right?
[00:07:00.320 --> 00:07:03.360]   It's a cozy kind of, it's kind of pathetic really.
[00:07:03.360 --> 00:07:07.960]   It's like, I feel like the clown, who's the clown that sweeps his way off the stage?
[00:07:07.960 --> 00:07:09.960]   Anyway, I'm a Kelly.
[00:07:09.960 --> 00:07:10.960]   Hey!
[00:07:10.960 --> 00:07:11.960]   It's nasty.
[00:07:11.960 --> 00:07:18.160]   Anyways, good to have you Jeff's new album, "1s and 0s" came out yesterday.
[00:07:18.160 --> 00:07:19.160]   Where do we go to?
[00:07:19.160 --> 00:07:22.480]   Do go to the JeffSmith.com, V. JeffSmith.com to get that?
[00:07:22.480 --> 00:07:25.640]   You go to the JeffSmith.com, I just made a post about it.
[00:07:25.640 --> 00:07:30.040]   Actually, one of my other projects, Ringtone Feeder, I'm actually using that platform to
[00:07:30.040 --> 00:07:34.360]   deliver this record since everything was all set up there.
[00:07:34.360 --> 00:07:37.160]   So I'm launching it there at Ringtone Feeder.com.
[00:07:37.160 --> 00:07:40.120]   We'll talk more about that later in the show and I want to ask you how you do that because
[00:07:40.120 --> 00:07:44.120]   Ringtone Feeder is kind of needed, hooks into iTunes so that you automatically get Ringtones
[00:07:44.120 --> 00:07:45.120]   into your iTunes.
[00:07:45.120 --> 00:07:47.600]   It's different and crazy and fun.
[00:07:47.600 --> 00:07:49.240]   Yeah, I want to know how you do that.
[00:07:49.240 --> 00:07:50.520]   It's really cool.
[00:07:50.520 --> 00:07:52.600]   So we'll talk more about that.
[00:07:52.600 --> 00:07:55.720]   We should get to the Mac news of the day because gosh knows.
[00:07:55.720 --> 00:08:00.560]   There's not much to talk about and if we start now, we might be done before lunch.
[00:08:00.560 --> 00:08:02.920]   Big story I guess and I'll let you take the lead on this.
[00:08:02.920 --> 00:08:09.720]   Mr. Scott Born is AT&T finally coming out with some prices there.
[00:08:09.720 --> 00:08:12.920]   Yes, and the news is not all good.
[00:08:12.920 --> 00:08:14.560]   In fact, it's pretty uniformly bad.
[00:08:14.560 --> 00:08:15.560]   But it could be worse.
[00:08:15.560 --> 00:08:17.320]   We could be in Canada.
[00:08:17.320 --> 00:08:25.000]   Yeah, I got to say that if anybody recalls back when we started this iPhone madness about
[00:08:25.000 --> 00:08:29.600]   year and a half ago, I always said that I thought the weakest link in this deal was the
[00:08:29.600 --> 00:08:35.160]   AT&T participation and that's certainly proving itself right now because they released the
[00:08:35.160 --> 00:08:36.160]   pricing.
[00:08:36.160 --> 00:08:41.360]   I'm sorry, I mean, it's not that people can't afford it, but I just think they're kind
[00:08:41.360 --> 00:08:42.360]   of gouging.
[00:08:42.360 --> 00:08:44.720]   They're not including Annie.
[00:08:44.720 --> 00:08:48.200]   I don't know.
[00:08:48.200 --> 00:08:50.480]   Is it hailing now, Andy, where you are?
[00:08:50.480 --> 00:08:51.480]   Is that actual hail?
[00:08:51.480 --> 00:08:53.760]   Hitting the tin roof of your pull-up?
[00:08:53.760 --> 00:08:59.000]   Yes, yes, but I'm going to stay at my post here reporting here at the end of the iPhone
[00:08:59.000 --> 00:09:00.880]   line in Boston, Massachusetts.
[00:09:00.880 --> 00:09:03.600]   I don't know.
[00:09:03.600 --> 00:09:07.880]   How many people are in line now one week before the iPhone comes out, Andy?
[00:09:07.880 --> 00:09:13.160]   Back to you and the cozy custom made downtown San Francisco studio with a cooler full of
[00:09:13.160 --> 00:09:16.360]   sodas and tapas and all that kinds of stuff.
[00:09:16.360 --> 00:09:17.360]   Hey, that reminds me.
[00:09:17.360 --> 00:09:20.000]   Hey, can we have an IQ or brain tonic in here?
[00:09:20.000 --> 00:09:21.000]   Thank you.
[00:09:21.000 --> 00:09:23.080]   Okay, wait a minute.
[00:09:23.080 --> 00:09:24.080]   Is that real?
[00:09:24.080 --> 00:09:25.080]   Yeah, that's real.
[00:09:25.080 --> 00:09:29.640]   I thought that he was actually at the conquer room.
[00:09:29.640 --> 00:09:33.320]   It sounds like a sis-admin that just had way too much at it all.
[00:09:33.320 --> 00:09:35.240]   It's a just crazy typing noise.
[00:09:35.240 --> 00:09:36.840]   I thought that was typing.
[00:09:36.840 --> 00:09:38.840]   It sounds like the VORAC's keyboard.
[00:09:38.840 --> 00:09:39.840]   Thank you.
[00:09:39.840 --> 00:09:43.120]   This is my dedication to this show, everybody.
[00:09:43.120 --> 00:09:46.080]   If you were here, Andy, I'd give you one of these notes.
[00:09:46.080 --> 00:09:47.080]   God, cool.
[00:09:47.080 --> 00:09:51.120]   That was one of those like thunderclaps that happens right when the lightning comes down.
[00:09:51.120 --> 00:09:52.680]   Oh, god.
[00:09:52.680 --> 00:09:54.680]   Time for brain tonic.
[00:09:54.680 --> 00:09:58.080]   Anyway, I think you'd pick a job with UPS maybe.
[00:09:58.080 --> 00:09:59.080]   I don't know.
[00:09:59.080 --> 00:10:03.800]   I'm going to put it on mute so you guys can talk.
[00:10:03.800 --> 00:10:10.000]   It was quiet for a minute and all of a sudden it's like we got dwarves hammering in the
[00:10:10.000 --> 00:10:11.000]   mountainside.
[00:10:11.000 --> 00:10:16.280]   I feel like perhaps what was happening was that God was mad at the charging for the SMS
[00:10:16.280 --> 00:10:17.720]   text minutes on the new iPhone.
[00:10:17.720 --> 00:10:21.640]   Now, so, okay, let's get back to the news.
[00:10:21.640 --> 00:10:27.160]   Now that Gato Dama wrong has passed over, AT&T put out some videos.
[00:10:27.160 --> 00:10:28.160]   Yeah.
[00:10:28.160 --> 00:10:30.800]   In which they explained all this.
[00:10:30.800 --> 00:10:34.560]   Yeah, and they also have a little PDF file which you can download.
[00:10:34.560 --> 00:10:37.320]   We have a copy of it at applephoneshow.com.
[00:10:37.320 --> 00:10:41.680]   But I don't need no spanking video to know they're charging me more for text messages
[00:10:41.680 --> 00:10:47.400]   than they were and that you got to pay $5 a month minimum whereas it used to be bundled
[00:10:47.400 --> 00:10:48.400]   in the deal.
[00:10:48.400 --> 00:10:53.320]   You also have to pay $18 which is basically just sort of like some guy sat in a boardroom
[00:10:53.320 --> 00:10:58.720]   and said I want an extra $18 so charge him that to do an upgrade.
[00:10:58.720 --> 00:11:02.680]   And so now we're starting to get to the point where originally we're talking about this
[00:11:02.680 --> 00:11:05.040]   being about 40 bucks over the life of the contract.
[00:11:05.040 --> 00:11:06.520]   Now it's a lot more, isn't it?
[00:11:06.520 --> 00:11:11.560]   No, it's getting to be quite a bit more and I'm not feeling it.
[00:11:11.560 --> 00:11:12.560]   What can I say?
[00:11:12.560 --> 00:11:18.040]   First of all, I should say the $18 for the upgrade is that's cheaper than the $36 activation
[00:11:18.040 --> 00:11:19.640]   that they charge to new users.
[00:11:19.640 --> 00:11:21.120]   So they're giving you a break of $18.
[00:11:21.120 --> 00:11:22.840]   Yeah, but you're already a customer.
[00:11:22.840 --> 00:11:23.840]   You need to charge you anything.
[00:11:23.840 --> 00:11:25.880]   Let me just finish this one point here.
[00:11:25.880 --> 00:11:29.800]   I mean, first of all, as I've said a long time, I don't care about GPS right now.
[00:11:29.800 --> 00:11:34.240]   Now I realize I may change my tune if there's some apps that do cool push stuff to the GPS
[00:11:34.240 --> 00:11:40.120]   but right now I don't care about that and I don't need 3G because I live in the cloud.
[00:11:40.120 --> 00:11:42.120]   I'm wondering if I'm even going to upgrade.
[00:11:42.120 --> 00:11:45.120]   That would shock the conscious of the nation but I may not.
[00:11:45.120 --> 00:11:47.640]   Let's watch some of those fine AT&T videos.
[00:11:47.640 --> 00:11:51.080]   Here's some customers in the AT&T storage.
[00:11:51.080 --> 00:11:56.320]   My Larry Meyer for AT&T was some important news for customers new to AT&T about how to
[00:11:56.320 --> 00:11:59.920]   be ready to buy an iPhone 3G beginning at two days.
[00:11:59.920 --> 00:12:00.920]   Oh, please.
[00:12:00.920 --> 00:12:01.920]   Global time Friday July.
[00:12:01.920 --> 00:12:03.880]   How to be ready to buy an iPhone.
[00:12:03.880 --> 00:12:05.040]   What do they think?
[00:12:05.040 --> 00:12:06.520]   This is crazy.
[00:12:06.520 --> 00:12:09.080]   Steve's got to be going crazy.
[00:12:09.080 --> 00:12:11.320]   This is exactly what Steve hates the most.
[00:12:11.320 --> 00:12:12.320]   Yeah.
[00:12:12.320 --> 00:12:13.240]   Is anyone else actually talking in public?
[00:12:13.240 --> 00:12:14.240]   I think that's the...
[00:12:14.240 --> 00:12:16.920]   Well, we do know now it's 8 a.m.
[00:12:16.920 --> 00:12:17.920]   Right.
[00:12:17.920 --> 00:12:20.920]   I think I'm raising a lot of the phone companies have struggled.
[00:12:20.920 --> 00:12:26.200]   It's not because they've made a substantially underpowered product with a lot of bad apps.
[00:12:26.200 --> 00:12:31.840]   It's because I think really historically people have not been prepared to buy.
[00:12:31.840 --> 00:12:33.840]   I think a lot of times people go in there and they're kind of confused.
[00:12:33.840 --> 00:12:35.000]   What do I do?
[00:12:35.000 --> 00:12:36.680]   Will I need money?
[00:12:36.680 --> 00:12:40.600]   Will the phone be like this as a phone?
[00:12:40.600 --> 00:12:42.400]   What do I do?
[00:12:42.400 --> 00:12:44.400]   I don't understand.
[00:12:44.400 --> 00:12:45.920]   They get picked up guys.
[00:12:45.920 --> 00:12:47.240]   You guys are haters.
[00:12:47.240 --> 00:12:49.920]   I think really to get people ready for the experience you've got to explain that there's
[00:12:49.920 --> 00:12:52.520]   a store and you need to come in and get a phone.
[00:12:52.520 --> 00:12:55.880]   Oh, but actually they do need to prepare people because you need to bring documentation
[00:12:55.880 --> 00:12:56.880]   with you.
[00:12:56.880 --> 00:12:57.880]   Oh, really?
[00:12:57.880 --> 00:12:58.880]   Oh, there's paperwork involved.
[00:12:58.880 --> 00:13:00.720]   You've got to bring stuff with you.
[00:13:00.720 --> 00:13:02.560]   Now they also, I noticed, they picked a guy.
[00:13:02.560 --> 00:13:03.560]   I don't know.
[00:13:03.560 --> 00:13:05.560]   Is this a smudge under his lip or does he have...
[00:13:05.560 --> 00:13:07.880]   If he got everybody talking about this, they're waving his hands around.
[00:13:07.880 --> 00:13:08.880]   Yeah.
[00:13:08.880 --> 00:13:12.480]   He also looks like he's got one of them hipster soul tab fans.
[00:13:12.480 --> 00:13:16.200]   The first thing to remember is there's no benefit to switching your service prior to
[00:13:16.200 --> 00:13:17.200]   July 11th.
[00:13:17.200 --> 00:13:18.200]   Okay.
[00:13:18.200 --> 00:13:19.200]   Everybody remember that?
[00:13:19.200 --> 00:13:20.200]   There is no benefit.
[00:13:20.200 --> 00:13:21.200]   You've got to bring that.
[00:13:21.200 --> 00:13:22.200]   It'll be a test after the show.
[00:13:22.200 --> 00:13:23.200]   So everybody be happy.
[00:13:23.200 --> 00:13:26.840]   Sometimes helping you prepare is telling you to prepare to not do something before you're
[00:13:26.840 --> 00:13:27.840]   supposed to do it.
[00:13:27.840 --> 00:13:29.840]   That's part of the process.
[00:13:29.840 --> 00:13:30.840]   Really.
[00:13:30.840 --> 00:13:31.840]   Preparing to not be prepared.
[00:13:31.840 --> 00:13:35.800]   Sometimes what you want to do is sometimes telling them what first not to do.
[00:13:35.800 --> 00:13:37.840]   A little AT&T is the fans.
[00:13:37.840 --> 00:13:40.960]   I think that what they're trying to do is there's no other phone that has long lines
[00:13:40.960 --> 00:13:41.960]   that build up.
[00:13:41.960 --> 00:13:44.920]   And they are now requiring activation in stores.
[00:13:44.920 --> 00:13:45.920]   You can't walk out of the store.
[00:13:45.920 --> 00:13:49.160]   So people being confused or not having what they need will greatly reduce the number
[00:13:49.160 --> 00:13:54.160]   of the everybody's experience.
[00:13:54.160 --> 00:13:56.520]   And you can only buy one phone.
[00:13:56.520 --> 00:13:57.520]   One phone.
[00:13:57.520 --> 00:13:58.520]   Well here's the deal.
[00:13:58.520 --> 00:14:01.640]   They say you can buy three but they have to be activated at a time.
[00:14:01.640 --> 00:14:02.640]   Oh yeah.
[00:14:02.640 --> 00:14:03.960]   I don't know how then.
[00:14:03.960 --> 00:14:08.000]   I talked to some people at the Apple store and they said yeah the net effect is Scott
[00:14:08.000 --> 00:14:11.640]   you can come in and buy one phone and activate it.
[00:14:11.640 --> 00:14:16.080]   And then somebody else can come in with you and buy a phone with you and activate it.
[00:14:16.080 --> 00:14:19.040]   It was kind of really bizarre the way they tried to explain it to me.
[00:14:19.040 --> 00:14:21.560]   I bought like 11 of them last time.
[00:14:21.560 --> 00:14:24.440]   I can only buy one apparently.
[00:14:24.440 --> 00:14:27.520]   This is not a good AT&T please.
[00:14:27.520 --> 00:14:32.000]   I mean what you want to do is make your product really hard to get.
[00:14:32.000 --> 00:14:34.360]   That's marketing 101.
[00:14:34.360 --> 00:14:35.360]   If you want you can.
[00:14:35.360 --> 00:14:36.360]   Hey good news.
[00:14:36.360 --> 00:14:41.040]   If you don't if you want to buy an iPhone and not activate it they will sell it to you
[00:14:41.040 --> 00:14:47.120]   have 599 for the 8 gigabyte 699 for the 16 gigabyte model.
[00:14:47.120 --> 00:14:53.120]   So you pay the full price and these no contract phones won't be available on July 11th.
[00:14:53.120 --> 00:14:54.880]   They don't say exactly when they'll be available.
[00:14:54.880 --> 00:14:55.880]   They'll be offered.
[00:14:55.880 --> 00:14:57.840]   But here's a hint.
[00:14:57.840 --> 00:14:59.120]   Just go ahead and buy it.
[00:14:59.120 --> 00:15:04.480]   Sign the contract and then terminate pay the $175 early cheaper.
[00:15:04.480 --> 00:15:06.720]   And if you've saved 200 bucks and you got an unlocked phone.
[00:15:06.720 --> 00:15:08.680]   Aren't you glad you listened to the show today ladies and gentlemen.
[00:15:08.680 --> 00:15:10.680]   You could have watched that stupid AT&T video.
[00:15:10.680 --> 00:15:12.000]   But no.
[00:15:12.000 --> 00:15:15.240]   Is that an unlocked phone or you're just on the hardware.
[00:15:15.240 --> 00:15:19.360]   Well it's it's I think there's not the eight the phone right it just means that you're
[00:15:19.360 --> 00:15:23.520]   free from that to your contract that if you decide to that right back and they're not
[00:15:23.520 --> 00:15:26.480]   offering go phones as far as I know they're not offering a pay as you go plan.
[00:15:26.480 --> 00:15:30.720]   Andy couldn't you then just drop a T mobile sim in that phone and make it work.
[00:15:30.720 --> 00:15:32.840]   But it wouldn't it wouldn't be unlocked.
[00:15:32.840 --> 00:15:37.840]   All you're buying for as far as now I have to explain that I've been rereading and rereading
[00:15:37.840 --> 00:15:42.720]   these terms and also and literally saying okay now let's see what apple insider has to say
[00:15:42.720 --> 00:15:45.760]   about it does to see if they interpreted the same way that I do.
[00:15:45.760 --> 00:15:49.520]   The way that I interpret the language that they have there is that for the extra amount
