;FFMETADATA1
album=MacBreak Weekly July 2008
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and Merlin Mann
comment=http://twit.tv/mbw98
genre=Podcast
title=MacBreak Weekly 98: Never Gonna Give You Up
date=2008

[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.680]   This is Detroit.
[00:00:12.680 --> 00:00:14.280]   [ Music ]
[00:00:14.280 --> 00:00:17.120]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.120 --> 00:00:21.760]   cashfly@cachafly.com.
[00:00:21.760 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.360]   This is Mac Break Weekly, Episode 98, for July 16, 2008.
[00:00:34.360 --> 00:00:36.360]   Never gonna give you up.
[00:00:36.360 --> 00:00:38.840]   [ Music ]
[00:00:38.840 --> 00:00:42.080]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.080 --> 00:00:47.920]   For your free audio book, visit Audible.com/MacBreak.
[00:00:47.920 --> 00:00:52.160]   And by Drobo, the intelligent automated data storage device.
[00:00:52.160 --> 00:00:55.120]   To learn more and receive an instant $50 off your own Drobo,
[00:00:55.120 --> 00:00:58.280]   visit Drobo.com/MacBreak.
[00:00:58.280 --> 00:01:00.880]   And by, listeners like you.
[00:01:00.880 --> 00:01:02.880]   Thanks for your donations.
[00:01:02.880 --> 00:01:05.480]   It's time for Mac Break Weekly and a big shoe.
[00:01:05.480 --> 00:01:08.160]   A really big shoe, finally after weeks.
[00:01:08.160 --> 00:01:09.960]   My name months.
[00:01:09.960 --> 00:01:12.760]   Yeah, years of anticipation.
[00:01:12.760 --> 00:01:17.160]   iPhone 3G is finally out and Scott Born is triumphant.
[00:01:17.160 --> 00:01:20.120]   He is with us from the Apple phone show.
[00:01:20.120 --> 00:01:23.560]   Also here, Andy Ennaco, who's happy because his new book
[00:01:23.560 --> 00:01:24.840]   is soon to be out.
[00:01:24.840 --> 00:01:27.160]   Does it come out at the same time, Andy?
[00:01:27.160 --> 00:01:28.160]   Ah, yes.
[00:01:28.160 --> 00:01:29.160]   We're on.
[00:01:29.160 --> 00:01:34.280]   Fortunately, there was, or bad news for me, bad news for my sleep schedule.
[00:01:34.280 --> 00:01:38.120]   There was such demand for it that it's been crashed on the schedule.
[00:01:38.120 --> 00:01:42.640]   So I'm spending the entire month writing the update to iPhone fully loaded.
[00:01:42.640 --> 00:01:46.880]   So basically, I've already tossed one chapter that got rewritten last week because of a
[00:01:46.880 --> 00:01:47.880]   cool new app.
[00:01:47.880 --> 00:01:49.120]   So that's okay.
[00:01:49.120 --> 00:01:50.120]   Onward and upward.
[00:01:50.120 --> 00:01:52.360]   Well, I think we'll be talking a lot about the iPhone today, including apps.
[00:01:52.360 --> 00:01:53.840]   And Mr. Merlin Mann is here as well.
[00:01:53.840 --> 00:01:54.840]   Hello, Merlin from...
[00:01:54.840 --> 00:01:55.840]   Hello, Leo.
[00:01:55.840 --> 00:01:56.840]   How are you today?
[00:01:56.840 --> 00:01:59.960]   I'm a couple of folders and you look nice today.
[00:01:59.960 --> 00:02:03.640]   And Alex Lindsay has a week off because he's teaching this week.
[00:02:03.640 --> 00:02:06.280]   So how many of you got 3G's?
[00:02:06.280 --> 00:02:07.280]   We got one at the show.
[00:02:07.280 --> 00:02:08.480]   I didn't get one personally.
[00:02:08.480 --> 00:02:09.480]   You didn't.
[00:02:09.480 --> 00:02:10.480]   You just upgraded your old?
[00:02:10.480 --> 00:02:12.120]   No, I'm not upgrading my old.
[00:02:12.120 --> 00:02:13.120]   Oh, interesting.
[00:02:13.120 --> 00:02:14.120]   Why not?
[00:02:14.120 --> 00:02:18.880]   Well, because I've got about 20 million emails from listeners going, "Hey, I upgraded my 1.0
[00:02:18.880 --> 00:02:20.560]   iPhone and it doesn't work.
[00:02:20.560 --> 00:02:23.440]   And now I can't make cold to my grandma and can you help me?"
[00:02:23.440 --> 00:02:25.440]   That would be a bad thing.
[00:02:25.440 --> 00:02:30.840]   Yeah, I'm tired of taking that risk because this is my only phone.
[00:02:30.840 --> 00:02:32.360]   I don't even have a phone in my condo.
[00:02:32.360 --> 00:02:33.360]   I rely on my phone.
[00:02:33.360 --> 00:02:36.960]   So we got a brand new one, which we've tried just fine.
[00:02:36.960 --> 00:02:41.520]   But we've heard everything from the upgrade to a 2.0 went flawless for some of the original
[00:02:41.520 --> 00:02:44.880]   iPhone owners down to, "Hey, it's still a brick, so I'm just not going to take that
[00:02:44.880 --> 00:02:45.880]   chance."
[00:02:45.880 --> 00:02:46.880]   Yeah, I'll blame you.
[00:02:46.880 --> 00:02:48.640]   Andy, did you get the one Apple had promised you?
[00:02:48.640 --> 00:02:52.120]   Yes, I'm holding an Apple Apple phone right now.
[00:02:52.120 --> 00:02:53.320]   It is next to...
[00:02:53.320 --> 00:02:55.400]   It's designated phone number three.
[00:02:55.400 --> 00:02:58.240]   I'm using my band-a-lear of iPhones.
[00:02:58.240 --> 00:03:01.000]   Probably I'll be buying one my own next week or the week after.
[00:03:01.000 --> 00:03:03.880]   I still don't have my own SIM card in Apple's phone.
[00:03:03.880 --> 00:03:04.880]   I can't use...
[00:03:04.880 --> 00:03:08.040]   I really can't use their phone for my calls.
[00:03:08.040 --> 00:03:09.840]   But I'm waiting for the lines to thin out.
[00:03:09.840 --> 00:03:15.600]   And also for a reason why I really want to be back in a mall in July.
[00:03:15.600 --> 00:03:16.600]   And Merlin, what are you doing?
[00:03:16.600 --> 00:03:18.680]   Are you upgrading to stick with your old phone?
[00:03:18.680 --> 00:03:20.400]   How are you going to handle this?
[00:03:20.400 --> 00:03:23.120]   Yeah, I don't think it's going to happen.
[00:03:23.120 --> 00:03:26.480]   Everything that I want is working great with the 2.0.
[00:03:26.480 --> 00:03:28.960]   So you did upgrade to 2.0?
[00:03:28.960 --> 00:03:29.960]   Oh, absolutely.
[00:03:29.960 --> 00:03:30.960]   I got in early.
[00:03:30.960 --> 00:03:36.040]   I got in before everything broke on Friday and was able to reactivate before the surf
[00:03:36.040 --> 00:03:38.640]   feet of other people tried to reactivate.
[00:03:38.640 --> 00:03:42.240]   Were you using a legitimate 2.0 or did you use that pre-release quote?
[00:03:42.240 --> 00:03:43.240]   Say legitimate.
[00:03:43.240 --> 00:03:48.200]   No, I was on the one comma two version and then rolled back to one comma one after everything
[00:03:48.200 --> 00:03:50.200]   calmed down.
[00:03:50.200 --> 00:03:54.080]   So anyway, but I... it's like a champ and...
[00:03:54.080 --> 00:04:00.640]   No, there's just too many not that great things about the new phone, including the line.
[00:04:00.640 --> 00:04:04.560]   But no, everything I've won is thrilled by the 2.0 upgrade.
[00:04:04.560 --> 00:04:08.680]   It seems that a lot of the people that upgraded early Leo are the ones that are doing okay.
