;FFMETADATA1
album=MacBreak Weekly July 2008
artist=Leo Laporte, Merlin Mann, Arnold Kim, and Andy Ihnatko
comment=http://twit.tv/mbw99
genre=Podcast
title=MacBreak Weekly 99: Free The Fruits
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:14.320]   >> This is Detroit.
[00:00:14.320 --> 00:00:18.120]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:18.120 --> 00:00:21.760]   at CACHEFLY.com.
[00:00:21.760 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.720]   >> This is Mac Break Weekly, episode 99 for July 23rd, 2008.
[00:00:34.720 --> 00:00:36.760]   Free the fruits.
[00:00:36.760 --> 00:00:38.880]   [ Music ]
[00:00:38.880 --> 00:00:42.160]   >> Mac Break Weekly is brought to you by Audible.com.
[00:00:42.160 --> 00:00:47.960]   For your free audio book, visit Audible.com/MacBreak.
[00:00:47.960 --> 00:00:49.960]   [ Music ]
[00:00:49.960 --> 00:00:54.200]   And by Drobo, the intelligent automated data storage device.
[00:00:54.200 --> 00:00:57.200]   To learn more and receive an instant $50 off your own Drobo,
[00:00:57.200 --> 00:01:00.600]   visit Drobo.com/MacBreak.
[00:01:00.600 --> 00:01:02.560]   [ Music ]
[00:01:02.560 --> 00:01:04.320]   And by Visa.
[00:01:04.320 --> 00:01:06.280]   We all have things we like to think about.
[00:01:06.280 --> 00:01:08.920]   Online fraud shouldn't be one of them.
[00:01:08.920 --> 00:01:11.800]   Because with every purchase Visa prevents, detects,
[00:01:11.800 --> 00:01:14.200]   and resolves online fraud.
[00:01:14.200 --> 00:01:17.200]   Safe, secure Visa.
[00:01:17.200 --> 00:01:20.000]   [ Music ]
[00:01:20.000 --> 00:01:23.960]   This is Mac Break Weekly and we are really pleased to gather,
[00:01:23.960 --> 00:01:26.760]   together, some of the greatest experts in the history
[00:01:26.760 --> 00:01:28.240]   of Apple and Macintosh.
[00:01:28.240 --> 00:01:29.760]   No, that's really hyperbole.
[00:01:29.760 --> 00:01:32.000]   We're just glad to be here talking about Macintosh's
[00:01:32.000 --> 00:01:34.720]   in our 99th episode.
[00:01:34.720 --> 00:01:38.280]   Merlin Mann is here from 43 Folders and you look nice today.
[00:01:38.280 --> 00:01:39.640]   Hello, Mr. Mann.
[00:01:39.640 --> 00:01:40.480]   >> Hello, Leo.
