
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:00:03.340 --> 00:00:05.340]   Netcast you love.
[00:00:05.340 --> 00:00:06.840]   From people you trust.
[00:00:06.840 --> 00:00:13.480]   This is Detroit.
[00:00:13.480 --> 00:00:17.420]   Bandwidth for Mac Break Weekly is provided by cash fly
[00:00:17.420 --> 00:00:20.920]   at CACHEFLY.com.
[00:00:20.920 --> 00:00:29.000]   This is Mac Break Weekly, episode 132.
[00:00:29.100 --> 00:00:33.800]   From March 17, 2009, iPhone 3.0.
[00:00:33.800 --> 00:00:37.940]   Mac Break Weekly is brought to you by Squarespace.com.
[00:00:37.940 --> 00:00:40.980]   The fast and easy way to publish a high quality website
[00:00:40.980 --> 00:00:41.980]   or blog.
[00:00:41.980 --> 00:00:44.780]   For a free trial and 10% off your new account,
[00:00:44.780 --> 00:00:49.620]   go to squarespace.com/macbreak.
[00:00:49.620 --> 00:00:53.820]   And buy audible.com for your free audiobook.
[00:00:53.820 --> 00:00:58.560]   Visit audible.com/macbreak.
[00:00:58.660 --> 00:01:00.760]   And buy, go to meeting.
[00:01:00.760 --> 00:01:03.900]   Online meetings made easy for a free 30-day trial
[00:01:03.900 --> 00:01:06.340]   of go to meeting for your PC or Mac.
[00:01:06.340 --> 00:01:09.140]   Visit gotomeeting.com/macbreak.
[00:01:09.140 --> 00:01:16.680]   It's time for Mac Break Weekly, the show that covers all things
[00:01:16.680 --> 00:01:18.380]   Macintosha today.
[00:01:18.380 --> 00:01:21.720]   There is finally some news to talk about.
[00:01:21.720 --> 00:01:25.720]   It turns out there's no DRM in the new iPod shuffle.
[00:01:25.720 --> 00:01:27.020]   But that story in a moment.
[00:01:27.120 --> 00:01:30.360]   First let me introduce our panelists, Mr. Alex Lindsey
[00:01:30.360 --> 00:01:31.660]   from the Pixel Corp.
[00:01:31.660 --> 00:01:32.520]   Good morning.
[00:01:32.520 --> 00:01:33.360]   Good to have you.
[00:01:33.360 --> 00:01:34.020]   Thank you.
[00:01:34.020 --> 00:01:34.920]   Welcome to the show.
[00:01:34.920 --> 00:01:35.660]   Beer.
[00:01:35.660 --> 00:01:37.760]   Had to walk all eight blocks.
[00:01:37.760 --> 00:01:44.100]   All the way from Bag Haba, SAG Haba.
[00:01:44.100 --> 00:01:47.400]   Up in the Washington state region there, it's Mr. Scotty
[00:01:47.400 --> 00:01:48.700]   Born.
[00:01:48.700 --> 00:01:50.340]   It's OK if we just call it Gig Harbor.
[00:01:50.340 --> 00:01:53.040]   Gig Haba.
[00:01:53.040 --> 00:01:53.840]   What do they have?
[00:01:53.840 --> 00:01:55.940]   Hey, Scott, how you doing today?
[00:01:56.040 --> 00:01:57.280]   I'm doing just fine.
[00:01:57.280 --> 00:01:59.380]   I'm very excited because you know when iPhone stuff happens,
[00:01:59.380 --> 00:02:00.080]   I get excited.
[00:02:00.080 --> 00:02:01.980]   It's a big iPhone day.
[00:02:01.980 --> 00:02:03.780]   We'll talk about that in just a second.
