
[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cacfly.com.
[00:00:21.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is MacBreak Weekly, Episode 212, recorded September 14, 2010.
[00:00:34.000 --> 00:00:37.000]   Ninja Throwing Stars.
[00:00:37.000 --> 00:00:41.000]   MacBreak Weekly is brought to you by Hover.com.
[00:00:41.000 --> 00:00:44.000]   Hover is domain name registration and management that's simple.
[00:00:44.000 --> 00:00:50.000]   For 10% off your new domain or a new .me domain for only $5 for the first year,
[00:00:50.000 --> 00:00:56.000]   go to MacBreak. Hover, H-O-V-E-R.com.
[00:00:56.000 --> 00:00:59.000]   And by GoToAssistExpress.
[00:00:59.000 --> 00:01:01.000]   If you're in tech support, solve problems fast.
[00:01:01.000 --> 00:01:05.000]   With a leader in remote support software, go to AssistExpress.
[00:01:05.000 --> 00:01:10.000]   For a free three-day trial, visit GoToAssist.com/MacBreak.
[00:01:10.000 --> 00:01:13.000]   [ Music ]
[00:01:13.000 --> 00:01:15.000]   It's time for MacBreak Weekly.
[00:01:15.000 --> 00:01:18.000]   We are ready to cover the latest news from Cupertino.
[00:01:18.000 --> 00:01:21.000]   Joining us today, we're so glad to have him back on the show.
[00:01:21.000 --> 00:01:25.000]   He finally is out of book hell for at least the moment.
[00:01:25.000 --> 00:01:26.000]   Good morning.
[00:01:26.000 --> 00:01:32.000]   For the morning, anyway, Merlin Mann, 43folders.com, top 5s, and of course,
[00:01:32.000 --> 00:01:35.000]   the fantastic podcast It's Always Sunny in Philadelphia.
[00:01:35.000 --> 00:01:37.000]   Yes, we were very proud of our work. Thank you.
[00:01:37.000 --> 00:01:41.000]   You look nice today, which was the inspiration, obviously, for you.
[00:01:41.000 --> 00:01:43.000]   It's always sunny in Philadelphia.
[00:01:43.000 --> 00:01:44.000]   It's good to see you, Mr. MacBreak.
[00:01:44.000 --> 00:01:46.000]   It's nice to see you guys. Thanks for having me.
[00:01:46.000 --> 00:01:50.000]   Yeah. Scott's still working for the paper factory, but he's in a new division.
[00:01:50.000 --> 00:01:53.000]   Scott is in a very interesting new division at the paper factory.
[00:01:53.000 --> 00:01:55.000]   He's doing good work.
[00:01:55.000 --> 00:01:56.000]   Good. We're proud of him.
[00:01:56.000 --> 00:01:58.000]   Adams making a dorm open in a one-slide.
[00:01:58.000 --> 00:01:59.000]   What?
[00:01:59.000 --> 00:02:03.000]   He did the lonely sandwich like, does Vegas or something?
[00:02:03.000 --> 00:02:05.000]   What was that that he did?
[00:02:05.000 --> 00:02:07.000]   Something like that, anyway.
[00:02:07.000 --> 00:02:10.000]   There's Andy Inako's laugh to save me just in time.
[00:02:10.000 --> 00:02:13.000]   He's chortling away, of course, from the Chicago Sun times,
[00:02:13.000 --> 00:02:17.000]   and the celestial waste of bandwidth, and a host of MacBreak Weekly since day one.
[00:02:17.000 --> 00:02:19.000]   Is it since day one?
[00:02:19.000 --> 00:02:21.000]   Who was there?
[00:02:21.000 --> 00:02:23.000]   There was a well before you didn't have like that,
[00:02:23.000 --> 00:02:25.000]   you're improved matting on the tables and chairs yet.
[00:02:25.000 --> 00:02:28.000]   Once that studio was set up that way, then I was right on board.
[00:02:28.000 --> 00:02:30.000]   Basically, all liquids bounce off now.
[00:02:30.000 --> 00:02:32.000]   And that's what we like.
[00:02:32.000 --> 00:02:34.000]   I'm a sloppy drinker. I admit that.
[00:02:34.000 --> 00:02:36.000]   He's got his Coke one in hand.
[00:02:36.000 --> 00:02:39.000]   I've got my ladies' version, the Diet Coke in hand.
[00:02:39.000 --> 00:02:40.000]   I'm sorry.
[00:02:40.000 --> 00:02:41.000]   We got to do the American Idol thing.
[00:02:41.000 --> 00:02:44.000]   Make sure the label face in the camera all five.
[00:02:44.000 --> 00:02:45.000]   Yeah, exactly.
[00:02:45.000 --> 00:02:47.000]   Do you think there's really Coke in those glasses?
[00:02:47.000 --> 00:02:48.000]   I don't think so.
[00:02:48.000 --> 00:02:49.000]   I really don't.
[00:02:49.000 --> 00:02:52.000]   In fact, with Simon Cowell, I was pretty sure it was vodka.
[00:02:52.000 --> 00:02:56.000]   Also here, ladies and gentlemen, Mr. Alex Lindsey from the Pixel Core.
[00:02:56.000 --> 00:02:57.000]   Hello.
[00:02:57.000 --> 00:02:58.000]   Hello.
[00:02:58.000 --> 00:02:59.000]   Off his travels.
[00:02:59.000 --> 00:03:00.000]   It was a wild one.
[00:03:00.000 --> 00:03:02.000]   You were in London last time we talked about it.
[00:03:02.000 --> 00:03:05.000]   I was in London, Paris, and Amsterdam last week.
[00:03:05.000 --> 00:03:06.000]   Wow.
[00:03:06.000 --> 00:03:10.000]   Yes, so we were shooting, we shot for Salesforce on Wednesday last week,
[00:03:10.000 --> 00:03:13.000]   and then we went to Paris and did an interview,
[00:03:13.000 --> 00:03:17.000]   and then we went to Amsterdam for IBC, which is kind of like the NAB of Europe.
[00:03:17.000 --> 00:03:22.000]   And then we went to the Heineken bar and learned how to pour Heineken's,
[00:03:22.000 --> 00:03:25.000]   and we practiced a lot, and then we crawled back to the hotel and got a flight home.
[00:03:25.000 --> 00:03:26.000]   Love it.
[00:03:26.000 --> 00:03:30.000]   Did you carry with you any ninja throwing stars, just out of curiosity?
[00:03:30.000 --> 00:03:36.000]   So when I was younger in a different part of my past, I used to carry a ninja throwing star in my wallet.
[00:03:36.000 --> 00:03:37.000]   Me too.
[00:03:37.000 --> 00:03:38.000]   What?
[00:03:38.000 --> 00:03:39.000]   You too, Merlin Man?
[00:03:39.000 --> 00:03:40.000]   Oh, yes, small one.
[00:03:40.000 --> 00:03:41.000]   Yeah.
[00:03:41.000 --> 00:03:43.000]   I had six inch ones, and I had the three inch ones.
[00:03:43.000 --> 00:03:44.000]   What?
[00:03:44.000 --> 00:03:46.000]   I had four points, and then I had the great 8.1s, and I had a--
[00:03:46.000 --> 00:03:49.000]   I had a fat I missed where you were prepared to toss this.
[00:03:49.000 --> 00:03:50.000]   It's called being a man, Leo.
[00:03:50.000 --> 00:03:51.000]   Look at him.
[00:03:51.000 --> 00:03:56.000]   I had the 6.1s, the 4.1s were kind of hard to land, but I had to get the stick.
[00:03:56.000 --> 00:04:00.000]   Do you guys also carry multi-tools, gurbers with you at all times?
[00:04:00.000 --> 00:04:01.000]   Are you stupid?
[00:04:01.000 --> 00:04:05.000]   So Steve Jobs is apparently a man, according to SPAA magazine.
[00:04:05.000 --> 00:04:11.000]   I'm not sure what the-- SPAA magazine, SPA exclamation mark.
[00:04:11.000 --> 00:04:16.720]   Aww, magazine says, "Steve Jobs will never return to Japan after officials at an airport
[00:04:16.720 --> 00:04:22.000]   barred him from taking ninja throwing stars aboard his private plane."
[00:04:22.000 --> 00:04:25.000]   Security scan at Kansai International Airport near Osaka.
[00:04:25.000 --> 00:04:28.000]   Detective of the weapons inside the executive's carrying on luggage.
[00:04:28.000 --> 00:04:31.000]   Do they really-- if you're flying private, do they still scan your luggage?
[00:04:31.000 --> 00:04:33.000]   I think it depends on which airport you're going out of.
[00:04:33.000 --> 00:04:38.000]   I guess-- I guess, well, I guess Terris could fly G6s.
[00:04:38.000 --> 00:04:40.000]   I don't know why you'd want to, but--
[00:04:40.000 --> 00:04:44.000]   Anyway, he was returning home from a family vacation in Kyoto.
[00:04:44.000 --> 00:04:48.000]   SPAA is a Japanese magazine apparently, so that's why it's like that exclamation mark.
[00:04:48.000 --> 00:04:52.000]   "Siting unidentified officials at the airport in the Transportation Ministry,
[00:04:52.000 --> 00:04:56.000]   Jobs said it wouldn't make sense for a person to try to hijack his own plane.
[00:04:56.000 --> 00:05:00.000]   Then, Toto officials, he will never visit Japan again."
[00:05:00.000 --> 00:05:02.000]   Apple says, "What?"
[00:05:02.000 --> 00:05:05.000]   That's okay, it's not a big technology town.
[00:05:05.000 --> 00:05:09.000]   Apple says, "What? What are you talking about?"
[00:05:09.000 --> 00:05:14.000]   And he's telling a spokesman for Apple says, "Steve did visit Japan this summer
[00:05:14.000 --> 00:05:19.000]   for a vacation in Kyoto, but the incidents described at the airport are pure fiction.
[00:05:19.000 --> 00:05:22.000]   Steve had a great time and hopes to visit Japan again soon."
[00:05:22.000 --> 00:05:27.000]   Now, the only way we're going to know which one is true is when we see Steve visit Japan again.
[00:05:27.000 --> 00:05:28.000]   Right.
[00:05:28.000 --> 00:05:31.000]   If he never visits Japan or doesn't do it for the next couple years--
[00:05:31.000 --> 00:05:34.000]   Because Steve says, "I'm not going back here. I would say I would take him as word."
[00:05:34.000 --> 00:05:37.000]   I mean, he's not the kind of guy-- he's a grudge holder.
[00:05:37.000 --> 00:05:40.000]   Yeah, nobody watches video on a phone.
[00:05:40.000 --> 00:05:41.000]   [laughter]
[00:05:41.000 --> 00:05:44.000]   Nobody would ever want to read a book on an LCD device.
[00:05:44.000 --> 00:05:46.000]   No, but I mean, like he says-- I think he does this.
[00:05:46.000 --> 00:05:48.000]   I think he's into these red-haired--
[00:05:48.000 --> 00:05:49.000]   I will never--
[00:05:49.000 --> 00:05:52.000]   Well, you're going to put-- I will never go back to Japan in that category.
[00:05:52.000 --> 00:05:54.000]   It could be thrown a tantrum. You could be mad.
[00:05:54.000 --> 00:05:56.000]   Yeah, I've said that. I've said that.
[00:05:56.000 --> 00:05:58.000]   It could be a faint. It could be a business faint.
[00:05:58.000 --> 00:06:02.000]   It could be something where, you know, maybe he's just-- it's a deception, right?
[00:06:02.000 --> 00:06:03.000]   Maybe.
[00:06:03.000 --> 00:06:06.000]   Although, you got to rewind back that statement that it didn't--
[00:06:06.000 --> 00:06:10.000]   it didn't imply that it wasn't butterfly knives, say, or nunchucks.
[00:06:10.000 --> 00:06:12.000]   No, it could have been nunchucks.
[00:06:12.000 --> 00:06:13.000]   Or not nunchucks.
[00:06:13.000 --> 00:06:15.000]   Well, actually, we don't call them throwing stars.
[00:06:15.000 --> 00:06:17.000]   We call them Shuriken.
[00:06:17.000 --> 00:06:18.000]   However--
[00:06:18.000 --> 00:06:21.000]   Well, I bet you get much better ones in Japan than you get here.
[00:06:21.000 --> 00:06:22.000]   Because the ones here kind of stamped--
[00:06:22.000 --> 00:06:24.000]   It wasn't for him who was for the kids.
[00:06:24.000 --> 00:06:25.000]   Well, yeah, I mean, you know--
[00:06:25.000 --> 00:06:26.000]   I'm sure it wasn't for him.
[00:06:26.000 --> 00:06:27.000]   It's always for the kids.
[00:06:27.000 --> 00:06:28.000]   Just for the children.
[00:06:28.000 --> 00:06:29.000]   Just for the children.
[00:06:29.000 --> 00:06:30.000]   Just like Jerry Lewis and the telethog.
[00:06:30.000 --> 00:06:31.000]   It's for the kids.
[00:06:31.000 --> 00:06:32.000]   I mean, they're not hardened here.
[00:06:32.000 --> 00:06:33.000]   They're stamped.
[00:06:33.000 --> 00:06:34.000]   They're bare--
[00:06:34.000 --> 00:06:38.000]   when it's embedded in an inch's head, whether it was stamped or hardened.
[00:06:38.000 --> 00:06:40.000]   It makes a difference when you're sharpening them.
[00:06:40.000 --> 00:06:41.000]   Sharpening is like--
[00:06:41.000 --> 00:06:43.000]   As you lay down, you'd like to think that they made an effort,
[00:06:43.000 --> 00:06:44.000]   that this cost them.
[00:06:44.000 --> 00:06:45.000]   They don't get this back.
[00:06:45.000 --> 00:06:48.000]   It's going to cost them $14 this dark and it's not.
[00:06:48.000 --> 00:06:49.000]   Then you got to run up.
[00:06:49.000 --> 00:06:51.000]   You got to pull it out of the guy's brain.
[00:06:51.000 --> 00:06:52.000]   It's like a--
[00:06:52.000 --> 00:06:54.000]   It's like a difference between scallops, right?
[00:06:54.000 --> 00:06:56.000]   There's the real scallops and there's the scallops that cut out
[00:06:56.000 --> 00:06:57.000]   of like a big piece of a ray.
[00:06:57.000 --> 00:06:58.000]   Same thing here.
[00:06:58.000 --> 00:07:00.000]   The shuriken that you get in the United States are very--
[00:07:00.000 --> 00:07:03.000]   they're really crummy and they don't keep an edge, right, Alex?
[00:07:03.000 --> 00:07:05.000]   Well, that's the real problem because they haven't been folded.
[00:07:05.000 --> 00:07:09.000]   The ones you get in Japan, that steel has been folded 20 or 30 times.
[00:07:09.000 --> 00:07:10.000]   It's kind of disgusting.
[00:07:10.000 --> 00:07:11.000]   It is like a Damascus.
[00:07:11.000 --> 00:07:12.000]   It's like a shunn.
[00:07:12.000 --> 00:07:13.000]   It is.
[00:07:13.000 --> 00:07:15.000]   Except that it's a shuriken.
[00:07:15.000 --> 00:07:16.000]   And you're only going to--
[00:07:16.000 --> 00:07:17.000]   Oh, shuriken is that how we pronounce it?
[00:07:17.000 --> 00:07:18.000]   I don't know.
