
[00:00:00.000 --> 00:00:04.160]   It's time for Mac break weekly. We're getting closer and closer to the iPhone launch
[00:00:04.160 --> 00:00:09.160]   We'll talk about the latest rumor roundup whether there is or is not an eye watch do in September
[00:00:09.160 --> 00:00:14.300]   What about that five and a half inch phone also news about Max and more it's all coming up next
[00:00:14.300 --> 00:00:22.840]   From people you trust
[00:00:22.840 --> 00:00:28.000]   This is tweet
[00:00:28.520 --> 00:00:35.920]   bandwidth from Mac break weekly is provided by cash fly at CACHEFLY.com
[00:00:35.920 --> 00:00:42.000]   This is Mac break weekly episode
[00:00:42.000 --> 00:00:44.560]   415 recorded August 12th
[00:00:44.560 --> 00:00:47.160]   2014 you're rolling it wrong
[00:00:47.160 --> 00:00:54.920]   Mac break weekly is brought to you by legal zoom visit legal zoom.com to save on your legal needs and gain access to a network of legal
[00:00:54.920 --> 00:01:00.400]   Plan attorneys for guidance legal zoom is not a law firm and provides self-help services at your specific direction
[00:01:00.400 --> 00:01:06.720]   Is it legal zoom.com and use the offer code MBW to receive $10 off a checkout?
[00:01:06.720 --> 00:01:08.400]   And by
[00:01:08.400 --> 00:01:12.760]   Shutterstock.com with over 40 million high quality stock photos
[00:01:12.760 --> 00:01:19.640]   illustrations vectors and video clips shutter stock helps you take your creative projects to the next level for
[00:01:19.640 --> 00:01:22.360]   20% off any image file on your new account go to
[00:01:23.000 --> 00:01:27.960]   Doc.com and use the offer code Mac break 814 and by
[00:01:27.960 --> 00:01:34.900]   Audible comm to download a free audio book of your choice go to audible comm slash Mac break
[00:01:34.900 --> 00:01:43.520]   It's time for Mac break weekly the show that covers all your apple subjects there your Mac and touch your iPhone your iPad your
[00:01:43.520 --> 00:01:51.440]   iPad anything with them Apple logo made in California design in China or vice versa Renee Richie is here from
[00:01:52.000 --> 00:01:57.860]   The fabulous I'm more calm great to see Renee welcome morning. Well. Thank you so much. Good morning
[00:01:57.860 --> 00:02:00.480]   Yeah, Alex Lindsay is on the way
[00:02:00.480 --> 00:02:01.400]   He'll join us in a moment
[00:02:01.400 --> 00:02:05.960]   He's on the on the road from the airport in a and the in our co is also here could see you
[00:02:05.960 --> 00:02:11.920]   Enter always good to see you Leo always good to see you Renee and always good to see an empty chair that will soon be filled by Alex
[00:02:11.920 --> 00:02:16.120]   Or Elijah we don't know yet somebody
[00:02:16.120 --> 00:02:21.640]   Sad to say it won't be filled by Robin Williams, of course terrible terrible news yesterday and
[00:02:21.680 --> 00:02:23.680]   I think we're all still reeling
[00:02:23.680 --> 00:02:30.640]   You know Robin was a geek. I remember seeing him several times at Mac world expose
[00:02:30.640 --> 00:02:36.920]   Problem is he couldn't really go to Mac world Expo and enjoy it because he'd be hounded all through the hall
[00:02:36.920 --> 00:02:40.280]   But it's just such a terrible
[00:02:40.280 --> 00:02:45.840]   loss and when I think we feel a little keep even more keenly here in the Bay Area because
[00:02:45.840 --> 00:02:51.280]   He was somebody who just was everywhere in the Bay Area. I'm very happily lived very happily here
[00:02:51.280 --> 00:02:53.280]   I
[00:02:53.280 --> 00:02:57.480]   Don't know if you guys want to say anything about it, but I also
[00:02:57.480 --> 00:03:00.160]   ditching it also the he comes from an era where
[00:03:00.160 --> 00:03:08.080]   Remember like in the 90s and the late 80s when Apple fans felt besieged and that maybe Apple's not gonna be around for three or four or five years
[00:03:08.080 --> 00:03:13.240]   So when you find out that someone who you really like who is really really cool is also one of those rare people who uses a Mac
[00:03:13.240 --> 00:03:15.240]   It's like oh, he's one of us
[00:03:15.560 --> 00:03:20.920]   I could I could he could stay in my guest room because I feel as though we're already friends and know each other very very well
[00:03:20.920 --> 00:03:23.440]   And of course his maybe his very last
[00:03:23.440 --> 00:03:26.680]   professional work was
[00:03:26.680 --> 00:03:28.920]   doing an ad for the iPad air
[00:03:28.920 --> 00:03:41.600]   Don't read in right poetry because it's cute
[00:03:42.240 --> 00:03:50.200]   We read and write poetry because we are members of the human race and the human race is filled with passion
[00:03:50.200 --> 00:03:57.720]   Medicine law business engineering these are noble pursuits and necessary to sustain life
[00:03:57.720 --> 00:04:02.360]   But poetry beauty
[00:04:02.360 --> 00:04:06.120]   Romance love
[00:04:06.120 --> 00:04:09.000]   He's what we stay alive for
[00:04:09.000 --> 00:04:11.000]   The
[00:04:11.000 --> 00:04:20.500]   Quoping Whitman owe me a life of the questions of these recurring
[00:04:20.500 --> 00:04:26.800]   Of the endless trains of the faithless of cities filled with the foolish
[00:04:26.800 --> 00:04:30.600]   But good admit these owe me a life
[00:04:30.600 --> 00:04:37.880]   Answer that you are here that life exists and identity
[00:04:38.880 --> 00:04:43.320]   That the powerful play goes on and you may contribute a verse
[00:04:43.320 --> 00:04:52.440]   The powerful play goes on and you may contribute a verse
[00:04:52.440 --> 00:04:56.120]   What will your verse be hmm?
[00:04:56.120 --> 00:05:01.960]   You know it's um we kind of made fun of that ad because it was well frankly so
[00:05:01.960 --> 00:05:03.560]   intellectual and
