
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[00:00:05.120 --> 00:00:11.360]   Beats one and also Apple has the social conscience and now they're really really talking about it
[00:00:11.360 --> 00:00:15.200]   Which is kind of cool and kind of funky all this next on Mac break weekly
[00:00:15.200 --> 00:00:21.800]   Netcast you love from people you trust
[00:00:21.800 --> 00:00:27.600]   This is to it
[00:00:27.960 --> 00:00:35.460]   Bandwidth for Mac break weekly is provided by cash fly at CACH E F L Y calm
[00:00:35.460 --> 00:00:46.680]   Mac break weekly episode 461 recorded on Tuesday June to 30th 2015 Mac break one
[00:00:46.680 --> 00:00:52.820]   Mac break weekly is brought to you by wealth front wealth front is a low-cost
[00:00:53.440 --> 00:01:00.220]   Automated investment service that is the most sophisticated way for you to invest your money whether you've got millions
[00:01:00.220 --> 00:01:06.360]   Or you're just starting out visit wealth front comm slash Mac break to sign up and get your free
[00:01:06.360 --> 00:01:13.400]   Personalized investment portfolio. That's wealth front comm slash Mac break and by
[00:01:13.400 --> 00:01:19.200]   Legal zoom if you're looking to incorporate form an LLC get a trademark or more
[00:01:19.200 --> 00:01:22.000]   Legal zoom can help you get started the right way
[00:01:22.280 --> 00:01:23.640]   Legal zoom is not a law firm
[00:01:23.640 --> 00:01:28.460]   But can connect you with an independent attorney visit legal zoom calm and use the offer code
[00:01:28.460 --> 00:01:33.020]   Mbw in the referral box at checkout for your special discount
[00:01:33.020 --> 00:01:41.280]   Spinning the globe with new music hot for today hot for tomorrow and for yesterday as well. It's Mac break one
[00:01:41.280 --> 00:01:47.000]   We're creating a revolution and you're here on the ground. Okay, I can't I can't keep that up for an hour and a half
[00:01:47.480 --> 00:01:53.840]   It's time for Mac break weekly. Thank you for listening. I'm Andy not because Chicago Sun times filling in for a vacationing Leo
[00:01:53.840 --> 00:01:59.440]   The port but we got so many cool things to talk about today and so many cool people to talk about them with with all
[00:01:59.440 --> 00:02:02.600]   Us as always is Renee Richie of I'm or Renee. How you doing today?
[00:02:02.600 --> 00:02:06.940]   I'm doing brilliantly and I can't believe I'm on see Mac break weekly for once
[00:02:06.940 --> 00:02:13.280]   We should get each other says and and from Canada. We've got our Canadian DJ Renee
[00:02:14.400 --> 00:02:19.120]   Live from around the world. Oh, genre is great. I break weekly one
[00:02:19.120 --> 00:02:27.360]   We also we also have to like do we have to do station IDs while people are talking every about minute and a half if beats one is too
[00:02:27.360 --> 00:02:29.040]   We're getting ahead of ourselves
[00:02:29.040 --> 00:02:34.640]   We're also very fortunate to have Christina war and senior tech correspondent from national Mashable Christina
[00:02:34.640 --> 00:02:36.640]   How you doing busy day for you to?
[00:02:36.640 --> 00:02:37.960]   Yes, very busy day
[00:02:37.960 --> 00:02:40.720]   I spent most of the morning sleeping because I went to bed
[00:02:41.320 --> 00:02:47.320]   Like after I filed my my apple and bargoes this morning. So no busy day lots of stuff
[00:02:47.320 --> 00:02:49.320]   I'm coming to you live from New York City
