
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[00:00:04.000 --> 00:00:10.840]   We're gonna read the Apple tea leaves talk about Apple Kremlinology a lot of news updates including new update methods for Mac OS Sierra
[00:00:10.840 --> 00:00:16.480]   And you know Apple's building a lot of stuff around the world. It's under construction wherever they go
[00:00:16.480 --> 00:00:19.400]   Andy and Ico and Renee Richie are joining me next
[00:00:19.400 --> 00:00:26.080]   Netcast you love from people you trust
[00:00:26.080 --> 00:00:39.120]   This is tweet bandwidth for Macbreak Weekly is provided by cash fly at C A C A F L Y
[00:00:39.120 --> 00:00:41.640]   .com
[00:00:41.640 --> 00:00:50.040]   This is Macbreak Weekly episode 527 recorded Tuesday October 4th 2016
[00:00:50.040 --> 00:00:59.120]   Double sticker probation Macbreak Weekly is brought to you by Gazelle the online marketplace for buying and selling used
[00:00:59.120 --> 00:01:06.920]   gadgets shop from a variety of certified pre owned electronics or trade one in for cash give new life to a used device at
[00:01:06.920 --> 00:01:15.320]   gazelle.com today and by Squarespace Squarespace is the simplest way to create a beautiful website plus with a
[00:01:15.320 --> 00:01:23.240]   developer platform you can customize the code behind any Squarespace design enter the offer code Macbreak and get 10% off and by
[00:01:23.240 --> 00:01:31.560]   Casper an online retailer of premium mattresses for a fraction of the price because everyone deserves a great night's sleep
[00:01:31.560 --> 00:01:40.280]   Get $50 off any mattress purchased by visiting Casper.com slash Macbreak and entering the promo code Macbreak
[00:01:41.960 --> 00:01:49.560]   Welcome back to Macbreak Weekly. I am Jason Snell sitting in for Leo you may know me from six colors calm the incomparable calm
[00:01:49.560 --> 00:01:55.480]   Relay FM I get around and I'm sitting in for Leo because Leo is as yet returning from his trip away
[00:01:55.480 --> 00:02:01.320]   But don't feel like this is going to be an alien addition of Macbreak Weekly because we have two familiar
[00:02:01.320 --> 00:02:08.200]   Faces to join us today. Of course Andy and Ico from the Chicago Sun times wouldn't do Macbreak Weekly without him. Hi Andy
[00:02:09.320 --> 00:02:16.360]   Is it okay if I start just start talking about Hamilton musical and or a sci-fi movie? I haven't seen until 83
[00:02:16.360 --> 00:02:20.520]   It's kind of weird to be talking to you and not be talking about either of those two things
[00:02:20.520 --> 00:02:22.600]   You know, I can't talk to Leo about Hamilton
[00:02:22.600 --> 00:02:26.360]   I can't bring it up during a show because then Leo will talk about it for 15 minutes
[00:02:26.360 --> 00:02:32.680]   And I feel bad for the viewers who probably don't care about Hamilton, but we'll we'll see we'll see where this episode goes
[00:02:32.680 --> 00:02:35.800]   It's muscle memory. I'm sorry. Yeah, exactly. I know it happens
[00:02:35.800 --> 00:02:39.400]   We talk about that all the time on the incomparable also here of course again
[00:02:39.400 --> 00:02:43.480]   One of the the hearts and souls of Macbreak Weekly Renee Richie. Hi Renee
[00:02:43.480 --> 00:02:44.440]   Hi Jason
[00:02:44.440 --> 00:02:49.560]   I'm not used to podcasting with you without a parking lot or some sort of outdoor ice scenery being in this is true
[00:02:49.560 --> 00:02:53.720]   Renee and I do a lot of podcasting outside of events. That's that's what we do
[00:02:53.720 --> 00:03:00.680]   Uh, but we're here. We are instead. We're in the I'm in the studio with your images on screens as we like it
[00:03:01.560 --> 00:03:06.840]   Uh, so I thought we would start uh by talking about what I'd like to call
[00:03:06.840 --> 00:03:08.440]   Criminology corner
[00:03:08.440 --> 00:03:14.040]   You can have a K you can spell that corner with a K if you really want to and this is where we read the tea leaves
[00:03:14.040 --> 00:03:15.400]   Renee's got his cup of tea there
[00:03:15.400 --> 00:03:17.560]   So maybe he can look at the leaves and tell us what's going on
[00:03:17.560 --> 00:03:25.400]   Lots of apple criminal knowledge going on people love to detect what apple's going to do based on small signals or things that don't actually exist
[00:03:25.400 --> 00:03:30.120]   Sometimes and we had we have a few items of criminal knowledge. So I thought we would start there
[00:03:30.440 --> 00:03:36.840]   Um, there was a mac rumors report that cited some sources that says apple is likely lain aiming for a late
[00:03:36.840 --> 00:03:43.000]   October launch of the redesign macbook pro you may remember this as the redesign macbook pro that we thought might come at
[00:03:43.000 --> 00:03:51.640]   WWDC over the summer and then that didn't happen so we're looking for another time slot for it and this is one of the rumblings out there
[00:03:51.640 --> 00:03:59.320]   Uh nine to five mac also made a report that said that uh that uh apple they noticed that apple changed the time of its earnings call
[00:03:59.560 --> 00:04:05.400]   To october 25th due to a scheduling conflict now that may mean tim cook has a dentist appointment that he just can't change
[00:04:05.400 --> 00:04:13.480]   But it also may mean something about when they can be quiet and when they can announce new products that are regulations that go around the
[00:04:13.480 --> 00:04:16.200]   quarterly earnings reports so
[00:04:16.200 --> 00:04:20.520]   Uh, andy and rene. What do you think about this latest batch of criminal analogy? Is it?
[00:04:20.520 --> 00:04:26.200]   Mac tober will we finally get some new max at at long last? Are we are we at the end of the desert?
[00:04:27.880 --> 00:04:34.520]   Well that the the only real buzzword here is that uh all the rumors are that if there's a new mac book is going to have this new oled
