
[00:00:00.000 --> 00:00:05.520]   It's diver Mac break weekly Renee Richie's here Andy Nachos here big big big news story
[00:00:05.520 --> 00:00:12.000]   We're all over the new WPA - crack details coming up and what Apple's doing about it
[00:00:12.000 --> 00:00:18.320]   We'll also talk about the iPhone 10 and what it represents for Apple going forward and when are they gonna update the Mac mini?
[00:00:18.320 --> 00:00:20.800]   It's all coming up next a Mac break weekly
[00:00:20.800 --> 00:00:27.440]   Netcasts you love from people you trust
[00:00:27.440 --> 00:00:34.440]   This is
[00:00:34.440 --> 00:00:41.440]   bandwidth for Mac break weekly is provided by cash fly at C A C A F L Y dot com
[00:00:41.440 --> 00:00:52.440]   This is Mac break weekly episode 580 recorded Tuesday October 17th 2017
[00:00:52.440 --> 00:01:00.440]   Schrodinger's Mac mini Mac break weekly is brought to you by Gazelle the online marketplace for buying and selling used gadgets
[00:01:00.440 --> 00:01:05.440]   Shop from a variety of certified pre owned electronics or trade one in for cash
[00:01:05.440 --> 00:01:09.440]   Give new life to a used device at Gazelle.com today
[00:01:09.440 --> 00:01:18.440]   And buy video blocks from story blocks un-cage your creativity and get all the stock video you need for only $149 a year
[00:01:18.440 --> 00:01:25.440]   Visit video blocks comm slash Mac break to save on millions of studio quality clips from video blocks
[00:01:25.440 --> 00:01:30.440]   And buy rocket mortgage from quick and loans home plays a big role in your life
[00:01:30.440 --> 00:01:33.440]   That's why quick and loans created rocket mortgage
[00:01:33.440 --> 00:01:40.440]   It lets you apply simply and understand the entire mortgage process fully so you could be confident you're getting the right mortgage for you
[00:01:40.440 --> 00:01:44.440]   Get started at rocket mortgage comm slash Mac break
[00:01:45.440 --> 00:01:53.440]   It's time for Mac break weekly the show we cover the latest news from Apple with our crack team of analysts
[00:01:53.440 --> 00:01:57.440]   Or our cracked team of analysts depending on your point of view
[00:01:57.440 --> 00:02:01.440]   Andy and I go from the Chicago Sun times great to see you Andrew
[00:02:01.440 --> 00:02:07.440]   Hello I think of myself more as a brand influencer than a thought leader just warm money in it
[00:02:07.440 --> 00:02:11.440]   Yes, I'm an early adopter. I'm afraid I don't influence anything
[00:02:11.440 --> 00:02:15.440]   Also here Renee except that when I adopted then they could discontinue it
[00:02:15.440 --> 00:02:21.440]   Renee Richie is also here from imore.com. Oh new you moved the camera around a little bit
[00:02:21.440 --> 00:02:26.440]   I had to I had to I was staging where I live so I had to like move all this stuff around to make the rooms look more open
[00:02:26.440 --> 00:02:29.440]   Are you selling the selling the place?
[00:02:29.440 --> 00:02:35.440]   I might be I'm considering it. I'm looking into it. I actually like this view because I've never seen your beautiful movie posters before
[00:02:35.440 --> 00:02:39.440]   I'm an early adopter. I just take whatever is new and try my best to live with it
[00:02:39.440 --> 00:02:42.440]   That's good. It's all about the watch fans, baby
[00:02:42.440 --> 00:02:49.440]   It looks like it looks like you and I would have exactly the same sort of like thinking that okay
[00:02:49.440 --> 00:02:54.440]   I'm gonna leave like the office exactly the way it is and therefore the realtor can say and do you have like a
[00:02:54.440 --> 00:02:58.440]   10 to 10 to 16 year old boy? Well, this could be this is what his bedroom would look like
[00:02:58.440 --> 00:03:04.440]   That's so true I laugh because it's true. Yes
[00:03:05.440 --> 00:03:09.440]   So we are now in the slump period
[00:03:09.440 --> 00:03:16.440]   Kind of in between the release of the Apple Watch series three the Apple TV HD
[00:03:16.440 --> 00:03:21.440]   Or 4k the iPhone 8 and waiting for the iPhone
[00:03:21.440 --> 00:03:27.440]   10 10 days away from the launch the we could start the countdown
[00:03:27.440 --> 00:03:30.440]   I almost taste it
[00:03:30.440 --> 00:03:36.000]   There isn't I mean it's funny because once the 10 is announced that ended the rumor mill so there aren't any
[00:03:36.000 --> 00:03:39.040]   There we have all this iPhone 9 rumors are really yeah
[00:03:39.040 --> 00:03:43.160]   What will they do by the way? Will they will they call well they call you what?
[00:03:43.160 --> 00:03:51.600]   I phone you know what will they what will they remove from the iPhone 10? I think that the screen Andy the screen
[00:03:51.600 --> 00:03:59.240]   Yeah, we're close to being able to remove the lightning port right because then you'd have no holes at all and just like
[00:03:59.240 --> 00:04:03.280]   There was rumors that Google would do that this year with the pixel but they didn't they only went part of the way
[00:04:03.280 --> 00:04:07.160]   So what do you think is that an homage to delete the headphone jack?
[00:04:07.160 --> 00:04:16.960]   I know you've heard I keep thinking that I keep coming back to the analogy of the first airline to charge baggage fees for check bag
[00:04:16.960 --> 00:04:18.960]   Yeah, it's not as though it had to happen
[00:04:18.960 --> 00:04:25.360]   And somebody had to have when it cut talk about courage you talk about let's have the courage to see if we can get away
[00:04:25.360 --> 00:04:29.080]   With this and then once everyone else found out that it's not that it's not like touching the third rail
[00:04:29.080 --> 00:04:33.400]   It it gave a lot of other companies and other designs to say well
[00:04:33.400 --> 00:04:39.760]   It would make our lives simpler and our meaning our design the designers simply if we didn't have to mess with a with a headphone jack
[00:04:39.760 --> 00:04:44.800]   And particularly when you're building an Android phone when you know that you will not be
[00:04:44.800 --> 00:04:51.480]   Essentially killing everybody's access to a headphone jack everywhere and if anything you could say the oh see look how modern
[00:04:51.480 --> 00:04:56.240]   We are we're even more like the iPhone than the last Android phone to copy the iPhone
[00:04:56.240 --> 00:05:01.760]   Yes, exactly the point Ron Amario made in his review of the new pixel twos
[00:05:01.760 --> 00:05:08.440]   He said this doesn't benefit end users, but it right it is of benefit to the manufacturers
[00:05:08.440 --> 00:05:11.400]   Renee what were you gonna say I was good?
[00:05:11.400 --> 00:05:13.880]   Well, it's not like we were talked about this a couple weeks ago
[00:05:13.880 --> 00:05:18.360]   We all had HTC phones 10 years ago that got rid of the headphone jack and have these weird little dongles
[00:05:18.360 --> 00:05:21.440]   I think the HTC G1 yeah first Google phone was like that
[00:05:21.440 --> 00:05:26.960]   But that was a day when we put a lot of music on our phones that was totally but there were rumors that
[00:05:26.960 --> 00:05:33.760]   Maybe Google now or some other manufacturer a lot of manufacturers seem to want to be able to a get rid of all buttons and get rid of all ports
[00:05:33.760 --> 00:05:35.840]   Get rid of every possible point of hardware failure
[00:05:35.840 --> 00:05:40.360]   Because it'll make the phones either more durable or able to make them use little you know perfectly sealed bricks
[00:05:40.360 --> 00:05:44.360]   That'll just last longer and it just it seems like a trend in the industry
[00:05:44.360 --> 00:05:46.640]   I guess the stuff has to go away at some point
[00:05:47.120 --> 00:05:50.520]   The only thing with the pixels that they didn't include light not lightning on call it
[00:05:50.520 --> 00:05:54.560]   They didn't include USB headphones in it and Apple did include lightning headphones
[00:05:54.560 --> 00:05:56.800]   So it makes it a little bit more painful for people
[00:05:56.800 --> 00:06:03.760]   Yeah, that was definitely a mistake particularly given the price of the pixel like so also particularly given that we're not Apple has some excuses
[00:06:03.760 --> 00:06:06.560]   It's can rely on some excuses in that they are shipping
[00:06:06.560 --> 00:06:10.160]   overall like 10 million of these a quarter whereas
[00:06:11.080 --> 00:06:17.520]   The app Google's ambitions are as big as apples, but their shipping quantities are about one-tenth of that
[00:06:17.520 --> 00:06:20.800]   So they can simply they can make decisions based on shipping
[00:06:20.800 --> 00:06:28.080]   800,000 units a quarter even 500,000 units a quarter and make that stick. It's so you kind of ask yourself
[00:06:28.080 --> 00:06:30.080]   Why didn't they try to make this?
[00:06:30.080 --> 00:06:34.080]   The one of the best eight to nine hundred dollar phones on the market today
[00:06:34.080 --> 00:06:37.480]   I like I liked so much of what I've seen from it so far, but
[00:06:37.880 --> 00:06:44.600]   It's such so simple to just include the damn dongle in the box particularly when you know how much hassle it's gonna create for people
[00:06:44.600 --> 00:06:53.280]   Johnny I've interviewed at the iPhone launch by a Japanese fashion and design site Brutus
[00:06:53.280 --> 00:06:58.560]   Casa figures that Johnny had give the interview to Japanese fashion and design site
[00:06:58.560 --> 00:07:05.480]   Here's here's some of the quotes. This is from nine to five Mac before this there was a feeling that individual components
[00:07:05.960 --> 00:07:08.680]   Called enclosure housing and display
