
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[00:00:03.480 --> 00:00:09.020]   And he not goes here Renee Richie's here will have our one week in review of the iMac Pro
[00:00:09.020 --> 00:00:12.060]   We'll talk about of course apples response to the big Intel
[00:00:12.060 --> 00:00:14.800]   Security flaw and a look at what?
[00:00:14.800 --> 00:00:20.760]   What weird and interesting products are coming out for Apple at CES. It's all coming up next
[00:00:20.760 --> 00:00:28.840]   You love from people you trust
[00:00:28.840 --> 00:00:33.840]   This is
[00:00:33.840 --> 00:00:41.480]   Sweet bandwidth for Mac Break Weekly is provided by cash fly at C A C A F L Y
[00:00:41.480 --> 00:00:42.480]   dot com
[00:00:42.480 --> 00:00:53.440]   This is Mac Break Weekly episode 592 recorded Tuesday January 9th 2018
[00:00:53.440 --> 00:00:56.600]   Shlomo Guillermo and Alio
[00:00:56.600 --> 00:00:59.000]   Shlomo Guillermo and Alio Shlomo
[00:00:59.000 --> 00:01:04.520]   Mac Break Weekly is brought to you by FreshBooks the easy to use cloud accounting software for small business owners
[00:01:04.520 --> 00:01:12.600]   Make 2018 your most productive year yet. Try it free for 30 days at freshbooks dot com slash Mac Break
[00:01:12.600 --> 00:01:19.800]   And by texture access the world's most popular magazines anytime anywhere using your smartphone or tablet
[00:01:19.800 --> 00:01:24.280]   Try it free for 14 days at texture dot com slash twit and
[00:01:24.280 --> 00:01:31.800]   By tracker a coin size tracking device that pairs with your smartphone and keeps you from losing your most valued possessions
[00:01:31.800 --> 00:01:37.080]   Visit the tracker dot com slash Mac Break to save 20% off any order
[00:01:37.080 --> 00:01:45.480]   It's time for Mac Break Weekly the show will recover the world the wonderful world of apple
[00:01:46.120 --> 00:01:51.240]   Joining me right now Chicago Sun Times columnist tech reporter and man about town
[00:01:51.240 --> 00:01:54.360]   Andy and Aiko who is a is a
[00:01:54.360 --> 00:02:02.360]   Fitting out his new studio. I love the framed poster of the woman in the 1984 commercial wielding this ledge hammer
[00:02:02.360 --> 00:02:04.360]   That is where'd you get that?
[00:02:04.360 --> 00:02:10.040]   Oh, that's like if you if you look carefully, that's the doc for the anniversary of the iPod
[00:02:10.040 --> 00:02:14.680]   They doctored it and added like an iPod. She's wearing an iPod headphones to her on her hip. Yeah
[00:02:15.480 --> 00:02:21.000]   And so that's it's it's I'm at I'm at the stage of moving into the new office in the new place where
[00:02:21.000 --> 00:02:26.280]   Like my artwork is now like leaning against walls where I might be panging it up
[00:02:26.280 --> 00:02:28.920]   It depends if I find better places for it. So it
[00:02:28.920 --> 00:02:33.560]   It would give me give me another eight months and I'll finally have nails and walls
[00:02:33.560 --> 00:02:40.440]   But yes, that's that's a that's a very good candidate is he gonna be shelves or the 1984 lady plus my mac break weekly
[00:02:41.000 --> 00:02:48.600]   To jonal for that. Yeah, he gave us a wooden so handsome carved versions of our mac break weekly album art and each one had
[00:02:48.600 --> 00:02:50.360]   the hosts
[00:02:50.360 --> 00:02:52.760]   So it says leo loport and nanny and not co as if
[00:02:52.760 --> 00:02:57.560]   Renee richie does not exist. Don't worry Renee. We're not giving you short shrift
[00:02:57.560 --> 00:02:59.480]   Renee rich
[00:02:59.480 --> 00:03:00.360]   I'm more dot com yeah
[00:03:00.360 --> 00:03:03.080]   He has one that says leo loport and Renee richie and
[00:03:03.080 --> 00:03:05.800]   You will and is it next week your new studio?
[00:03:05.960 --> 00:03:11.640]   You still in the old so i'm moving out i'm moving out on friday on thursday and then i'm moving to the next place next friday
[00:03:11.640 --> 00:03:16.920]   So you won't you'll see me at some interim place. Maybe george's place next week and then I should be in the new place
