
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[00:00:05.160 --> 00:00:07.240]   He posted on Instagram
[00:00:07.240 --> 00:00:13.840]   What's going on there? We'll also talk about the new home pod. You could finally order it. What's in it?
[00:00:13.840 --> 00:00:20.600]   What's it doing? What's it not doing and how you might want to use it all coming up next on Mac break
[00:00:20.600 --> 00:00:27.440]   Netcast you love from people you trust
[00:00:27.440 --> 00:00:32.440]   This is
[00:00:32.440 --> 00:00:40.120]   Sweet bandwidth for Mac break weekly is provided by cash fly at C A C A F L Y
[00:00:40.120 --> 00:00:42.120]   Dot com
[00:00:42.120 --> 00:00:54.280]   This is Mac break weekly episode 594 recorded Tuesday January 23rd 2018 it's hockey night in Canada
[00:00:55.480 --> 00:01:02.760]   Mac break weekly is brought to you by wordpress make WordPress your online home plan started just four dollars a month
[00:01:02.760 --> 00:01:09.040]   Go to wordpress.com slash Mac break to get 15% off your brand new website today
[00:01:09.040 --> 00:01:17.620]   And by fresh books the easy to use cloud accounting software for small business owners make 2018 your most productive year yet
[00:01:17.620 --> 00:01:22.400]   Try it free for 30 days at fresh books.com slash Mac break
[00:01:23.520 --> 00:01:30.800]   And by molecule molecule is the world's first molecular air purifier that reduces symptoms for allergy and asthma suffers
[00:01:30.800 --> 00:01:36.640]   For $75 off your first order visit molecule.com and enter the promo code Mac break
[00:01:36.640 --> 00:01:42.120]   It's time for Mac break weekly the show we get together with the two of the best Mac
[00:01:42.120 --> 00:01:47.520]   Journalist sometimes three in the world sometimes four and talk about the latest news from Apple
[00:01:47.520 --> 00:01:49.520]   Let's start with Andy and not go from the Chicago
[00:01:50.080 --> 00:01:55.160]   Suntimes great to see you Andrew hello great to be here like great to talk to you great to talk to
[00:01:55.160 --> 00:01:59.260]   That man that I'm not talking to for the next three and a half days. I know what you mean
[00:01:59.260 --> 00:02:05.360]   To my right Renee. I know Tim Cook Richie
[00:02:05.360 --> 00:02:09.360]   From i'm more calm. I like to think we all know Tim Cook
[00:02:09.360 --> 00:02:14.440]   Yes, but you really know Tim Cook. So I got to put the picture up here
[00:02:14.440 --> 00:02:19.200]   Renee was I guess you spent some time with the CEO of Apple
[00:02:19.680 --> 00:02:24.840]   Recently I'm brief amount of time. Yeah, so tell tell us tell us by the way
[00:02:24.840 --> 00:02:32.480]   This is his Instagram post the most inspirational CEO of our time so great watching the game with apples Tim Cook, which came
[00:02:32.480 --> 00:02:39.120]   So I was unaware of any of this going into it. So it was a huge surprise to me, but
[00:02:39.120 --> 00:02:44.800]   Tim Cook showed up in Canada to visit he just
[00:02:46.000 --> 00:02:51.760]   Yeah, our of code and Apple as far as I know never I don't think they generally
[00:02:51.760 --> 00:02:57.280]   Pronounce his travel anywhere some people pick up on it or they know when he shows up somewhere, but um
[00:02:57.280 --> 00:03:05.120]   Yeah, they just recently the board recently ordered Tim never ever ever take commercial airlines anymore because
[00:03:05.120 --> 00:03:11.040]   Well, frankly, he's a target and I'm glad he's a national treasure. Yeah, he's a national treasure. I'm glad they're protecting
