
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[00:00:05.400 --> 00:00:07.400]   It's gonna be our weekly ritual of
[00:00:07.400 --> 00:00:11.360]   When's the new iPhone coming out? What's the new iPhone gonna include? Will there be a watch?
[00:00:11.360 --> 00:00:18.540]   Will there be an iPad will also play tribute to Tim Cook who seven years ago this week assumed the CEO man?
[00:00:18.540 --> 00:00:23.440]   Let Apple what's the Tim Cook era really been like it's all coming up next on Mac break quickly
[00:00:23.440 --> 00:00:28.880]   Netcast you love
[00:00:28.960 --> 00:00:30.960]   From people you trust
[00:00:30.960 --> 00:00:36.040]   This is great
[00:00:36.040 --> 00:00:48.240]   This is Mac break weekly episode 625 recorded Tuesday August 28th 2018
[00:00:48.240 --> 00:00:50.800]   another childless summer
[00:00:50.800 --> 00:00:57.720]   Mac break weekly is brought to you by cash fly make this the last month your CDN bill gives you a headache
[00:00:58.000 --> 00:01:05.800]   Join the thousands of others who trust cash flies reliable network for a complimentary detail analysis of your current CDN bill and usage trends
[00:01:05.800 --> 00:01:08.800]   visit twit.cashfly.com
[00:01:08.800 --> 00:01:15.400]   And by quip the first subscription electric toothbrush accepted by the American Dental Association
[00:01:15.400 --> 00:01:21.520]   Visit get quip.com/twit to get your first refill pack free when you purchase any quip electric toothbrush
[00:01:21.520 --> 00:01:27.400]   And by masterclass online classes taught by the world's greatest minds
[00:01:27.600 --> 00:01:34.560]   Visit masterclass.com/macbreak to unlock access to every masterclass for one low annual price
[00:01:34.560 --> 00:01:40.280]   It's time for Mac break weekly the show we talk about the latest news from Apple
[00:01:40.280 --> 00:01:44.560]   in the dead zone this is the this is the part of
[00:01:44.560 --> 00:01:51.240]   The orbit around the earth where you lose all radio contact for 15 minutes because Apple you know in two weeks is gonna
[00:01:51.240 --> 00:01:56.320]   Announce something we don't know what Renee Richie is here. He'll probably explain it all to us from i'm more calm
[00:01:56.320 --> 00:01:59.960]   He's waiting for the invitation and the anaco is here
[00:01:59.960 --> 00:02:05.760]   He's waiting to join us on our coverage of the keynote which I will not be here for nice to see you and
[00:02:05.760 --> 00:02:12.360]   From where are you Washington? Where are you home? I'm in DC. Yeah DC. Oh, yeah in the special set that you and Andy were on
[00:02:12.360 --> 00:02:14.920]   Did you get the peanut shells out of the carpet?
[00:02:14.920 --> 00:02:19.880]   Just barely we had a scrape now Alex Lindsay from the pixel core
[00:02:23.440 --> 00:02:25.880]   We could start with something like soft
[00:02:25.880 --> 00:02:28.840]   Like Tim Cook's Apple
[00:02:28.840 --> 00:02:36.760]   Hmm good article and abuse by yeah, little moose bush very good. Yeah little article by the guy named Renee Richie
[00:02:36.760 --> 00:02:42.360]   Did you draw that Tim Cook? I think you did yes. Yeah nicely done. Thank you nicely done
[00:02:42.360 --> 00:02:45.200]   all about
[00:02:45.200 --> 00:02:50.400]   The fact that seven years ago not today, but a few days ago seven years ago Steve Jobs
[00:02:51.640 --> 00:02:58.120]   stepped down effectively and said Tim Cook's gonna run the place Tim was the chief operating officer
[00:02:58.120 --> 00:03:02.080]   It's hard to believe it's only been seven years. He really has become identified with the company
[00:03:02.080 --> 00:03:07.880]   It's hard to believe considering how big a founder or co-founder Steve Jobs was yeah
[00:03:07.880 --> 00:03:11.440]   Yeah, and my dad sent me a nice note the other day saying oh
[00:03:11.440 --> 00:03:16.920]   About seven years ago. You said jobs is gone. You should sell your Apple stock. It's a good thing. We didn't
[00:03:16.920 --> 00:03:20.360]   Thanks Leo
[00:03:20.360 --> 00:03:22.360]   Thanks dad
[00:03:22.360 --> 00:03:30.560]   It's a good thing we didn't yeah, cuz I'd never hear the end of it then Tim Cook's done all right in seven years, huh?
[00:03:30.560 --> 00:03:34.000]   Yeah, I mean he took Apple to a trillion dollars
[00:03:34.000 --> 00:03:42.200]   Has he did you look in the numbers has he done more for the stock price than than Steve did on his from his return?
[00:03:42.200 --> 00:03:46.320]   I mean it's hard to talk it because it's such different times in such different places
[00:03:46.320 --> 00:03:49.040]   I mean an absolute value a trillion dollars is a trillion dollars
[00:03:49.040 --> 00:03:54.480]   And it's hard to also parse what jobs did to set up that rocket and how well you know
[00:03:54.480 --> 00:03:56.160]   Tim sat on it and wrote it into the stars
[00:03:56.160 --> 00:04:02.760]   So I think it's it's definitely a combined effort because jobs did everything to sort of structure the products of the company
[00:04:02.760 --> 00:04:06.880]   And then when Steve Jobs, sorry then when Tim Cook came in he sort of structured the company itself
[00:04:06.880 --> 00:04:11.720]   And those two things working in tandem. It reminds me of Pixar after Disney bought it
[00:04:11.720 --> 00:04:15.200]   You never get the heights of genius or the misses of genius
[00:04:15.800 --> 00:04:20.080]   But you get a much more normalized curve and I think Tim Cook's done a really good job writing that
[00:04:20.080 --> 00:04:26.720]   The only problem with Pixar is did they ever have it? Did they ever have a failure? I mean they have ever have a failed movie
[00:04:26.720 --> 00:04:30.580]   Which should have an incredible beat the irony of Pixar is that when Jobs bought it?
[00:04:30.580 --> 00:04:34.260]   He didn't think he was buying a movie company. He thought I was buying a hardware company
[00:04:34.260 --> 00:04:38.440]   Yeah, right and nothing to do with Toy Story or anything in fact
[00:04:38.440 --> 00:04:45.280]   Steve didn't really want anything to do with Pixar until it was it won an Academy Award and then he said
[00:04:45.280 --> 00:04:50.840]   Oh, yeah, I'm responsible here. What who owns what where well he did he did he didn't take them
[00:04:50.840 --> 00:04:52.360]   You know he gave George
[00:04:52.360 --> 00:04:57.160]   I think it was ten million dollars for Pixar and you know he had and it was kind of a you know
[00:04:57.160 --> 00:04:58.520]   He was really interested in that part
[00:04:58.520 --> 00:05:02.240]   I mean obviously the Mac had been very graphics oriented and so that was something that he was
[00:05:02.240 --> 00:05:07.640]   You know kind of connected to and he really gave the guys free wheel to develop this
[00:05:07.640 --> 00:05:10.120]   I mean he knew it was gonna go somewhere. He just didn't know when or how and
[00:05:10.120 --> 00:05:14.160]   Tell us what they did because I I don't know if people know this story
[00:05:14.800 --> 00:05:15.640]   Oh
[00:05:15.640 --> 00:05:20.720]   Yeah, so they you know what how they you know they had the Pixar machine the Pixar machine was the graphics
[00:05:20.720 --> 00:05:22.880]   Machine that did did the work
[00:05:22.880 --> 00:05:28.480]   You know did the rendering and it actually did compositing and did a bunch of other things and then the and you had Ed
[00:05:28.480 --> 00:05:33.560]   Catmall and a handful of other folks that were there figuring this out computer graphics and they wasn't for them though
[00:05:33.560 --> 00:05:39.480]   It was for other company they worked it they were owned by Lucasfilm. So oh, that's Lucasfilm
[00:05:39.480 --> 00:05:42.760]   So this was part of Lucasfilm. This was like a little group that was in Lucasfilm
[00:05:42.760 --> 00:05:48.440]   and I think they used it for the young Sherlock Holmes was the first graphics that they actually produced it was the the the
[00:05:48.440 --> 00:05:51.960]   Stanglessy
[00:05:51.960 --> 00:05:59.120]   thing last night and so so they did that render and and so they but it was just not catching up and it was like
[00:05:59.120 --> 00:06:01.360]   Well, we're not really I don't know when this is gonna turn out
[00:06:01.360 --> 00:06:07.640]   We're really using mostly miniatures and and models and that's what we should just focus on and and you know
