;FFMETADATA1
title=Schmigadoon
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=734
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.900]   It's time for Mac break weekly and he's here Renee's here. Lori's here and we all got invitations
[00:00:06.900 --> 00:00:10.200]   You probably did too to the Apple event next week
[00:00:10.200 --> 00:00:17.600]   We get Renee Richie's fever dream predictions about what he wants Apple to announce next week
[00:00:17.600 --> 00:00:21.520]   We'll talk about what Apple more likely will announce next week
[00:00:21.520 --> 00:00:28.260]   Also some changes in the Apple store that may be an indicator that something else is going on soon
[00:00:28.660 --> 00:00:34.320]   The T2 chip why you shouldn't be too worried about security issues with that Apple watch
[00:00:34.320 --> 00:00:41.460]   Getting in gear and some new shows for Apple TV plus there's lots to talk about it's all next on Mac break weekly
[00:00:41.460 --> 00:00:45.160]   Mac break weekly is brought to you from last past studios
[00:00:45.160 --> 00:00:51.780]   Securing every access point in your company doesn't have to be a challenge last past unifies access and authentication
[00:00:51.780 --> 00:00:57.560]   To make securing your employees simple and secure even when they're working remotely
[00:00:57.700 --> 00:01:01.240]   Check out last past calm slash twit to learn more
[00:01:01.240 --> 00:01:06.800]   Podcasts you love from people you trust
[00:01:06.800 --> 00:01:09.960]   This is twit
[00:01:09.960 --> 00:01:15.440]   This is Mac break weekly episodes
[00:01:15.440 --> 00:01:20.340]   734 recorded Tuesday October 6th 2020
[00:01:20.340 --> 00:01:23.040]   Shmigadoon
[00:01:23.040 --> 00:01:25.900]   This episode of Mac break weekly is brought to you by
[00:01:26.740 --> 00:01:35.200]   Extra hop extra hop helps you keep your business secure and available with SaaS based cloud native network detection and
[00:01:35.200 --> 00:01:43.160]   Response learn more about how extra hop stops breaches 70% faster and experience the free trial for yourself and extra hop
[00:01:43.160 --> 00:01:45.840]   Dot com slash twit and by
[00:01:45.840 --> 00:01:55.240]   Worldwide technology worldwide technologies advanced technology centers like no other testing and research lab with more than half a billion dollars of equipment
[00:01:55.560 --> 00:02:02.260]   Including solutions from key partners like Intel corporation and its virtual so you can access it 24/7
[00:02:02.260 --> 00:02:09.820]   To learn more and to get insights into all that the ATC offers go to ww t dot com slash twit
[00:02:09.820 --> 00:02:12.300]   It's time for Mac break weekly
[00:02:12.300 --> 00:02:14.580]   The show where we cover the latest is
[00:02:14.580 --> 00:02:21.020]   From Apple and there is news from Apple so it's good Lori Gill is here
[00:02:21.120 --> 00:02:26.200]   She is the managing editor at imore dot com hello miss Gil
