;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[00:00:04.360 --> 00:00:08.500]   But Renee's back from his Apple briefings Lux to talk about with iOS 15
[00:00:08.500 --> 00:00:17.760]   Spatial audio we've got those new beats pods in house. There's a whole lot more coming up Andy Renee and me back break weekly is next
[00:00:17.760 --> 00:00:23.080]   Podcasts you love from people you trust
[00:00:23.080 --> 00:00:26.240]   This is great
[00:00:27.020 --> 00:00:32.760]   This is Mac break weekly episode
[00:00:32.760 --> 00:00:37.340]   770 recorded Tuesday June 15th 2021
[00:00:37.340 --> 00:00:40.080]   Poseidon's laptop
[00:00:40.080 --> 00:00:45.840]   Mac break weekly is brought to you by audible for a limited time Amazon Prime members can say
[00:00:45.840 --> 00:00:49.840]   53% on four months of audible. That's only 695 a month
[00:00:50.040 --> 00:00:58.640]   Take advantage of this incredible limited time offer at audible.com/macbreak and if you're listening after this limited time offers
[00:00:58.640 --> 00:01:04.760]   Expired and you're a new member try audible plus for 30 days with a free trial at audible.com/macbreak
[00:01:04.760 --> 00:01:09.680]   You can also text Mac break to 500 500 and by
[00:01:09.680 --> 00:01:17.120]   Udacity gain in-demand tech skills in as little as three months with Udacity's part-time online tech courses
[00:01:17.280 --> 00:01:24.920]   Visit Udacity.com/twit and get 75% off any program with the code twits 75 offer ends June 30th
[00:01:24.920 --> 00:01:28.800]   2021 and by AT&T active armor
[00:01:28.800 --> 00:01:36.640]   We rely so much on our phones these days and are always on them whether it's live streaming content catching up with family on weekly video calls or
[00:01:36.640 --> 00:01:46.120]   Watching your favorite podcast. There's no room for fraud calls. Thankfully AT&T makes customer security a priority helping block those pesky calls
[00:01:46.320 --> 00:01:49.520]   It's not complicated AT&T active armor
[00:01:49.520 --> 00:01:56.480]   24/7 proactive network security and front-call blocking to help stop threats at no extra charge
[00:01:56.480 --> 00:02:02.520]   compatible device and service required visit att.com/active armor for details
[00:02:02.520 --> 00:02:09.360]   It's time for mmmacbreak weekly the show we cover the latest news from Apple and we are kind of in the
[00:02:11.320 --> 00:02:16.080]   In the moment, you know after all the excitement you take a deep breath
[00:02:16.080 --> 00:02:20.200]   And now you kind of reflect a cigarette have a cigarette
[00:02:20.200 --> 00:02:26.560]   Renee Richie in the post climactic mode. Hello Renee
[00:02:26.560 --> 00:02:32.880]   Hello Leo, let's look it to be back. We missed you. We missed you, but you were busy getting all the details
[00:02:32.880 --> 00:02:34.880]   What you are now going to share with us
[00:02:34.880 --> 00:02:40.240]   Yes, absolutely about all the stuff Apple announced Renee was also on this week in tech on Sunday
[00:02:40.240 --> 00:02:42.240]   It was really good to have you
[00:02:42.240 --> 00:02:48.200]   Turned out to be a more Mac issue panel than I thought Jason Snell you and then I thought well
[00:02:48.200 --> 00:02:53.840]   Well, I felt Michaels from Tom's guide because you know he could talk about other stuff turns out he was a Mac guy too, so
[00:02:53.840 --> 00:03:00.440]   It was all Mac world spread everywhere. It was okay. I have people in the chatroom going if this is gonna be all Mac
[00:03:00.440 --> 00:03:02.440]   I'm gonna go have a sandwich
[00:03:02.440 --> 00:03:09.480]   We got to other things don't worry and Enocho's also here WGB agent Boston hello Andrew
[00:03:09.520 --> 00:03:14.440]   Hello, I thought of it more like like the when the when the circus has been in town
[00:03:14.440 --> 00:03:18.960]   And like you had a great time for the past couple days and now you're just watching them strike the tents
[00:03:18.960 --> 00:03:23.880]   Yeah, and you're like oh the elephants are going back to the real yard. Yeah, well
[00:03:23.880 --> 00:03:35.200]   Not this not the nackers not the nackers yard the real yard they get back on the train and they go to another town
[00:03:35.560 --> 00:03:38.520]   The car needs of all like hit the pawn shops. Yeah
[00:03:38.520 --> 00:03:43.960]   Soldiers
[00:03:43.960 --> 00:03:47.640]   Grim
[00:03:47.640 --> 00:03:51.800]   Get that get that Colt malt 40 liquor and take the tents down everybody
[00:03:51.800 --> 00:04:02.400]   But I think it was so Mac world I'm sorry WWDC is over for another year. I think it was a good dub dub
[00:04:02.800 --> 00:04:08.720]   I'm seeing some people saying oh I think some of it because everybody wanted to see a Mac book
[00:04:08.720 --> 00:04:15.160]   With a new channel that and we talked about this on Sunday, but actually Apple kind of oops
[00:04:15.160 --> 00:04:22.920]   Little oops somebody in the basement the guy who is responsible for creating the tags for the YouTube video for the WWDC keynote
[00:04:22.920 --> 00:04:25.400]   Didn't get the memo
[00:04:25.400 --> 00:04:30.880]   excuse me I'm down here in the amazement and I and he's adding the tags and
[00:04:32.160 --> 00:04:33.600]   Added
[00:04:33.600 --> 00:04:35.600]   Advertently or inadvertently it's unclear
[00:04:35.600 --> 00:04:38.760]   some interesting tags m1x
[00:04:38.760 --> 00:04:41.760]   An unannounced processor
[00:04:41.760 --> 00:04:47.760]   Presumably the success of them one and even more intriguingly Mac book pro m1x
[00:04:47.760 --> 00:04:54.400]   So Renee is that a mistake or is that intentional or is it meaningless?
[00:04:54.400 --> 00:04:58.880]   I mean for all intents the purposes for us because we didn't get it
[00:04:58.880 --> 00:05:05.560]   It's meaningless, but it is a curiosity and you never know if it is somebody who's like just sitting there with his optimization tools
[00:05:05.560 --> 00:05:12.800]   Getting suggested keywords based on other videos that have wbc and then he's just like oh at all of these not realizing that SEO on YouTube
[00:05:12.800 --> 00:05:16.600]   It's completely different than it is on Google and nobody nobody cares about your dantar eggs anymore
[00:05:16.600 --> 00:05:20.640]   They just don't have really any effect on a video, but that's sort of one of those below the radar
[00:05:20.640 --> 00:05:23.680]   Screwups it could go either way
[00:05:23.680 --> 00:05:24.680]   I
[00:05:24.680 --> 00:05:31.360]   Other people are saying the event was 15 minutes shorter than it was last year. It's a baby. Yeah, I mean if you're planning to eat
[00:05:31.360 --> 00:05:36.440]   You can use the full two hours to the to the second
[00:05:36.440 --> 00:05:40.280]   And there was only an hour 45
[00:05:40.280 --> 00:05:47.400]   There's also, you know, I wish Alex were here because last time on the last Apple event. He was the one who said there's two jump cuts
[00:05:47.400 --> 00:05:53.440]   That's where they snipped out the content. I didn't notice any jump cuts, but I wasn't looking for them Alex would have seen them
[00:05:54.320 --> 00:05:58.640]   This is by the way, it's not something I could see how you might put it in and forget it
[00:05:58.640 --> 00:06:02.800]   Because it's not something you see at the bottom of the video or anything. It's literally in the HTML
[00:06:02.800 --> 00:06:05.280]   code as a meta tag
[00:06:05.280 --> 00:06:10.840]   So clearly it's clearly not part of the way to add it like checklist. Yeah, but somebody typed it in and
[00:06:10.840 --> 00:06:13.440]   Obviously, yeah, it's not obvious anymore
[00:06:13.440 --> 00:06:18.720]   Like you like YouTube doesn't surface that anymore. They hide that you have to go press a button
[00:06:18.720 --> 00:06:23.160]   And then it says these tags are really only meant for common misspellings of words and you're gonna just like okay
[00:06:23.160 --> 00:06:26.840]   I'm gonna fill a bunch of them in anyway. Oh, that's interesting. Oh, do it for you
[00:06:26.840 --> 00:06:31.080]   Oh, that's interesting, which is my guess is like SEO tools are just still stuck on this stuff
[00:06:31.080 --> 00:06:33.480]   And what one X makes sense?
[00:06:33.480 --> 00:06:36.680]   That's what Apple did with the iPad and iPhone
[00:06:36.680 --> 00:06:41.920]   Processors the iPad's traditionally had a 14 X for instance, right?
[00:06:41.920 --> 00:06:47.280]   Yeah, I told X a 12 X. Yeah, so that would be next generation
[00:06:47.280 --> 00:06:50.640]   Well, so it wouldn't be next generation
[00:06:50.960 --> 00:06:54.720]   The numbers are the generation. Oh the way that Apple measures silicon IP
[00:06:54.720 --> 00:07:00.920]   So like a 14 is this current generation M1 is an a 14 generation chip the next generation will be M2
[00:07:00.920 --> 00:07:05.480]   Which is the same as the M1 ultra low power meant for Mac books and entry level
[00:07:05.480 --> 00:07:10.420]   Mac minis and and I and I pad pro sorry Mac book pros
[00:07:10.420 --> 00:07:15.120]   The X means it's extended so it has extra capabilities extra cores
[00:07:15.120 --> 00:07:18.400]   Extra IP like sometimes it has extra memory bandwidth
[00:07:18.400 --> 00:07:23.760]   So it's like the super sized version of the current chip. Oh, that's interesting same generation in terms of IP
[00:07:23.760 --> 00:07:27.160]   So that's something that might disappoint some people
[00:07:27.160 --> 00:07:33.840]   You know if they want a 16 inch MacBook Pro with the Apple silicon they might want an M2
[00:07:33.840 --> 00:07:37.880]   But maybe that's next year. It will be early a 15 comes out
[00:07:37.880 --> 00:07:45.920]   Yeah, like some time the earliest it could be a September when the a 50 generation of of our chipsets are ready because really an M1 X is an a 14 X
[00:07:46.960 --> 00:07:51.640]   Basically and Apple hasn't done the X versions every year like they started doing them with like gangbusters
[00:07:51.640 --> 00:07:56.440]   But then we got to like the a 10 they didn't do an a 11. They didn't do an a 13 X. They started skipping
[00:07:56.440 --> 00:07:59.960]   Generation just do they do an M2 like yeah
[00:07:59.960 --> 00:08:03.320]   Standard our eyes
[00:08:03.320 --> 00:08:08.080]   Well, they didn't like their product update schedule wasn't as fast the only they made new iPhones every year
[00:08:08.080 --> 00:08:13.920]   But they only made new iPad pros every 18 months basically for several years according to mr. German
[00:08:15.440 --> 00:08:21.080]   This chip will have up to 32 GPU cores that is a question. I asked this on Sunday because my
[00:08:21.080 --> 00:08:23.760]   nephew will
[00:08:23.760 --> 00:08:30.880]   Graduated from the round school of design this month and I was gonna give him a new MacBook. He needs it for work and
[00:08:30.880 --> 00:08:35.040]   Which surprised me I said no, they'll give you one. He said no, they don't I
[00:08:35.040 --> 00:08:39.320]   Said wait you get your a new job and they expect you to bring your own laptop. He said yeah
[00:08:39.320 --> 00:08:44.240]   So I and his is put I know his potential boss
[00:08:45.200 --> 00:08:49.840]   Said oh make sure you get the radion whatever it is 50 800 m the top of the line
[00:08:49.840 --> 00:08:51.840]   Intel
[00:08:51.840 --> 00:08:53.840]   MacBook Pro and
[00:08:53.840 --> 00:08:55.920]   And I said well I
[00:08:55.920 --> 00:08:58.720]   Based on what I'm seeing with for instance Adobe which is said
[00:08:58.720 --> 00:09:04.600]   Kind of misleadingly our apps are twice as fast in the M1 compared to the I5
[00:09:04.600 --> 00:09:07.360]   I
[00:09:07.360 --> 00:09:10.960]   Presumed that a next generation Apple chip would have
[00:09:10.960 --> 00:09:13.280]   Would it have?
[00:09:13.280 --> 00:09:15.040]   800
[00:09:15.040 --> 00:09:20.200]   Capable a quality graphics I presume it would I don't think you need I don't think you need next generation
[00:09:20.200 --> 00:09:25.840]   I don't think it's a it's a product so even they m1x would have the same cores like each core would be the same the
[00:09:25.840 --> 00:09:29.960]   Performance cores would be the same the graphics cores would be the same they would just have more of them
[00:09:29.960 --> 00:09:34.520]   Especially more performance cores and more GPU cores maybe because if there's different cooling systems
[00:09:34.520 --> 00:09:39.480]   Maybe they could tune the frequencies slightly faster, but they're reticent to touch battery life on a lot of these devices
[00:09:39.480 --> 00:09:44.120]   A frequency would have more of them and that's a case with the M1 right now is there all the same frequency, right?
[00:09:44.120 --> 00:09:48.840]   Yes, so just cool or don't cool and then they wrap down or don't wrap down
[00:09:48.840 --> 00:09:54.080]   Very little difference really between all the M1s currently. Yeah, in fact, I was gonna buy I thought give up
[00:09:54.080 --> 00:09:59.680]   After this and I was gonna I'm just gonna buy a Mac mini so I can use it on my desktop
[00:09:59.680 --> 00:10:00.520]   And then I thought wait a minute
[00:10:00.520 --> 00:10:04.360]   Just get a doc because your M1 Mac would pros as good as the Mac mini yes
