;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[00:00:05.720 --> 00:00:12.560]   We're gonna talk about of course Elon Musk declaring war on Apple who would win that war do you think hmm?
[00:00:12.560 --> 00:00:20.360]   Big trouble in little China and now you can dive with your app or watch ultra. It's all coming up next a Mac break weekly
[00:00:20.360 --> 00:00:25.840]   Podcasts you love from people you trust
[00:00:25.840 --> 00:00:29.040]   This is to it
[00:00:29.040 --> 00:00:37.600]   This is Mac break weekly episode 846 recorded Tuesday November 29th
[00:00:37.600 --> 00:00:40.840]   2022 one nil to the arsenal
[00:00:40.840 --> 00:00:48.320]   This episode of Mac break weekly is brought to you by eight sleep for a limited time eight sleep is offering twit listeners up to
[00:00:48.320 --> 00:00:53.520]   $400 off their sleep fit holiday bundle by visiting eight sleep calm slash
[00:00:53.720 --> 00:01:00.960]   Twit after November 30th go to eight sleep calm slash twit to check out the pod and look for other exclusive holiday savings or
[00:01:00.960 --> 00:01:04.320]   Save $150 at checkout with our usual offer and
[00:01:04.320 --> 00:01:13.880]   Buy the new and recently updated TriCaster to elite by new tech the most complete live production system on the planet
[00:01:13.880 --> 00:01:20.400]   There's a TriCaster for every production including yours visit go.newtech.com/twit-tv
[00:01:21.000 --> 00:01:25.160]   We're an interactive guide. I'll advise you on which TriCaster is right for you
[00:01:25.160 --> 00:01:29.680]   Thanks for listening to this show as an ad supported network
[00:01:29.680 --> 00:01:36.640]   We are always looking for new partners with products and services that will benefit our qualified audience
[00:01:36.640 --> 00:01:42.720]   Are you ready to grow your business reach out to advertise at twit.tv and launch your campaign now?
[00:01:42.720 --> 00:01:48.440]   It's time for Mac break weekly the show we cover the latest news from Apple
[00:01:49.080 --> 00:01:56.200]   Joining us now from his fortress of solitude in beautiful downtown office hours.dak global Alex Lindsay
[00:01:56.200 --> 00:02:00.320]   When you start with that intro I'm like, I don't know who's gonna go to I know
[00:02:00.320 --> 00:02:04.720]   I like to keep all this like you know, who else doesn't know John Ashley is going to go
[00:02:04.720 --> 00:02:09.200]   I'll tell you buttons is going what does that mean? Who is this gonna be?
[00:02:09.200 --> 00:02:15.560]   I like to mix it up. Keep you on your toes. Hello. Mr. Lindsey. Hello. Hello. How are you today?
[00:02:15.720 --> 00:02:22.360]   It's good to be here looking gorgeous as always why thank you by which I mean you're not you but you know your shot
[00:02:22.360 --> 00:02:27.080]   That's Annie and I go got him to laugh
[00:02:27.080 --> 00:02:37.360]   Laughter because that was funny, but also an appreciation for very few people who are not like Italian mothers
[00:02:37.360 --> 00:02:43.880]   Can really get the combination of a compliment, but then I check back in the head. I'm well trained. I'm well trained
