;FFMETADATA1
title=MacOS: The Lustmaker
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2023-01-18
track=853
language=English
genre=Podcast
comment=M2 Mac Mini, M2 Pro MacBook Pro, wInd3x
encoded_by=Uniblab 5.3
date=2023
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.220]   It's time for Mac break weekly low and behold just hours before airtime
[00:00:04.220 --> 00:00:11.180]   Apple ship new Macs what we have by announced them anyway. They're shipping them next week
[00:00:11.180 --> 00:00:17.860]   We will have review units next week new Mac books a new Mac mini a new Mac M2
[00:00:17.860 --> 00:00:21.800]   Pro and Macs all coming up next a Mac break weekly
[00:00:21.800 --> 00:00:29.540]   Once again time for the Twit audience survey the annual survey helps us understand you so we can make your listening experience
[00:00:29.540 --> 00:00:34.600]   Even better and only takes a couple of minutes, but it sure helps us out a lot completely optional
[00:00:34.600 --> 00:00:38.120]   But if you could please go to twit.tv/survey
[00:00:38.120 --> 00:00:41.920]   23 that's twit.tv/survey
[00:00:41.920 --> 00:00:43.960]   23
[00:00:43.960 --> 00:00:47.020]   You have till the end of the month, but if you would do me a favor and do it today
[00:00:47.020 --> 00:00:53.020]   I can stop mentioning it twit.tv/survey 23 in thanks in advance
[00:00:53.020 --> 00:00:58.780]   Podcasts you love from people you trust
[00:00:59.780 --> 00:01:01.780]   This is twit
[00:01:01.780 --> 00:01:12.160]   This is Mac break weekly episode 853 recorded Tuesday January 17th 2023
[00:01:12.160 --> 00:01:14.760]   Mac OS the list maker
[00:01:14.760 --> 00:01:18.080]   This episode of Mac break weekly is brought to you by
[00:01:18.080 --> 00:01:22.260]   sleep good sleep is the ultimate game changer in the pot cover
[00:01:22.260 --> 00:01:27.760]   That's the ultimate sleep machine go to eight sleep comm slash twit to check out the pod cover
[00:01:27.860 --> 00:01:36.400]   That's a hundred fifty dollars at checkout eight sleep currently ships within the US, Canada the UK and select countries in the EU and Australia
[00:01:36.400 --> 00:01:41.660]   And by zip recruiter your company has goals this year
[00:01:41.660 --> 00:01:49.160]   Find the right people to help you achieve them with zip recruiter where four out of five employers get a quality candidate within the first day
[00:01:49.160 --> 00:01:53.660]   Try it free at zip recruiter.com/macbreak
[00:01:54.740 --> 00:01:58.040]   Thanks for listening to this show as an ad supported network
[00:01:58.040 --> 00:02:04.980]   We are always looking for new partners with products and services that will benefit our qualified audience
[00:02:04.980 --> 00:02:11.100]   Are you ready to grow your business reach out to advertise at twit.tv and launch your campaign now?
[00:02:11.100 --> 00:02:15.940]   It's time for Mac break weekly coming to you from the beautiful
[00:02:15.940 --> 00:02:18.860]   Twits studios brought to you by IT pro
[00:02:19.620 --> 00:02:25.620]   Now known as ACI learning. Hello everybody Leo LaPorte here and very excited
[00:02:25.620 --> 00:02:33.180]   Let's welcome our panel so we can get right to the meat of the matter. Jason Snell is here six colors dot com. Hello Jason
[00:02:33.180 --> 00:02:38.200]   Hello Leo, it's good to be here and isn't it nice that Apple did something for us so that we can
[00:02:38.200 --> 00:02:41.900]   Elon Musk yeah a little while and talk about
[00:02:41.900 --> 00:02:47.720]   Max they gave us something to say hmm Andy and I go WJ
[00:02:47.720 --> 00:02:49.540]   Bert
[00:02:49.540 --> 00:02:50.840]   Hello Andrew
[00:02:50.840 --> 00:02:52.760]   Hey there. Hi there. I'm just one as well
[00:02:52.760 --> 00:02:58.120]   Let's you know and everyone watch on YouTube that I'm now in week number two of not being able to find my 4k
[00:02:58.120 --> 00:03:04.840]   Logitech Brio camera after T after after doing one show in a conference room at the library. I think you left it in the library
[00:03:04.840 --> 00:03:08.640]   I can't you know what I'm I'm gonna go and check
