
[00:00:00.000 --> 00:00:04.000]   [MUSIC]
[00:00:04.000 --> 00:00:06.000]   Podcasts you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [MUSIC]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:14.000]   [MUSIC]
[00:00:14.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly at cachafly.com.
[00:00:22.000 --> 00:00:27.000]   This is MacBreak Weekly number eight for September 26th,
[00:00:27.000 --> 00:00:30.000]   2006. Wax on, wax off.
[00:00:30.000 --> 00:00:42.000]   [MUSIC]
[00:00:42.000 --> 00:00:50.000]   Welcome to MacBreak Weekly.
[00:00:50.000 --> 00:00:54.000]   I'm Leo LaPortz with me Alex Lindsey from the Picsul Corps,
[00:00:54.000 --> 00:00:57.000]   back from Detroit, the Motor City.
[00:00:57.000 --> 00:00:58.000]   Hello.
[00:00:58.000 --> 00:00:59.000]   Hey Alex, welcome back.
[00:00:59.000 --> 00:01:00.000]   We missed you.
[00:01:00.000 --> 00:01:01.000]   How's it going?
[00:01:01.000 --> 00:01:03.000]   From PodcastingTricks.com and the iLifeZone
[00:01:03.000 --> 00:01:06.000]   and TricksTricks and TricksForKids.com.
[00:01:06.000 --> 00:01:07.000]   Scott Borne.
[00:01:07.000 --> 00:01:08.000]   Hi Leo.
[00:01:08.000 --> 00:01:12.000]   Hi Scott and Merlin Mann of 43folders.com.
[00:01:12.000 --> 00:01:14.000]   We were just measuring earlier.
[00:01:14.000 --> 00:01:17.000]   We all had it whipped out and we were saying who had the most
[00:01:17.000 --> 00:01:20.000]   traffic and the hits, but I got to say I'm pretty impressed with
[00:01:20.000 --> 00:01:21.000]   what did you say?
[00:01:21.000 --> 00:01:22.000]   One and a half million.
[00:01:22.000 --> 00:01:23.000]   No, that's crazy talk.
[00:01:23.000 --> 00:01:27.000]   You're lumber way out, lengths and circumference doesn't mind.
