;FFMETADATA1
album=MacBreak Weekly October 2007
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and John Siracusa
comment=http://twit.tv/mbw64
genre=Podcast
title=MacBreak Weekly 64: Hello Leopard
date=2007

[00:00:00.000 --> 00:00:06.120]   Netcast you love.
[00:00:06.120 --> 00:00:09.920]   From people you trust.
[00:00:09.920 --> 00:00:13.800]   This is Twit.
[00:00:13.800 --> 00:00:20.440]   Ban with for Mac Break Weekly is provided by CashFly@CACHEFLY.com.
[00:00:20.440 --> 00:00:26.000]   This is Mac Break Weekly, Episode 64 for October 30, 2007.
[00:00:26.000 --> 00:00:34.160]   Hello, Leopard.
[00:00:34.160 --> 00:00:39.040]   It's time for Mac Break Weekly, the Leopard Power Edition, and you know I was just thinking
[00:00:39.040 --> 00:00:45.880]   that our show notes guy suggested this, that we should probably begin Mac Break Weekly.
[00:00:45.880 --> 00:00:53.160]   As we ended last week with the last speech synthesis from Tiger, we began this week,
[00:00:53.160 --> 00:00:55.000]   you guys didn't get a chance to hear it.
[00:00:55.000 --> 00:00:59.640]   With Alex, he's the guy who did the CashFly announcement.
[00:00:59.640 --> 00:01:01.040]   Man that synthesizer sounds good.
[00:01:01.040 --> 00:01:03.520]   Ladies and gentlemen, Andy Inako from the Chicago Sun Times.
[00:01:03.520 --> 00:01:05.240]   Hello Andy.
[00:01:05.240 --> 00:01:10.000]   It's a good day to be in New England sports fan Leo.
[00:01:10.000 --> 00:01:14.960]   Bad day to think that you can teach the Ross and Red Sox, the Mighty Boss and Red Sox.
[00:01:14.960 --> 00:01:18.000]   Anything about this great August sport of baseball.
[00:01:18.000 --> 00:01:21.840]   Well I have to say, I thought you were supposed to wait 80 years between World Series, but
[00:01:21.840 --> 00:01:22.840]   I guess okay.
[00:01:22.840 --> 00:01:26.080]   Well we're doing some deficit spending.
[00:01:26.080 --> 00:01:30.640]   We're okay with spending the next 160 years without a championship.
[00:01:30.640 --> 00:01:32.560]   Well that's not bad.
[00:01:32.560 --> 00:01:33.560]   It's not so awful.
[00:01:33.560 --> 00:01:35.560]   Anyway, congratulations.
[00:01:35.560 --> 00:01:38.680]   I still have a little, bleed a little red and white.
[00:01:38.680 --> 00:01:41.320]   I'm a Red Sox fan from Wayback.
[00:01:41.320 --> 00:01:45.440]   Let's say I also to Scott Borne, who is of course at the Apple phone show and Girls Gone
[00:01:45.440 --> 00:01:46.440]   Geek.
[00:01:46.440 --> 00:01:47.440]   Scott, good to talk to you.
[00:01:47.440 --> 00:01:49.440]   I'm still pulling from the Cincinnati Reds.
[00:01:49.440 --> 00:01:50.440]   I will pull on.
[00:01:50.440 --> 00:01:51.440]   How'd they do?
[00:01:51.440 --> 00:01:52.440]   I'll pull on dude.
[00:01:52.440 --> 00:01:56.320]   I said Johnny Penn has that sort of fudge hitting technique that will bring us through
[00:01:56.320 --> 00:01:57.840]   the National League.
[00:01:57.840 --> 00:02:01.680]   And I believe on the line with this right now, John Syracuse from ours Technica.
[00:02:01.680 --> 00:02:02.680]   Hi John.
[00:02:02.680 --> 00:02:03.680]   Hey, how you doing?
[00:02:03.680 --> 00:02:04.680]   It's good to talk to you.
[00:02:04.680 --> 00:02:05.680]   You too.
[00:02:05.680 --> 00:02:08.040]   So who were you written for in the World Series?
[00:02:08.040 --> 00:02:09.680]   The Yankees.
[00:02:09.680 --> 00:02:10.680]   He's in New York.
[00:02:10.680 --> 00:02:14.080]   Yeah, well not the World Series obviously, but I pretty much stopped watching when they
[00:02:14.080 --> 00:02:15.080]   lost.
[00:02:15.080 --> 00:02:16.880]   No Red Sox fan, I suspect there.
[00:02:16.880 --> 00:02:19.120]   No transplant, I grew up in New York.
[00:02:19.120 --> 00:02:20.120]   Oh well.
[00:02:20.120 --> 00:02:21.200]   Yeah, I'm so glad you could join us.
