;FFMETADATA1
album=MacBreak Weekly November 2007
artist=Leo Laporte, Scott Bourne, Alex Lindsay, Chris Breen, and Liana Lehua
comment=http://twit.tv/mbw67
genre=Podcast
title=MacBreak Weekly 67: Kindle-ing the Flame
date=2007
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.680]   This is Detroit.
[00:00:12.680 --> 00:00:14.280]   [ Music ]
[00:00:14.280 --> 00:00:17.120]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.120 --> 00:00:21.760]   cashfly@cachafly.com.
[00:00:21.760 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.480]   This is Mac Break Weekly, Episode 67, for November 20, 2007.
[00:00:34.480 --> 00:00:36.480]   Kindling the Flame.
[00:00:36.480 --> 00:00:40.040]   [ Music ]
[00:00:40.040 --> 00:00:43.320]   Mac Break Weekly is brought to you by Audible.com.
[00:00:43.320 --> 00:00:48.960]   For your free audio book, visit Audible.com/MacBreak.
[00:00:48.960 --> 00:00:51.880]   [ Music ]
[00:00:51.880 --> 00:00:55.640]   Time for Mac Break Weekly, the show that talks all about Macs.
[00:00:55.640 --> 00:00:58.800]   And of course today it's going to sound exactly like the Apple phone show because
[00:00:58.800 --> 00:01:01.800]   we've got Apple phone show all over it.
[00:01:01.800 --> 00:01:04.920]   You've got Apple phone show on my Mac Break Weekly.
[00:01:04.920 --> 00:01:08.080]   You've got Mac Break Weekly on my Apple phone show.
[00:01:08.080 --> 00:01:12.560]   That's Scott Moore in laughing at my merciless jokes.
[00:01:12.560 --> 00:01:13.560]   Hello Scott.
[00:01:13.560 --> 00:01:15.560]   Hi, how's it going?
[00:01:15.560 --> 00:01:18.200]   Well, you know, at the Apple phone show we're the kind of
[00:01:18.200 --> 00:01:23.200]   Sherry people who like to contribute to the podcasting community whenever we can.
[00:01:23.200 --> 00:01:27.240]   Sherry people.
[00:01:27.240 --> 00:01:29.240]   Leanna LaHooa with the gratuitous laugh.
[00:01:29.240 --> 00:01:30.240]   Hello, Leanna.
[00:01:30.240 --> 00:01:31.240]   Thank you for joining us again.
[00:01:31.240 --> 00:01:32.240]   Oh, you're welcome.
[00:01:32.240 --> 00:01:33.240]   Good morning.
[00:01:33.240 --> 00:01:34.240]   Thank you for having me.
[00:01:34.240 --> 00:01:36.240]   From girlsgonegeek.tv.
[00:01:36.240 --> 00:01:40.480]   Oh, I see Chris Breen is also here.
[00:01:40.480 --> 00:01:42.480]   Hello, Chris Breen from the desert.
[00:01:42.480 --> 00:01:44.680]   Hello, Leanna Port from here in the desert.
[00:01:44.680 --> 00:01:45.680]   Yes, it is.
[00:01:45.680 --> 00:01:46.680]   In the desert.
[00:01:46.680 --> 00:01:48.320]   Brother, it's gorgeous here.
[00:01:48.320 --> 00:01:50.680]   And guess who just popped in?
[00:01:50.680 --> 00:01:51.680]   Can you hear me?
[00:01:51.680 --> 00:01:52.680]   Alex Lindsey.
[00:01:52.680 --> 00:01:53.880]   Can you hear me?
[00:01:53.880 --> 00:01:54.880]   Alex, can you hear me?
[00:01:54.880 --> 00:01:55.880]   Lindsay.
[00:01:55.880 --> 00:01:57.880]   Hey, Alex.
[00:01:57.880 --> 00:01:58.880]   Hello.
[00:01:58.880 --> 00:02:03.960]   We got a big round table today to talk about absolutely nothing.
[00:02:03.960 --> 00:02:08.280]   All I got is a red email that says, look and see the specials at the Apple store on
[00:02:08.280 --> 00:02:10.240]   Friday.
[00:02:10.240 --> 00:02:11.600]   But no, that's a big news.
[00:02:11.600 --> 00:02:12.600]   That's a big news for the week.
[00:02:12.600 --> 00:02:14.520]   That is it right there.
[00:02:14.520 --> 00:02:15.520]   Ready set shop.
[00:02:15.520 --> 00:02:21.440]   Don't miss our special one day shopping event, but they don't tell you what's going to happen.
[00:02:21.440 --> 00:02:23.360]   Do I have to go there or can I do this online?
[00:02:23.360 --> 00:02:24.360]   Oh, that's interesting.
[00:02:24.360 --> 00:02:25.360]   Online.
[00:02:25.360 --> 00:02:27.960]   I never want to leave my house the day after Thanksgiving.
[00:02:27.960 --> 00:02:28.960]   Ever.
[00:02:28.960 --> 00:02:30.600]   So it's only online.
[00:02:30.600 --> 00:02:31.600]   No, it's both.
[00:02:31.600 --> 00:02:32.600]   Oh, OK.
[00:02:32.600 --> 00:02:34.680]   Oh, that's fine with that.
[00:02:34.680 --> 00:02:40.320]   It says the ready set shop invite says, come back to the Apple online store the day after
[00:02:40.320 --> 00:02:44.040]   Thanksgiving for a special one day, only holiday event.
[00:02:44.040 --> 00:02:48.800]   Now, in the past, they've actually had some pretty good discounts, 100 bucks off Mac books
[00:02:48.800 --> 00:02:50.040]   and iMacs.
[00:02:50.040 --> 00:02:52.680]   You were going to get an iMac for mom, right?
[00:02:52.680 --> 00:02:54.160]   I got one for mom.
[00:02:54.160 --> 00:02:58.000]   Oh, waited a black Friday.
[00:02:58.000 --> 00:03:03.120]   I know I should have, but it is nice to show up to your parents house for Thanksgiving
[00:03:03.120 --> 00:03:04.640]   with a Macintosh in hand.
[00:03:04.640 --> 00:03:08.880]   It's better than a bad bottle of wine or a turkey.
[00:03:08.880 --> 00:03:09.880]   That's nice.
[00:03:09.880 --> 00:03:11.880]   Did you wait?
[00:03:11.880 --> 00:03:12.880]   Wait, what?
[00:03:12.880 --> 00:03:13.880]   You got the 20?
[00:03:13.880 --> 00:03:14.880]   Yeah, I got the 20 inch.
[00:03:14.880 --> 00:03:17.480]   I got the medium one, the $1,500 ones.
[00:03:17.480 --> 00:03:21.400]   And honestly, it was a selfish gift because I'm tired of getting calls from her saying,
[00:03:21.400 --> 00:03:23.400]   how do you do this?
[00:03:23.400 --> 00:03:24.560]   And her old Mac wouldn't run leopard.
[00:03:24.560 --> 00:03:28.040]   So I'm going to get run leopard on this thing.
[00:03:28.040 --> 00:03:32.160]   And then I'm just going to be able to go in through iChat and say, step away.
[00:03:32.160 --> 00:03:38.240]   I'll let you know when you can come back and touch your computer again.
[00:03:38.240 --> 00:03:41.400]   Has anybody used back to my Mac yet successfully?
[00:03:41.400 --> 00:03:43.400]   It's very successful.
[00:03:43.400 --> 00:03:45.280]   I haven't even stopped leopard yet.
[00:03:45.280 --> 00:03:46.280]   It's very quiet in here.
[00:03:46.280 --> 00:03:47.400]   I'm a little bit afraid still.
[00:03:47.400 --> 00:03:48.400]   No leopard for Leana.
[00:03:48.400 --> 00:03:49.400]   No leopard for Leana.
[00:03:49.400 --> 00:03:50.920]   I'm a little bit afraid still.
[00:03:50.920 --> 00:03:53.800]   I'm going to wait probably for another couple of weeks.
[00:03:53.800 --> 00:03:56.880]   I do have a friend who had been using it in the Starbucks.
