;FFMETADATA1
album=MacBreak Weekly November 2007
artist=Leo Laporte, Andy Ihnatko, Chris Breen, and Brett Larson
comment=http://twit.tv/mbw68
genre=Podcast
title=MacBreak Weekly 68: The Waffle-Making Robot
date=2007
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 68 for November 27, 2007.
[00:00:34.000 --> 00:00:37.000]   The Waffle Making Robot.
[00:00:37.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:52.000]   And by listeners like you. Thanks for your donations.
[00:00:52.000 --> 00:00:54.000]   This is Mac Break Weekly.
[00:00:54.000 --> 00:00:57.000]   Ladies and gentlemen, welcome to the show.
[00:00:57.000 --> 00:01:00.000]   Today, a fun panel. Andy Inaco is back.
[00:01:00.000 --> 00:01:02.000]   We're glad to have you back, Andy.
[00:01:02.000 --> 00:01:05.000]   We were watching while we were doing the show last week
[00:01:05.000 --> 00:01:07.000]   and keeping an eye on your Twitter to see how your mom was doing.
[00:01:07.000 --> 00:01:09.000]   Yeah, and thanks everybody.
[00:01:09.000 --> 00:01:11.000]   I didn't know that you guys were going to be mentioning that on the air.
[00:01:11.000 --> 00:01:13.000]   I got a lot of really nice emails from people.
[00:01:13.000 --> 00:01:16.000]   It makes the world become a much less lonely place,
[00:01:16.000 --> 00:01:19.000]   even when total strangers are saying that they're in your corner.
[00:01:19.000 --> 00:01:20.000]   So I definitely appreciate all that.
[00:01:20.000 --> 00:01:23.000]   Yeah, well, I hope I didn't violate your confidentiality.
[00:01:23.000 --> 00:01:24.000]   I apologize.
[00:01:24.000 --> 00:01:26.000]   I think you were twittering about it, which is...
[00:01:26.000 --> 00:01:30.000]   You know, I mean, save me from having to look up mom's social security number.
[00:01:30.000 --> 00:01:31.000]   I just looked on the...
[00:01:31.000 --> 00:01:33.000]   [laughter]
[00:01:33.000 --> 00:01:34.000]   Had to have that change pretty damn quickly,
[00:01:34.000 --> 00:01:36.000]   because she downloads four properties in Manoa.
[00:01:36.000 --> 00:01:38.000]   Yeah, we probably shouldn't have gotten that out, I guess.
[00:01:38.000 --> 00:01:40.000]   Well, you know, because there's a good sign and a bad sign to everything.
[00:01:40.000 --> 00:01:42.000]   So your intentions were good.
[00:01:42.000 --> 00:01:45.000]   I have to learn my limits, though, you know, boundaries.
[00:01:45.000 --> 00:01:47.000]   Also here, we haven't talked to him in a long time.
[00:01:47.000 --> 00:01:48.000]   We're really glad to have him back.
[00:01:48.000 --> 00:01:49.000]   Brett Larson.
[00:01:49.000 --> 00:01:50.000]   Hey!
[00:01:50.000 --> 00:01:53.000]   From Channel 5, Channel 5, Channel 2.
[00:01:53.000 --> 00:01:54.000]   I can never remember.
[00:01:54.000 --> 00:01:55.000]   I'm at Channel 5 now in New York.
[00:01:55.000 --> 00:01:58.000]   You'll occasionally see me on Fox News Channel.
[00:01:58.000 --> 00:02:00.000]   He is the Mac Daddy.
[00:02:00.000 --> 00:02:03.000]   And all this season, this holiday season,
[00:02:03.000 --> 00:02:06.000]   be watching me on four rather high tech toys for the holidays,
[00:02:06.000 --> 00:02:07.000]   this syndicated show.
[00:02:07.000 --> 00:02:08.000]   Oh, good.
[00:02:08.000 --> 00:02:09.000]   Very exciting.
[00:02:09.000 --> 00:02:11.000]   Wait, wait, that's on four?
[00:02:11.000 --> 00:02:13.000]   No, it's syndicated, so I don't know who it's on.
[00:02:13.000 --> 00:02:14.000]   It could be anywhere.
[00:02:14.000 --> 00:02:15.000]   It could be anywhere.
[00:02:15.000 --> 00:02:16.000]   It could be anywhere.
[00:02:16.000 --> 00:02:19.000]   Here in New York, it aired on Channel 5 last weekend.
[00:02:19.000 --> 00:02:20.000]   Oh, cool.
[00:02:20.000 --> 00:02:21.000]   That's all I know.
[00:02:21.000 --> 00:02:23.000]   [laughter]
[00:02:23.000 --> 00:02:27.000]   And also here with us Chris Breen,
[00:02:27.000 --> 00:02:30.000]   he really is the Mac Daddy from the Mac 911 column in Mac
[00:02:30.000 --> 00:02:33.000]   Roll Magazine, and you hear him on the iPhone,
[00:02:33.000 --> 00:02:35.000]   or pardon me, the Apple phone show.
[00:02:35.000 --> 00:02:36.000]   Hey, Leo.
[00:02:36.000 --> 00:02:37.000]   How you doing, Chris?
[00:02:37.000 --> 00:02:38.000]   I'm doing well.
[00:02:38.000 --> 00:02:39.000]   You all have a good Thanksgiving?
[00:02:39.000 --> 00:02:40.000]   I did.
[00:02:40.000 --> 00:02:42.000]   As I mentioned last week, I was at Mom's.
[00:02:42.000 --> 00:02:44.000]   I brought down an iMac 4.
[00:02:44.000 --> 00:02:45.000]   We got it set up.
[00:02:45.000 --> 00:02:47.000]   I've got her using iChat now, and, you know,
[00:02:47.000 --> 00:02:51.000]   except she has to do her hair now before she sits in front of the computer.
[00:02:51.000 --> 00:02:52.000]   [laughter]
[00:02:52.000 --> 00:02:54.000]   You got to buy her a Kindle?
[00:02:54.000 --> 00:02:57.000]   I don't think so.
[00:02:57.000 --> 00:02:58.000]   I don't think so.
[00:02:58.000 --> 00:02:59.000]   You know, do they--
[00:02:59.000 --> 00:03:00.000]   Yeah, I guess you can.
[00:03:00.000 --> 00:03:03.000]   I don't think you're falling from a great height by some sort of things born,
[00:03:03.000 --> 00:03:05.000]   or Dr. Villain.
[00:03:05.000 --> 00:03:08.000]   Yeah, I was kind of weighing, you know, the pros and cons of it.
[00:03:08.000 --> 00:03:12.000]   You know, she's used to her old Panasonic answering machine,
[00:03:12.000 --> 00:03:15.000]   so she'll feel right at home with a form factor,
[00:03:15.000 --> 00:03:19.000]   but I'm not so sure about the Pixel for Books idea.
[00:03:19.000 --> 00:03:21.000]   Well, Annie and Ico has one.
[00:03:21.000 --> 00:03:24.000]   And judging from your Twitter, Sandy, you like it.
[00:03:24.000 --> 00:03:26.000]   I love it.
[00:03:26.000 --> 00:03:31.000]   I didn't think that there would be anything to challenge the iPhone
[00:03:31.000 --> 00:03:35.000]   as the coolest and neatest and most transforming thing,
[00:03:35.000 --> 00:03:39.000]   consumer technology to come out in 2007, but damn,
[00:03:39.000 --> 00:03:42.000]   the Kindle just really knocked one out of the park.
[00:03:42.000 --> 00:03:44.000]   And not for the reasons that you would think.
[00:03:44.000 --> 00:03:48.000]   If you're not excited about the idea of a $400 thing
[00:03:48.000 --> 00:03:51.000]   that lets you go out to Amazon and buy $10 and $15 things,
[00:03:51.000 --> 00:03:53.000]   I'm right with you.
[00:03:53.000 --> 00:03:58.000]   But what Amazon did-- here's how I explain it.
[00:03:58.000 --> 00:04:03.000]   What Amazon did is they designed and built a humanoid Android robot
[00:04:03.000 --> 00:04:07.000]   capable of autonomous action that can use any tool or vehicle
[00:04:07.000 --> 00:04:09.000]   designed for use by humans.
[00:04:09.000 --> 00:04:10.000]   When can I get that?
[00:04:10.000 --> 00:04:12.000]   Well, no, no, no, stick with me here.
[00:04:12.000 --> 00:04:14.000]   I'm building a word picture.
[00:04:14.000 --> 00:04:17.000]   If you want to do-- you do like environmental, like BBC,
[00:04:17.000 --> 00:04:19.000]   radio theater-- that's fine too.
[00:04:19.000 --> 00:04:20.000]   OK, I'm imagining that.
[00:04:20.000 --> 00:04:21.000]   OK.
[00:04:21.000 --> 00:04:23.000]   So every morning at 4 a.m., though, the robot gets in your car
[00:04:23.000 --> 00:04:26.000]   and drives to like four or five different farmers' markets,
[00:04:26.000 --> 00:04:29.000]   buying the freshest, most wonderful ingredients,
[00:04:29.000 --> 00:04:32.000]   then it gets home back about a half hour before you wake up,
[00:04:32.000 --> 00:04:34.000]   mixes up the waffle batter.
[00:04:34.000 --> 00:04:38.000]   And by the time you walk into the kitchen, there is a plate
[00:04:38.000 --> 00:04:44.000]   of the most wonderful, freshly produced waffles made from scratch
[00:04:44.000 --> 00:04:47.000]   with farm fresh strawberries and cream right from the farm
[00:04:47.000 --> 00:04:48.000]   that morning.
[00:04:48.000 --> 00:04:50.000]   It's the most incredible invention ever.
[00:04:50.000 --> 00:04:53.000]   And Amazon, because they're brilliant marketers,
[00:04:53.000 --> 00:04:58.000]   is marketing and advertising this as a $400 waffle maker.
[00:04:58.000 --> 00:05:00.000]   That's my opinion of the Kindle.
[00:05:00.000 --> 00:05:02.000]   It's the most incredible thing, but they're selling it
[00:05:02.000 --> 00:05:06.000]   as a $400 thing for buying more $10 and $15 things.
[00:05:06.000 --> 00:05:11.000]   What people have to know is that it comes-- this is one of those
[00:05:11.000 --> 00:05:14.000]   bits of information that I had to double and triple check.
[00:05:14.000 --> 00:05:17.000]   I was reading up about it before it actually arrived.
[00:05:17.000 --> 00:05:20.000]   And I did not believe this because it's just so stupidly good.
[00:05:20.000 --> 00:05:26.000]   It comes with a free 3G-level internet connection
[00:05:26.000 --> 00:05:29.000]   on the Sprint phone network.
[00:05:29.000 --> 00:05:32.000]   The same Sprint internet network you have with a Sprint phone.
[00:05:32.000 --> 00:05:35.000]   You have on this device.
[00:05:35.000 --> 00:05:39.000]   You also have a web browser built into the device.
[00:05:39.000 --> 00:05:42.000]   Now, it's not as good as Safari, not even as good as Safari on iPhone,
[00:05:42.000 --> 00:05:47.000]   but it's as good as Windows Mobile Explorer.
[00:05:47.000 --> 00:05:50.000]   It's a very good mobile-type web browser.
[00:05:50.000 --> 00:05:54.000]   It runs Google Reader and Blog Lines just fine.
[00:05:54.000 --> 00:05:56.000]   And now here's the kicker.
[00:05:56.000 --> 00:05:59.000]   The internet service is free.
[00:05:59.000 --> 00:06:01.000]   You do not pay for it.
[00:06:01.000 --> 00:06:05.000]   So when you think about this as a very large,
[00:06:05.000 --> 00:06:10.000]   very readable tablet device that makes it very, very easy to read lots of text,
[00:06:10.000 --> 00:06:15.000]   if all it did is give you free unlimited access to Google Reader or Blog Lines,
[00:06:15.000 --> 00:06:20.000]   whatever you're using to manage your RSS feeds and manage your blogs,
[00:06:20.000 --> 00:06:25.000]   just for that, for a lot of people, myself included, it's going to be worth $399.
[00:06:25.000 --> 00:06:31.000]   And there's a lot of other things that gives it incredible showmanship points.
[00:06:31.000 --> 00:06:33.000]   But it was kind of funny.
[00:06:33.000 --> 00:06:37.000]   I was in New York over the weekend doing another thing for CBS.
[00:06:37.000 --> 00:06:40.000]   And this is like the Kindle just arrived a couple days earlier,
[00:06:40.000 --> 00:06:42.000]   so this was the really good test for it.
[00:06:42.000 --> 00:06:44.000]   And so I was in Midtown, New York with a friend of mine.
[00:06:44.000 --> 00:06:46.000]   We wanted to go buy some comics.
[00:06:46.000 --> 00:06:50.000]   My usual place for buying comics is Midtown Comics on 7th Avenue and 40th.
[00:06:50.000 --> 00:06:53.000]   And my friend who's a local says, "Gee, I think they opened like a new store.
[00:06:53.000 --> 00:06:55.000]   We're up on like 58th, 59th Street.
[00:06:55.000 --> 00:06:58.000]   Gee, I think they opened a store like Uptown that might be closer."
[00:06:58.000 --> 00:07:02.000]   And so I actually decided to do a head-to-head challenge between the iPhones
[00:07:02.000 --> 00:07:08.000]   built-in map program and this feature that's built into the Kindle called Kindle Now Now.
[00:07:08.000 --> 00:07:13.000]   It's, I believe it's actually a connection to Amazon's mechanical Turk service,
[00:07:13.000 --> 00:07:19.000]   where you type in a question and that it shows up on this other website in the Amazon
[00:07:19.000 --> 00:07:25.000]   universe where actual humans get paid to answer questions correctly.
[00:07:25.000 --> 00:07:29.000]   So instead of doing a web search for Midtown Comics, NYC locations,
[00:07:29.000 --> 00:07:33.000]   you simply type on the little, in 255 characters or less, you type in plain,
[00:07:33.000 --> 00:07:39.000]   just as I'm saying right now, Midtown Comics opened a new Uptown location sometime
[00:07:39.000 --> 00:07:42.000]   in the past couple of years question, then click Send.
[00:07:42.000 --> 00:07:48.000]   Then I got my iPhone out of my pocket, woke it up, launched the map application.
[00:07:48.000 --> 00:07:52.000]   Now I realized that I was a little bit hamstrung by the fact that I think that there was one
[00:07:52.000 --> 00:07:58.000]   really bad piece of design in the iPhone and that's the way you switch between the map
[00:07:58.000 --> 00:08:02.000]   application when you're switching between here's an address, please, here's a business
[00:08:02.000 --> 00:08:06.000]   name, please locate it on a map and the mode where you're saying, please give me directions
[00:08:06.000 --> 00:08:07.000]   between one place and another.
[00:08:07.000 --> 00:08:11.000]   I think they weren't a lot really way too clever because if I'm in the direction mode,
[00:08:11.000 --> 00:08:15.000]   it always takes me like a full 30 seconds to a minute to figure out how to get back to the,
