;FFMETADATA1
album=MacBreak Weekly November 2007
artist=Leo Laporte, Alex Lindsay, Scott Bourne, The Macalope, and Wil Harris
comment=http://twit.tv/mbw69
genre=Podcast
title=MacBreak Weekly 69: MacMalakhi
date=2007
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.640]   [ Music ]
[00:00:10.640 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACAGFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.840]   >> This is Mac Break Weekly, episode 69 for December 4th, 2007.
[00:00:34.840 --> 00:00:36.840]   Mac Malekai.
[00:00:36.840 --> 00:00:38.840]   [ Music ]
[00:00:38.840 --> 00:00:42.120]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.120 --> 00:00:47.880]   For your free audio book, visit audible.com/macbreak.
[00:00:47.880 --> 00:00:50.360]   And by listeners like you.
[00:00:50.360 --> 00:00:52.360]   Thanks for your donations.
[00:00:52.360 --> 00:00:58.000]   It's time for Mac Break Weekly, the weekly confab of Mac minds
[00:00:58.000 --> 00:01:00.680]   discussing the latest Apple news.
[00:01:00.680 --> 00:01:04.920]   And around the board we have a fabulous team of Mac experts
[00:01:04.920 --> 00:01:06.680]   ready to pontificate.
[00:01:06.680 --> 00:01:09.520]   Mr. McElope is here via telephone.
[00:01:09.520 --> 00:01:10.160]   >> Hello.
[00:01:10.160 --> 00:01:13.520]   >> McElope in his special layer is not allowed to use electronics.
[00:01:13.520 --> 00:01:14.840]   >> No.
[00:01:14.840 --> 00:01:19.120]   >> So he has to use an old Western electric phone.
[00:01:19.120 --> 00:01:20.400]   >> It's a rotary dial.
[00:01:20.400 --> 00:01:21.520]   >> Yeah, it works.
[00:01:21.520 --> 00:01:25.200]   >> It's a shiny and black and I like it.
[00:01:25.200 --> 00:01:27.080]   >> How are things going at CNET?
[00:01:27.080 --> 00:01:28.080]   >> Great.
[00:01:28.080 --> 00:01:29.080]   >> You like it there?
[00:01:29.080 --> 00:01:30.080]   >> Yeah.
[00:01:30.080 --> 00:01:31.080]   They send the checks.
[00:01:31.080 --> 00:01:32.080]   >> That's good.
[00:01:32.080 --> 00:01:33.080]   Money's good.
[00:01:33.080 --> 00:01:34.080]   >> Exactly.
