;FFMETADATA1
album=MacBreak Weekly January 2008
artist=Leo Laporte, Merlin Mann, Andy Ihnatko, and Rich Siegel
comment=http://twit.tv/mbw74
genre=Podcast
title=MacBreak Weekly 74: Hot Lips and Hawkeye
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 74 for January 22, 2008.
[00:00:34.000 --> 00:00:37.000]   Hot Lips and Hawkeye.
[00:00:37.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:53.000]   Welcome to Mac Break Weekly.
[00:00:53.000 --> 00:00:56.000]   It's the Hawkeye and Hot Lips episode.
[00:00:56.000 --> 00:00:59.000]   And who's Hot Lips? Are you Andy?
[00:00:59.000 --> 00:01:01.000]   I want to be Hawkeye.
[00:01:01.000 --> 00:01:02.000]   I would love to be hot.
[00:01:02.000 --> 00:01:04.000]   Everybody wants, you want to be hot Lips?
[00:01:04.000 --> 00:01:06.000]   Okay Merlin Mann gets to be Hot Lips.
[00:01:06.000 --> 00:01:09.000]   Andy and I goes Hawkeye and I'll be radar O'Reilly.
[00:01:09.000 --> 00:01:12.000]   Everyone has the flu except the three of us.
[00:01:12.000 --> 00:01:14.000]   Actually, Samuel like radar today.
[00:01:14.000 --> 00:01:18.000]   And now we've got to run the whole 4077 by ourselves.
[00:01:18.000 --> 00:01:20.000]   And I'm patient zero.
[00:01:20.000 --> 00:01:23.000]   The vector that get everybody sick.
[00:01:23.000 --> 00:01:25.000]   Everybody kept running up and licking your microphone
[00:01:25.000 --> 00:01:27.000]   and I was all seriously.
[00:01:27.000 --> 00:01:29.000]   Don't do that Leo's the very sick man.
[00:01:29.000 --> 00:01:31.000]   Yeah, actually I think that's what happened to Alex Lindsey.
[00:01:31.000 --> 00:01:34.000]   He used my headset mic, which probably was a foolish thing to do
[00:01:34.000 --> 00:01:35.000]   after I used it.
[00:01:35.000 --> 00:01:37.000]   Coughed all over it.
[00:01:37.000 --> 00:01:41.000]   I don't know what Chris Breen's excuse is, but he's out.
[00:01:41.000 --> 00:01:44.000]   They're both down with the count and the same thing I had.
[00:01:44.000 --> 00:01:49.000]   Andy and Merlin miraculously avoided any infection at all.
[00:01:49.000 --> 00:01:51.000]   Will we not be replicants?
[00:01:51.000 --> 00:01:53.000]   Well, no, they're good reasons for that.
[00:01:53.000 --> 00:01:57.000]   I was Tony Shalubing my way through bottles of Purell like no one's business.
[00:01:57.000 --> 00:02:00.000]   I was like an alcoholic with these little bottles.
[00:02:00.000 --> 00:02:07.000]   If I even thought about human contact, that was good for a dime's worth of, you know, of Robin.
[00:02:07.000 --> 00:02:13.000]   Also, I had to teach myself to make sure I keep a handkerchief in my pocket at all times
[00:02:13.000 --> 00:02:16.000]   because there are times when you just got to scratch your eyes
[00:02:16.000 --> 00:02:22.000]   or you got a rub so that any time I touched my face it was through a close contact.
[00:02:22.000 --> 00:02:26.000]   Well, if you were Tony Shalub, then Merlin Mann must be Howie Mandel.
[00:02:26.000 --> 00:02:27.000]   What?
[00:02:27.000 --> 00:02:29.000]   I don't want to be Howie Mandel.
[00:02:29.000 --> 00:02:31.000]   Oh, I'm sorry, you're hot lips.
[00:02:31.000 --> 00:02:32.000]   I'm hot lips.
[00:02:32.000 --> 00:02:35.000]   You know, before I had a daughter, I used to wash my hands approximately quarterly,
[00:02:35.000 --> 00:02:37.000]   but we decided that we wanted to keep her healthy.
[00:02:37.000 --> 00:02:39.000]   And so I started with always with the hand washing.
[00:02:39.000 --> 00:02:42.000]   I, you know, I'm not going to jinx myself, but I think it does make a difference.
[00:02:42.000 --> 00:02:43.000]   Oh, I do.
[00:02:43.000 --> 00:02:44.000]   Absolutely.
[00:02:44.000 --> 00:02:45.000]   Yeah.
[00:02:45.000 --> 00:02:46.000]   You know, anyway, it's the three of us and...
[00:02:46.000 --> 00:02:47.000]   It's big engine.
[00:02:47.000 --> 00:02:49.000]   You know, there's probably just about enough.
[00:02:49.000 --> 00:02:51.000]   Yeah, this we can get to agent Twick.
[00:02:51.000 --> 00:02:52.000]   It's a new show.
[00:02:52.000 --> 00:02:55.000]   There's probably about enough information for three people anyway.
[00:02:55.000 --> 00:02:58.000]   I mean, after all, we're just coming off Macworld.
[00:02:58.000 --> 00:03:01.000]   What more can you say?
[00:03:01.000 --> 00:03:05.000]   We can say that it was the best of times.
[00:03:05.000 --> 00:03:07.000]   It was the worst of times.
[00:03:07.000 --> 00:03:12.000]   Every time that there's a little fellow who's tolling in the fields will be there.
[00:03:12.000 --> 00:03:15.000]   Every time the bulls are against the hobos will be there.
[00:03:15.000 --> 00:03:17.000]   Is that Steve Jode?
[00:03:17.000 --> 00:03:23.000]   Well, we were suffering a little bit of grapes or wrath there in San Francisco.
[00:03:23.000 --> 00:03:26.000]   Now, I think actually it was a very successful Macworld.
[00:03:26.000 --> 00:03:28.600]   Everybody's very happy.
[00:03:28.600 --> 00:03:32.000]   There was no, you know, iPhone update, which is kind of a surprise.
[00:03:32.000 --> 00:03:35.000]   I guess he'll save that for another day.
[00:03:35.000 --> 00:03:36.000]   Yeah.
[00:03:36.000 --> 00:03:40.000]   I got to say that, you know, I was one of, I think many people who were thinking, "Oh,
[00:03:40.000 --> 00:03:44.400]   God, well, I suppose if I can't get a refund on my hotel and my airfare, I guess I'm going
[00:03:44.400 --> 00:03:45.400]   to go anyway."
[00:03:45.400 --> 00:03:48.400]   You know, everyone pretty much knew what was going to be announced.
[00:03:48.400 --> 00:03:50.400]   We were all about 95% correct.
[00:03:50.400 --> 00:03:55.400]   And there was nothing there that was going to be, you know, I must touch the hem of your
[00:03:55.400 --> 00:03:59.400]   robe for you had a demo of the new Mac book.
[00:03:59.400 --> 00:04:01.400]   But yet it was really, really awesome.
[00:04:01.400 --> 00:04:04.400]   I think most of that is due to the work of Paul Kent and his staff.
[00:04:04.400 --> 00:04:08.400]   I mean, the show just keeps getting better and better and more solid each and every year.
[00:04:08.400 --> 00:04:11.400]   Paul Kent is the IDG guy who puts this together.
[00:04:11.400 --> 00:04:12.400]   Absolutely.
[00:04:12.400 --> 00:04:14.400]   He's the hand that pulls the strings.
[00:04:14.400 --> 00:04:17.400]   You and Kathy did an amazing job.
[00:04:17.400 --> 00:04:21.640]   It's funny, as much as I had such a wonderful experience as a speaker, a lot of people did
[00:04:21.640 --> 00:04:27.600]   complain about some of the kind of strangely cattle-like moments in the Western Hall where
[00:04:27.600 --> 00:04:30.920]   there was complete gridlock of people like trying to leave the keynote as others were
[00:04:30.920 --> 00:04:32.120]   trying to get badges.
[00:04:32.120 --> 00:04:35.400]   But the speaker from a speaker standpoint, man, they make you feel like a king.
[00:04:35.400 --> 00:04:36.400]   Yeah.
[00:04:36.400 --> 00:04:38.600]   I'm just going through my bag of swag.
[00:04:38.600 --> 00:04:43.280]   You know, it was really, I love those moments where I feel really, really stupid, but for
[00:04:43.280 --> 00:04:44.280]   great reasons.
[00:04:44.280 --> 00:04:48.400]   We've all gone through the passion play of my hard drive crash.
[00:04:48.400 --> 00:04:53.080]   One of the little side effects was that I could no longer use my big 8 gigabyte memory
[00:04:53.080 --> 00:04:57.800]   card that was in my camera because on Sunday the day before the crash, I was out all day
[00:04:57.800 --> 00:05:00.080]   taking pictures during a walk in San Francisco.
[00:05:00.080 --> 00:05:04.200]   I'd obviously deleted all the pictures off the card and put them onto the hard drive.
[00:05:04.200 --> 00:05:08.520]   And so I wasn't worried because I knew that, okay, well, I just won't use that card anymore
[00:05:08.520 --> 00:05:11.280]   because I have a utility, a phone that can recover them.
[00:05:11.280 --> 00:05:15.160]   And of course, then I've wind up later in the week knowing that I'm going to be spending
[00:05:15.160 --> 00:05:18.720]   like two or three hours taking a behind the scenes tour of Alcatraz.
[00:05:18.720 --> 00:05:21.600]   I think, oh God, I really need that card.
[00:05:21.600 --> 00:05:25.240]   And then I'm just sort of triaging the stuff in my speaker's bag and lo and behold, there
[00:05:25.240 --> 00:05:29.280]   is a utility in there, a commercial utility for recovering stuff off of memory cards and
[00:05:29.280 --> 00:05:30.280]   clicks, right?
[00:05:30.280 --> 00:05:31.280]   Exactly.
[00:05:31.280 --> 00:05:32.280]   And two hours later, Bob's your uncle.
[00:05:32.280 --> 00:05:36.360]   I had all my pictures back on the new hard drive and I had a brand new e-race memory card.
[00:05:36.360 --> 00:05:37.360]   So that worked pretty well.
[00:05:37.360 --> 00:05:38.360]   That clicks program.
[00:05:38.360 --> 00:05:39.360]   That was pretty good.
[00:05:39.360 --> 00:05:44.240]   And so I think we're joking about the quantity of iPod cases that were in that bag.
[00:05:44.240 --> 00:05:47.720]   Suffice to say that I traveled with, I traveled with like three or four different iPods for
[00:05:47.720 --> 00:05:48.720]   all different things.
[00:05:48.720 --> 00:05:49.960]   And I had to use them all.
[00:05:49.960 --> 00:05:54.200]   I had new things on at least three of them, but it's a really hefty assortment of really
[00:05:54.200 --> 00:05:57.240]   cool stuff, even the stuff that I can't use myself.
[00:05:57.240 --> 00:06:00.340]   It's like there are going to be a whole, there are going to be a lot of very happy nieces
[00:06:00.340 --> 00:06:03.240]   and nephews and sisters in New England.
[00:06:03.240 --> 00:06:05.760]   Anybody install the new office yet?
[00:06:05.760 --> 00:06:07.280]   Oh, brother, did I?
[00:06:07.280 --> 00:06:08.280]   And?
[00:06:08.280 --> 00:06:09.280]   Oh, man.
[00:06:09.280 --> 00:06:12.360]   Like I said on the Twitter, man, make yourself at home, office.
[00:06:12.360 --> 00:06:13.360]   Come on in.
[00:06:13.360 --> 00:06:14.800]   Put your feet on the couch.
[00:06:14.800 --> 00:06:16.040]   French kiss my wife.
[00:06:16.040 --> 00:06:18.120]   Because now I got the icons.
[00:06:18.120 --> 00:06:20.400]   They're crazy with the icons down in the dock.
[00:06:20.400 --> 00:06:21.400]   That drives me nuts.
[00:06:21.400 --> 00:06:22.400]   I don't like the die.
[00:06:22.400 --> 00:06:23.400]   To me, that's the...
[00:06:23.400 --> 00:06:24.400]   And they're ugly icons.
[00:06:24.400 --> 00:06:25.400]   I don't know why they have such ugly icons.
[00:06:25.400 --> 00:06:26.400]   I'm sorry.
[00:06:26.400 --> 00:06:31.560]   And then all of a sudden I'm getting this insane jewel toned entourage pop-up menu of
[00:06:31.560 --> 00:06:32.560]   events from 2006.
[00:06:32.560 --> 00:06:37.520]   And I'm just like, how do I turn this merry-go-round off?
[00:06:37.520 --> 00:06:38.520]   And a new word, I don't know.
[00:06:38.520 --> 00:06:40.200]   It's going to take me a while to get my hat around that.
[00:06:40.200 --> 00:06:41.440]   Hey, at least it's Intel though.
[00:06:41.440 --> 00:06:44.160]   I mean, that's I think a big improvement, right?
[00:06:44.160 --> 00:06:45.160]   I suppose.
[00:06:45.160 --> 00:06:46.160]   It still feels...
[00:06:46.160 --> 00:06:48.400]   I have not launched it enough, so I'm talking out of my butt a little.
[00:06:48.400 --> 00:06:50.200]   But it still feels like it's not.
[00:06:50.200 --> 00:06:51.960]   It ain't like opening text, mate.
[00:06:51.960 --> 00:06:52.960]   That's all I'm saying.
[00:06:52.960 --> 00:06:54.400]   You know what I mean?
[00:06:54.400 --> 00:06:58.960]   You know, also they're releasing this in a very, very funny time.
[00:06:58.960 --> 00:07:04.600]   When they released the previous version of Office, they truly had the entire category
[00:07:04.600 --> 00:07:06.080]   all to themselves.
[00:07:06.080 --> 00:07:07.400]   There was no competition.
[00:07:07.400 --> 00:07:08.400]   There was Mariner, right?
[00:07:08.400 --> 00:07:09.400]   There was Nisis, right?
[00:07:09.400 --> 00:07:12.200]   There were a couple of little fringe alternatives out there.
[00:07:12.200 --> 00:07:16.720]   But now they're releasing the new version of Word in a world in which Pages is here.
[00:07:16.720 --> 00:07:18.600]   And it actually is a very good program.
[00:07:18.600 --> 00:07:22.360]   They're releasing it in a world where there are specialists, word processors, like Scrivener,
[00:07:22.360 --> 00:07:24.120]   that are really, really quite good.
[00:07:24.120 --> 00:07:26.040]   I haven't installed it yet.
[00:07:26.040 --> 00:07:30.840]   And remember that again, because of the crash, I've been installing every time I build a
[00:07:30.840 --> 00:07:33.840]   new hard drive or get a new machine like this.
[00:07:33.840 --> 00:07:38.240]   It's like a brand new season of Survivor where all the apps that have had installed for the
[00:07:38.240 --> 00:07:41.440]   past two or three years have to re-earn their position on the hard drive.
[00:07:41.440 --> 00:07:43.280]   It's like real life for your own job.
[00:07:43.280 --> 00:07:44.280]   I like that.
