;FFMETADATA1
album=MacBreak Weekly February 2008
artist=Leo Laporte, Scott Bourne, Alex Lindsay, and Merlin Mann
comment=http://twit.tv/mbw77
genre=Podcast
title=MacBreak Weekly 77: Fries Done
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 77 for February 12, 2008.
[00:00:34.000 --> 00:00:37.000]   Fries done.
[00:00:37.000 --> 00:00:40.000]   Mac Break Weekly is brought to you by Audible.
[00:00:40.000 --> 00:00:43.000]   For your free audiobook and a whole lot more,
[00:00:43.000 --> 00:00:47.000]   visit AudiblePodcasts.com/MacBreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:55.000]   This is Mac Break Weekly. The pre-show is over.
[00:00:55.000 --> 00:00:56.000]   [ Laughter ]
[00:00:56.000 --> 00:00:58.000]   We're going to put that whole thing in there.
[00:00:58.000 --> 00:01:00.000]   But now it's time to begin the actual show,
[00:01:00.000 --> 00:01:01.000]   ladies and gentlemen.
[00:01:01.000 --> 00:01:04.000]   From your left, Alex Lindsey of the Pixel Core.
[00:01:04.000 --> 00:01:05.000]   Hello, Alex.
[00:01:05.000 --> 00:01:06.000]   Oh, no.
[00:01:06.000 --> 00:01:09.000]   He's got some new -- he and Scott Borne,
[00:01:09.000 --> 00:01:12.000]   who's also here from Padango and Apple Phone Show,
[00:01:12.000 --> 00:01:16.000]   are doing a new and very popular show called --
[00:01:16.000 --> 00:01:18.000]   "Fip, Twip, Twiff."
[00:01:18.000 --> 00:01:19.000]   [ Laughter ]
[00:01:19.000 --> 00:01:21.000]   Twig, twig.
[00:01:21.000 --> 00:01:23.000]   This week in Pedography.
[00:01:23.000 --> 00:01:24.000]   This week in Podiatry.
[00:01:24.000 --> 00:01:26.000]   And where do we get that?
[00:01:26.000 --> 00:01:28.000]   That's it.
[00:01:28.000 --> 00:01:29.000]   That's it.
[00:01:29.000 --> 00:01:30.000]   Pixelcore.tv/Twip.
[00:01:30.000 --> 00:01:32.000]   It certainly is.
[00:01:32.000 --> 00:01:35.000]   And it's turned -- I mean, it's really turning out to be --
[00:01:35.000 --> 00:01:37.000]   I mean, not just because we're doing it,
[00:01:37.000 --> 00:01:39.000]   but it's really an enjoyable show to actually record.
[00:01:39.000 --> 00:01:41.000]   I mean, it's just a really good group of people
[00:01:41.000 --> 00:01:43.000]   who are photographers and really into it.
[00:01:43.000 --> 00:01:46.000]   We're kind of covering both technical and philosophical
[00:01:46.000 --> 00:01:47.000]   and artistic.
[00:01:47.000 --> 00:01:48.000]   I'm sure we're --
[00:01:48.000 --> 00:01:49.000]   You're an expert in all those things.
[00:01:49.000 --> 00:01:51.000]   Photography is hot right now.
[00:01:51.000 --> 00:01:53.000]   But you wouldn't believe the response we're getting, Lee.
[00:01:53.000 --> 00:01:55.000]   I mean, the show's a couple of weeks old
[00:01:55.000 --> 00:01:58.000]   and not to mention, you know, really high rankings and iTunes,
[00:01:58.000 --> 00:02:00.000]   but the email I'm getting from people.
[00:02:00.000 --> 00:02:03.000]   It's just like -- people are literally starting emails with,
[00:02:03.000 --> 00:02:05.000]   "Oh, thank God, you guys are doing this."
[00:02:05.000 --> 00:02:06.000]   Yeah.
[00:02:06.000 --> 00:02:07.000]   Well, there are a lot of photography podcasts.
[00:02:07.000 --> 00:02:09.000]   I mean, it's not the first by any means,
[00:02:09.000 --> 00:02:12.000]   but you guys know how to do a show.
[00:02:12.000 --> 00:02:14.000]   Well, we learned it off of you.
[00:02:14.000 --> 00:02:16.000]   Hey, speaking of which -- thank you.
[00:02:16.000 --> 00:02:18.000]   That's the requisite Leo Suckup moment.
[00:02:18.000 --> 00:02:20.000]   [ Laughter ]
[00:02:20.000 --> 00:02:21.000]   Well, you can't --
[00:02:21.000 --> 00:02:23.000]   I thought you handled that really well, Lee.
[00:02:23.000 --> 00:02:25.000]   At this point, I'm disdainful now.
[00:02:25.000 --> 00:02:26.000]   That's the new -- that's my new thing.
[00:02:26.000 --> 00:02:28.000]   I used to be gracious and grateful,
[00:02:28.000 --> 00:02:30.000]   and now I just disdain you.
[00:02:30.000 --> 00:02:31.000]   [ Laughter ]
[00:02:31.000 --> 00:02:32.000]   No, I'm just --
[00:02:32.000 --> 00:02:33.000]   Your affection makes me angry.
[00:02:33.000 --> 00:02:34.000]   [ Laughter ]
[00:02:34.000 --> 00:02:35.000]   I hate you.
[00:02:35.000 --> 00:02:36.000]   I hate you.
[00:02:36.000 --> 00:02:39.000]   So let's say hello to Merlin Mann of 43.
[00:02:39.000 --> 00:02:40.000]   Hello.
[00:02:40.000 --> 00:02:41.000]   How are you, Leo?
[00:02:41.000 --> 00:02:44.000]   And also of 5s -- number 5, I-V-E-S.com,
[00:02:44.000 --> 00:02:47.000]   where you will find, ladies and gentlemen,
[00:02:47.000 --> 00:02:49.000]   5 cues -- I probably shouldn't say this one.
[00:02:49.000 --> 00:02:50.000]   [ Laughter ]
[00:02:50.000 --> 00:02:51.000]   I think you can do another.
[00:02:51.000 --> 00:02:52.000]   You can do another one.
[00:02:52.000 --> 00:02:54.000]   How about 5 subtle changes in the event
[00:02:54.000 --> 00:02:56.000]   that Microsoft acquires Yahoo?
[00:02:56.000 --> 00:02:57.000]   I like this one.
[00:02:57.000 --> 00:02:58.000]   Yeah.
[00:02:58.000 --> 00:02:59.000]   Yeah.
[00:02:59.000 --> 00:03:00.000]   Some of these -- I think some of these are going to be big.
[00:03:00.000 --> 00:03:02.000]   Some of these are not going to be a problem for people.
[00:03:02.000 --> 00:03:03.000]   Others, I think --
[00:03:03.000 --> 00:03:04.000]   Well, 5 names you can belch.
[00:03:04.000 --> 00:03:05.000]   You could go either way on that.
[00:03:05.000 --> 00:03:07.000]   Can you belch Frank Black?
[00:03:07.000 --> 00:03:09.000]   Shall I try?
[00:03:09.000 --> 00:03:13.000]   Well, will you -- will you -- with Barf if you fail?
[00:03:13.000 --> 00:03:15.000]   Hang on, I haven't done this in a while.
[00:03:15.000 --> 00:03:16.000]   Frank.
[00:03:16.000 --> 00:03:18.000]   [ Laughter ]
[00:03:18.000 --> 00:03:19.000]   That's enough.
[00:03:19.000 --> 00:03:20.000]   [ Laughter ]
[00:03:20.000 --> 00:03:22.000]   You were like, "Prove it again, Seth.
[00:03:22.000 --> 00:03:24.000]   You're excited to have the new Ponce Billy Own."
[00:03:24.000 --> 00:03:25.000]   [ Laughter ]
[00:03:25.000 --> 00:03:26.000]   This is real highbrow entertainment.
[00:03:26.000 --> 00:03:27.000]   We are gussets.
[00:03:27.000 --> 00:03:28.000]   The front.
[00:03:28.000 --> 00:03:29.000]   Visculus to fart.
[00:03:29.000 --> 00:03:31.000]   We didn't mention fistulas and farts.
[00:03:31.000 --> 00:03:34.000]   That's another portion of the show, which will not get aired.
[00:03:34.000 --> 00:03:36.000]   Hey, I just want to ask one quick question.
[00:03:36.000 --> 00:03:39.000]   How come you can always get 43 folders right,
[00:03:39.000 --> 00:03:41.000]   but you can't get anything related to me and Alex right?
[00:03:41.000 --> 00:03:43.000]   Is there a block, a metal block?
[00:03:43.000 --> 00:03:44.000]   Is it part of that disdain?
[00:03:44.000 --> 00:03:46.000]   No, no, it's very easy to remember 40's.
[00:03:46.000 --> 00:03:47.000]   You can remember.
[00:03:47.000 --> 00:03:51.000]   You can remember 40's.
[00:03:51.000 --> 00:03:53.000]   Applefunchow.com does not roll off the tongue.
[00:03:53.000 --> 00:03:56.000]   Okay, so "Twip" -- "Twip" starting with this week in --
[00:03:56.000 --> 00:03:57.000]   "Patai entry."
[00:03:57.000 --> 00:04:00.000]   About 16 shows you do, so at least three-four shots.
[00:04:00.000 --> 00:04:01.000]   I should be able to get that one.
[00:04:01.000 --> 00:04:02.000]   You're right.
[00:04:02.000 --> 00:04:03.000]   I apologize.
[00:04:03.000 --> 00:04:04.000]   You should add a prime number.
[00:04:04.000 --> 00:04:05.000]   That a prime number.
[00:04:05.000 --> 00:04:06.000]   It's very easy to remember.
[00:04:06.000 --> 00:04:07.000]   There you go.
[00:04:07.000 --> 00:04:09.000]   You give me a good prime number that's not taken --
[00:04:09.000 --> 00:04:10.000]   About 17 twips.
[00:04:10.000 --> 00:04:11.000]   17 twips, isn't that good?
[00:04:11.000 --> 00:04:12.000]   See, that's easy.
[00:04:12.000 --> 00:04:13.000]   And it sorts to the top of lists.
[00:04:13.000 --> 00:04:14.000]   Uh-oh.
[00:04:14.000 --> 00:04:15.000]   Did I say that out loud?
[00:04:15.000 --> 00:04:16.000]   Whoops.
[00:04:16.000 --> 00:04:18.000]   Merlin, you have to know one thing.
[00:04:18.000 --> 00:04:19.000]   This is really funny.
[00:04:19.000 --> 00:04:21.000]   I get e-mail from people all the time that, for whatever reason,
[00:04:21.000 --> 00:04:22.000]   can't reach you directly.
[00:04:22.000 --> 00:04:25.000]   And they'll say, "Tell Merlin to check out my new blog,
[00:04:25.000 --> 00:04:27.000]   43 Trains."
[00:04:27.000 --> 00:04:28.000]   Ha-ha!
[00:04:28.000 --> 00:04:30.000]   And they all name them 40, and they think it's like,
[00:04:30.000 --> 00:04:32.000]   "You're going to be thrilled about that."
[00:04:32.000 --> 00:04:33.000]   I just find that quite interesting.
[00:04:33.000 --> 00:04:36.000]   Yeah, I should really spend more time on that.
[00:04:36.000 --> 00:04:40.000]   I registered 83problems.org, and Merlin put a snake in my mailbox.
[00:04:40.000 --> 00:04:43.000]   So, you know, I just --
[00:04:43.000 --> 00:04:44.000]   It looked like a snake.
[00:04:44.000 --> 00:04:45.000]   It was actually a Robert Plant.
[00:04:45.000 --> 00:04:47.000]   What's going on in that?
[00:04:47.000 --> 00:04:48.000]   Oh!
[00:04:48.000 --> 00:04:51.000]   So, in the world of Macintosh, let's start off.
[00:04:51.000 --> 00:04:52.000]   There's a number of things.
[00:04:52.000 --> 00:04:53.000]   A big update.
[00:04:53.000 --> 00:04:58.000]   A big, big update from Apple on OS X Leopard.
[00:04:58.000 --> 00:05:03.000]   In fact, an update that responds to all the criticisms people have had about Leopard.
[00:05:03.000 --> 00:05:09.000]   I downloaded immediately, and all of a sudden, you can change how the folders stack.
[00:05:09.000 --> 00:05:11.000]   You can turn off that lame display.
[00:05:11.000 --> 00:05:15.000]   You can make them do the hierarchical list like they used to do.
[00:05:15.000 --> 00:05:16.000]   Hallelujah!
[00:05:16.000 --> 00:05:18.000]   Can I get rid of the dock?
[00:05:18.000 --> 00:05:19.000]   Can you get rid of it?
[00:05:19.000 --> 00:05:21.000]   No, I don't think they put that in.
[00:05:21.000 --> 00:05:22.000]   So, it hasn't handled all of the --
[00:05:22.000 --> 00:05:25.000]   Your handle -- it hasn't handled yours.
[00:05:25.000 --> 00:05:27.000]   You can have -- that's interesting.
[00:05:27.000 --> 00:05:29.000]   Maybe you just want to be able to turn the dock off.
[00:05:29.000 --> 00:05:32.000]   You have the ability -- you can make it opaque now.
[00:05:32.000 --> 00:05:33.000]   The menu bars are the correct.
[00:05:33.000 --> 00:05:34.000]   The menu bars are the correct.
[00:05:34.000 --> 00:05:35.000]   Now, how do you do that?
[00:05:35.000 --> 00:05:37.000]   Because I can't -- I saw that, but I can't find it.
[00:05:37.000 --> 00:05:38.000]   Where is that?
[00:05:38.000 --> 00:05:39.000]   I think it's in the preferences, isn't it?
[00:05:39.000 --> 00:05:41.000]   Oh, the Finder preferences, maybe.
[00:05:41.000 --> 00:05:42.000]   Let's see.
[00:05:42.000 --> 00:05:44.000]   Because I couldn't find -- no, I couldn't find that.
[00:05:44.000 --> 00:05:47.000]   I only played with it for about five minutes on the one machine that we do have.
[00:05:47.000 --> 00:05:49.000]   I wonder if it's under displays.
[00:05:49.000 --> 00:05:52.000]   I looked everywhere -- System Preferences Desktop.
[00:05:52.000 --> 00:05:53.000]   That's where I looked.
[00:05:53.000 --> 00:05:54.000]   Is it there?
[00:05:54.000 --> 00:05:56.000]   Again, System Preferences Desktop.
[00:05:56.000 --> 00:05:59.000]   All right, System Preferences Desktop and Screen Saver.
[00:05:59.000 --> 00:06:03.000]   Oh, Translucent Menu Bar.
[00:06:03.000 --> 00:06:04.000]   Uncheck.
[00:06:04.000 --> 00:06:06.000]   Oh!
[00:06:06.000 --> 00:06:07.000]   Thank you, Scott.
[00:06:07.000 --> 00:06:08.000]   I feel empowered.
[00:06:08.000 --> 00:06:12.000]   Let's thank Shash because he's -- he's the one who's in our chat.
[00:06:12.000 --> 00:06:13.000]   He'll join us a little later.
