;FFMETADATA1
album=MacBreak Weekly February 2008
artist=Leo Laporte, Alex Lindsay, Merlin Mann and Chris Breen
comment=http://twit.tv/mbw78
genre=Podcast
title=MacBreak Weekly 78: The Mac Snobs
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachefly.com.
[00:00:29.000 --> 00:00:35.000]   This is Mac Break Weekly, Episode 78, for February 19, 2008.
[00:00:35.000 --> 00:00:37.000]   The Mac Snobs.
[00:00:37.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:55.000]   It's time for Mac Break Weekly, the Tuesday edition,
[00:00:55.000 --> 00:01:01.000]   the Tuesday right before Apple decides what it's going to do today edition.
[00:01:01.000 --> 00:01:06.000]   We've got a great cast with us starting with Alex Lindsay from pixelcore.com.
[00:01:06.000 --> 00:01:07.000]   Hello, Alex.
[00:01:07.000 --> 00:01:08.000]   Hello, hello.
[00:01:08.000 --> 00:01:12.000]   Also around the table Merlin Man of 43Folders.com.
[00:01:12.000 --> 00:01:13.000]   Hello, Leo.
[00:01:13.000 --> 00:01:15.000]   Hey, Merlin.
[00:01:15.000 --> 00:01:19.000]   And Chris Breen is here from the Mac.
[00:01:19.000 --> 00:01:22.000]   He's the Mac Daddy from Mac 9-1-1 at Mac World Magazine.
[00:01:22.000 --> 00:01:23.000]   Hey, Leo.
[00:01:23.000 --> 00:01:24.000]   Hey, Chris.
[00:01:24.000 --> 00:01:25.000]   Yeah.
[00:01:25.000 --> 00:01:26.000]   I'm doing well.
[00:01:26.000 --> 00:01:27.000]   Thanks.
[00:01:27.000 --> 00:01:28.000]   How's the hair?
[00:01:28.000 --> 00:01:29.000]   The hair is great.
[00:01:29.000 --> 00:01:31.000]   I understand Merlin used your hair in a presentation.
[00:01:31.000 --> 00:01:33.000]   Yeah, yeah, he did.
[00:01:33.000 --> 00:01:35.000]   But I've updated the hair now.
[00:01:35.000 --> 00:01:36.000]   It has been dethatched.
[00:01:36.000 --> 00:01:41.000]   You have to do that every few years so the oxygen can actually get to the roots I understand.
[00:01:41.000 --> 00:01:43.000]   Actually, with my hair it's every three months.
[00:01:43.000 --> 00:01:47.000]   Yeah, Ron, apart as if you trim it, it actually grows faster.
[00:01:47.000 --> 00:01:48.000]   Yeah, I do it soon.
[00:01:48.000 --> 00:01:51.000]   There's a guy who comes around with a little hole poker, right?
[00:01:51.000 --> 00:01:54.000]   He pulls in the thatch just to let it out and breathe.
[00:01:54.000 --> 00:01:55.600]   Well, it's like one of those lawn aerators.
[00:01:55.600 --> 00:01:59.000]   You know, where you sort of stand on it and then, you know, jump up and down on it and
[00:01:59.000 --> 00:02:01.000]   you get those little cores that come out.
[00:02:01.000 --> 00:02:02.000]   Yeah, and that's my skill.
[00:02:02.000 --> 00:02:03.280]   That's pleasant.
[00:02:03.280 --> 00:02:06.000]   You could probably mind that and sell it to people, hairless people.
[00:02:06.000 --> 00:02:11.800]   Well, I have done that, but I'm kind of working on it in fourth world countries before I release
[00:02:11.800 --> 00:02:12.800]   it here.
[00:02:12.800 --> 00:02:14.160]   Hair will just hair plugs to the poor.
[00:02:14.160 --> 00:02:15.160]   I think that's correct.
[00:02:15.160 --> 00:02:16.160]   Yeah.
[00:02:16.160 --> 00:02:17.160]   Yeah, doctors.
[00:02:17.160 --> 00:02:18.960]   It'd be frontier song.
[00:02:18.960 --> 00:02:19.960]   Hair plugs.
[00:02:19.960 --> 00:02:20.960]   Red sancin.
[00:02:20.960 --> 00:02:25.240]   Green plugs, green plugs, San Frontier.
[00:02:25.240 --> 00:02:26.240]   There you go.
[00:02:26.240 --> 00:02:27.240]   That's it.
[00:02:27.240 --> 00:02:28.240]   I think we found it.
[00:02:28.240 --> 00:02:30.080]   I think we found Chris's new.
[00:02:30.080 --> 00:02:31.080]   Meche.
[00:02:31.080 --> 00:02:33.400]   We're going to do the whole show in French now.
[00:02:33.400 --> 00:02:34.840]   We may be on sewer.
[00:02:34.840 --> 00:02:36.560]   I think that was it.
[00:02:36.560 --> 00:02:38.640]   That was our French.
[00:02:38.640 --> 00:02:39.840]   Let's see this week.
[00:02:39.840 --> 00:02:41.240]   Any news at all?
[00:02:41.240 --> 00:02:42.240]   Anything?
[00:02:42.240 --> 00:02:43.240]   Nothing.
[00:02:43.240 --> 00:02:44.240]   Yes.
[00:02:44.240 --> 00:02:46.040]   Oh, there have been there have been new things.
[00:02:46.040 --> 00:02:47.280]   There have been new things.
[00:02:47.280 --> 00:02:48.640]   I've heard of new things.
[00:02:48.640 --> 00:02:53.920]   Number one is, this is more on the tech end, but Apple has released the new X-an.
[00:02:53.920 --> 00:02:56.920]   So that's people that have been...
[00:02:56.920 --> 00:02:59.360]   I don't know if we should lead with that exactly.
[00:02:59.360 --> 00:03:00.640]   Well, I mean, it was new.
[00:03:00.640 --> 00:03:01.640]   It was new.
[00:03:01.640 --> 00:03:02.640]   You were saying was there any new?
[00:03:02.640 --> 00:03:03.640]   That's new in the Mac world.
[00:03:03.640 --> 00:03:04.920]   Hey, they're not going to NAB.
[00:03:04.920 --> 00:03:06.720]   Is that a big deal?
[00:03:06.720 --> 00:03:08.560]   You know, I don't really think it is.
[00:03:08.560 --> 00:03:14.360]   I think that, you know, I have to say that you have to look at the cost of NAB.
[00:03:14.360 --> 00:03:19.240]   I think a lot of people get concerned about this...
[00:03:19.240 --> 00:03:20.960]   Apple's not going to be at NAB.
[00:03:20.960 --> 00:03:23.000]   Avid, by the way, is also not going to be at NAB.
[00:03:23.000 --> 00:03:26.120]   And one of the things that you have to understand is that the cost is, you know, in the millions
[00:03:26.120 --> 00:03:27.120]   of dollars.
[00:03:27.120 --> 00:03:29.120]   When you look at the size of their booth, you just went...
[00:03:29.120 --> 00:03:30.120]   I think we were through the show.
[00:03:30.120 --> 00:03:31.120]   I mean, a little booth.
[00:03:31.120 --> 00:03:34.440]   We had a booth that was only 20 by 10 and it, you know, nearly broke us.
[00:03:34.440 --> 00:03:36.480]   You know, and so the...
[00:03:36.480 --> 00:03:39.400]   This is a huge 100 by 100 booth or something like that.
[00:03:39.400 --> 00:03:40.400]   And it's...
[00:03:40.400 --> 00:03:43.880]   And then you have to bring all those people in and put them up at NAB price, you know,
[00:03:43.880 --> 00:03:47.800]   whatever the price is in Vegas to put, you know, 100 people up.
[00:03:47.800 --> 00:03:53.480]   You also have all the union costs of putting up the actual booth, all the, you know, shipping,
[00:03:53.480 --> 00:03:54.480]   everything else.
[00:03:54.480 --> 00:03:55.480]   You're talking about millions of dollars.
[00:03:55.480 --> 00:04:01.400]   You're talking about probably something that rivals the engineering costs of the Pro Apps,
[00:04:01.400 --> 00:04:02.400]   which are going to be promoted there.
[00:04:02.400 --> 00:04:03.400]   Really?
[00:04:03.400 --> 00:04:04.400]   For a year.
[00:04:04.400 --> 00:04:05.400]   Wow.
[00:04:05.400 --> 00:04:06.400]   I mean, it's just...
[00:04:06.400 --> 00:04:07.400]   Yeah, it's that much.
[00:04:07.400 --> 00:04:11.440]   It really is numbers like that, you know, and I don't know exactly what either number is,
[00:04:11.440 --> 00:04:13.720]   but my guess is that it's not...
[00:04:13.720 --> 00:04:15.760]   They're pretty close to each other.
[00:04:15.760 --> 00:04:18.080]   And so I'd rather see more features myself.
[00:04:18.080 --> 00:04:19.080]   You know, I think that...
[00:04:19.080 --> 00:04:20.880]   Yeah, absolutely sure.
[00:04:20.880 --> 00:04:23.040]   The other thing is if you took all the money...
[00:04:23.040 --> 00:04:26.440]   And I'm not saying Apple's going to do this, but we had this discussion when Avid dropped
[00:04:26.440 --> 00:04:31.920]   out is that if you took all the money that Apple saves by not going to NAB, they could
[00:04:31.920 --> 00:04:37.040]   do a road show and spend $50,000 to $100,000 per city in all the major cities in the United
[00:04:37.040 --> 00:04:44.000]   States and still come out even and have a far bigger impact on their actual market
[00:04:44.000 --> 00:04:49.080]   than they will or in a far better return than anything they're going to do on the floor
[00:04:49.080 --> 00:04:50.080]   of NAB.
[00:04:50.080 --> 00:04:51.880]   It's really though an indictment of NAB more than it is.
[00:04:51.880 --> 00:04:52.880]   I mean, you got a market.
[00:04:52.880 --> 00:04:54.280]   I mean, you could say the same thing.
[00:04:54.280 --> 00:04:57.360]   Well, if Apple didn't buy any ads, they could put more money into the leopard, but you need
[00:04:57.360 --> 00:04:58.360]   to market.
[00:04:58.360 --> 00:05:01.200]   I think it's an indictment on conventions.
[00:05:01.200 --> 00:05:02.200]   Yes.
[00:05:02.200 --> 00:05:04.000]   I don't think it's necessarily...
[00:05:04.000 --> 00:05:07.000]   You just really have to have something, a convention.
[00:05:07.000 --> 00:05:10.960]   The reason we see, I think, so many things about the iPod, for instance, at Macworld,
[00:05:10.960 --> 00:05:15.400]   is because that pays off because you have a lot of people, it's a cheap product, and
[00:05:15.400 --> 00:05:16.400]   you can just buy it real quick.
[00:05:16.400 --> 00:05:17.400]   You know...
[00:05:17.400 --> 00:05:19.760]   You don't want people who are oppressed people who are going to come in and write about it,
[00:05:19.760 --> 00:05:22.680]   so there's an economy of scale to getting all those people in one place.
[00:05:22.680 --> 00:05:23.680]   It matters.
[00:05:23.680 --> 00:05:24.680]   I mean, these things matter.
[00:05:24.680 --> 00:05:27.280]   If you're in a business that has a huge amount of networking that's very costly and
[00:05:27.280 --> 00:05:29.960]   you're all going to be in Las Vegas at the same time, I think that's when one reason
[00:05:29.960 --> 00:05:33.560]   conferences succeed is because a lot of powerful people agree to be in the same place at the
[00:05:33.560 --> 00:05:34.560]   same time.
[00:05:34.560 --> 00:05:36.720]   Well, NAB is that for broadcasting, for sure.
[00:05:36.720 --> 00:05:39.280]   And I'm sure it's a networking opportunity for people who are talented.
[00:05:39.280 --> 00:05:40.280]   Yeah.
[00:05:40.280 --> 00:05:41.280]   Well, TV...
[00:05:41.280 --> 00:05:42.280]   It's more engineers.
[00:05:42.280 --> 00:05:44.880]   TV and radio engineers, that's what...
[00:05:44.880 --> 00:05:45.880]   I tell you to wait.
[00:05:45.880 --> 00:05:49.000]   Yep, an opportunity, but you have to ask yourself, "Is there other ways to do the networking?"
[00:05:49.000 --> 00:05:53.000]   You know, for instance, I mean, I don't know how you would do this in the technology area,
[00:05:53.000 --> 00:05:58.440]   but when I went to TED Global, you know, now, there is a...
[00:05:58.440 --> 00:06:01.920]   That's an event that is designed for networking.
[00:06:01.920 --> 00:06:06.240]   It's designed for everyone to meet everyone else.
[00:06:06.240 --> 00:06:07.720]   And you know, it's far more efficient.
[00:06:07.720 --> 00:06:11.400]   I met more people in more countries than I had ever in my entire life.
[00:06:11.400 --> 00:06:12.600]   And everyone's there to network.
[00:06:12.600 --> 00:06:14.440]   They know that they're there to talk to each other.
[00:06:14.440 --> 00:06:16.440]   They're there to find out about what the other ones are doing.
[00:06:16.440 --> 00:06:18.240]   And the question is, this is all grew.
[00:06:18.240 --> 00:06:22.880]   I mean, you know, this all grew from little tables to these huge one-upmanship.
[00:06:22.880 --> 00:06:25.880]   And I think a lot of the folks at the top of that one-upmanship are starting to go,
[00:06:25.880 --> 00:06:28.880]   you know, this is getting out of hand.
[00:06:28.880 --> 00:06:31.080]   Interesting.
[00:06:31.080 --> 00:06:36.840]   My concern about this whole NAB thing is that the reason that Apple claims it's doing this,
[00:06:36.840 --> 00:06:37.840]   and it's...
[00:06:37.840 --> 00:06:41.720]   This is sort of a meme that they've been putting out for a long time now, is that they say,
[00:06:41.720 --> 00:06:44.840]   "You know, we don't need to do conventions because we've got a convention every single
[00:06:44.840 --> 00:06:48.600]   day at the Apple Store and everybody can come by and see our stuff."
[00:06:48.600 --> 00:06:51.280]   And they've been floating this around for a while.
[00:06:51.280 --> 00:06:53.640]   So, okay, fine, they're pulling this RNAB.
[00:06:53.640 --> 00:06:57.560]   We're not going to go to NAB because you can see it's at our Apple stores.
[00:06:57.560 --> 00:07:00.720]   And of course, you can't get that kind of experience there, but that's what they're
[00:07:00.720 --> 00:07:01.960]   floating around.
[00:07:01.960 --> 00:07:03.720]   So how far will they take this?
[00:07:03.720 --> 00:07:07.760]   Will they eventually say, "You know, we don't need to do Expo because we can call an event
[00:07:07.760 --> 00:07:11.840]   when we need something to happen and everybody's going to come because you do."
[00:07:11.840 --> 00:07:13.560]   That's what you guys do.
[00:07:13.560 --> 00:07:16.000]   And you can go to the Apple Store for what you're supposed to do.
[00:07:16.000 --> 00:07:17.920]   I think it's the one thing you keep, though.
[00:07:17.920 --> 00:07:19.040]   I would think so.
