;FFMETADATA1
album=MacBreak Weekly March 2008
artist=Leo Laporte, Merlin Mann, Andy Ihnatko and Alex Lindsay
comment=http://twit.tv/mbw81
genre=Podcast
title=MacBreak Weekly 81: Click the Throbber
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.640]   [ Music ]
[00:00:10.640 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACAGFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.800]   >> This is Mac Break Weekly, episode 81 for March 19th, 2008.
[00:00:34.800 --> 00:00:36.800]   Click the Throbber.
[00:00:36.800 --> 00:00:38.880]   [ Music ]
[00:00:38.880 --> 00:00:42.160]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.160 --> 00:00:47.920]   For your free audio book, visit audible.com/macbreak.
[00:00:47.920 --> 00:00:50.400]   And by listeners like you.
[00:00:50.400 --> 00:00:52.400]   Thanks for your donations.
[00:00:52.400 --> 00:00:55.160]   >> It's time for Mac Break Weekly later than Nellman.
[00:00:55.160 --> 00:00:58.000]   And we are all in a little bit of a mirthful mood
[00:00:58.000 --> 00:01:01.920]   because we've just been listening to Orson Wells
[00:01:01.920 --> 00:01:04.160]   selling canned peas.
[00:01:04.160 --> 00:01:05.440]   It was all Merlin's idea.
[00:01:05.440 --> 00:01:07.000]   Hello, Merlin man.
[00:01:07.000 --> 00:01:08.040]   >> Good morning Leo, how are you today?
[00:01:08.040 --> 00:01:10.160]   >> 43 folders.
[00:01:10.160 --> 00:01:14.360]   There's no way anyone can say 43 folders.
[00:01:14.360 --> 00:01:15.920]   Show me away.
[00:01:15.920 --> 00:01:17.040]   >> Bring me a jury.
[00:01:17.040 --> 00:01:19.960]   Show me out of sentence with emphasis on in and out.
[00:01:19.960 --> 00:01:20.760]   >> Yeah, never mind.
[00:01:20.760 --> 00:01:21.560]   Stop doing it though.
[00:01:21.560 --> 00:01:22.640]   >> Switch to it, Nelles.
[00:01:22.640 --> 00:01:24.640]   >> Oh, wow.
[00:01:24.640 --> 00:01:27.240]   And the Enovco is also here from the Chicago sometimes
[00:01:27.240 --> 00:01:28.720]   in the celestial waste of bandwidth.
[00:01:28.720 --> 00:01:30.960]   Hello Andy.
