;FFMETADATA1
album=MacBreak Weekly April 2008
artist=Alex Lindsay, Andy Ihnatko, Merlin Mann, and Scott Bourne
comment=http://twit.tv/mbw83
genre=Podcast
title=MacBreak Weekly 83: Internet Pants
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, episode 83 for April 2, 2008.
[00:00:34.000 --> 00:00:35.000]   Internet Pans.
[00:00:35.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:53.000]   Hello, everybody.
[00:00:53.000 --> 00:00:54.000]   We're back, Sam.
[00:00:54.000 --> 00:00:55.000]   That was my best.
[00:00:55.000 --> 00:00:57.000]   This is as close as I get to Leo.
[00:00:57.000 --> 00:00:59.000]   I started and then I was like, you know, I'm not going to be Leo.
[00:00:59.000 --> 00:01:01.000]   This is Mac Break Weekly.
[00:01:01.000 --> 00:01:03.000]   And Leo is in Tasmania.
[00:01:03.000 --> 00:01:05.000]   Hopefully not spending too much.
[00:01:05.000 --> 00:01:09.000]   And of course we have the regular folks.
[00:01:09.000 --> 00:01:11.000]   We're here still holding down the fort.
[00:01:11.000 --> 00:01:12.000]   Andy, Anako?
[00:01:12.000 --> 00:01:13.000]   Andy?
[00:01:13.000 --> 00:01:14.000]   Hello, Alex.
[00:01:14.000 --> 00:01:15.000]   Hello.
[00:01:15.000 --> 00:01:18.000]   I suggest you need a better catchphrase to open these shows with when you host.
[00:01:18.000 --> 00:01:19.000]   When I host?
[00:01:19.000 --> 00:01:20.000]   Yes.
[00:01:20.000 --> 00:01:21.000]   This is...
[00:01:21.000 --> 00:01:22.000]   This is...
[00:01:22.000 --> 00:01:24.000]   It's Mac Break Weekly!
[00:01:24.000 --> 00:01:26.000]   Hey, how about that?
[00:01:26.000 --> 00:01:28.000]   Hey, Alex, come at you off the power of the Internet.
[00:01:28.000 --> 00:01:30.000]   Everybody, shut up.
[00:01:30.000 --> 00:01:32.000]   I'm Alex Lindsay.
[00:01:32.000 --> 00:01:36.000]   I've got unlimited bandwidth of love and it's all for you here, Mac Break Weekly.
[00:01:36.000 --> 00:01:37.000]   It's done another week.
[00:01:37.000 --> 00:01:38.000]   Hey, we've got Andy Anako here.
[00:01:38.000 --> 00:01:39.000]   Andy, how you doing today?
[00:01:39.000 --> 00:01:40.000]   That sounds much better.
[00:01:40.000 --> 00:01:42.000]   I think I'll use that next one.
[00:01:42.000 --> 00:01:43.000]   Now who's gorging with the sports?
[00:01:43.000 --> 00:01:44.000]   Merlin Mann here also.
[00:01:44.000 --> 00:01:45.000]   Hey, Merlin.
[00:01:45.000 --> 00:01:46.000]   Everybody, shut up.
[00:01:46.000 --> 00:01:47.000]   Hi, Alex.
[00:01:47.000 --> 00:01:48.000]   How are you?
[00:01:48.000 --> 00:01:50.000]   I just think it's a great catchphrase.
[00:01:50.000 --> 00:01:52.000]   Alex, everybody, shut up.
[00:01:52.000 --> 00:01:53.000]   I like that.
[00:01:53.000 --> 00:01:54.000]   It comes out and comes out fluently.
[00:01:54.000 --> 00:01:55.000]   I do wonderfully well.
[00:01:55.000 --> 00:01:57.000]   Thank you for leading the show this week.
[00:01:57.000 --> 00:02:00.000]   Oh, it's truly, truly my pleasure.
[00:02:00.000 --> 00:02:01.000]   I haven't done this for a while.
[00:02:01.000 --> 00:02:02.000]   I feel a little uncomfortable.
[00:02:02.000 --> 00:02:07.000]   I want other shows, but this one, I'm a little nervous, a little nervous.
[00:02:07.000 --> 00:02:08.000]   Also here, Scott Born.
[00:02:08.000 --> 00:02:09.000]   He's got...
[00:02:09.000 --> 00:02:11.000]   He can't take on different facets of Leo's role.
[00:02:11.000 --> 00:02:15.000]   Like one of us can be distracted reading the Internet while others are talking.
[00:02:15.000 --> 00:02:21.000]   Evidently, I guess there's a drinking game now related to when Leo is surfing the web during
[00:02:21.000 --> 00:02:22.000]   Mac Break Weekly.
[00:02:22.000 --> 00:02:25.000]   I didn't mean to interrupt your introduction to Scott.
[00:02:25.000 --> 00:02:27.000]   Yes, we should talk about the drinking game, but I'm sorry I interrupted you.
[00:02:27.000 --> 00:02:28.000]   Scott?
[00:02:28.000 --> 00:02:29.520]   I am here and thank you for welcoming me.
[00:02:29.520 --> 00:02:33.000]   I do want to point out that you host 16 podcasts and you start each and every one.
[00:02:33.000 --> 00:02:35.000]   I'm the same with "Hey, everybody."
[00:02:35.000 --> 00:02:36.000]   I know.
[00:02:36.000 --> 00:02:39.000]   Well, that's me saying hello.
[00:02:39.000 --> 00:02:40.000]   That's all.
[00:02:40.000 --> 00:02:41.000]   It's just...
[00:02:41.000 --> 00:02:42.000]   Hi, everybody.
[00:02:42.000 --> 00:02:43.000]   We're here.
[00:02:43.000 --> 00:02:44.000]   We're hanging out.
[00:02:44.000 --> 00:02:45.000]   That's just the way I...
[00:02:45.000 --> 00:02:46.000]   I've been doing that for 15 years.
[00:02:46.000 --> 00:02:47.000]   I've been doing that for 15 years.
[00:02:47.000 --> 00:02:51.000]   If I were listening only to the first 10 or 15 seconds while you were cooking media or
[00:02:51.000 --> 00:02:55.560]   Twitch, I could just pick one at random and it would be the same show.
[00:02:55.560 --> 00:02:57.560]   So I agree with Merlin and Andy.
[00:02:57.560 --> 00:03:00.240]   You should start with everybody shut up.
[00:03:00.240 --> 00:03:01.240]   Everybody shut up.
[00:03:01.240 --> 00:03:07.040]   Beyond a Twitch, you could say put a sock in it instead or sit on it.
[00:03:07.040 --> 00:03:08.120]   Like from Happy Days.
[00:03:08.120 --> 00:03:09.560]   Yes, or I could say...
[00:03:09.560 --> 00:03:11.560]   I can't say that.
[00:03:11.560 --> 00:03:18.160]   You're still a dingy from Alice.
[00:03:18.160 --> 00:03:21.560]   For the millions of French-speaking people in our audience, you could say famine.com.
[00:03:21.560 --> 00:03:25.080]   For the Zimbabwean listeners, I could say...
[00:03:25.080 --> 00:03:26.080]   Sorry.
[00:03:26.080 --> 00:03:28.840]   But that's okay.
[00:03:28.840 --> 00:03:29.840]   Alice, that's okay.
[00:03:29.840 --> 00:03:33.000]   If you need to go to the Wikipedia to find out what you would say in Zimbabwe...
[00:03:33.000 --> 00:03:34.000]   No, no.
[00:03:34.000 --> 00:03:35.680]   For some reason, I say it a lot actually.
[00:03:35.680 --> 00:03:38.920]   And for the one time that I actually have to say it here, I forgot what I was gonna say.
[00:03:38.920 --> 00:03:41.200]   You tell people in Zimbabwe to shut up your brave.
[00:03:41.200 --> 00:03:42.200]   I don't say shut up.
[00:03:42.200 --> 00:03:43.200]   I say mukasay.
[00:03:43.200 --> 00:03:44.200]   And then they say dumukka.
[00:03:44.200 --> 00:03:45.200]   Then I say kana mukka.
[00:03:45.200 --> 00:03:46.720]   And then we go on to our business.
[00:03:46.720 --> 00:03:49.800]   So anyway, that's a whole other story.
[00:03:49.800 --> 00:03:52.760]   We've got all kinds of fun stuff coming up here.
[00:03:52.760 --> 00:03:56.680]   Now once again, we have a drinking game now that everyone can take part in.
[00:03:56.680 --> 00:03:58.320]   This has been set up.
[00:03:58.320 --> 00:04:01.160]   This was on the delicious list of...
[00:04:01.160 --> 00:04:03.280]   Everyone gets to drink when Leo is surfing the web.
[00:04:03.280 --> 00:04:05.760]   So we can prepare for this when Leo gets back.
[00:04:05.760 --> 00:04:10.200]   Does anyone have any specific drinks that they suggest?
[00:04:10.200 --> 00:04:15.480]   I think you're basic gin and tonic with beefyater gin.
[00:04:15.480 --> 00:04:18.600]   Well, when they do it, they've got a...
[00:04:18.600 --> 00:04:23.800]   If you follow the link, they've got a whole hierarchy.
[00:04:23.800 --> 00:04:27.400]   So there's a one drink, two drink, three drink, five drink.
[00:04:27.400 --> 00:04:28.400]   Right.
[00:04:28.400 --> 00:04:30.560]   So I mean, there's some typical foods.
[00:04:30.560 --> 00:04:32.600]   Whenever we talk about our kids, you take a drink.
[00:04:32.600 --> 00:04:33.600]   Right.
[00:04:33.600 --> 00:04:35.520]   Obviously, Chris Breen's hair gets a drink.
[00:04:35.520 --> 00:04:36.520]   You move further up the ladder.
[00:04:36.520 --> 00:04:37.520]   You get to...
[00:04:37.520 --> 00:04:38.520]   Somebody says they're out there.
[00:04:38.520 --> 00:04:39.520]   You play the rat hole theme.
[00:04:39.520 --> 00:04:43.560]   Well, I think the interesting thing is that this is really a great opportunity to get totally
[00:04:43.560 --> 00:04:45.280]   hammered while listening to Macbreak.
[00:04:45.280 --> 00:04:47.520]   I was going to say, because today is actually...
[00:04:47.520 --> 00:04:50.360]   We're taping on Wednesday, so this is new comic book day.
[00:04:50.360 --> 00:04:55.280]   So if I mentioned the first issue of bramichael bennison is secret invasion, then now lots
[00:04:55.280 --> 00:04:56.760]   of people are having two drinks.
[00:04:56.760 --> 00:04:59.200]   So I don't want to get alcohol poisoning.
[00:04:59.200 --> 00:05:03.160]   This isn't spring break time, but every 15 minutes during this podcast, I'm going to
[00:05:03.160 --> 00:05:06.560]   try to make a comic book reference so that by the end of the hour, hour and a half, you
[00:05:06.560 --> 00:05:09.520]   will have injected eight drinks of hard alcohol.
[00:05:09.520 --> 00:05:13.880]   My gift to you, Macbreak weekly listeners, as my thanks for being devoted listeners.
[00:05:13.880 --> 00:05:17.960]   I don't want to get too far ahead of ourselves also, but I don't know if you guys saw a link
[00:05:17.960 --> 00:05:23.280]   because I can't find the link right now, but somewhere there was a guy who made a backpack
[00:05:23.280 --> 00:05:24.280]   out of a Mac SC.
[00:05:24.280 --> 00:05:25.280]   I don't know if you saw that this week.
[00:05:25.280 --> 00:05:27.000]   That's been around, hasn't it?
[00:05:27.000 --> 00:05:30.040]   That's been floating around for a little while, hasn't it?
[00:05:30.040 --> 00:05:31.040]   That's two drinks.
[00:05:31.040 --> 00:05:32.040]   Two drinks.
[00:05:32.040 --> 00:05:33.040]   There you go.
[00:05:33.040 --> 00:05:34.040]   Nice.
[00:05:34.040 --> 00:05:37.360]   None of that counts because that was all inorganic.
[00:05:37.360 --> 00:05:39.240]   That was all right.
[00:05:39.240 --> 00:05:44.680]   That shouldn't count.
[00:05:44.680 --> 00:05:51.280]   Now there is, to get to some of the actual news, there appears to be a iPhone shortage.
[00:05:51.280 --> 00:05:54.120]   Scott, do you have any inside tips related to this?
[00:05:54.120 --> 00:05:57.360]   Well, we've been hearing about it for a month or so.
[00:05:57.360 --> 00:06:01.240]   I don't think that it means the 3G phone is going to ship next week or anything like
[00:06:01.240 --> 00:06:02.240]   that.
[00:06:02.240 --> 00:06:06.000]   I still think from what I understand, the information that I've received is that Apple
[00:06:06.000 --> 00:06:14.560]   still has to file a FCC application to use the new phone because it contains additional
[00:06:14.560 --> 00:06:18.360]   radio, a new radio, a different radio, which means it has to be cleared.
[00:06:18.360 --> 00:06:22.880]   And until we see that, I don't think we'll see a phone.
[00:06:22.880 --> 00:06:25.880]   Everything we see is looking at like June perhaps.
[00:06:25.880 --> 00:06:28.600]   So it could just be strong demand.
[00:06:28.600 --> 00:06:36.800]   Recently, in my opinion, somewhat happy analyst was predicting a 45 million iPhone sales number
[00:06:36.800 --> 00:06:37.800]   next year.
[00:06:37.800 --> 00:06:45.120]   As an iPhone fan, I think that number is a little, let's just say, the optimistic.
[00:06:45.120 --> 00:06:49.320]   But I think there are strong sales everywhere and I think that that's probably most of it.
[00:06:49.320 --> 00:06:52.320]   I don't think we're going to see the phone next week, although I'd be thrilled if we
[00:06:52.320 --> 00:06:56.520]   did just because it gives us something to talk about over at the Apple phone show.
[00:06:56.520 --> 00:07:00.480]   Do we think the main thing that we're going to see is of course the support for the SDK
[00:07:00.480 --> 00:07:02.040]   and the 3G.
[00:07:02.040 --> 00:07:04.920]   Is there anything else that we really think is going to be coming with this with any kind
[00:07:04.920 --> 00:07:07.200]   of update if there an update does occur?
[00:07:07.200 --> 00:07:11.200]   The thinner phone, that's what one of the things people are talking about because they're
[00:07:11.200 --> 00:07:12.960]   going to change the glass.
[00:07:12.960 --> 00:07:17.120]   But, you know, I'm kind of glad that it's the thickness it is.
[00:07:17.120 --> 00:07:19.800]   I dropped it like four times in one day last week.
[00:07:19.800 --> 00:07:22.560]   And just like I've never dropped it before.
[00:07:22.560 --> 00:07:25.360]   In fact, I said it to someone like two days before, you know, never actually dropped it.
