;FFMETADATA1
album=MacBreak Weekly April 2008
artist=Leo Laporte, Andy Ihnatko, Scott Bourne, and Alex Lindsay
comment=http://twit.tv/mbw86
genre=Podcast
title=MacBreak Weekly 86: The Freak Squad
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.600]   [ Music ]
[00:00:10.600 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACAGFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:34.600]   >> This is Mac Break Weekly, episode 86 for April 23, 2008.
[00:00:34.600 --> 00:00:36.440]   The Freak Squad.
[00:00:36.440 --> 00:00:38.880]   [ Music ]
[00:00:38.880 --> 00:00:42.180]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.180 --> 00:00:47.920]   For your free audio book, visit audible.com/macbreak.
[00:00:47.920 --> 00:00:50.440]   And by listeners like you.
[00:00:50.440 --> 00:00:52.440]   Thanks for your donations.
[00:00:52.440 --> 00:00:56.720]   It's time for Mac Break Weekly, the time we get together every week
[00:00:56.720 --> 00:01:02.320]   with Macintosh Insiders to talk about what's going on inside Apple Computer.
[00:01:02.320 --> 00:01:05.840]   Around the round table today from the Chicago Sun Times and the Celestial Waste
[00:01:05.840 --> 00:01:12.160]   of Band with CWOB.com, Mr. Andy, I have no idea how to spell his name in NOCCO.
[00:01:12.160 --> 00:01:13.320]   >> Hello there, Leo.
[00:01:13.320 --> 00:01:16.120]   >> Ironically, that's a mnemonic for how to spell your name.
[00:01:16.120 --> 00:01:16.640]   >> Exactly.
[00:01:16.640 --> 00:01:21.320]   Although the word mnemonic is also a mnemonic because if you pronounce it mnemonic,
[00:01:21.320 --> 00:01:22.800]   you will remember how to spell it.
[00:01:22.800 --> 00:01:26.080]   >> Oh, so let's say mnemonic from mnemonic now on.
[00:01:26.080 --> 00:01:30.160]   >> Yes, a bonus syllable for adding extra value for our podcast listener.
[00:01:30.160 --> 00:01:33.440]   >> One extra syllable for absolutely nothing.
[00:01:33.440 --> 00:01:33.840]   What a--
[00:01:33.840 --> 00:01:35.240]   >> And passing the savings on to you.
[00:01:35.240 --> 00:01:35.640]   >> Exactly.
[00:01:35.640 --> 00:01:36.800]   >> That's the kind of guys we are.
