;FFMETADATA1
album=MacBreak Weekly April 2008
artist=Leo Laporte, Andy Ihnatko, Alex Lindsay, and Merlin Mann
comment=http://twit.tv/mbw87
genre=Podcast
title=MacBreak Weekly 87: Enter the Cylon
size=
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, Episode 87 for April 30, 2008.
[00:00:34.000 --> 00:00:36.000]   Enter the Cylon.
[00:00:36.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:42.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by listeners like you.
[00:00:50.000 --> 00:00:52.000]   Thanks for your donations.
[00:00:52.000 --> 00:00:56.000]   This is Mac Break Weekly, Episode 87,
[00:00:56.000 --> 00:00:58.000]   and in a very different setting for me,
[00:00:58.000 --> 00:01:00.000]   we are in the new studio.
[00:01:00.000 --> 00:01:01.000]   This is a first show in the new studio.
[00:01:01.000 --> 00:01:03.000]   So expect things to go wrong.
[00:01:03.000 --> 00:01:05.000]   [ Laughter ]
[00:01:05.000 --> 00:01:07.000]   And who knows what's going to go wrong.
[00:01:07.000 --> 00:01:08.000]   It could be anything.
[00:01:08.000 --> 00:01:11.000]   I've got buttons and dials and arrays and knobs I never had before.
[00:01:11.000 --> 00:01:14.000]   Ladies and gentlemen, from his mother's home,
[00:01:14.000 --> 00:01:16.000]   where Matlock is playing in the background,
[00:01:16.000 --> 00:01:19.000]   if you hear Andy Griffith's Dorset tones, now you know,
[00:01:19.000 --> 00:01:21.000]   you're listening to Andy and Naka.
[00:01:21.000 --> 00:01:22.000]   Hi, Andy.
[00:01:22.000 --> 00:01:23.000]   Hello.
[00:01:23.000 --> 00:01:26.000]   This goes to show the production values that are on the show.
[00:01:26.000 --> 00:01:29.000]   If owner Brian goes to Chicago, he goes to London,
[00:01:29.000 --> 00:01:31.000]   I get to broadcast my mom's house.
[00:01:31.000 --> 00:01:34.000]   So enjoy the special week of shows from my mom.
[00:01:34.000 --> 00:01:37.000]   This actually looks like I'm broadcasting from mom's house.
[00:01:37.000 --> 00:01:39.000]   We're streaming video right now in Stikam.
[00:01:39.000 --> 00:01:40.000]   I don't know.
[00:01:40.000 --> 00:01:42.000]   It looks like I snuck in here.
[00:01:42.000 --> 00:01:43.000]   I don't know.
[00:01:43.000 --> 00:01:44.000]   What's going on?
[00:01:44.000 --> 00:01:46.000]   I just got to say, I'm feeling really good today
[00:01:46.000 --> 00:01:48.000]   because I've seen the Stikam when you're in the old place.
[00:01:48.000 --> 00:01:51.000]   And for the first time, it feels as though you're in a place
[00:01:51.000 --> 00:01:53.000]   as disorganized as my office normally.
[00:01:53.000 --> 00:01:54.000]   Yeah, exactly.
[00:01:54.000 --> 00:01:55.000]   Exactly.
[00:01:55.000 --> 00:01:57.000]   Well, you know, we have some things to do.
[00:01:57.000 --> 00:01:59.000]   We've got some glare here and there's a lot of --
[00:01:59.000 --> 00:02:00.000]   but we had our lighting guy in.
[00:02:00.000 --> 00:02:01.000]   That was great.
[00:02:01.000 --> 00:02:03.000]   I'll actually talk about that in a second with Alex Lindsay,
[00:02:03.000 --> 00:02:04.000]   who's also here from the Pixel Core.
[00:02:04.000 --> 00:02:05.000]   Hey, Alex.
[00:02:05.000 --> 00:02:10.000]   Alex came up to shoot the lighting guy talking about lighting,
[00:02:10.000 --> 00:02:11.000]   which was really great.
[00:02:11.000 --> 00:02:12.000]   Yeah.
[00:02:12.000 --> 00:02:13.000]   It was great.
[00:02:13.000 --> 00:02:14.000]   I think we got almost an hour of footage,
[00:02:14.000 --> 00:02:17.000]   so we're going to cut that up into a couple gear media tech shows.
[00:02:17.000 --> 00:02:18.000]   Yeah.
[00:02:18.000 --> 00:02:21.000]   I mean, that was like a graduate course in film lighting.
[00:02:21.000 --> 00:02:22.000]   Yeah.
[00:02:22.000 --> 00:02:23.000]   Yeah.
[00:02:23.000 --> 00:02:27.000]   I mean, you know, the lighting he did --
[00:02:27.000 --> 00:02:31.000]   oh, we lost our steampunk astrolabe, darn it.
[00:02:31.000 --> 00:02:34.000]   The lighting he -- sorry, my auction bid just popped up.
[00:02:34.000 --> 00:02:36.000]   The lighting he did really looked noir.
[00:02:36.000 --> 00:02:39.000]   It was really -- I don't know if we're going to go that dramatic.
[00:02:39.000 --> 00:02:41.000]   You know, I may not go that dramatic, but I think that it'll be
[00:02:41.000 --> 00:02:45.000]   nice to not be limited to just -- let's make everybody look well.
[00:02:45.000 --> 00:02:46.000]   Oh, yeah.
[00:02:46.000 --> 00:02:47.000]   I don't -- yeah.
[00:02:47.000 --> 00:02:51.000]   I mean, most television, let alone most Internet TV is very flat.
[00:02:51.000 --> 00:02:52.000]   Very harsh.
[00:02:52.000 --> 00:02:53.000]   Yeah.
[00:02:53.000 --> 00:02:54.000]   I don't want to do that.
[00:02:54.000 --> 00:02:55.000]   Yeah.
[00:02:55.000 --> 00:02:57.000]   And people who are watching right now say, well, that's not very good lighting.
[00:02:57.000 --> 00:03:02.000]   Well, no, because there is no lighting in here yet, but -- we will have lighting.
[00:03:02.000 --> 00:03:06.000]   Merlin Mann, who is always well lit and always looking good, and by the way,
[00:03:06.000 --> 00:03:09.000]   is probably beating the pants off me at TVweek.com.
[00:03:09.000 --> 00:03:10.000]   Hello, Merlin Mann.
[00:03:10.000 --> 00:03:11.000]   Hi.
[00:03:11.000 --> 00:03:12.000]   How's it going, Leo?
[00:03:12.000 --> 00:03:13.000]   What's TV week?
[00:03:13.000 --> 00:03:14.000]   You didn't see that?
[00:03:14.000 --> 00:03:15.000]   What is it?
[00:03:15.000 --> 00:03:18.000]   You and Leo are going head to head, and you don't even know it.
[00:03:18.000 --> 00:03:22.000]   Whitney has faced us off.
[00:03:22.000 --> 00:03:23.000]   Yeah, I saw that.
[00:03:23.000 --> 00:03:24.000]   Yeah.
[00:03:24.000 --> 00:03:27.000]   I would like to go ahead and just see victory to you.
[00:03:27.000 --> 00:03:28.000]   No, no.
[00:03:28.000 --> 00:03:29.000]   I would like to go ahead and see victory.
[00:03:29.000 --> 00:03:30.400]   Can we ask her not to do that?
[00:03:30.400 --> 00:03:32.000]   I don't like competing.
[00:03:32.000 --> 00:03:33.000]   No, I know.
[00:03:33.000 --> 00:03:37.000]   Guys, guys, this passive aggressive stuff is really ugly, okay?
[00:03:37.000 --> 00:03:39.000]   Let's hit each other, get it over with.
[00:03:39.000 --> 00:03:40.000]   I take it back.
[00:03:40.000 --> 00:03:41.000]   I'm hot.
[00:03:41.000 --> 00:03:44.000]   Hotmail web hosts gone wild.
[00:03:44.000 --> 00:03:49.000]   I guess what she has is like, who's the sexiest?
[00:03:49.000 --> 00:03:52.000]   It's like Jeff McPherson versus Tom Merritt.
[00:03:52.000 --> 00:03:56.000]   Dr. Teakey wins hands down versus Tom Merritt.
[00:03:56.000 --> 00:03:58.000]   I love Tom Merritt, but Dr. Teakey is Dr. Teakey.
[00:03:58.000 --> 00:04:03.000]   Then Gary Vaynerchuk versus the amateur gourmet, Adam Roberts.
[00:04:03.000 --> 00:04:05.000]   It's all these hosts from various...
[00:04:05.000 --> 00:04:09.000]   He's got the Ignatian guys, Alex Albrecht and Kevin Rose faced off against each other,
[00:04:09.000 --> 00:04:10.000]   poor Alex.
[00:04:10.000 --> 00:04:13.000]   But then you and me, it's like, come on.
[00:04:13.000 --> 00:04:16.000]   That's a race to the bottom.
[00:04:16.000 --> 00:04:19.000]   Unfortunately, we can't tell who's winning.
[00:04:19.000 --> 00:04:20.000]   Look, I'm going to vote for you.
[00:04:20.000 --> 00:04:21.000]   Hey, you can.
[00:04:21.000 --> 00:04:23.000]   If you vote, if you vote, it'll show you.
[00:04:23.000 --> 00:04:25.000]   No, there's no one can win this.
[00:04:25.000 --> 00:04:26.000]   It's like...
[00:04:26.000 --> 00:04:27.000]   Oh, it's close.
[00:04:27.000 --> 00:04:29.000]   I'm winning 57 to 42.
[00:04:29.000 --> 00:04:32.000]   I'm like Barack Obama in North Carolina right now.
[00:04:32.000 --> 00:04:33.000]   Excellent.
[00:04:33.000 --> 00:04:35.000]   Well, I look to congratulate you in advance, Leo.
[00:04:35.000 --> 00:04:36.000]   You're a handsome man.
[00:04:36.000 --> 00:04:37.000]   I'm not going to use so much better looking.
[00:04:37.000 --> 00:04:38.000]   And by the way...
[00:04:38.000 --> 00:04:41.000]   You're oddly lit right now, but you're a very good person.
[00:04:41.000 --> 00:04:46.000]   She picked a picture from my fat period, which is anything in the last 10 years.
[00:04:46.000 --> 00:04:50.000]   So I was hoping she might go back farther.
[00:04:50.000 --> 00:04:55.000]   Actually, that wouldn't be fair, though, because you, you, my friend, I'm looking at your geek pictures.
[00:04:55.000 --> 00:04:56.000]   You're good.
[00:04:56.000 --> 00:04:58.000]   You're a good-looking fella.
[00:04:58.000 --> 00:04:59.000]   You think so?
[00:04:59.000 --> 00:05:00.000]   Yeah.
[00:05:00.000 --> 00:05:01.000]   I have a lot of work done.
[00:05:01.000 --> 00:05:02.000]   That's very costly, but I've had done.
[00:05:02.000 --> 00:05:05.000]   To reverse it, to reverse the effects of good looks?
[00:05:05.000 --> 00:05:09.000]   As you know, I have a home that I have to have treated on a regular basis.
[00:05:09.000 --> 00:05:11.000]   Because it keeps coming back.
[00:05:11.000 --> 00:05:16.000]   On my original nose, this is, I mean, actually it's a nose that I had to, I'm leasing.
[00:05:16.000 --> 00:05:19.000]   So I can't even like really kind of good nuts with it.
[00:05:19.000 --> 00:05:21.000]   You can't do anything because you have to give it back.
[00:05:21.000 --> 00:05:22.000]   Oh, I mean, I've got to keep it clean.
[00:05:22.000 --> 00:05:23.000]   You never know.
[00:05:23.000 --> 00:05:24.000]   I've got to keep resale value.
[00:05:24.000 --> 00:05:27.000]   So yeah, now it's an uphill battle, Leo, and it's not getting easier.
[00:05:27.000 --> 00:05:30.000]   Gravity and entropy are putting their heart on you.
[00:05:30.000 --> 00:05:33.000]   Let's talk about Mac News.
[00:05:33.000 --> 00:05:35.000]   Enough of this.
[00:05:35.000 --> 00:05:40.000]   After Scott Bourne cannot join us today, he is doing something fancy.
[00:05:40.000 --> 00:05:43.000]   Oh, he's meeting with Apple about aperture, right?
[00:05:43.000 --> 00:05:47.000]   He is crossing the Atlantic and self-powered auto-dermeable.
[00:05:47.000 --> 00:05:49.000]   Oh, my goodness, Andy.
[00:05:49.000 --> 00:05:51.000]   It's one of those Brian Frosting sort of things.
[00:05:51.000 --> 00:05:53.000]   You've gone bad on us again.
[00:05:53.000 --> 00:05:55.000]   Oh, damn it.
[00:05:55.000 --> 00:05:57.000]   I just do it.
[00:05:57.000 --> 00:05:58.000]   I've always been badly.
[00:05:58.000 --> 00:05:59.000]   I've always been bad, Leo.
[00:05:59.000 --> 00:06:01.000]   I've tried to clean myself up for public broadcast.
[00:06:01.000 --> 00:06:03.000]   He's gone bad.
[00:06:03.000 --> 00:06:05.000]   Got a kind of old school silence sound to it.
[00:06:05.000 --> 00:06:06.000]   This sort of cool.
[00:06:06.000 --> 00:06:07.000]   Yeah.
[00:06:07.000 --> 00:06:08.000]   He does.
[00:06:08.000 --> 00:06:09.000]   You sound like a silent.
[00:06:09.000 --> 00:06:11.000]   Do you have red lights going up and down your back?
[00:06:11.000 --> 00:06:14.000]   No, if I were anything, it would not be a sucky TV show.
[00:06:14.000 --> 00:06:15.000]   Thank you very much.
[00:06:15.000 --> 00:06:17.000]   Oh!
[00:06:17.000 --> 00:06:19.000]   There are some people who actually like B.S.G.
[00:06:19.000 --> 00:06:25.000]   But they don't think really quickly does something say not the Lord Green version.
[00:06:25.000 --> 00:06:26.000]   Oh, not the Lord Green version.
[00:06:26.000 --> 00:06:29.000]   No, you're not the version with the hot women on it.
[00:06:29.000 --> 00:06:31.000]   Yeah, the cool silent chick.
[00:06:31.000 --> 00:06:35.000]   You don't even know how to really get like a Battlestar to the latter kind of fan like really, really angry.
[00:06:35.000 --> 00:06:37.000]   Start doing quick impersonations.
[00:06:37.000 --> 00:06:39.000]   Doesn't he sound like a silent?
[00:06:39.000 --> 00:06:43.000]   You can deliberately confuse the show with Buck Rogers.
[00:06:43.000 --> 00:06:44.000]   Is that the idea?
[00:06:44.000 --> 00:06:45.000]   Exactly.
[00:06:45.000 --> 00:06:46.000]   They all flustered.
[00:06:46.000 --> 00:06:48.000]   They don't realize that you're just trying to get them flustered.
[00:06:48.000 --> 00:06:51.000]   Yeah, you just go, "I love Battlestar Galactica."
[00:06:51.000 --> 00:06:53.000]   Be to be to be to be to be to be to be to be to be a starbuck.
