;FFMETADATA1
album=MacBreak Weekly May 2008
artist=Leo Laporte, Scott Bourne, Merlin Mann, Andy Ihnatko, and Alex Lindsay
comment=http://twit.tv/mbw88
genre=Podcast
title=MacBreak Weekly 88: Drobotized
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:10.600]   [ Music ]
[00:00:10.600 --> 00:00:12.400]   >> This is Detroit.
[00:00:12.400 --> 00:00:17.760]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:17.760 --> 00:00:21.160]   at CACAGFLY.com.
[00:00:21.160 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:33.960]   >> This is Mac Break Weekly, Episode 88 from May 7th, 2008.
[00:00:33.960 --> 00:00:35.960]   Drobo Ties.
[00:00:35.960 --> 00:00:38.880]   [ Music ]
[00:00:38.880 --> 00:00:42.160]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.160 --> 00:00:47.920]   For your free audio book, visit audible.com/macbreak.
[00:00:47.920 --> 00:00:50.440]   And by listeners like you.
[00:00:50.440 --> 00:00:52.440]   Thanks for your donations.
[00:00:52.440 --> 00:00:56.520]   It is time for Mac Break Weekly and we are gathered weekly.
[00:00:56.520 --> 00:00:58.040]   I feel very weak actually.
[00:00:58.040 --> 00:01:01.080]   To talk about the Macintosh, Scott Bourne is in studio with us today
[00:01:01.080 --> 00:01:02.440]   in the new Twit Studios.
[00:01:02.440 --> 00:01:05.240]   >> Hi Leo, I am very honored to be the second guest ever here.
[00:01:05.240 --> 00:01:06.240]   >> It is really great.
[00:01:06.240 --> 00:01:07.440]   He is on camera and everything.
[00:01:07.440 --> 00:01:09.040]   >> That is the bad part but I am here anyway.
[00:01:09.040 --> 00:01:10.640]   I did bring my hat.
[00:01:10.640 --> 00:01:11.840]   >> It is really great to see you.
[00:01:11.840 --> 00:01:13.640]   We are still on a one camera operation.
[00:01:13.640 --> 00:01:15.240]   As you can see, the lights come in Friday.
[00:01:15.240 --> 00:01:17.140]   The tricaster is here but it hasn't been hooked up yet.
[00:01:17.140 --> 00:01:18.040]   We are getting there though.
[00:01:18.040 --> 00:01:20.040]   >> It is very exciting.
[00:01:20.040 --> 00:01:23.040]   It is sort of like day one at the racetrack.
[00:01:23.040 --> 00:01:24.040]   >> It is kind of.
[00:01:24.040 --> 00:01:26.840]   >> I invited you because you have been through this.
[00:01:26.840 --> 00:01:28.840]   You know what it looks like when a studio is getting built.
