;FFMETADATA1
album=MacBreak Weekly May 2008
artist=Leo Laporte, Andy Ihnatko, Justine Ezarik, Alex Lindsay, and Merlin Mann
comment=http://twit.tv/mbw89
genre=Podcast
title=MacBreak Weekly 89: Shrimp Torrents
date=2008

[00:00:00.000 --> 00:00:03.800]   [ Sound Effects ]
[00:00:03.800 --> 00:00:05.400]   >> Netcast you love.
[00:00:05.400 --> 00:00:07.400]   >> From people you trust.
[00:00:07.400 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:12.800]   >> This is Detroit.
[00:00:12.800 --> 00:00:14.300]   [ Music ]
[00:00:14.300 --> 00:00:18.100]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:18.100 --> 00:00:21.800]   at CACHEFLY.com.
[00:00:21.800 --> 00:00:29.200]   [ Music ]
[00:00:29.200 --> 00:00:34.100]   >> This is Mac Break Weekly, episode 89 for May 15, 2008.
[00:00:34.100 --> 00:00:36.100]   Shrimp Torrance.
[00:00:36.100 --> 00:00:38.900]   [ Music ]
[00:00:38.900 --> 00:00:42.200]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.200 --> 00:00:47.900]   For your free audio book, visit audible.com/macbreak.
[00:00:47.900 --> 00:00:52.500]   And by listeners like you, thanks for your donations.
[00:00:52.500 --> 00:00:54.700]   It's time for Mac Break Weekly.
[00:00:54.700 --> 00:00:56.800]   Oh, wait a minute, somebody's calling.
[00:00:56.800 --> 00:00:58.800]   I hear a phone.
[00:00:58.800 --> 00:01:00.200]   I hear a bird.
[00:01:00.200 --> 00:01:04.000]   >> Yes, that would probably be the bird that sounds like an electronic phone.
[00:01:04.000 --> 00:01:05.000]   [ Laughter ]
[00:01:05.000 --> 00:01:07.500]   They've been doing a call and response for the past 20 minutes.
[00:01:07.500 --> 00:01:10.900]   >> You know, the bird came back by request, didn't he?
[00:01:10.900 --> 00:01:15.200]   >> Yes, well, you know, fortunately he wasn't tied up with any of the competing Mac podcasts.
[00:01:15.200 --> 00:01:19.800]   I've got him just on a proprietary six episode deal with an option towards another season.
[00:01:19.800 --> 00:01:20.400]   >> Excellent.
[00:01:20.400 --> 00:01:22.900]   Well, we're so glad he could join us.
[00:01:22.900 --> 00:01:24.000]   And we're so glad you could join us.
[00:01:24.000 --> 00:01:27.200]   Thank you Andy and not go from the Chicago Sun times and the celestial energy.
[00:01:27.200 --> 00:01:28.600]   I'd always rather have you.
[00:01:28.600 --> 00:01:30.300]   >> I apologize for the late start everybody.
[00:01:30.300 --> 00:01:33.400]   We are live on Twit Live and we are on our new servers.
[00:01:33.400 --> 00:01:34.700]   So we'll see how that works out.
[00:01:34.700 --> 00:01:41.000]   Also, as you can see those of you who are watching the video to my right, the lovely Justine Azerik.
[00:01:41.000 --> 00:01:42.000]   Hi Justine.
[00:01:42.000 --> 00:01:42.500]   >> Hi.
[00:01:42.500 --> 00:01:44.500]   >> When's the last time you were on Mac Break Weekly?
[00:01:44.500 --> 00:01:45.000]   Long time.
[00:01:45.000 --> 00:01:45.600]   >> I didn't spend a while.
[00:01:45.600 --> 00:01:46.100]   >> Months.
[00:01:46.100 --> 00:01:46.600]   >> Yeah.
[00:01:46.600 --> 00:01:47.100]   >> Welcome back.
[00:01:47.100 --> 00:01:47.600]   >> Thank you.
[00:01:47.600 --> 00:01:48.600]   >> To see you in person is so great.
[00:01:48.600 --> 00:01:50.500]   Alex Lindsey is also here to my right.
[00:01:50.500 --> 00:01:51.000]   >> I am.
[00:01:51.000 --> 00:01:52.000]   And we're well caffeinated.
[00:01:52.000 --> 00:01:52.800]   >> We are.
[00:01:52.800 --> 00:01:54.000]   >> You had plenty of time to caffeinate.
[00:01:54.000 --> 00:01:56.400]   >> We stopped at Dr. Insomnias on the way here.
