;FFMETADATA1
album=MacBreak Weekly May 2008
artist=Leo Laporte, Andy Ihnatko, Merlin Mann, and Alex Lindsay
comment=http://twit.tv/mbw90
genre=Podcast
title=MacBreak Weekly 90: Flippin' the Bird
date=2008

[00:00:00.000 --> 00:00:03.440]   [ Sound Effects ]
[00:00:03.440 --> 00:00:05.200]   >> Netcast you love.
[00:00:05.200 --> 00:00:07.200]   >> From people you trust.
[00:00:07.200 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:14.320]   >> This is Detroit.
[00:00:14.320 --> 00:00:18.120]   >> Bandwidth for Mac Break Weekly is provided by cashfly
[00:00:18.120 --> 00:00:21.760]   at CACHEFLY.com.
[00:00:21.760 --> 00:00:29.160]   [ Music ]
[00:00:29.160 --> 00:00:33.600]   >> This is Mac Break Weekly, episode 90 for May 21, 2008.
[00:00:33.600 --> 00:00:35.440]   Flip in the bird.
[00:00:35.440 --> 00:00:38.920]   [ Music ]
[00:00:38.920 --> 00:00:42.200]   >> Mac Break Weekly is brought to you by audible.com.
[00:00:42.200 --> 00:00:47.960]   For your free audio book, visit audible.com/macbreak.
[00:00:47.960 --> 00:00:52.440]   And by listeners like you, thanks for your donations.
[00:00:52.440 --> 00:00:55.360]   This is Mac Break Weekly, our 90th episode,
[00:00:55.360 --> 00:00:57.760]   unless I've counted wrong, joining us
[00:00:57.760 --> 00:01:01.840]   from his aviary in Baston.
[00:01:01.840 --> 00:01:04.840]   Mr. Andy Enaco, the bird is back.
[00:01:04.840 --> 00:01:06.080]   >> Hello bird lovers everywhere.
[00:01:06.080 --> 00:01:08.720]   And to that one bastard who wanted me to kill every bird
[00:01:08.720 --> 00:01:12.360]   in the yard, what a black, black, coastal you have.
[00:01:12.360 --> 00:01:12.920]   >> Hey.
[00:01:12.920 --> 00:01:14.280]   >> I don't hate you, I pity you.
[00:01:14.280 --> 00:01:14.880]   >> I --
[00:01:14.880 --> 00:01:16.480]   >> I would have said you a fruit basket
[00:01:16.480 --> 00:01:20.120]   to give you some little glimmer of open peace in your life
[00:01:20.120 --> 00:01:21.280]   because clearly you have none.
[00:01:21.280 --> 00:01:23.920]   You see, join the world and you seek to crush it.
[00:01:23.920 --> 00:01:25.520]   How unfortunate for you.
[00:01:25.520 --> 00:01:27.720]   >> We got one email from a guy who said it's beautiful.
[00:01:27.720 --> 00:01:30.160]   It's piercing in my car, it's piercing.
[00:01:30.160 --> 00:01:32.760]   But I think the bird moved off a little bit.
[00:01:32.760 --> 00:01:34.080]   So I think he's actually going to be fine.
