;FFMETADATA1
album=MacBreak Weekly June 2008
artist=Leo Laporte, Merlin Mann, Andy Ihnatko, and Alex Lindsay
comment=http://twit.tv/mbw92
genre=Podcast
title=MacBreak Weekly 92: Thundercats
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachafly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, episode 92 for June 4, 2008.
[00:00:34.000 --> 00:00:37.000]   Thundercats.
[00:00:37.000 --> 00:00:40.000]   [ Music ]
[00:00:40.000 --> 00:00:44.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:44.000 --> 00:00:49.000]   For your free audio book, visit Audible.com/MacBreak.
[00:00:49.000 --> 00:00:54.000]   And by Drobo, the intelligent automated data storage device.
[00:00:54.000 --> 00:00:57.000]   To learn more and receive an instant $50 off your own Drobo,
[00:00:57.000 --> 00:01:00.000]   visit Drobo.com/MacBreak.
[00:01:00.000 --> 00:01:03.000]   And by listeners like you.
[00:01:03.000 --> 00:01:05.000]   Thanks for your donations.
[00:01:05.000 --> 00:01:07.000]   This is Mac Break Weekly.
[00:01:07.000 --> 00:01:09.000]   Ladies and gentlemen, the show that brings you everything you'd ever
[00:01:09.000 --> 00:01:13.000]   want to know about Mac and Tasha's and probably a little bit more.
[00:01:13.000 --> 00:01:15.000]   I'm Leo Laport, your friendly host and joining us.
[00:01:15.000 --> 00:01:19.000]   On the call today, ladies and gentlemen, Mr. Merlin,
[00:01:19.000 --> 00:01:21.000]   Truck Spank Man.
[00:01:21.000 --> 00:01:22.000]   Truck Spank.
[00:01:22.000 --> 00:01:23.000]   I've been going with Pony Boy.
[00:01:23.000 --> 00:01:24.000]   That's my new latte name.
[00:01:24.000 --> 00:01:25.000]   Pony Boy.
[00:01:25.000 --> 00:01:26.000]   It's my Curtis.
[00:01:26.000 --> 00:01:30.000]   If you haven't heard Merlin's podcast, you look nice today.
[00:01:30.000 --> 00:01:33.000]   Go to ulooknicetoday.com and listen to the current episode,
[00:01:33.000 --> 00:01:35.000]   Truck Spank.
[00:01:35.000 --> 00:01:38.000]   But don't delay because it's pretty quickly becoming the podcast that
[00:01:38.000 --> 00:01:40.000]   if you didn't hear the last 10 episodes, you really aren't going to
[00:01:40.000 --> 00:01:41.000]   follow it.
[00:01:41.000 --> 00:01:43.000]   You're not going to know what's going on.
[00:01:43.000 --> 00:01:45.000]   I can't follow it and I do it.
[00:01:45.000 --> 00:01:46.000]   [ Laughter ]
[00:01:46.000 --> 00:01:48.000]   Apparently a lot of things get recorded that I don't remember saying.
[00:01:48.000 --> 00:01:51.000]   It's adults only, but I'll tell you, I was listening this morning at
[00:01:51.000 --> 00:01:55.000]   breakfast and my wife started listening and she couldn't stop.
[00:01:55.000 --> 00:01:58.000]   She started laughing and just couldn't stop.
[00:01:58.000 --> 00:01:59.000]   She loved it.
[00:01:59.000 --> 00:02:00.000]   You got a good one there, Leo.
[00:02:00.000 --> 00:02:01.000]   It was a great show.
[00:02:01.000 --> 00:02:03.000]   Ulooknicetoday.com.
[00:02:03.000 --> 00:02:06.000]   Also here, Andy Inako, the celestial waste of bandwidth.
[00:02:06.000 --> 00:02:10.000]   Andy's also a regular on the Apple phone show and many other fine
[00:02:10.000 --> 00:02:11.000]   programs.
[00:02:11.000 --> 00:02:12.000]   Good morning, Andy.
[00:02:12.000 --> 00:02:13.000]   Good morning.
[00:02:13.000 --> 00:02:16.000]   Now, Merlin, if people go to your regular strip club and ask for
[00:02:16.000 --> 00:02:19.000]   Pony Boy, are they going to get the old Pony Boy or are they going to
[00:02:19.000 --> 00:02:20.000]   get you?
[00:02:20.000 --> 00:02:22.000]   My strip club?
[00:02:22.000 --> 00:02:23.000]   Yeah.
[00:02:23.000 --> 00:02:25.000]   Oh, have we started yet?
[00:02:25.000 --> 00:02:26.000]   Oh, God.
[00:02:26.000 --> 00:02:27.000]   I'm sorry.
[00:02:27.000 --> 00:02:28.000]   I'm sorry.
[00:02:28.000 --> 00:02:29.000]   I'm sorry.
[00:02:29.000 --> 00:02:30.000]   I was role-tapely of that.
[00:02:30.000 --> 00:02:32.000]   Okay, let me just switch that off every wine.
[00:02:32.000 --> 00:02:33.000]   [ Laughter ]
[00:02:33.000 --> 00:02:37.000]   And now, ladies and gentlemen, Alex Lindsey of the Pixel Corps.
[00:02:37.000 --> 00:02:38.000]   Hello.
[00:02:38.000 --> 00:02:41.000]   Who was about to move to my neck of the woods, I think.
[00:02:41.000 --> 00:02:43.000]   That's the weirdest thing ever.
[00:02:43.000 --> 00:02:46.000]   We've been looking now that way.
[00:02:46.000 --> 00:02:49.000]   As soon as you have a kid, sometimes you decide that San Francisco is
[00:02:49.000 --> 00:02:50.000]   the place for you.
[00:02:50.000 --> 00:02:54.000]   And so it's not really the kid town.
[00:02:54.000 --> 00:02:55.600]   And so we've had -- we have a list.
[00:02:55.600 --> 00:02:58.000]   You're talking to Merlin, man, who's living there with his child.
[00:02:58.000 --> 00:03:01.000]   But you notice, Alex, you only see infants and teenagers.
[00:03:01.000 --> 00:03:02.000]   Have you ever noticed that?
[00:03:02.000 --> 00:03:03.000]   There's no seven-year-old kids in the town.
[00:03:03.000 --> 00:03:04.000]   There's a gap.
[00:03:04.000 --> 00:03:06.000]   There's a gap where a whole bunch of people decided this just wasn't
[00:03:06.000 --> 00:03:07.000]   going to work with it.
[00:03:07.000 --> 00:03:08.000]   It sent them to Tiburon or something.
[00:03:08.000 --> 00:03:11.000]   I don't know where they go, but you don't see elementary school-age kids
[00:03:11.000 --> 00:03:12.000]   here.
[00:03:12.000 --> 00:03:13.000]   It's extraordinary.
[00:03:13.000 --> 00:03:14.000]   It is.
[00:03:14.000 --> 00:03:15.000]   It is.
[00:03:15.000 --> 00:03:16.000]   It's very odd.
[00:03:16.000 --> 00:03:17.000]   Maybe they come back.
[00:03:17.000 --> 00:03:18.000]   They bring their kids back once they've gotten over the certain age.
[00:03:18.000 --> 00:03:20.000]   Yeah, it's just goes full of a lot.
[00:03:20.000 --> 00:03:21.000]   Yeah, exactly.
[00:03:21.000 --> 00:03:22.000]   It's like, you know, just bust them out.
[00:03:22.000 --> 00:03:26.000]   You know, and so we were looking at, you know, Santa Fe and Albuquerque,
[00:03:26.000 --> 00:03:30.000]   Austin, Portland, and a couple of places that we could possibly be.
[00:03:30.000 --> 00:03:35.000]   And so I figured, you know, Petaluma's really nice for a lot of reasons.
[00:03:35.000 --> 00:03:36.000]   I mean, you know, and --
[00:03:36.000 --> 00:03:40.000]   Well, the irony is you came up with Carlita, your wife, on Sunday.
[00:03:40.000 --> 00:03:43.000]   And by yesterday, I'm getting emails with houses.
[00:03:43.000 --> 00:03:45.000]   She's going to be looking at tomorrow.
[00:03:45.000 --> 00:03:47.000]   Well, she's going to be looking at them.
[00:03:47.000 --> 00:03:51.720]   You know, the thing is, is that once Carlita gets going, I just try to keep my hands and
[00:03:51.720 --> 00:03:52.720]   feet away from my --
[00:03:52.720 --> 00:03:54.360]   I have to tell you, this is how we moved up here, though.
[00:03:54.360 --> 00:03:58.680]   We had a one-year-old, and we wanted to buy a house.
[00:03:58.680 --> 00:04:01.000]   You're probably not going to buy, but we wanted to buy a house.
[00:04:01.000 --> 00:04:02.000]   Yeah.
[00:04:02.000 --> 00:04:05.480]   And although this is, I think this is probably a good time to buy.
[00:04:05.480 --> 00:04:09.520]   And so we came -- we started driving north because you can't afford a house in San Francisco.
[00:04:09.520 --> 00:04:10.520]   Then you get to Marin.
[00:04:10.520 --> 00:04:13.120]   You can't -- you know, Tiburon, Sausalito, San Rafael.
[00:04:13.120 --> 00:04:14.680]   You can't afford a house there.
[00:04:14.680 --> 00:04:17.520]   And so we just kept going north until we could afford a house.
[00:04:17.520 --> 00:04:18.520]   And that's how we ended up up here.
[00:04:18.520 --> 00:04:19.520]   But you know what?
[00:04:19.520 --> 00:04:20.520]   This is a great place to raise kids.
[00:04:20.520 --> 00:04:21.760]   I've been very happy here.
[00:04:21.760 --> 00:04:22.760]   Yeah.
[00:04:22.760 --> 00:04:26.000]   So we came up to wander around, and we did that.
[00:04:26.000 --> 00:04:30.120]   And then before I know it, yeah, she's trying to mean these lists from Craigslist.
[00:04:30.120 --> 00:04:34.200]   And so she's going to be looking at houses to either buy or rent for a short period of
[00:04:34.200 --> 00:04:35.520]   time so she can feel it out.
[00:04:35.520 --> 00:04:36.520]   That's a good idea.
[00:04:36.520 --> 00:04:40.200]   You know if we're going to spend a bunch of money, I'd kind of like to sit in there for
[00:04:40.200 --> 00:04:41.200]   a little while.
[00:04:41.200 --> 00:04:42.200]   Yeah, get to know it first.
[00:04:42.200 --> 00:04:43.280]   Yeah, no, I think that's a great idea.
[00:04:44.280 --> 00:04:49.560]   So it's a great mix of between the art side of, you know, the art side that she likes
[00:04:49.560 --> 00:04:52.400]   and kind of more of the excited that I like.
[00:04:52.400 --> 00:04:53.920]   Well, and you could just come right over here.
[00:04:53.920 --> 00:04:54.920]   You need a TV studio.
[00:04:54.920 --> 00:04:55.920]   We got it.
[00:04:55.920 --> 00:04:56.920]   We're ready.
[00:04:56.920 --> 00:04:57.920]   Exactly.
[00:04:57.920 --> 00:05:00.680]   So anyway, so we are definitely spending more time at Aluma.
[00:05:00.680 --> 00:05:01.680]   So that's the panel.
[00:05:01.680 --> 00:05:03.400]   I'm trying to get Scott born.
[00:05:03.400 --> 00:05:04.560]   He was going to be here.
[00:05:04.560 --> 00:05:07.360]   And I probably threw him because we were thinking of doing this via iChat.
[00:05:07.360 --> 00:05:11.600]   We may still next time because I want to get video of you guys for the live portion
[00:05:11.600 --> 00:05:12.600]   of the show.
[00:05:12.600 --> 00:05:16.000]   Anyway, we don't have a video.
[00:05:16.000 --> 00:05:18.280]   You'll just have to imagine Merlin and his...
[00:05:18.280 --> 00:05:20.200]   I turned my nose here just for this event.
[00:05:20.200 --> 00:05:21.720]   I know, I'm sorry.
[00:05:21.720 --> 00:05:25.480]   Did you go back to the Dunscap lab or are you at your mom's?
[00:05:25.480 --> 00:05:26.480]   I'm at mom's house.
[00:05:26.480 --> 00:05:30.600]   I'm actually now at mom's house studio C because it's raining outside.
[00:05:30.600 --> 00:05:34.600]   So we had one of those like folk rock bands in.
[00:05:34.600 --> 00:05:37.360]   So we got the echo panels down.
[00:05:37.360 --> 00:05:39.800]   So we might have a little bit of a rattle and hum here.
[00:05:39.800 --> 00:05:40.800]   Sounds good.
[00:05:40.800 --> 00:05:41.800]   I like it.
[00:05:41.800 --> 00:05:43.800]   That tube analog feel to it.
[00:05:43.800 --> 00:05:47.080]   Well, since my baby left me.
[00:05:47.080 --> 00:05:48.600]   I found a new baby.
[00:05:48.600 --> 00:05:50.720]   Can you still add the birds and post?
[00:05:50.720 --> 00:05:51.720]   Yes.
[00:05:51.720 --> 00:05:52.720]   We've been doing that for the last four.
[00:05:52.720 --> 00:05:54.040]   Oh, it means never mind.
[00:05:54.040 --> 00:05:57.080]   Actually, Annie's also looking for new housing as we mentioned last week.
[00:05:57.080 --> 00:06:01.080]   And it sounds like you found somewhere where you could actually do the show from the forest.
[00:06:01.080 --> 00:06:02.080]   Yes.
[00:06:02.080 --> 00:06:05.840]   I've been bringing all kinds of different technology to this.
[00:06:05.840 --> 00:06:10.000]   One of them was to basically put up a floor plan of what I was looking for on Flickr.
[00:06:10.000 --> 00:06:12.120]   Because I got a whole bunch of followers on Flickr.
[00:06:12.120 --> 00:06:15.680]   And also I have like several thousand people following me on Twitter.
[00:06:15.680 --> 00:06:17.880]   Basically saying if you've got any ideas, let me know.
[00:06:17.880 --> 00:06:23.120]   I got a lead on this place that happens to be right across the street from a 50 acre
[00:06:23.120 --> 00:06:25.000]   nature reserve in Park.
[00:06:25.000 --> 00:06:26.800]   And I took a look at the place last weekend.
[00:06:26.800 --> 00:06:28.640]   It's a really nice place.
[00:06:28.640 --> 00:06:29.640]   I'm looking at the apartment.
[00:06:29.640 --> 00:06:30.760]   I'm thinking, you know what?
[00:06:30.760 --> 00:06:35.920]   If I put an antenna on a corner, this corner of the house, I've got clear line of sight all
[00:06:35.920 --> 00:06:38.480]   the way to the tree line all the way over there.
[00:06:38.480 --> 00:06:39.480]   So we could start.
[00:06:39.480 --> 00:06:42.680]   It could be like Uncle Andy and his Woodlands friends talk about XML.
[00:06:42.680 --> 00:06:45.360]   Oh, you're making people so excited, Andy.
[00:06:45.360 --> 00:06:46.600]   Can't wait.
[00:06:46.600 --> 00:06:48.200]   And he called it a Twitter apartment.
[00:06:48.200 --> 00:06:49.200]   Twitter.
[00:06:49.200 --> 00:06:50.200]   Twitter.
