;FFMETADATA1
album=MacBreak Weekly June 2008
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and Alex Lindsay
comment=http://twit.tv/mbw93
genre=Podcast
title=MacBreak Weekly 93: 3G Or Not 3G
date=2008

[00:00:00.000 --> 00:00:03.800]   [ Sound Effects ]
[00:00:03.800 --> 00:00:05.800]   Netcast you love.
[00:00:05.800 --> 00:00:07.800]   From people you trust.
[00:00:07.800 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:12.700]   This is Detroit.
[00:00:12.700 --> 00:00:14.300]   [ Music ]
[00:00:14.300 --> 00:00:17.200]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.200 --> 00:00:21.800]   cashfly@cachafly.com.
[00:00:21.800 --> 00:00:29.200]   [ Music ]
[00:00:29.200 --> 00:00:34.200]   This is Mac Break Weekly, episode 93 for June 11, 2008.
[00:00:34.200 --> 00:00:37.200]   3G or not 3G.
[00:00:37.200 --> 00:00:40.200]   [ Music ]
[00:00:40.200 --> 00:00:43.700]   Mac Break Weekly is brought to you by Audible.com.
[00:00:43.700 --> 00:00:49.200]   For your free audio book visit Audible.com/MacBreak.
[00:00:49.200 --> 00:00:54.200]   And by Drobo, the intelligent automated data storage device.
[00:00:54.200 --> 00:00:57.200]   To learn more and receive an instant $50 off your own Drobo,
[00:00:57.200 --> 00:01:00.200]   visit Drobo.com/MacBreak.
[00:01:00.200 --> 00:01:03.200]   And by listeners like you.
[00:01:03.200 --> 00:01:05.200]   Thanks for your donations.
[00:01:05.200 --> 00:01:11.200]   This is Mac Break Weekly, episode 93, the morning after the day before,
[00:01:11.200 --> 00:01:14.200]   or the day after the night before the morning of,
[00:01:14.200 --> 00:01:20.200]   or whatever it is, with me, the folks who are still suffering
[00:01:20.200 --> 00:01:22.200]   from the morning after the night before.
[00:01:22.200 --> 00:01:24.200]   Starting with Mr. Scott Born.
[00:01:24.200 --> 00:01:25.200]   Hello, Scott.
[00:01:25.200 --> 00:01:26.200]   Hey, howdy, howdy there.
[00:01:26.200 --> 00:01:28.200]   I bet you did a bunch of Apple Phone Show stuff.
[00:01:28.200 --> 00:01:30.200]   We did Apple Phone Show stuff.
[00:01:30.200 --> 00:01:33.200]   Andy Naka was kind enough to pipe in after being on with you.
[00:01:33.200 --> 00:01:36.200]   We did a round table on our opinions about it.
[00:01:36.200 --> 00:01:40.200]   And we honed from girls gone geeked at stuff.
[00:01:40.200 --> 00:01:44.200]   And we were just sad that we couldn't get anything to show on our new show
[00:01:44.200 --> 00:01:47.200]   Unboxed Sessions because there was nothing to unbox.
[00:01:47.200 --> 00:01:48.200]   You will?
[00:01:48.200 --> 00:01:49.200]   July 11th.
[00:01:49.200 --> 00:01:50.200]   You'll have something to unbox.
[00:01:50.200 --> 00:01:52.200]   I got snookered Leo.
[00:01:52.200 --> 00:01:53.200]   Yeah, you know.
[00:01:53.200 --> 00:01:54.200]   Well, we'll talk about that in a second.
[00:01:54.200 --> 00:01:55.200]   Let me introduce the rest of the panel.
[00:01:55.200 --> 00:01:59.200]   Also here, Andy Naka from the Chicago Sun Times and the class.
[00:01:59.200 --> 00:02:01.200]   I'm sorry, Celestia waste of bandwidth.com.
[00:02:01.200 --> 00:02:02.200]   C-W-O-P.com.
[00:02:02.200 --> 00:02:03.200]   Hello.
[00:02:03.200 --> 00:02:05.200]   Andy was with us on Monday.
[00:02:05.200 --> 00:02:11.200]   We did our live coverage with John Moltz and Andy of the Apple keynote.
[00:02:11.200 --> 00:02:13.200]   The Steve note, as they say.
[00:02:13.200 --> 00:02:18.200]   Alex Lindsey is also here from Pixel Core, Pixel Core.TV at Pixel Core.com.
[00:02:18.200 --> 00:02:19.200]   Hi, Alex.
[00:02:19.200 --> 00:02:20.200]   Maguannani.
[00:02:20.200 --> 00:02:21.200]   Maguannani Mahamaho.
[00:02:21.200 --> 00:02:22.200]   Hi, Nani.
[00:02:22.200 --> 00:02:23.200]   Hi, Nani Hainahoho.
[00:02:23.200 --> 00:02:25.200]   Let's get a Marine Cadincadinc.
[00:02:25.200 --> 00:02:27.200]   What is Mahamani?
[00:02:27.200 --> 00:02:28.200]   Maguannani.
[00:02:28.200 --> 00:02:30.200]   It's a good morning in Shona.
[00:02:30.200 --> 00:02:33.200]   Mahamani is a guy I know in Brooklyn.
[00:02:33.200 --> 00:02:34.200]   Mahamani!
[00:02:34.200 --> 00:02:35.200]   Maguannani.
[00:02:35.200 --> 00:02:37.200]   If Merlin, man, we're only here.
[00:02:37.200 --> 00:02:38.200]   Merlin is not here.
[00:02:38.200 --> 00:02:40.200]   He is walking the baby.
[00:02:40.200 --> 00:02:46.200]   We've been doing this show at 11 in the morning, Pacific time for weeks now, but Merlin forgot.
[00:02:46.200 --> 00:02:48.200]   So, I don't know why.
[00:02:48.200 --> 00:02:50.200]   But we'll get him in next week.
[00:02:50.200 --> 00:02:57.200]   I think Merlin is getting shy now that his show, You Look Nice Today, is in the top 25 on iTunes.
[00:02:57.200 --> 00:03:00.200]   I think he's too big for us.
[00:03:00.200 --> 00:03:03.200]   Did you see that in the top 25 on iTunes?
[00:03:03.200 --> 00:03:04.200]   One big.
[00:03:04.200 --> 00:03:05.200]   One big?
[00:03:05.200 --> 00:03:06.200]   It deserves to.
[00:03:06.200 --> 00:03:08.200]   It's a very funny show.
[00:03:08.200 --> 00:03:10.200]   So, even though he's not here, I'm going to give him the plug.
[00:03:10.200 --> 00:03:12.200]   You look nice today.com.
[00:03:12.200 --> 00:03:14.200]   So, I'm not much news to talk about this week.
[00:03:14.200 --> 00:03:15.200]   What the heck happened?
[00:03:15.200 --> 00:03:16.200]   What?
[00:03:16.200 --> 00:03:17.200]   Anything?
[00:03:17.200 --> 00:03:23.360]   The 3G iPhone, you know, it's great because we are, as with most Steve announcements, there's
[00:03:23.360 --> 00:03:26.200]   the initial blush as you're in the reality distortion feel.
[00:03:26.200 --> 00:03:28.200]   Everybody's all excited and flushed.
[00:03:28.200 --> 00:03:31.960]   Oh, and then, reality comes back.
[00:03:31.960 --> 00:03:33.240]   It slowly seeps back in.
[00:03:33.240 --> 00:03:37.840]   And now we're starting to have some, yeah, but moments.
[00:03:37.840 --> 00:03:41.600]   So let me go through what we learned for those who missed the keynote.
[00:03:41.600 --> 00:03:46.960]   What we learned on Monday, Steve Jobs speaking to the World Wide Developers Conference.
[00:03:46.960 --> 00:03:49.920]   First of all, 6 million iPhones already sold.
[00:03:49.920 --> 00:03:54.920]   So they're well on their way to the 10 million goal.
[00:03:54.920 --> 00:03:57.200]   So it's, I think it's an unqualified success.
[00:03:57.200 --> 00:03:59.880]   But one of the things that's been keeping it out of international markets is the lack
[00:03:59.880 --> 00:04:00.880]   of 3G.
[00:04:00.880 --> 00:04:02.680]   So yes, indeed.
[00:04:02.680 --> 00:04:07.160]   Steve Jobs did what AT&T said he would do and announced a 3G iPhone.
[00:04:07.160 --> 00:04:11.760]   Some of the things the iPhone includes, yes, it includes GPS with tracking, which is kind
[00:04:11.760 --> 00:04:13.800]   of neat.
[00:04:13.800 --> 00:04:18.480]   It is a much better battery life, it sounds like Steve was claiming, I think, 10 hours
[00:04:18.480 --> 00:04:24.320]   talk time, seven hours if you watch movies, 24 hours for music only.
[00:04:24.320 --> 00:04:27.680]   He didn't mention what it would be after you turned on the GPS.
[00:04:27.680 --> 00:04:28.680]   We'll see.
[00:04:28.680 --> 00:04:29.680]   Five hours.
[00:04:29.680 --> 00:04:30.680]   Oh, yes.
[00:04:30.680 --> 00:04:31.680]   That now the figure that we're getting.
[00:04:31.680 --> 00:04:32.960]   Well, that's what I'm hearing.
[00:04:32.960 --> 00:04:35.440]   Five hours for either GPS or 3G.
[00:04:35.440 --> 00:04:40.600]   Now, if you turn on your 3G, Wi-Fi and GPS and Bluetooth, you get about five minutes,
[00:04:40.600 --> 00:04:41.600]   10 minutes.
[00:04:41.600 --> 00:04:43.360]   Yeah, you get time to make a call to 911.
[00:04:43.360 --> 00:04:44.360]   Yeah.
[00:04:44.360 --> 00:04:45.880]   But that's like any phone.
[00:04:45.880 --> 00:04:48.680]   They've done something to definitely improve the battery life.
[00:04:48.680 --> 00:04:53.440]   Yeah, but notice that like, you know, he had this triumphant slide up with that big
[00:04:53.440 --> 00:04:59.560]   masterful table about, oh, you can talk for 81 hours, you can listen to every single watch
[00:04:59.560 --> 00:05:03.040]   up as every episode of money Python back to back to back between a charge, all this
[00:05:03.040 --> 00:05:07.120]   like stuff, every single feature, then he made that slide disappear.
[00:05:07.120 --> 00:05:08.760]   Then he introduced GPS.
[00:05:08.760 --> 00:05:11.080]   And mentioned GPS.
[00:05:11.080 --> 00:05:14.920]   They will be the, this, the phone will be out June July 11th.
[00:05:14.920 --> 00:05:15.920]   You will have to act.
[00:05:15.920 --> 00:05:17.440]   Oh, I'll get to the negatives in a second.
[00:05:17.440 --> 00:05:20.000]   I'll start with only the positives.
[00:05:20.000 --> 00:05:24.120]   Applications, yes, including monkey ball, super monkey ball for 10 bucks.
[00:05:24.120 --> 00:05:28.600]   A Pangea will have a couple of games, Chrome, Magnan, Rally and Enigma, which was one of
[00:05:28.600 --> 00:05:32.200]   my picks on Mac break, a few weeks ago, $10.
[00:05:32.200 --> 00:05:35.720]   There will be many free apps, including eBay apps, news apps.
[00:05:35.720 --> 00:05:37.800]   The iPhone store will roll out with iPhone 2.0.
[00:05:37.800 --> 00:05:42.680]   It'll be free upgrade to the iPhone store for iPhone users, $10 upgrade for iPod touch
[00:05:42.680 --> 00:05:43.680]   owners.
[00:05:43.680 --> 00:05:47.760]   And of course, free if you buy a new iPhone.
[00:05:47.760 --> 00:05:51.520]   What other positives can we talk about before we get to what's missing?
[00:05:51.520 --> 00:05:58.880]   Did we mention free hardware upgrades for people who bought their phones recently?
[00:05:58.880 --> 00:06:03.080]   If you bought after May, May 27th is at the date, I think that was the cutoff.
[00:06:03.080 --> 00:06:05.960]   You'll get, you bought an iPhone after May 27th.
[00:06:05.960 --> 00:06:09.120]   By the way, I think it would be hard to do because they were out of stock for most people.
[00:06:09.120 --> 00:06:12.760]   Oddly enough, there weren't that many available.
[00:06:12.760 --> 00:06:16.160]   But you would get a free upgrade, which is I think the only fair thing to do.
[00:06:16.160 --> 00:06:20.320]   It's clear that AT&T is now subsidizing the phone because this is one of my say, the big
[00:06:20.320 --> 00:06:27.520]   story, $199 for 8 gigs, and believably low price for the same phone that was $600 just
[00:06:27.520 --> 00:06:28.920]   a year ago this time.
[00:06:28.920 --> 00:06:29.920]   Don't remind me.
[00:06:29.920 --> 00:06:31.560]   Yeah, because we all bought it.
[00:06:31.560 --> 00:06:36.880]   $99 for the 16 gig, which I think most people will probably opt for, $100 for another 8 gigs,
[00:06:36.880 --> 00:06:37.880]   that's probably worth it.
[00:06:37.880 --> 00:06:42.360]   You know, the only thing should do, instead of that $100 credit, what they should have
[00:06:42.360 --> 00:06:47.720]   given, like everyone who bought the phone at the original $599 price gets like a one-of-a-kind,
[00:06:47.720 --> 00:06:49.880]   limited edition gold skin.
[00:06:49.880 --> 00:06:52.520]   So everybody knows that, no, I paid $599.
[00:06:52.520 --> 00:06:55.960]   Didn't really feel it because that's kind of that's kind of league that I fly in.
[00:06:55.960 --> 00:06:58.920]   Now, some of you had to wait for the price to drop, but not me.
[00:06:58.920 --> 00:06:59.920]   Nope, not me.
[00:06:59.920 --> 00:07:05.920]   I didn't use my Apple Store credit, so I still have my $100 credit from when they dropped
[00:07:05.920 --> 00:07:06.920]   the price the first time.
[00:07:06.920 --> 00:07:11.000]   So this phone's only going to cost me $199 with the 16 gigs.
[00:07:11.000 --> 00:07:17.040]   Yeah, I think we have to point out that the increase in the data price will actually make
[00:07:17.040 --> 00:07:23.120]   this phone, if you work everything at the basic level, $40 more expensive than the currently
[00:07:23.120 --> 00:07:25.560]   shipping phone.
[00:07:25.560 --> 00:07:29.000]   And what you're getting for $40, which is like, I don't know, I haven't done the math
[00:07:29.000 --> 00:07:30.760]   at all, or 80 a month.
[00:07:30.760 --> 00:07:34.440]   You're getting 3G, you're getting GPS, you're getting exchange.
[00:07:34.440 --> 00:07:39.720]   So I mean, I think it's a fair trade off, although it's a little, you know, inarticulate,
[00:07:39.720 --> 00:07:43.520]   let's say, to say that this phone's actually long-term cheaper, but the buy-in being cheaper
[00:07:43.520 --> 00:07:48.880]   will be big for people because it's easier to pony up $199 at one time than $399 for
[00:07:48.880 --> 00:07:49.880]   some.
[00:07:49.880 --> 00:07:51.440]   Well, let's get to the negatives.
[00:07:51.440 --> 00:07:53.240]   You started us on the negatives.
[00:07:53.240 --> 00:07:55.120]   Well, I don't know that that's a negative.
[00:07:55.120 --> 00:07:56.120]   Attention negatives.
[00:07:56.120 --> 00:07:57.120]   You will have to.
[00:07:57.120 --> 00:07:58.120]   Yeah.
[00:07:58.120 --> 00:08:02.120]   The big, big part of the story is you will have to activate it when you buy it, which
[00:08:02.120 --> 00:08:05.880]   really has the store at the store, whether it's 18 tier Apple, that pretty much eliminates
[00:08:05.880 --> 00:08:08.120]   unlocked phones, I think.
[00:08:08.120 --> 00:08:10.800]   They'd also eliminate people complaining because it wouldn't work when they tried to
[00:08:10.800 --> 00:08:12.160]   do it through iTunes.
[00:08:12.160 --> 00:08:13.160]   Right.
[00:08:13.160 --> 00:08:17.160]   You will, you will not be able to use the Go plan, the Go phone plan, that's the pay
[00:08:17.160 --> 00:08:18.480]   as you go play from AT&T.
[00:08:18.480 --> 00:08:22.800]   You will have to sign up for a contract for two years.
[00:08:22.800 --> 00:08:28.640]   Now if you already have an existing contract, I think it's two years pro-rated, so it's
[00:08:28.640 --> 00:08:29.640]   like another one year.
[00:08:29.640 --> 00:08:30.840]   So I have a two-year contract.
[00:08:30.840 --> 00:08:32.880]   Doesn't that have two years to my contract?
[00:08:32.880 --> 00:08:34.560]   We don't know this for sure.
[00:08:34.560 --> 00:08:37.600]   We haven't heard that definitively from AT&T.
[00:08:37.600 --> 00:08:38.600]   Okay.
[00:08:38.600 --> 00:08:41.040]   Ours Technica had a very good article.
[00:08:41.040 --> 00:08:45.840]   I guess they talked to AT&T about what its deal was and found out a few very interesting
[00:08:45.840 --> 00:08:46.840]   things.
[00:08:46.840 --> 00:08:49.920]   AT&T certainly is subsidizing the phone.
[00:08:49.920 --> 00:08:51.800]   That's why it's so cheap.
[00:08:51.800 --> 00:08:57.040]   That's why you have to activate it because and Apple is no longer paying or receiving
[00:08:57.040 --> 00:09:00.520]   the monthly payments, the cut of the monthly fee.
[00:09:00.520 --> 00:09:04.840]   Do you think underlines how much Apple wants to make sure that it owns this market?
[00:09:04.840 --> 00:09:07.480]   Yeah, you're giving up a lot, aren't they?
[00:09:07.480 --> 00:09:10.280]   In fact, we had speculated that they might leave AT&T behind.
[00:09:10.280 --> 00:09:11.440]   In fact, it's quite the opposite.
[00:09:11.440 --> 00:09:14.280]   AT&T got the sweet part of this deal.
[00:09:14.280 --> 00:09:18.880]   I'm wondering if all the unlocked phones didn't cause AT&T's lawyers to call Apple's lawyers
[00:09:18.880 --> 00:09:25.200]   and say, "deals off, dudes," because you weren't protecting our rights as you had promised.
[00:09:25.200 --> 00:09:26.200]   Right.
[00:09:26.200 --> 00:09:27.200]   I think that's...
[00:09:27.200 --> 00:09:33.000]   But the one thing is, the conspiracy theorists of which there are millions assume that you
[00:09:33.000 --> 00:09:39.760]   have to go to the Apple Store or the AT&T store to activate, to avoid unlocking.
[00:09:39.760 --> 00:09:44.560]   I don't know if that's true because why would Apple care at that point?
[00:09:44.560 --> 00:09:46.480]   They're not getting any more revenue.
[00:09:46.480 --> 00:09:49.880]   They sell the phone, they get the same price they get if you go through AT&T or not.
[00:09:49.880 --> 00:09:51.040]   I don't know that that's the reason.
[00:09:51.040 --> 00:09:55.440]   I think it could just be that part of the original deal was AT&T was going to bear the
[00:09:55.440 --> 00:09:57.000]   brunt of that activation.
[00:09:57.000 --> 00:10:01.080]   They set up the system, not an Apple that everybody connected to through iTunes.
[00:10:01.080 --> 00:10:04.640]   Maybe AT&T also said, "Yeah, we're not going to do that again because it costs us too much
[00:10:04.640 --> 00:10:05.640]   money.
[00:10:05.640 --> 00:10:09.440]   You're going to have to do it in the store like we always do."
[00:10:09.440 --> 00:10:10.440]   Yeah.
[00:10:10.440 --> 00:10:11.440]   Clearly, this is...
[00:10:11.440 --> 00:10:14.080]   In general, this is a deal for AT&T all around.
[00:10:14.080 --> 00:10:19.760]   I think that they get the privilege of subsidizing the phone, but they guarantee a lock in two
[00:10:19.760 --> 00:10:20.760]   years.
[00:10:20.760 --> 00:10:24.760]   Now, it also made it possible for worldwide sales because you couldn't sell a phone that
[00:10:24.760 --> 00:10:26.960]   wasn't 3G in any other market.
[00:10:26.960 --> 00:10:30.280]   And Jobs said that they'd be in 70 countries by the end of the year.
[00:10:30.280 --> 00:10:33.240]   This will roll out July 11th and 22 countries.
[00:10:33.240 --> 00:10:36.560]   They have deals with every country, every major country seems except China, where the
[00:10:36.560 --> 00:10:38.360]   most unlocked iPhones are.
[00:10:38.360 --> 00:10:39.360]   Right.
[00:10:39.360 --> 00:10:40.360]   It's a...
[00:10:40.360 --> 00:10:43.200]   As well as the most unlocked copies of Microsoft Windows.
[00:10:43.200 --> 00:10:44.200]   You still can get unlocked.
[00:10:44.200 --> 00:10:47.120]   I mean, they have pay-as-you-go plans in other countries.
[00:10:47.120 --> 00:10:49.520]   I think France requires some unlocked phones.
[00:10:49.520 --> 00:10:51.280]   Australia, I think, will have unlocked phones.
[00:10:51.280 --> 00:10:52.280]   New Zealand will.
[00:10:52.280 --> 00:10:54.280]   So there will be sources of unlocked phones.
[00:10:54.280 --> 00:10:55.520]   It just won't be the US.
[00:10:55.520 --> 00:10:58.120]   And there'll be 800 bucks on subsidized.
[00:10:58.120 --> 00:10:59.120]   Right.
[00:10:59.120 --> 00:11:01.000]   So you pay for the privilege.
[00:11:01.000 --> 00:11:03.160]   Now, what do you think that...
[00:11:03.160 --> 00:11:08.480]   You think that as eBay has certainly been flooded by people giving up their 1.0 phones,
[00:11:08.480 --> 00:11:11.760]   trying to get ready for 2.0, you think that that's going to be...
[00:11:11.760 --> 00:11:15.800]   You can go to a flea market now and for 50 bucks buy an unlocked 1.0 iPhone.
[00:11:15.800 --> 00:11:17.800]   Reflect 50 bucks on this.
[00:11:17.800 --> 00:11:18.800]   I haven't noticed.
[00:11:18.800 --> 00:11:22.160]   I think there have been a lot of people emailing me saying, "When do you think my old iPhone
[00:11:22.160 --> 00:11:23.160]   is worth?"
[00:11:23.160 --> 00:11:25.040]   And telling me, "I think I ought to be able to get 200 for it."
[00:11:25.040 --> 00:11:26.040]   I'm like, "Ee-e-e."
[00:11:26.040 --> 00:11:27.880]   No, because the new one's 200.
[00:11:27.880 --> 00:11:30.000]   It might actually be more of an evangelism opportunity.
[00:11:30.000 --> 00:11:32.960]   Because you keep hearing about people saying, "Oh, no, my wife's going to get my phone."
[00:11:32.960 --> 00:11:34.600]   Or, "I'm going to get my sister."
[00:11:34.600 --> 00:11:36.960]   Just this morning, I had...
[00:11:36.960 --> 00:11:41.600]   I'm absolutely certain that she wasn't fishing, but a really good friend mentioned, "Oh, well,
[00:11:41.600 --> 00:11:43.680]   this has really gotten me excited about the new iPhone.
[00:11:43.680 --> 00:11:45.440]   I should probably buy one next month."
[00:11:45.440 --> 00:11:50.320]   Andy, who I know owns at least two of them of 1.0, and who's definitely getting the 2.0
[00:11:50.320 --> 00:11:53.480]   and won't have any need for the 1.0 hardware anymore.
[00:11:53.480 --> 00:11:55.480]   You will be able to take the sim out of your old iPhone.
[00:11:55.480 --> 00:11:58.320]   In fact, the new iPhone comes with a sim removal tool.
[00:11:58.320 --> 00:12:01.240]   Basically, expensive paperclip.
[00:12:01.240 --> 00:12:04.160]   So you will be able to take the old sim out of your old iPhone and put it in the new
[00:12:04.160 --> 00:12:10.040]   one, but in order to activate this phone, you have to buy the extra 3G plan, right?
[00:12:10.040 --> 00:12:11.040]   You have to buy the $30.
[00:12:11.040 --> 00:12:12.040]   Yes, that's mandatory.
[00:12:12.040 --> 00:12:14.000]   Why would you move the sim?
[00:12:14.000 --> 00:12:16.840]   Why would you keep your number to keep your account?
[00:12:16.840 --> 00:12:19.480]   Otherwise, you have to get a new AT&T account.
[00:12:19.480 --> 00:12:20.480]   Okay.
[00:12:20.480 --> 00:12:21.480]   So I'm going to buy...
[00:12:21.480 --> 00:12:24.120]   I already passed on my iPhone to Dane.
[00:12:24.120 --> 00:12:25.120]   So now, if I buy...
[00:12:25.120 --> 00:12:26.120]   And I think I will.
[00:12:26.120 --> 00:12:31.480]   If I buy the new 3G iPhone, I'll have to get a second AT&T line.
[00:12:31.480 --> 00:12:34.840]   Or I can disable Dane's phone.
[00:12:34.840 --> 00:12:40.120]   If I do that, this podcast will suddenly sound like this.
[00:12:40.120 --> 00:12:41.120]   Exactly.
[00:12:41.120 --> 00:12:42.120]   Yeah.
[00:12:42.120 --> 00:12:44.480]   So I won't be doing that.
[00:12:44.480 --> 00:12:45.480]   If you...
[00:12:45.480 --> 00:12:46.480]   Okay.
[00:12:46.480 --> 00:12:47.480]   Now, the other thing that's...
[00:12:47.480 --> 00:12:48.960]   I think good news for most people is you have your choice of AT&T plans.
[00:12:48.960 --> 00:12:52.680]   You buy the $30 3G data plan, which is...
[00:12:52.680 --> 00:12:56.840]   Yeah, 10 bucks more expensive, but now you can choose any other phone plan, right?
[00:12:56.840 --> 00:12:57.840]   Yeah.
[00:12:57.840 --> 00:12:58.840]   Yeah.
[00:12:58.840 --> 00:13:02.680]   Actually, isn't the 3G data plan offered with the iPhone package cheaper than a lot
[00:13:02.680 --> 00:13:04.320]   of their other 3G data plans?
[00:13:04.320 --> 00:13:05.320]   Yeah.
[00:13:05.320 --> 00:13:06.320]   Because...
[00:13:06.320 --> 00:13:08.560]   I do have to double check that because the last time I looked into the data plans for
[00:13:08.560 --> 00:13:11.960]   3G, it was something like 50 or 60 bucks a month.
[00:13:11.960 --> 00:13:12.960]   So...
[00:13:12.960 --> 00:13:13.960]   What is your lack, Barry?
[00:13:13.960 --> 00:13:14.960]   Yeah.
[00:13:14.960 --> 00:13:15.960]   I mean, just when I was...
[00:13:15.960 --> 00:13:19.040]   As Andy not go American consumer, when I was saying, "Okay, how much is this going
[00:13:19.040 --> 00:13:20.280]   to affect my household budget?"
[00:13:20.280 --> 00:13:21.280]   Because I'm definitely...
[00:13:21.280 --> 00:13:25.400]   I knew I was going to be buying a 3G iPhone and making sure that, again, as a freelance
[00:13:25.400 --> 00:13:29.840]   journalist in a collapsing market, that you make sure you know where that extra $30, $40
[00:13:29.840 --> 00:13:30.840]   is going to come from.
[00:13:30.840 --> 00:13:36.640]   So I'll leave an impression that that's actually kind of a price cut on 3G service for AT&T.
[00:13:36.640 --> 00:13:43.160]   Well, for instance, when I go up to my Seattle home, it's 50 bucks for any kind of data
[00:13:43.160 --> 00:13:44.720]   plan up there from just about anybody.
[00:13:44.720 --> 00:13:50.360]   Verizon wanted 50 bucks minimum for their data plan when I tried to sign up up there.
[00:13:50.360 --> 00:13:55.340]   And according to some research that Liana Li, who has done from Girls Gone Geek, she
[00:13:55.340 --> 00:14:01.660]   says that T-Mobile at 30 a month is the only one that's that cheap as far as she knows.
[00:14:01.660 --> 00:14:06.060]   I mean, what I'm trying to figure out is I'm trying to divine what the actual whole monthly
[00:14:06.060 --> 00:14:07.060]   cost is going to be.
[00:14:07.060 --> 00:14:10.060]   I mean, I'm seeing all these like, "This is the data plan and this is the new plan here."
[00:14:10.060 --> 00:14:12.940]   And somebody said, "1,200 bucks for the two-year deal."
[00:14:12.940 --> 00:14:13.940]   1,200 total.
[00:14:13.940 --> 00:14:20.300]   But you know, when they make that calculation, you see that calculation all the time.
[00:14:20.300 --> 00:14:21.300]   That's the same for any smartphone.
[00:14:21.300 --> 00:14:23.900]   I mean, I don't think it's that much, but it's certainly not much more.
[00:14:23.900 --> 00:14:25.980]   I think $30 is not unfair for un...
[00:14:25.980 --> 00:14:26.980]   It's all you can eat, right?
[00:14:26.980 --> 00:14:28.460]   Yeah, I went for my trip to my...
[00:14:28.460 --> 00:14:30.660]   Except for it doesn't include all you can eat text messages.
[00:14:30.660 --> 00:14:32.580]   Does not include SMS at all?
[00:14:32.580 --> 00:14:33.580]   Or does it include...
[00:14:33.580 --> 00:14:36.140]   $30 you can do $30 right for unlimited?
[00:14:36.140 --> 00:14:37.220]   Is that right for the SMS?
[00:14:37.220 --> 00:14:40.220]   No, it's an extra $10 for unlimited SMS.
[00:14:40.220 --> 00:14:42.860]   So it'll be 40 for the basic plan plus that.
[00:14:42.860 --> 00:14:45.900]   So if you use Twitter, you should probably spend the extra $10.
[00:14:45.900 --> 00:14:48.500]   Justine will definitely want to spend the extra $10.
[00:14:48.500 --> 00:14:50.340]   Yeah, I have to tell you.
[00:14:50.340 --> 00:14:53.260]   And by the way, there is a $45 plan as well.
[00:14:53.260 --> 00:14:54.460]   That's for corporate use.
[00:14:54.460 --> 00:15:00.580]   And you will be required to sign up for that plan if you need to do certain things.
[00:15:00.580 --> 00:15:01.580]   Such as?
[00:15:01.580 --> 00:15:06.260]   I haven't given a lot of details, but I think it has to do with accessing some of the enterprise
[00:15:06.260 --> 00:15:08.700]   features over the data network.
[00:15:08.700 --> 00:15:09.860]   Okay.
[00:15:09.860 --> 00:15:12.220]   That was one of the things that I think was a big story.
[00:15:12.220 --> 00:15:15.580]   I thought it was a huge story for people even without the iPhone.
[00:15:15.580 --> 00:15:23.780]   Because Apple pitched it as giving exchange-like services to home users, mobile me.
[00:15:23.780 --> 00:15:26.300]   I think mobile me sounds fantastic.
[00:15:26.300 --> 00:15:28.700]   Yeah, but the name is so terrible.
[00:15:28.700 --> 00:15:29.700]   It's a terrible name.
[00:15:29.700 --> 00:15:30.700]   Well, I'll tell you what.
[00:15:30.700 --> 00:15:31.700]   Let's finish our iPhone discussion.
[00:15:31.700 --> 00:15:32.700]   We'll get to mobile me.
[00:15:32.700 --> 00:15:37.980]   But I think what you're seeing is Apple continuing to go after this business market
[00:15:37.980 --> 00:15:43.340]   for sure, going after RIM, and also offering these kinds of business-class services to
[00:15:43.340 --> 00:15:45.260]   home users is very interesting.
[00:15:45.260 --> 00:15:49.780]   I also think that I think when we look at the GPS, and one of the interesting details that
[00:15:49.780 --> 00:15:57.780]   came up was talking about how Apple is protecting the touring type of GPS usage of the iPhone.
[00:15:57.780 --> 00:15:59.380]   I don't know if you saw that.
[00:15:59.380 --> 00:16:03.620]   That was people were looking at the fine print of the agreement with the developing for the
[00:16:03.620 --> 00:16:04.620]   iPhone.
