;FFMETADATA1
album=MacBreak Weekly July 2008
artist=Leo Laporte, Randal Schwartz, Alex Lindsay, and Merlin Mann
comment=http://twit.tv/mbw97
genre=Podcast
title=MacBreak Weekly 97: youtalking@me.com
date=2008

[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:34.000]   This is Mac Break Weekly, episode 97 for July 9, 2008.
[00:00:34.000 --> 00:00:37.000]   You're talking at me.com.
[00:00:37.000 --> 00:00:39.000]   [ Music ]
[00:00:39.000 --> 00:00:42.000]   Mac Break Weekly is brought to you by audible.com.
[00:00:42.000 --> 00:00:48.000]   For your free audio book, visit audible.com/macbreak.
[00:00:48.000 --> 00:00:52.000]   And by listeners like you. Thanks for your donations.
[00:00:52.000 --> 00:00:55.000]   It's time for Mac Break Weekly, episode 97.
[00:00:55.000 --> 00:01:01.000]   Joining us today, we've got a special live studio full of
[00:01:01.000 --> 00:01:03.000]   experts in Macintosh.
[00:01:03.000 --> 00:01:04.000]   And us.
[00:01:04.000 --> 00:01:05.000]   And you.
[00:01:05.000 --> 00:01:09.000]   Starting with Mr. Merlin, actually the other Merlin with
[00:01:09.000 --> 00:01:13.000]   a Y, Randall Schwartz of StoneHinge.com, who's chat
[00:01:13.000 --> 00:01:17.000]   name is Merlin. Good to have you. Randall also here in studio
[00:01:17.000 --> 00:01:19.000]   with us is Mr. Alex Lindsey of the Pixel Corner.
[00:01:19.000 --> 00:01:21.000]   Hello, good to have you.
[00:01:21.000 --> 00:01:23.000]   And via Skype, Merlin Man.
[00:01:23.000 --> 00:01:25.000]   And hello, Merlin Man. Have you looked nice today?
[00:01:25.000 --> 00:01:26.000]   How are you today?
[00:01:26.000 --> 00:01:28.000]   I'm very well. Just got the new You Look Nice today.
[00:01:28.000 --> 00:01:29.000]   Just came out.
[00:01:29.000 --> 00:01:31.000]   Oh, it's a good one.
[00:01:31.000 --> 00:01:32.000]   Is it?
[00:01:32.000 --> 00:01:33.000]   This is a good one.
[00:01:33.000 --> 00:01:34.000]   I can't wait.
[00:01:34.000 --> 00:01:35.000]   I'm excited.
[00:01:35.000 --> 00:01:38.000]   Finally, we all come to grips with the term with the reality
[00:01:38.000 --> 00:01:40.000]   that we're all mouth breathers.
[00:01:40.000 --> 00:01:42.000]   And support stuff around that.
[00:01:42.000 --> 00:01:44.000]   We're going to have a benefit.
[00:01:44.000 --> 00:01:45.000]   So anyway.
[00:01:45.000 --> 00:01:48.000]   Don't try and fake being a nosy anymore.
[00:01:48.000 --> 00:01:51.000]   If you're a mouth breather, get out and be proud.
[00:01:51.000 --> 00:01:53.000]   Breathe it out. Let it go.
[00:01:53.000 --> 00:01:56.000]   Boy, you can hear the AC now, can't you?
[00:01:56.000 --> 00:01:59.000]   I should probably turn the temperature up just a little bit.
[00:01:59.000 --> 00:02:01.000]   It's a little hot here in the Petaluma region.
[00:02:01.000 --> 00:02:02.000]   Hotest.
[00:02:02.000 --> 00:02:03.000]   Hotest.
[00:02:03.000 --> 00:02:05.000]   It's been in several hundred years.
[00:02:05.000 --> 00:02:06.000]   It's 84 here in the room.
[00:02:06.000 --> 00:02:08.000]   And we're trying to keep it cool.
[00:02:08.000 --> 00:02:11.000]   So we're going to, I've actually broke down and got an AC.
[00:02:11.000 --> 00:02:13.000]   I've avoided this for a long time.
[00:02:13.000 --> 00:02:15.000]   It's actually cooler outside than it is in here.
[00:02:15.000 --> 00:02:19.000]   Can you feel the 10,000 BTUs of power right on your back there?
[00:02:19.000 --> 00:02:21.000]   I only feel about 7,000 BTUs.
[00:02:21.000 --> 00:02:23.000]   So I apologize for the noise there.
[00:02:23.000 --> 00:02:25.000]   I'm going to see if I can turn the fan down a little bit.
[00:02:25.000 --> 00:02:27.000]   Turn the temperature up maybe.
[00:02:27.000 --> 00:02:30.000]   So let's talk about what's happening in the world of Macintosh.
[00:02:30.000 --> 00:02:31.000]   Quite a bit.
[00:02:31.000 --> 00:02:33.000]   Actually, as it turns out.
[00:02:33.000 --> 00:02:34.000]   Drama.
[00:02:34.000 --> 00:02:35.000]   Drama.
[00:02:35.000 --> 00:02:39.000]   The iPhone comes out, well, technically tomorrow, 5 a.m.
[00:02:39.000 --> 00:02:41.000]   Pacific time is midnight.
[00:02:41.000 --> 00:02:42.000]   I think.
[00:02:42.000 --> 00:02:43.000]   New Zealand time.
[00:02:43.000 --> 00:02:44.000]   I think that's right.
[00:02:44.000 --> 00:02:45.000]   New Zealand time.
[00:02:45.000 --> 00:02:48.000]   So midnight on the 11th, 1201 on the 11th, they go on sale.
[00:02:48.000 --> 00:02:50.000]   In New Zealand.
[00:02:50.000 --> 00:02:55.000]   And then we're going to slowly go all the way around the world until they finally get on sale in Hawaii.
[00:02:55.000 --> 00:02:58.000]   I think it'll be 11 o'clock on the 11th.
[00:02:58.000 --> 00:03:00.000]   Does iPhone 2.0 come out concurrently?
[00:03:00.000 --> 00:03:02.000]   When do we get the new software?
[00:03:02.000 --> 00:03:03.000]   Good question.
[00:03:03.000 --> 00:03:05.000]   No, it hasn't come out last couple days.
[00:03:05.000 --> 00:03:07.000]   They haven't made an announcement about that?
[00:03:07.000 --> 00:03:08.000]   No, not that I saw any.
[00:03:08.000 --> 00:03:09.000]   Let me check.
[00:03:09.000 --> 00:03:10.000]   I should see.
[00:03:10.000 --> 00:03:12.000]   I may have upgraded your phone, Alex, without even...
[00:03:12.000 --> 00:03:13.000]   Geez.
[00:03:13.000 --> 00:03:16.000]   Is that a hacked phone that we just plugged into my system?
[00:03:16.000 --> 00:03:18.000]   It's not a hacked phone.
[00:03:18.000 --> 00:03:20.000]   I just didn't have the energy.
[00:03:20.000 --> 00:03:22.000]   It's locked with the passcode, so I can't mess with it.
[00:03:22.000 --> 00:03:24.000]   Wow, I didn't know the passcode made a difference when you...
[00:03:24.000 --> 00:03:25.000]   It does.
[00:03:25.000 --> 00:03:26.000]   I can't mess with it.
[00:03:26.000 --> 00:03:34.000]   That should, because if you plug in a phone, if you're trying to hack somebody's phone and you plug it into your iTunes and you can sync it, that's really not very secure.
[00:03:34.000 --> 00:03:37.000]   So the fact that you're using a passcode, that's good news.
[00:03:37.000 --> 00:03:41.000]   What happened was I left my phone in a rental car.
[00:03:41.000 --> 00:03:43.000]   I got it back.
[00:03:43.000 --> 00:03:45.000]   But I didn't have a passcode on it, and I did after that.
[00:03:45.000 --> 00:03:47.000]   Oh, yeah, I can imagine.
[00:03:47.000 --> 00:03:48.000]   That was kind of the end of that.
[00:03:48.000 --> 00:03:49.000]   I didn't want to play anymore.
[00:03:49.000 --> 00:03:51.000]   Never again.
[00:03:51.000 --> 00:03:54.000]   I'm very interested to see what 2.0 has in store.
[00:03:54.000 --> 00:03:57.000]   I'm not going to upgrade, I don't think, to the new iPhone.
[00:03:57.000 --> 00:04:02.000]   In fact, I gave name the old iPhone, but I do have an iPod Touch, and I get 2.0 on the iPod Touch.
[00:04:02.000 --> 00:04:03.000]   So I'm looking forward to the...
[00:04:03.000 --> 00:04:04.000]   But you're not moving up.
[00:04:04.000 --> 00:04:05.000]   There's nothing there that you need.
[00:04:05.000 --> 00:04:06.000]   You know, I'm not...
[00:04:06.000 --> 00:04:07.000]   Well, we'll see.
[00:04:07.000 --> 00:04:09.000]   Timmy, I'm not really excited about it.
[00:04:09.000 --> 00:04:10.000]   The Big Four have their reviews out.
[00:04:10.000 --> 00:04:12.000]   Now, Walt Mossberg's review has come out.
[00:04:12.000 --> 00:04:17.000]   Anybody want to take a guess whether Walt likes it or not?
[00:04:17.000 --> 00:04:23.000]   I think that Walt Mossberg and Steve Jobs have a secret relationship to going on.
[00:04:23.000 --> 00:04:24.000]   Symbiosis.
[00:04:24.000 --> 00:04:25.000]   There's a lot of special.
[00:04:25.000 --> 00:04:31.000]   Walt says, "Apple's iPhone has been the world's most influential spark smartphone since his debut a year ago,
[00:04:31.000 --> 00:04:35.000]   widely hailed for its beauty and functionality."
[00:04:35.000 --> 00:04:36.000]   It was...
[00:04:36.000 --> 00:04:37.000]   I can't even read this.
[00:04:37.000 --> 00:04:38.000]   I'm a gag.
[00:04:38.000 --> 00:04:39.000]   It's not all.
[00:04:39.000 --> 00:04:41.000]   It's not all-fawning.
[00:04:41.000 --> 00:04:43.000]   No, is there some stuff he doesn't like?
[00:04:43.000 --> 00:04:46.000]   I think the battery thing is pretty significant.
[00:04:46.000 --> 00:04:47.000]   What does he say about the battery?
[00:04:47.000 --> 00:04:48.000]   One drawback.
[00:04:48.000 --> 00:04:49.000]   Let's see.
[00:04:49.000 --> 00:04:50.000]   Blah, blah, blah, blah.
[00:04:50.000 --> 00:04:53.000]   I'm looking at it for the first time that it just came out.
[00:04:53.000 --> 00:04:57.000]   Apple claims that over 3G, the new iPhone can get five hours of talk time,
[00:04:57.000 --> 00:04:59.000]   or five hours of internet use.
[00:04:59.000 --> 00:05:03.000]   Talk time is twice as long as the older Edge network internet time and hour better with Wi-Fi.
[00:05:03.000 --> 00:05:07.000]   I ran my own battery test using the phone's 3G capability,
[00:05:07.000 --> 00:05:09.000]   although I left the Wi-Fi function on.
[00:05:09.000 --> 00:05:11.000]   I didn't connect it to a network.
[00:05:11.000 --> 00:05:12.000]   The phone had to rely on 3G.
[00:05:12.000 --> 00:05:15.000]   In my test of voice calling, I got four and a half hours.
[00:05:15.000 --> 00:05:16.000]   That's pretty good.
[00:05:16.000 --> 00:05:17.000]   Not bad.
[00:05:17.000 --> 00:05:22.000]   Three hours less than what I recorded on the same test on the original iPhone last year.
[00:05:22.000 --> 00:05:26.000]   Using 3G, five hours, 49 minutes, better than Apple's claim,
[00:05:26.000 --> 00:05:30.000]   but shorter than nine hours using Wi-Fi last year.
[00:05:30.000 --> 00:05:35.000]   More important in daily use, I found the battery indicator of the new 3G model slipping below 20%
[00:05:35.000 --> 00:05:38.000]   by early afternoon or mid-afternoon in some cases.
[00:05:38.000 --> 00:05:40.000]   That's bad.
[00:05:40.000 --> 00:05:42.000]   You got to get through a day.
[00:05:42.000 --> 00:05:44.000]   It entirely ran out of juice on one day.
[00:05:44.000 --> 00:05:47.000]   I overcame this problem by learning to use Wi-Fi instead of 3G,
[00:05:47.000 --> 00:05:50.000]   wherever possible, turning down the screen brightness,
[00:05:50.000 --> 00:05:53.000]   even turning off 3G altogether when the phone permits.
[00:05:53.000 --> 00:05:54.000]   Actually, which the phone is?
[00:05:54.000 --> 00:05:56.000]   I think this would be a big business for Mophie.
[00:05:56.000 --> 00:05:58.000]   Oh, Mophie is that makes that case.
[00:05:58.000 --> 00:05:59.000]   I have one.
[00:05:59.000 --> 00:06:00.000]   I don't have it with me.
[00:06:00.000 --> 00:06:01.000]   I love that idea.
[00:06:01.000 --> 00:06:02.000]   It's a case of the battery.
[00:06:02.000 --> 00:06:03.000]   Do you use it?
[00:06:03.000 --> 00:06:04.000]   Yeah, yeah.
[00:06:04.000 --> 00:06:08.000]   The Mophie is a little case that you pop onto your iPhone.
[00:06:08.000 --> 00:06:10.000]   You slide your iPhone into it.
[00:06:10.000 --> 00:06:17.000]   And what's kind of cool about it is that when you slide it in,
[00:06:17.000 --> 00:06:21.000]   it gives you basically another iPhone battery worth of time.
[00:06:21.000 --> 00:06:23.000]   But it's charging the first battery.
[00:06:23.000 --> 00:06:25.000]   So a lot of times what happens, I always make sure,
[00:06:25.000 --> 00:06:28.000]   sitting in my office, the Mophie is just charged.
[00:06:28.000 --> 00:06:30.000]   It's always charged.
[00:06:30.000 --> 00:06:32.000]   And if I'm running around and things aren't, you know, I've been traveling
[00:06:32.000 --> 00:06:34.000]   and I have it charged sitting there.
[00:06:34.000 --> 00:06:35.000]   It's kind of my backup.
[00:06:35.000 --> 00:06:37.000]   So I just leave my, I don't use it all the time,
[00:06:37.000 --> 00:06:39.000]   but my iPhone's getting low and I don't have time to plug it in.
[00:06:39.000 --> 00:06:42.000]   I just shove it into the Mophie and then I just can keep on using it.
[00:06:42.000 --> 00:06:44.000]   And then when the Mophie has given its charge--
[00:06:44.000 --> 00:06:46.000]   How many hours do you get the-- oh, it charges it up?
[00:06:46.000 --> 00:06:49.000]   It's basically acting like an external charger.
[00:06:49.000 --> 00:06:51.000]   So then when the Mophie runs out of battery time,
[00:06:51.000 --> 00:06:54.000]   I then have an iPhone that'll keep on going.
[00:06:54.000 --> 00:06:58.000]   You know, and so that actually has, it's turned into a really,
[00:06:58.000 --> 00:07:00.000]   really useful.
[00:07:00.000 --> 00:07:03.000]   Similar to the external battery pack so they make for laptops and stuff that.
[00:07:03.000 --> 00:07:04.000]   Exactly, exactly.
