
[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   This is Detroit.
[00:00:14.000 --> 00:00:17.000]   Bandwidth for Mac Break Weekly is provided by
[00:00:17.000 --> 00:00:22.000]   cashfly@cachiefly.com.
[00:00:22.000 --> 00:00:29.000]   [ Music ]
[00:00:29.000 --> 00:00:33.000]   This is Mac Break Weekly, Episode number 149 for
[00:00:33.000 --> 00:00:35.000]   July 14, 2009.
[00:00:35.000 --> 00:00:39.000]   Bump my iPhone.
[00:00:39.000 --> 00:00:43.000]   Mac Break Weekly is brought to you by Go to Meeting.
[00:00:43.000 --> 00:00:46.000]   Picture yourself on a phone call sharing and explaining
[00:00:46.000 --> 00:00:48.000]   something visual with Go to Meeting.
[00:00:48.000 --> 00:00:54.000]   For your free 30-day trial, visit GoToMeeting.com/MacBreak.
[00:00:54.000 --> 00:00:56.000]   And by a listener's like you.
[00:00:56.000 --> 00:00:59.000]   Thanks so much for your contribution. We couldn't do
[00:00:59.000 --> 00:01:01.000]   to it without it.
[00:01:01.000 --> 00:01:06.000]   [ Music ]
[00:01:06.000 --> 00:01:08.000]   Welcome to another episode of Mac Break Weekly.
[00:01:08.000 --> 00:01:11.000]   That's right you hear my voice got born instead of that
[00:01:11.000 --> 00:01:15.000]   of the golden dulcet tones of Leo the port because
[00:01:15.000 --> 00:01:18.000]   Leo is in China and I'm not.
[00:01:18.000 --> 00:01:21.000]   So yeah, I get to host the show.
[00:01:21.000 --> 00:01:25.000]   Now it's been about 142 episodes since I did this.
[00:01:25.000 --> 00:01:28.000]   Believe it or not, we're almost in our third year of the show.
[00:01:28.000 --> 00:01:30.000]   And I did a long time ago when we first started.
[00:01:30.000 --> 00:01:31.000]   I hosted a couple of weeks.
[00:01:31.000 --> 00:01:34.000]   But since then, Leo and his wisdom has seen fit not to let
[00:01:34.000 --> 00:01:35.000]   me host.
[00:01:35.000 --> 00:01:38.000]   Unfortunately, he was out of options because our little
[00:01:38.000 --> 00:01:40.000]   buddy Alex Lindsay is not here today.
[00:01:40.000 --> 00:01:44.000]   He would have hosted, but he and his wife had a great-looking
[00:01:44.000 --> 00:01:45.000]   baby girl.
[00:01:45.000 --> 00:01:47.000]   So congratulations to them.
[00:01:47.000 --> 00:01:49.000]   The little baby is fine.
[00:01:49.000 --> 00:01:50.000]   The mother is fine.
[00:01:50.000 --> 00:01:53.000]   And most importantly, Alex is fine.
[00:01:53.000 --> 00:01:56.000]   I mean, you know, not that he did any hard work or didn't take
[00:01:56.000 --> 00:01:58.000]   pictures, but he's not here.
[00:01:58.000 --> 00:02:01.000]   And Andy's not here because he's in China.
[00:02:01.000 --> 00:02:04.000]   So basically everybody who's not in China is here and that's me
[00:02:04.000 --> 00:02:08.000]   and I have a couple of folks who've bravely decided to come
[00:02:08.000 --> 00:02:12.000]   on and help me with today's show all the way from Oxford,
[00:02:12.000 --> 00:02:16.000]   England and channelflip.com.
[00:02:16.000 --> 00:02:17.000]   It's Mr.
[00:02:17.000 --> 00:02:19.000]   Will Harris.
[00:02:19.000 --> 00:02:23.000]   How would he be lovely to be here?
[00:02:23.000 --> 00:02:26.000]   Hey, thanks for being on the show, Will.
[00:02:26.000 --> 00:02:29.000]   In case people don't know what channelflip is, give us the
[00:02:29.000 --> 00:02:30.000]   60-second version.
[00:02:30.000 --> 00:02:32.000]   What's channelflip?
[00:02:32.000 --> 00:02:34.000]   Oh, very simple.
[00:02:34.000 --> 00:02:37.000]   It's lots of cool sort of online video shows that you can go
[00:02:37.000 --> 00:02:39.000]   and watch in your browser.
[00:02:39.000 --> 00:02:40.000]   Very easy.
[00:02:40.000 --> 00:02:41.000]   Or on iTunes.
[00:02:41.000 --> 00:02:44.000]   Oh, well, that was pretty simple.
[00:02:44.000 --> 00:02:50.000]   Also joining us today is Star of Stage, Screen, Hulu, Xbox,
[00:02:50.000 --> 00:02:53.000]   and anything else that shows video.
[00:02:53.000 --> 00:02:55.000]   It's I Justine.
[00:02:55.000 --> 00:02:56.000]   Hello.
[00:02:56.000 --> 00:02:57.000]   From the cottage.
[00:02:57.000 --> 00:02:58.000]   Hi, Justine.
[00:02:58.000 --> 00:02:59.000]   How are you?
[00:02:59.000 --> 00:03:00.000]   I'm holding down the fort here.
[00:03:00.000 --> 00:03:01.000]   That's right.
[00:03:01.000 --> 00:03:04.000]   We had to have somebody on Hi Def video that actually looked good.
[00:03:04.000 --> 00:03:06.000]   You would work.
[00:03:06.000 --> 00:03:09.000]   Well, I'm excited to be here.
[00:03:09.000 --> 00:03:10.000]   I'm so happy you're here.
[00:03:10.000 --> 00:03:13.000]   Now, your I Justine experiment continues.
[00:03:13.000 --> 00:03:14.000]   It does.
[00:03:14.000 --> 00:03:15.000]   Yes, that's my ultra ego.
[00:03:15.000 --> 00:03:17.000]   And how long has that thing going on?
[00:03:17.000 --> 00:03:21.000]   Since the first iPod came out, 2002-ish.
[00:03:21.000 --> 00:03:23.000]   And you were about nine then?
[00:03:23.000 --> 00:03:25.000]   I was nine.
[00:03:25.000 --> 00:03:27.000]   I mean, about nine.
[00:03:27.000 --> 00:03:30.000]   Yeah, okay.
[00:03:30.000 --> 00:03:31.000]   Well, thanks for being on the show.
[00:03:31.000 --> 00:03:35.000]   You usually are in LA doing things like your beautiful Mosey
[00:03:35.000 --> 00:03:36.000]   commercial.
[00:03:36.000 --> 00:03:38.000]   And today you're not in LA.
[00:03:38.000 --> 00:03:39.000]   You're in San Francisco helping us out.
[00:03:39.000 --> 00:03:40.000]   We appreciate it.
[00:03:40.000 --> 00:03:41.000]   Yes.
[00:03:41.000 --> 00:03:48.000]   We actually have a few pieces of Mac news as shocking as that may
[00:03:48.000 --> 00:03:49.000]   be.
[00:03:49.000 --> 00:03:52.000]   And by the way, when I'm the host, we will occasionally actually talk
[00:03:52.000 --> 00:03:54.000]   about Mac things because I don't know what else to do.
[00:03:54.000 --> 00:03:57.000]   I'm not as smart or as witty as Leo.
[00:03:57.000 --> 00:03:59.000]   So we're going to talk about Mac stuff.
[00:03:59.000 --> 00:04:05.000]   And I think it might be worth noting that Apple is trying to
[00:04:05.000 --> 00:04:08.000]   recreate something that I'm old enough to remember.
[00:04:08.000 --> 00:04:12.000]   And I think it's called the 45, the digital 45 now.
[00:04:12.000 --> 00:04:13.000]   Have you all seen this?
[00:04:13.000 --> 00:04:16.000]   I haven't, but I just googled it now.
[00:04:16.000 --> 00:04:19.000]   So you know what a 45 record is by any chance?
[00:04:19.000 --> 00:04:20.000]   Yes.
[00:04:20.000 --> 00:04:23.000]   Well, I was thinking that I didn't really know what a 45 was
[00:04:23.000 --> 00:04:26.000]   because I'm pretty sure they're from before my time.
[00:04:26.000 --> 00:04:27.000]   Yes.
[00:04:27.000 --> 00:04:28.000]   Yeah.
[00:04:28.000 --> 00:04:29.000]   It's for old guys like me.
[00:04:29.000 --> 00:04:32.000]   We used to go to the record store and we would buy a 45 record.
[00:04:32.000 --> 00:04:35.000]   And it was smaller than an LP.
[00:04:35.000 --> 00:04:37.000]   And it would be too sided.
[00:04:37.000 --> 00:04:39.000]   There's the A side and the B side.
[00:04:39.000 --> 00:04:43.000]   The A side was the hit and the B side was a lesser known song
[00:04:43.000 --> 00:04:45.000]   from the same group.
[00:04:45.000 --> 00:04:49.000]   And you paid a lesser price for this than you would have paid
[00:04:49.000 --> 00:04:51.000]   to get both songs individually.
[00:04:51.000 --> 00:04:55.000]   Apple is trying to boost sales by coming up with a digital version
[00:04:55.000 --> 00:04:58.000]   where you get two songs from the same artist for slightly less than
[00:04:58.000 --> 00:05:02.000]   it would cost you to get each one individually.
[00:05:02.000 --> 00:05:04.000]   So there you go.
[00:05:04.000 --> 00:05:06.000]   That's what they look like.
[00:05:06.000 --> 00:05:10.000]   My first one was my gosh.
[00:05:10.000 --> 00:05:14.000]   Now this is really quite some time ago.
[00:05:14.000 --> 00:05:15.000]   It was a Beatles.
[00:05:15.000 --> 00:05:17.000]   It was a Beatles tune.
[00:05:17.000 --> 00:05:20.000]   It was paperback writer.
[00:05:20.000 --> 00:05:23.000]   You know, I can't say I've ever actually used a record.
[00:05:23.000 --> 00:05:25.000]   I mean, once maybe at my grandmother's house,
[00:05:25.000 --> 00:05:27.000]   but I broke the record player and she's like,
[00:05:27.000 --> 00:05:29.000]   don't touch that ever again.
[00:05:29.000 --> 00:05:33.000]   Yeah, it's nice to be known that I'm in the age range of your
[00:05:33.000 --> 00:05:34.000]   grandmother.
[00:05:34.000 --> 00:05:35.000]   Thank you.
[00:05:35.000 --> 00:05:36.000]   I'm just saying that.
[00:05:36.000 --> 00:05:38.000]   I'm just saying that that's all she had at the time.
[00:05:38.000 --> 00:05:41.000]   So my other grandma on the other hand is the biggest social
[00:05:41.000 --> 00:05:43.000]   networker you'll ever meet.
[00:05:43.000 --> 00:05:46.000]   Well, this is a cool marketing tactic.
[00:05:46.000 --> 00:05:47.000]   I don't know.
[00:05:47.000 --> 00:05:50.000]   It's sort of gimmicky, but you know, we'll see if it actually works.
[00:05:50.000 --> 00:05:56.000]   Also related to some more straight up Apple news from the app store.
[00:05:56.000 --> 00:06:03.000]   Can we say 1.5 billion with a B downloads in the first year?
[00:06:03.000 --> 00:06:05.000]   1.5 billion.
[00:06:05.000 --> 00:06:07.000]   Does that surprise you?
[00:06:07.000 --> 00:06:10.000]   Actually, it really doesn't surprise me because I know how many apps
[00:06:10.000 --> 00:06:13.000]   I've downloaded and I'm probably 80% of that.
[00:06:13.000 --> 00:06:16.000]   So I'm not surprised at all.
[00:06:16.000 --> 00:06:18.000]   And there's so many apps, especially with the free apps.
[00:06:18.000 --> 00:06:21.000]   I mean, there's nothing you don't pay anything.
[00:06:21.000 --> 00:06:24.000]   You just click download and you're done.
[00:06:24.000 --> 00:06:27.000]   Well, first when I saw this, I thought it said 1.5 billion text
[00:06:27.000 --> 00:06:30.000]   messages and then I knew it would have been something to do with
[00:06:30.000 --> 00:06:31.000]   you.
[00:06:31.000 --> 00:06:32.000]   But no, it was apps.
[00:06:32.000 --> 00:06:37.000]   Will Harris, do you download lots of apps from the UK version of the app store?
[00:06:37.000 --> 00:06:38.000]   Hello.
[00:06:38.000 --> 00:06:41.000]   I think we're having technical difficulties where will is concerned.
[00:06:41.000 --> 00:06:43.000]   I'm going to be will here for a second.
[00:06:43.000 --> 00:06:47.000]   Yes, I download so many apps from the UK app store.
[00:06:47.000 --> 00:06:50.000]   Some of my favorites I play games all the time.
[00:06:50.000 --> 00:06:53.000]   And you know, all those great photo enhancing applications.
[00:06:53.000 --> 00:06:54.000]   Those are my favorite.
[00:06:54.000 --> 00:06:55.000]   Yes.
[00:06:55.000 --> 00:06:58.000]   Well, okay.
[00:06:58.000 --> 00:07:01.000]   You know, I actually have more apps than I thought I would.
[00:07:01.000 --> 00:07:04.000]   I have my iPhone right here.
[00:07:04.000 --> 00:07:09.000]   And, you know, I have to say that my apps aren't probably anywhere near as
[00:07:09.000 --> 00:07:10.000]   exciting as most people's.
[00:07:10.000 --> 00:07:12.000]   And I don't have as many as some people.
[00:07:12.000 --> 00:07:14.000]   But you know what's really valuable?
[00:07:14.000 --> 00:07:15.000]   The flashlight app.
[00:07:15.000 --> 00:07:16.000]   The flashlight app?
[00:07:16.000 --> 00:07:17.000]   Yeah, the flashlight app.
[00:07:17.000 --> 00:07:19.000]   It turns your iPhone into a flashlight.
[00:07:19.000 --> 00:07:22.000]   Then you can walk around and point your iPhone as if it were a flashlight.
[00:07:22.000 --> 00:07:26.000]   Now, do you have the one that has like the little disco strobe lights?
[00:07:26.000 --> 00:07:29.000]   No, like I said, I don't get too fancy, Justin.
[00:07:29.000 --> 00:07:30.000]   I'm old.
[00:07:30.000 --> 00:07:32.000]   Are you going to stick with the face?
[00:07:32.000 --> 00:07:33.000]   You never know.
[00:07:33.000 --> 00:07:35.000]   Your flashlight, it turns into a little disco app.
[00:07:35.000 --> 00:07:38.000]   You can change the different colors of the flashlight.
[00:07:38.000 --> 00:07:39.000]   No.
[00:07:39.000 --> 00:07:40.000]   No.
[00:07:40.000 --> 00:07:42.000]   Once again, I just, I'm old.
[00:07:42.000 --> 00:07:43.000]   I just want a flashlight.
[00:07:43.000 --> 00:07:44.000]   Okay.
[00:07:44.000 --> 00:07:45.000]   This is this.
[00:07:45.000 --> 00:07:46.000]   And I have a level.
[00:07:46.000 --> 00:07:49.000]   This is the one that really excites on my friends.
[00:07:49.000 --> 00:07:51.000]   The carpenter level.
[00:07:51.000 --> 00:07:52.000]   The carpenter.
[00:07:52.000 --> 00:07:55.000]   Oh, that'll tell you if something's level or not?
[00:07:55.000 --> 00:07:56.000]   Yes, here.
[00:07:56.000 --> 00:07:57.000]   See?
[00:07:57.000 --> 00:07:58.000]   That's pretty awesome.
