
[00:00:00.000 --> 00:00:04.000]   [music]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:13.000]   This is Detroit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for MacBreak Weekly is provided by
[00:00:17.000 --> 00:00:21.000]   cashfly@cachafly.com.
[00:00:29.000 --> 00:00:35.000]   This is MacBreak Weekly, Episode 152, for August 4, 2009.
[00:00:35.000 --> 00:00:37.000]   It's in airplane mode.
[00:00:37.000 --> 00:00:41.000]   MacBreak Weekly is brought to you by Audible.com.
[00:00:41.000 --> 00:00:47.000]   For your free audio book, visit audible.com/macbreak.
[00:00:47.000 --> 00:00:50.000]   And by Go To Meeting.
[00:00:50.000 --> 00:00:53.000]   Picture yourself on a phone call sharing and explaining
[00:00:53.000 --> 00:00:56.000]   something visual with Go To Meeting.
[00:00:56.000 --> 00:01:01.000]   For your free 30-day trial visit GoToMeeting.com/macbreak.
[00:01:01.000 --> 00:01:09.000]   It's time for MacBreak Weekly to show the covers all things Macintosh,
[00:01:09.000 --> 00:01:14.000]   all things Apple really, Mac, iPod, iPhone, iPhone stuff.
[00:01:14.000 --> 00:01:16.000]   With me today in studio, Mr. Alex Lindsey.
[00:01:16.000 --> 00:01:17.000]   Hello, hello.
[00:01:17.000 --> 00:01:18.000]   Hello.
[00:01:18.000 --> 00:01:20.000]   Pixelcore.com and Pixelcore.tv.
[00:01:20.000 --> 00:01:21.000]   Thank you, Alex, for being here.
[00:01:22.000 --> 00:01:27.000]   Vaya Skype from across the continent, Mr. Andy and Notco of the Chicago
[00:01:27.000 --> 00:01:31.000]   Sun Times and the Celestial Waste of Bandwidth.
[00:01:31.000 --> 00:01:34.000]   Just the three of us today, Scott Bourne has recused himself
[00:01:34.000 --> 00:01:36.000]   for the next few weeks.
[00:01:36.000 --> 00:01:38.000]   He's become very busy, you know, with his photography.
[00:01:38.000 --> 00:01:39.000]   He's a busy guy.
[00:01:39.000 --> 00:01:40.000]   He's a busy, busy, busy guy.
[00:01:40.000 --> 00:01:41.000]   He's always a busy guy.
[00:01:41.000 --> 00:01:44.000]   He also says, I don't think he's recused himself.
[00:01:44.000 --> 00:01:45.000]   He makes himself homeless though.
[00:01:45.000 --> 00:01:48.000]   He met one of the people, one of the panelists in the lobby of the hotel earlier,
[00:01:48.000 --> 00:01:51.000]   so he cannot be guessing what our mystery guest line is.
[00:01:51.000 --> 00:01:52.000]   Exactly.
[00:01:52.000 --> 00:01:54.000]   I have a pre-existing relationship.
[00:01:54.000 --> 00:01:58.000]   Recused is not the right word then.
[00:01:58.000 --> 00:01:59.000]   Excused.
[00:01:59.000 --> 00:02:00.000]   How about excused?
[00:02:00.000 --> 00:02:02.000]   Reverses X.
[00:02:02.000 --> 00:02:03.000]   Exactly.
[00:02:03.000 --> 00:02:07.000]   I had complained, I had complained, but then again, you're talking to the guy who missed
[00:02:07.000 --> 00:02:08.000]   three in a row, so.
[00:02:08.000 --> 00:02:11.000]   We had to turn over all the cards for Andy and Notco.
[00:02:11.000 --> 00:02:12.000]   Exactly.
[00:02:12.000 --> 00:02:16.000]   So the big story of the week, and we talked a lot about it on Twitch, is Apple rejecting
[00:02:16.000 --> 00:02:17.000]   the Google Voice application.
[00:02:17.000 --> 00:02:22.200]   There'll be some repercussions, Eric Schmidt, the CEO of Google, has resigned from the Apple
[00:02:22.200 --> 00:02:23.200]   board.
[00:02:23.200 --> 00:02:24.800]   Do we think that that's all connected?
[00:02:24.800 --> 00:02:30.720]   Well, of course, the FTC was investigating, what do they call it, crossing the beams?
[00:02:30.720 --> 00:02:33.000]   Crossing directorships or something like that.
[00:02:33.000 --> 00:02:34.000]   Direct directors.
[00:02:34.000 --> 00:02:35.000]   Directorates.
[00:02:35.000 --> 00:02:36.000]   And there still is.
[00:02:36.000 --> 00:02:38.760]   There is still somebody on the Apple board who's on the Google board.
[00:02:38.760 --> 00:02:39.760]   For now.
[00:02:39.760 --> 00:02:40.760]   For now.
[00:02:40.760 --> 00:02:41.760]   He's going to have to choose.
[00:02:41.760 --> 00:02:42.760]   But I don't think that's why Eric resigned.
[00:02:42.760 --> 00:02:45.360]   I think Eric resigned because of this Google Voice thing.
[00:02:45.360 --> 00:02:50.280]   And the heating up battle, the FCC, sent a letter to Google, AT&T, and Apple saying,
[00:02:50.280 --> 00:02:51.720]   "We want to know what's going on."
[00:02:51.720 --> 00:02:54.360]   Yeah, what's the deal?
[00:02:54.360 --> 00:02:56.120]   So what is the deal?
[00:02:56.120 --> 00:02:59.120]   Why does Apple reject the Google Voice application?
[00:02:59.120 --> 00:03:04.280]   Well, I think that technically, they also pulled a third party GV application.
[00:03:04.280 --> 00:03:05.280]   Right.
[00:03:05.280 --> 00:03:07.800]   And I think that technically, Apple has done this before.
[00:03:07.800 --> 00:03:12.400]   Anything that, or many applications that overlap what the core functions of the phone
[00:03:12.400 --> 00:03:13.520]   are have been removed.
[00:03:13.520 --> 00:03:15.520]   This isn't something that's new.
[00:03:15.520 --> 00:03:16.520]   But it's the first time they've done it.
[00:03:16.520 --> 00:03:18.400]   That's always so big as Google.
[00:03:18.400 --> 00:03:21.160]   And I have to admit, this is the first one where I've gone, "Oh my gosh."
[00:03:21.160 --> 00:03:24.880]   We had one of the guys in the office got it before it was pulled down.
[00:03:24.880 --> 00:03:28.680]   And the third party Google Voice went in, "It's awesome."
[00:03:28.680 --> 00:03:29.680]   Is it?
[00:03:29.680 --> 00:03:30.680]   Yeah, I wish I'd bought it.
[00:03:30.680 --> 00:03:33.080]   Yeah, I wish I had two.
[00:03:33.080 --> 00:03:34.080]   So there's two of them.
[00:03:34.080 --> 00:03:35.920]   There's a third party app.
[00:03:35.920 --> 00:03:40.320]   And by the way, the guy, the developers being told, "You're responsible for any refunds."
[00:03:40.320 --> 00:03:42.200]   Yeah, that wasn't...
[00:03:42.200 --> 00:03:43.200]   That's cool, man.
[00:03:43.200 --> 00:03:47.520]   See, not only that, not only is he responsible for any refunds, but he's responsible for
[00:03:47.520 --> 00:03:49.360]   100% of the refunds.
[00:03:49.360 --> 00:03:50.360]   So Apple gets...
[00:03:50.360 --> 00:03:51.360]   He only got 70%.
[00:03:51.360 --> 00:03:55.000]   Yeah, so Apple gets to keep their 30% cut, but he has to...
[00:03:55.000 --> 00:03:57.280]   He's going to be like deeply 30% in the hole.
[00:03:57.280 --> 00:04:00.280]   Actually, I'm sorry, 50% in the hole almost for every sale.
[00:04:00.280 --> 00:04:01.280]   Sucks.
[00:04:01.280 --> 00:04:02.920]   Apple's got to fix that.
[00:04:02.920 --> 00:04:07.720]   I mean, of all the things that they're doing, they have to make that right.
[00:04:07.720 --> 00:04:12.640]   I mean, to pull something off and then require someone to pay it back, plus the 30% that
[00:04:12.640 --> 00:04:16.600]   they took after they allowed it to be in the store for...
[00:04:16.600 --> 00:04:17.600]   I love this in the store.
[00:04:17.600 --> 00:04:19.600]   I think two or three months.
[00:04:19.600 --> 00:04:21.320]   So they allowed it to be in the store, then they pulled it out.
[00:04:21.320 --> 00:04:22.320]   I mean, that's...
[00:04:22.320 --> 00:04:23.320]   Yeah.
[00:04:23.320 --> 00:04:30.000]   Can you explain to me why the Skype app is okay and the Google Voice app is not okay?
[00:04:30.000 --> 00:04:32.000]   I believe it's because the Skype...
[00:04:32.000 --> 00:04:33.000]   The Skype app is only Wi-Fi.
[00:04:33.000 --> 00:04:34.000]   Why is it?
[00:04:34.000 --> 00:04:35.000]   I only.
[00:04:35.000 --> 00:04:36.000]   Was the Google App 3G as well?
[00:04:36.000 --> 00:04:37.000]   Actually...
[00:04:37.000 --> 00:04:38.000]   No, you know the Google App.
[00:04:38.000 --> 00:04:39.000]   Let me tell you.
[00:04:39.000 --> 00:04:42.440]   I'm not sure, but I believe the Google App works as Google Voice does.
[00:04:42.440 --> 00:04:43.880]   It's a good app by an incoming call.
[00:04:43.880 --> 00:04:46.520]   You use phone minutes to use the Google App.
[00:04:46.520 --> 00:04:50.560]   So you can place a free long-distance call, but you are using phone minutes or cheap long-distance
[00:04:50.560 --> 00:04:51.560]   call.
[00:04:51.560 --> 00:04:52.560]   But it also...
[00:04:52.560 --> 00:04:53.560]   Go ahead, Andy.
[00:04:53.560 --> 00:04:57.040]   I was just going to say, I think the distinction is that we're as Skype as an application that
[00:04:57.040 --> 00:05:00.840]   you use as an alternative means of communication.
[00:05:00.840 --> 00:05:04.720]   The Google App is essentially you're taking the phone features out of your AT&T phone
[00:05:04.720 --> 00:05:08.200]   and replacing them with Google phone features, so to speak.
[00:05:08.200 --> 00:05:13.880]   It's such a natural way of using your phone and placing and receiving phone calls that
[00:05:13.880 --> 00:05:17.280]   I think that that's what triggered the, "Okay, time to go into Death Star mode.
[00:05:17.280 --> 00:05:18.280]   Let's just shut them down."
[00:05:18.280 --> 00:05:21.040]   Well, and one of the things that was a big deal in our office, our office is like a
[00:05:21.040 --> 00:05:22.120]   fair day cage.
[00:05:22.120 --> 00:05:27.600]   And so most of our iPhones do not work more than 10 feet from the windows and your Wi-Fi
[00:05:27.600 --> 00:05:28.600]   does.
[00:05:28.600 --> 00:05:29.600]   But the Wi-Fi does.
[00:05:29.600 --> 00:05:32.360]   And one of the things, especially with text messaging, he was getting the text messaging
[00:05:32.360 --> 00:05:36.000]   straight in and out of the office without any trouble once.
[00:05:36.000 --> 00:05:39.120]   And we're a very SMS-centric company.
[00:05:39.120 --> 00:05:42.120]   And so it was very easy for him to work in the office.
[00:05:42.120 --> 00:05:43.120]   And that's one of my big problems.
[00:05:43.120 --> 00:05:46.120]   I get into some of the studios there and I can't use my SMS.
[00:05:46.120 --> 00:05:47.120]   Free SMS.
[00:05:47.120 --> 00:05:48.120]   Yeah.
[00:05:48.120 --> 00:05:51.680]   Maybe that's part of the problem, although there are other free SMS applications.
[00:05:51.680 --> 00:05:56.120]   But I think the fact that it's so seamless, I think, is the real issue that I think.
[00:05:56.120 --> 00:05:59.000]   And I think it's more of an AT&T thing than an Apple thing.
[00:05:59.000 --> 00:06:06.640]   Well, and then of course the question the FCC really wants answered is did AT&T collude
[00:06:06.640 --> 00:06:07.640]   with Apple on this?
[00:06:07.640 --> 00:06:08.640]   Yeah.
[00:06:08.640 --> 00:06:11.640]   And AT&T says, "No, we didn't ask."
[00:06:11.640 --> 00:06:13.640]   What did you tell them?
[00:06:13.640 --> 00:06:14.640]   We didn't say anything.
[00:06:14.640 --> 00:06:18.000]   All we did was point that page 48, section three, sub clause three of our contract.
[00:06:18.000 --> 00:06:20.840]   If that's saying something to them, I don't know.
[00:06:20.840 --> 00:06:21.840]   I don't know.
[00:06:21.840 --> 00:06:23.320]   We didn't actually open our mouth.
[00:06:23.320 --> 00:06:25.360]   We simply forwarded that little section to them.
[00:06:25.360 --> 00:06:26.360]   You know?
[00:06:26.360 --> 00:06:31.680]   Just say, "Rrrr!"
[00:06:31.680 --> 00:06:34.160]   Just one word, section four, three, three.
[00:06:34.160 --> 00:06:35.160]   Yes.
[00:06:35.160 --> 00:06:40.120]   An answered counselor move on.
[00:06:40.120 --> 00:06:44.080]   In some ways I think the FCC could, it would be to Apple's advantage to have the FCC apply
[00:06:44.080 --> 00:06:49.440]   pressure to force this back in because I think if any, I still think it's an, I think it's
[00:06:49.440 --> 00:06:51.520]   an AT&T thing, not an Apple thing.
[00:06:51.520 --> 00:06:55.880]   And I think that the FCC pressing on them may force it back in, which I think is to Apple's
[00:06:55.880 --> 00:06:56.880]   advantage.
[00:06:56.880 --> 00:06:57.880]   You think Apple wants this?
[00:06:57.880 --> 00:07:01.560]   I don't think they necessarily want it, but I don't think it's necessarily bad for them.
[00:07:01.560 --> 00:07:06.720]   I think when the turning points of the iPhone's development is going to be when Apple enters
[00:07:06.720 --> 00:07:10.920]   an agreement with Verizon or some other carrier, that's when Apple will have the opportunity
[00:07:10.920 --> 00:07:15.840]   to not announce something, but simply prove by action that no, almost every time we pull
[00:07:15.840 --> 00:07:21.800]   the total move on our developers was us having to honor terms of an AT&T contract that we
[00:07:21.800 --> 00:07:23.560]   really came to regret.
[00:07:23.560 --> 00:07:24.560]   Really?
[00:07:24.560 --> 00:07:26.120]   I don't think it's as Apple.
[00:07:26.120 --> 00:07:28.600]   The Death Star's AT&T and Apple's the good guy here.
[00:07:28.600 --> 00:07:30.240]   No, I don't think they're the good guy.
[00:07:30.240 --> 00:07:35.360]   I think that a good guy indicates that they actively care about the user and they want
[00:07:35.360 --> 00:07:36.760]   to do the right thing.
[00:07:36.760 --> 00:07:38.960]   There's a difference between that and simply not caring.
[00:07:38.960 --> 00:07:41.360]   I don't care.
[00:07:41.360 --> 00:07:45.160]   If our users want to make phone calls without the carrier, we don't care.
[00:07:45.160 --> 00:07:46.160]   Please don't.
[00:07:46.160 --> 00:07:48.000]   We have so much to do during the day.
[00:07:48.000 --> 00:07:49.360]   Why is this even coming to my desk?
[00:07:49.360 --> 00:07:52.160]   I think it's screaming these calls.
