
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[00:00:05.760 --> 00:00:11.440]   We're gonna talk about the latest Mac news including iPhone 5 rumors and that big lawsuit looks like Apple is
[00:00:11.440 --> 00:00:16.080]   Stopping the galaxy Nexus in the US details to come next on Mac Break Week
[00:00:16.080 --> 00:00:23.120]   Netcast you love from people you trust
[00:00:26.880 --> 00:00:33.440]   This is Twitter bandwidth for Mac Break Weekly is provided by cash fly at
[00:00:33.440 --> 00:00:36.640]   CACHLY.com
[00:00:36.640 --> 00:00:47.680]   This is Mac Break Weekly episode 306 recorded July 3rd 2012 blue collar bob
[00:00:51.720 --> 00:00:59.160]   Mac Break Weekly is brought to you by hover.com hover is domain name registration and management that's simple for 10% off your new domain
[00:00:59.160 --> 00:01:03.400]   Visit Macbreak.hover.com and use the offer code Macbreak
[00:01:03.400 --> 00:01:11.320]   And buy audible.com to download the free audio book of your choice go to audible.com slash Mac Break
[00:01:11.320 --> 00:01:13.880]   It's time for Mac Break Weekly the show that
[00:01:13.880 --> 00:01:17.400]   polishes the apple so to speak
[00:01:18.200 --> 00:01:23.960]   Here he is number one apple polisher. I don't know who to say number which of you is number one apple polisher
[00:01:23.960 --> 00:01:32.040]   Alex andy leo i don't know i don't know i don't know i don't think Andy because as a professionally trained journalist would want that mantle
[00:01:32.040 --> 00:01:40.920]   Exactly i'm i'm independent i am unaffiliated i don't want my own personal purchases to impinge in any way
[00:01:40.920 --> 00:01:43.400]   The perception of my fair
[00:01:43.880 --> 00:01:47.800]   journalistic sense of balance on the other hand he does love squirrels apparently
[00:01:47.800 --> 00:01:53.320]   Yeah squirrels a groundhog he loves groundhogs like squirrels love nuts
[00:01:53.320 --> 00:01:59.880]   It's one of it's one of the staff backyard groundhogs the mid the senior staff
[00:01:59.880 --> 00:02:00.680]   uh
[00:02:00.680 --> 00:02:03.800]   This groundhog there's also a junior groundhog and one that is
[00:02:03.800 --> 00:02:09.960]   Probably pushing retirement age i was very very glad to see him two months ago because that meant that he had actually survived the winter
[00:02:09.960 --> 00:02:11.960]   which i didn't think it was but
[00:02:11.960 --> 00:02:15.400]   Do uh, do you think of them as your minions?
[00:02:15.400 --> 00:02:18.520]   No again, they're just they're their staff
[00:02:18.520 --> 00:02:23.000]   Okay, they they tend the grounds i don't i don't really have to spend much time in the yard
[00:02:23.000 --> 00:02:28.440]   Because if there's anything edible in there they will have already eaten it so i don't have to whenever i need a snack
[00:02:28.440 --> 00:02:31.880]   I know that can pretty much keep it to the kitchen because there's not gonna be anything in the backyard
[00:02:31.880 --> 00:02:37.480]   You took a lovely picture i saw a yesterday after the thunderstorms of a wet rabbit
[00:02:37.480 --> 00:02:39.800]   in your backyard
[00:02:39.800 --> 00:02:41.800]   Yeah, that was that was uh
[00:02:41.800 --> 00:02:48.200]   Have it yeah here it is i love that picture just standing there. Yeah, that's what that sony telephoto you're reviewing right now
[00:02:48.200 --> 00:02:53.880]   Yeah, it's been delayed a couple times. This is like the new uh, any xf3
[00:02:53.880 --> 00:02:57.640]   And sony sent that really cool like immensely ridiculous
[00:02:57.640 --> 00:03:00.760]   Like huge lens on a tiny body with it
[00:03:00.760 --> 00:03:05.720]   Uh, but the but the cool thing about both those photos is that like i'm taking them through screen doors
[00:03:06.120 --> 00:03:12.360]   So there's a reason like you know how like barber strizan is really vayner about about her appearance and every time she directs herself in a movie
[00:03:12.360 --> 00:03:17.640]   Like there's always this layer of like black mesh or cheesecloth in front of the lens to make her look like more ethereal
[00:03:17.640 --> 00:03:24.120]   So basically that that bunny in that ground hug are both getting the barber strizan like a thirial screen shot
[00:03:24.120 --> 00:03:29.880]   We like to call that promist just throw a little promist on there and he in aco from the chicago
[00:03:29.880 --> 00:03:34.520]   Senn times is here. Alex lindsey oddly enough is in town crazy in four
[00:03:35.400 --> 00:03:39.640]   He's here. I you know like once in a while nowadays. I'm working. Is he working? He's got a good job
[00:03:39.640 --> 00:03:43.160]   I'm not knocking it. You got a business. You're running it. But i'm working thrilled when you're here
[00:03:43.160 --> 00:03:44.760]   It's nice. I love being here. I'm sorry
[00:03:44.760 --> 00:03:51.160]   I want to thank rick. We have a couple of people to talk about today one shawn mcgumery who is watching us
[00:03:51.160 --> 00:03:54.520]   At the beach on his phone and send us this picture
[00:03:54.520 --> 00:03:57.080]   curse you shawn Montgomery
[00:03:57.080 --> 00:03:59.800]   Looks like a nice day. It looks like a corona ad
[00:03:59.800 --> 00:04:04.680]   Where shawn is I think everybody should start sending us photos of where they are while they're listening to our shawn
[00:04:04.680 --> 00:04:07.720]   And we'll show that and then and then rick wind links
[00:04:07.720 --> 00:04:13.480]   It was fishing in Oregon and took I think a very lovely photo of a sunset
[00:04:13.480 --> 00:04:17.240]   But look look a little look a little closer. You know, I think about that that sun
[00:04:17.240 --> 00:04:20.760]   Look a little bit like an apple
[00:04:20.760 --> 00:04:23.640]   No
[00:04:23.640 --> 00:04:25.640]   I don't know rick. I okay
[00:04:25.640 --> 00:04:28.600]   Did you get chills when
[00:04:28.600 --> 00:04:32.680]   If you put the heads piece to the staff of jobs in the right place in the map room
