
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:00:04.240 --> 00:00:08.300]   We're gonna talk about Bob Mansfield. What does his new job portend?
[00:00:08.300 --> 00:00:13.000]   We'll also take a look at some of the announcements Google made this weekend how they might affect Apple
[00:00:13.000 --> 00:00:15.280]   It's all coming up next on Mac Break Weekly
[00:00:15.280 --> 00:00:22.200]   Netcast you love from people you trust
[00:00:26.000 --> 00:00:34.840]   This is Troy bandwidth for Mac Break Weekly is provided by cash fly at C A C H E F L Y
[00:00:34.840 --> 00:00:36.840]   .com
[00:00:36.840 --> 00:00:47.560]   This is Mac Break Weekly episode 361 recorded July 30th 2013 the mommy slider
[00:00:50.720 --> 00:00:59.200]   Mac Break Weekly is brought to you by Shutterstock.com with over 26 million high quality stock photos illustrations vectors and video clips
[00:00:59.200 --> 00:01:04.400]   Shutterstock helps take your creative project to the next level for 30% off your new account
[00:01:04.400 --> 00:01:15.480]   Go to Shutterstock.com and use the offer code Macbreak 7 and buy the new PDF pen 6 the powerful all-purpose PDF editing tool from smile
[00:01:15.560 --> 00:01:21.640]   You can add signatures make changes correct typos fill out forms and more and now with version 6
[00:01:21.640 --> 00:01:26.680]   You can export your PDFs to Microsoft Word format learn more at smile software.com
[00:01:26.680 --> 00:01:29.400]   slash Mac Break
[00:01:29.400 --> 00:01:35.800]   It's time for Mac Break Weekly to show the covers Apple and Macintosh needs and as web 2028 just said in our chatroom
[00:01:35.800 --> 00:01:41.960]   I enjoy the program, but maybe you should go on hiatus until actually Apple announces anything to talk about
[00:01:41.960 --> 00:01:46.440]   But there's always something to talk about. That's Alex Lindsey who says there is and you're right always something
[00:01:46.440 --> 00:01:49.880]   We always come in we come into every one of these going there's nothing to talk about and then we talk about
[00:01:49.880 --> 00:01:56.200]   About nothing weird period where well there's stuff to talk about but soon will be in because now we have the quarterly results and stuff
[00:01:56.200 --> 00:02:01.960]   But soon they'll be in the weird period where we're just waiting for Apple to make it an ass and that is next month probably
[00:02:01.960 --> 00:02:07.320]   That's Renee Richie's also here for i'm or to calm calm good the good news about Renee is that he already knows what Apple's gonna
[00:02:07.320 --> 00:02:09.000]   Say so we're set
[00:02:09.240 --> 00:02:14.360]   We'll just ask him and then he'll tug his ear or something like that. He's the king of the Apple rumors. Hi Renee
[00:02:14.360 --> 00:02:18.280]   Hey, how are you all pat one of those imaginary dogs that Andy keeps using it so useful?
[00:02:18.280 --> 00:02:24.760]   Actually, I think it's been tough has it not for the rumor mill Tim Cook seems to have locked things down a little bit
[00:02:24.760 --> 00:02:27.800]   I mean it depends on the kind of rumors
[00:02:27.800 --> 00:02:32.680]   So the only hard thing for me is that I agree to the nda and then I can't talk about a bunch of stuff that people find out through
[00:02:32.680 --> 00:02:38.440]   Code code sniffing as opposed to actual, you know, those kind of leaks, but it's still been an interesting couple months
[00:02:38.520 --> 00:02:42.120]   I'm never doing another nda and he and not co is here from the chicago suntimes
[00:02:42.120 --> 00:02:48.920]   He writes for a living so he has to do nda's because there's a there's things like deadlines and lead time
[00:02:48.920 --> 00:02:54.840]   Yes, and they are bummers and on many levels although Renee and you sign the nda
[00:02:54.840 --> 00:02:59.960]   But you have the picture of a certain screenshot of certain nda software os product right there on the screen behind you
[00:02:59.960 --> 00:03:04.920]   It's a fake taken from apple.com. So i'm okay. Oh, this is pure manipulation of press photos
[00:03:05.640 --> 00:03:08.200]   It's it's it's a parody. Yes
[00:03:08.200 --> 00:03:14.040]   It's a derivative similar to but not identical to
[00:03:14.040 --> 00:03:22.280]   And it confuses people because there's no carrier symbols on them. No, the apples pictures have carrier symbols. So yeah, so what are we supposed to infer from that?
[00:03:22.280 --> 00:03:26.280]   No more carriers. It's true that apple has kept a very good lid
[00:03:26.280 --> 00:03:29.000]   They've they've dealt the you know and Tim Cook said this a year ago
[00:03:29.000 --> 00:03:31.320]   I'm gonna double down on secrecy and they've done it in the u.s
[00:03:31.320 --> 00:03:35.560]   Very hard with suppliers. Yeah, and that's what Motorola told me. They said I said, you know
[00:03:35.560 --> 00:03:39.720]   I promised not to leak anything at this event that I didn't attend and then
[00:03:39.720 --> 00:03:43.720]   They said well, we're not so much worried about you. The problem is the carriers all have the phone
[00:03:43.720 --> 00:03:48.680]   Right and you can and they the carriers a lot of people will see it and they really can't keep it
[00:03:48.680 --> 00:03:51.800]   Well, and the problem is is that there's a lot of single suppliers
[00:03:51.800 --> 00:03:55.960]   So, you know, you can't something gets out of fox con. It's not like you can say what do you do?
[00:03:55.960 --> 00:03:57.800]   Business somewhere else screw you. Yeah, I mean
[00:03:57.800 --> 00:04:02.600]   You you you pretty much have to go. We're really disappointed that you did that last week
