
[00:00:00.000 --> 00:00:05.000]   It's time for Mac Break Weekly and yes, the new iPhones are here.
[00:00:05.000 --> 00:00:10.000]   Maybe not a lot of surprises, but there are at least two things that we didn't expect
[00:00:10.000 --> 00:00:13.000]   that may be very significant for the Apple ecosystem.
[00:00:13.000 --> 00:00:15.000]   I'll tell you what, stay tuned and find out.
[00:00:15.000 --> 00:00:20.000]   Renee Ritchie, Chris Breen and Andy Inaco join us next on Mac Break Weekly.
[00:00:20.000 --> 00:00:25.000]   Netcast, you love.
[00:00:25.000 --> 00:00:27.000]   From people you trust.
[00:00:27.000 --> 00:00:32.000]   This is Troy.
[00:00:32.000 --> 00:00:40.000]   Bandwidth for Mac Break Weekly is provided by cashfly@cachiefly.com.
[00:00:40.000 --> 00:00:50.000]   This is Mac Break Weekly, episode 367, recorded September 10, 2013.
[00:00:50.000 --> 00:00:52.000]   C is for kids.
[00:00:55.000 --> 00:00:58.000]   Mac Break Weekly is brought to you by Shutterstock.com.
[00:00:58.000 --> 00:01:03.000]   With over 28 million high quality stock photos, illustrations, vectors and video clips,
[00:01:03.000 --> 00:01:07.000]   Shutterstock helps you take your creative projects to the next level.
[00:01:07.000 --> 00:01:13.000]   For 30% off on your new account, go to Shutterstock.com and use the offer code MacBreak9.
[00:01:13.000 --> 00:01:19.000]   And by the new PDF Pen 6, the powerful all-purpose PDF editing tool from Smile.
[00:01:19.000 --> 00:01:23.000]   You can add signatures, make changes, correct typos, fill out forms and more.
[00:01:23.000 --> 00:01:28.000]   And now, with version 6, you can export your PDFs to Microsoft Word format.
[00:01:28.000 --> 00:01:32.000]   Learn more at smilesoftware.com/macbreak.
[00:01:32.000 --> 00:01:37.000]   And by Gazelle, the fast and simple way to sell your used gadgets.
[00:01:37.000 --> 00:01:42.000]   Find out what your used iPhone, iPad or other Apple product is worth at Gazelle.com.
[00:01:42.000 --> 00:01:46.000]   It's time for Mac Break Weekly to show the covers of Mac news and there's...
[00:01:46.000 --> 00:01:49.000]   ...IOS News today, big iOS news.
[00:01:49.000 --> 00:01:52.000]   And so we brought in the big guns.
[00:01:52.000 --> 00:01:54.000]   Of course, Renee Ritchie is here from iMoor.com.
[00:01:54.000 --> 00:02:00.000]   He was covering the iPhone 5 event from his lair in Montreal.
[00:02:00.000 --> 00:02:04.000]   Absolutely. I had my face and my hands plastered up against the glass looking in his brain.
[00:02:04.000 --> 00:02:07.000]   No stream unless you were in Berlin or China.
[00:02:07.000 --> 00:02:10.000]   But hey, what can you do, right?
[00:02:10.000 --> 00:02:12.000]   Also, Chris Breen is here.
[00:02:12.000 --> 00:02:14.000]   Thank you. The MacDaddy from MacWorld.com.
[00:02:14.000 --> 00:02:16.000]   I guess Jason was there, right?
[00:02:16.000 --> 00:02:17.000]   Jason Snow?
[00:02:17.000 --> 00:02:19.000]   Jason and Dan Morin and Lex Friedman were there.
[00:02:19.000 --> 00:02:20.000]   The three people in the room?
[00:02:20.000 --> 00:02:21.000]   Yeah.
[00:02:21.000 --> 00:02:22.000]   Greedy.
