
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[00:00:06.000 --> 00:00:08.820]   We'll take a look at that problems people are having with iOS
[00:00:08.820 --> 00:00:15.120]   7 while Larry Lessig is up in arms and the Apple earnings call it's all coming up next
[00:00:15.120 --> 00:00:18.320]   I'm back break with
[00:00:18.320 --> 00:00:23.160]   Netcast you love from people you trust
[00:00:26.920 --> 00:00:33.400]   This is Troy bandwidth for Mac break weekly is provided by cash fly at
[00:00:33.400 --> 00:00:36.600]   CACHLY.com
[00:00:36.600 --> 00:00:42.760]   This is Mac break weekly episode
[00:00:42.760 --> 00:00:49.520]   374 recorded October 29th 2013 the circle of commercial life
[00:00:51.640 --> 00:00:59.080]   Mac break weekly is brought to you by Squarespace the all-in-one platform that makes it fast and easy to create your own professional website
[00:00:59.080 --> 00:01:06.720]   Portfolio or online store for a free trial in 10% off go to squarespace.com and use our offer code Mac break 10
[00:01:06.720 --> 00:01:14.440]   And by the new PDF pens scan plus from smile the scanning and OCR app for your iPhone or iPad
[00:01:14.440 --> 00:01:20.160]   Now you can go paperless wherever you are by turning your receipts and contracts into searchable PDFs
[00:01:20.160 --> 00:01:27.640]   It's the power of your office in your pocket learn more at smile software.com slash Mac break and by
[00:01:27.640 --> 00:01:32.400]   Shutterstock.com with over 28 million high quality stock photos
[00:01:32.400 --> 00:01:35.120]   illustrations vectors and video clips
[00:01:35.120 --> 00:01:45.320]   Shutter stock helps you take your creative projects to the next level for 25% off your new account visit shutterstock.com and use the offer code Mac break 1013
[00:01:46.160 --> 00:01:49.900]   Time for Mac break weekly the show that covers Apple's announcements
[00:01:49.900 --> 00:01:57.720]   obsessively all year round joining me right now Andy and I come from the Chicago Sun times a
[00:01:57.720 --> 00:02:02.360]   Baston Red Sox fan he bleeds red wait a minute that makes
[00:02:02.360 --> 00:02:08.920]   I guess only only under when the Red Cross technician is a trainee usually when they put the needle in for my donations
[00:02:08.920 --> 00:02:11.840]   It's very very there's very little what don't worry about that
[00:02:12.560 --> 00:02:17.720]   Hey Andrew congratulations on the bow socks one more one game away. They're going home
[00:02:17.720 --> 00:02:22.800]   My contribution was negligible at best. However, I'm glad to do whatever I could have done
[00:02:22.800 --> 00:02:27.120]   It's not funny about team sports Renee Richie's also here from imore.com hi Renee
[00:02:27.120 --> 00:02:31.600]   Hi, we have no best no baseball left in Montreal. I know it's over. Yep
[00:02:31.600 --> 00:02:38.280]   But it is funny how one feels often as a fan that one in some way influences the result I
[00:02:39.640 --> 00:02:45.360]   Guess it does in certain football stadiums like Seattle where it's so noisy
[00:02:45.360 --> 00:02:48.360]   Actually here anything
[00:02:48.360 --> 00:02:54.760]   See that that was my that was my reaction last night that after being really happy that the socks won and so now game six and seven
[00:02:54.760 --> 00:03:00.960]   Are deaf are gonna be in that Fenway there? It's always there's I'm a fan of baseball in general not just the socks
[00:03:00.960 --> 00:03:05.800]   And I just have to think about oh the Cardinals are gonna have a really special experience
[00:03:06.720 --> 00:03:13.200]   Trying to take the world series away from the red Sox in Fenway Park, which is already the most intimate of
[00:03:13.200 --> 00:03:18.640]   Ball stadium in the in the in the entire major leagues. I mean if you've ever been there
[00:03:18.640 --> 00:03:24.080]   It's like every seat that's if you've been there and any other like any other park that's been built in 20 years
[00:03:24.080 --> 00:03:27.880]   You feel like you're at like the sandlot where everybody is like 10 feet away
[00:03:27.880 --> 00:03:33.000]   So if they if someone is giving an opposing picture the finger that picture knows exactly what
[00:03:35.040 --> 00:03:38.840]   Possible for a player's feelings to get hurt that players feelings are gonna get hurt
[00:03:38.840 --> 00:03:42.840]   So I hope that I hope that whatever I don't know how long the bus ride is from Cincinnati
[00:03:42.840 --> 00:03:46.880]   Excuse me from I'm sorry from St. Louis the Boston
[00:03:46.880 --> 00:03:53.040]   But I hope they spend that bus ride just toughening these players up and realizing that hurtful hurtful things are going to be said
[00:03:53.040 --> 00:03:58.680]   That's the thing I love about Fenway and Riggly is that you can actually sit
[00:03:58.680 --> 00:04:01.320]   Literally three feet from the on deck circle
[00:04:01.720 --> 00:04:07.640]   You can you could you could reach out and touch the on deck batter and that's the those are the only tool fields still to do that obviously
[00:04:07.640 --> 00:04:12.120]   But we're not here to talk baseball much as I'd like to
[00:04:12.120 --> 00:04:16.040]   Let us hockey time. Let's talk hockey
[00:04:16.040 --> 00:04:20.040]   Let us let us talk Apple
[00:04:20.040 --> 00:04:27.800]   Lots of stuff to talk about I don't even know where to begin. We're of course one week out from the Apple iPad announcements
[00:04:27.960 --> 00:04:33.080]   The MacBook Pro with retina here we go the new I guess there was only one thing I could buy so I bought it
[00:04:33.080 --> 00:04:35.760]   The new MacBook Pro with retina
[00:04:35.760 --> 00:04:37.920]   Let's start with that because people in the chat room
[00:04:37.920 --> 00:04:46.120]   Keep for people somebody in the chat and keeps going in and saying why don't you ever talk about the image retention issue with the MacBook retina?
[00:04:46.120 --> 00:04:48.920]   Some days it's all we can think about
[00:04:48.920 --> 00:04:51.320]   Where would we stop?
[00:04:51.320 --> 00:04:56.680]   Honestly chat room that would be the entire 90 minutes and we'd still be all angry and worked up and then it'd be time for the next show
[00:04:57.640 --> 00:05:01.920]   I don't know because I don't write with you on this. I don't have it. Is there an image? I have yeah, okay?
[00:05:01.920 --> 00:05:07.960]   What is it? I have it so badly that sometimes I think Gruber is trolling me by making daring fireball transparent. Oh, that's bad
[00:05:07.960 --> 00:05:14.040]   So what it is is I believe it's the LG and not the Samsung displays you can get two different displays in a MacBook
[00:05:14.040 --> 00:05:17.080]   And I don't even think the genius is know which part is coming in when they order it
[00:05:17.080 --> 00:05:19.480]   I and on I believe it was the LG display
[00:05:19.480 --> 00:05:23.000]   It will it will the image will linger bright areas will linger
[00:05:23.000 --> 00:05:28.920]   So if you go to someplace that has daring fireball gray is the best example on it you will see the burn-in from
[00:05:28.920 --> 00:05:35.320]   Whatever you had on the screen for a long period of time before that it doesn't last forever and some people it drives crazy
[00:05:35.320 --> 00:05:38.680]   It hasn't bothered me enough that I've taken it to the genius bar yet
[00:05:38.680 --> 00:05:44.120]   But I absolutely will do and they run a little test and if they can verify it or just take your word for it
[00:05:44.120 --> 00:05:50.040]   They'll swap out the display and you can play, you know, uh screen lottery with them. Yeah, because you you don't you still can't say I want
[00:05:50.840 --> 00:05:55.800]   An LG or I don't want an LG display. So where would I find first of all is there somewhere in the about this?
[00:05:55.800 --> 00:06:01.000]   Back in tasha. I can find what display part I have don't think so and it's not all of the lg's
[00:06:01.000 --> 00:06:05.800]   Just a few like the lg's are susceptible to it where the Samsung I don't think are and I might be getting the names mixed up
[00:06:05.800 --> 00:06:09.160]   So I apologize to both kangrian korean conglomerates if I am mixing about
[00:06:09.160 --> 00:06:13.800]   But yeah, it's just one of those things where it's almost like a lottery and you get a bad one
[00:06:13.800 --> 00:06:16.680]   You can take it back until you get one that that really works
[00:06:16.920 --> 00:06:22.840]   I will be they fixed it with the second generation the the good news is apple at least acknowledges it and replaces it
[00:06:22.840 --> 00:06:24.680]   um
[00:06:24.680 --> 00:06:29.160]   The bad news is that that happened at all because it happened last time didn't it we had the same exact issue
[00:06:29.160 --> 00:06:33.960]   Oh, I haven't heard about it happening with the second generations yet. I haven't at least not in any large
[00:06:33.960 --> 00:06:39.800]   Well, people are complaining about it. So you're saying the new the 2013 the fall 2013s do not have this problem
[00:06:39.800 --> 00:06:45.640]   I haven't seen it. They might well, but I have not seen it yet and I thought that they'd fixed it towards the latter end of the 2012 cycle
[00:06:46.680 --> 00:06:51.000]   Okay, so it's also important to note that as with any new apple product
[00:06:51.000 --> 00:06:56.280]   Don't even hesitate if you've got any sort of an issue with it take it right back to the apple store
[00:06:56.280 --> 00:07:01.240]   Not only because they have their usual where we're we're awesome policy about making you happy
[00:07:01.240 --> 00:07:04.280]   But also again, whether it's a phone a tablet a notebook, whatever
[00:07:04.280 --> 00:07:12.280]   Cupertino issues a hunting license for the geniuses saying we're looking for we're looking please capture at least three devices that have been dropped
[00:07:12.280 --> 00:07:15.480]   Please capture one device that's been exposed to water. Please capture
[00:07:16.280 --> 00:07:18.040]   Right. There's a lot. I've seen these lists
[00:07:18.040 --> 00:07:21.560]   It's a long laundry list of specific issues in which they won't even hesitate
[00:07:21.560 --> 00:07:25.800]   They will put that into a big plastic coffin ship it back to Cupertino and swap you out a new one
[00:07:25.800 --> 00:07:28.040]   That's not an official policy mind you
[00:07:28.040 --> 00:07:33.400]   But within the first two or three weeks of a new product card that it should at least encourage you to
[00:07:33.400 --> 00:07:37.080]   Why don't you go? Don't just wait to see if this gets better
[00:07:37.080 --> 00:07:40.120]   Maybe you should take it back right today because that's very very possible
[00:07:40.120 --> 00:07:43.960]   That will do things that they're not required to do under warranty that are to your benefit
[00:07:43.960 --> 00:07:46.200]   um
[00:07:46.200 --> 00:07:48.200]   So
[00:07:48.200 --> 00:07:53.720]   Marko, uh, r-man at marko.org has an article, uh, retina macbook pro iR test
[00:07:53.720 --> 00:08:01.320]   Image retention test that he says you can test this but he also says I don't think this can cause permanent damage
[00:08:01.320 --> 00:08:03.080]   But I can't be sure
[00:08:03.080 --> 00:08:05.560]   So don't hold me responsible for this
[00:08:05.560 --> 00:08:09.720]   So what you do is make the windows large as possible display the grid for 10 minutes
