
[00:00:00.000 --> 00:00:02.900]   Time for Mac Break Weekly and the end of the day are here.
[00:00:02.900 --> 00:00:05.600]   We are going to talk about the Big Apple event coming Thursday.
[00:00:05.600 --> 00:00:07.800]   What does it mean it's been way too long?
[00:00:07.800 --> 00:00:08.700]   Is it a new Mac?
[00:00:08.700 --> 00:00:09.800]   Is it a new Apple TV?
[00:00:09.800 --> 00:00:11.200]   We'll debate the options.
[00:00:11.200 --> 00:00:15.100]   We'll also talk about Johnny Ives' revelation that he's peeved
[00:00:15.100 --> 00:00:17.600]   and people stealing his designs and a whole lot more.
[00:00:17.600 --> 00:00:18.000]   Stay tuned.
[00:00:18.000 --> 00:00:20.000]   Mac Break Weekly is next.
[00:00:20.000 --> 00:00:22.500]   [MUSIC PLAYING]
[00:00:22.500 --> 00:00:24.500]   Netcasts you love.
[00:00:24.500 --> 00:00:26.500]   From people you trust.
[00:00:26.500 --> 00:00:29.500]   [MUSIC PLAYING]
[00:00:30.000 --> 00:00:32.500]   This is Troy.
[00:00:32.500 --> 00:00:40.000]   Bandwidth for Mac Break Weekly is provided by cashfly at CACHEFLY.com.
[00:00:40.000 --> 00:00:44.000]   [MUSIC PLAYING]
[00:00:44.000 --> 00:00:50.400]   This is Mac Break Weekly, episode 424, recorded October 14, 2014.
[00:00:50.400 --> 00:00:52.800]   It's all about the Macs.
[00:00:52.800 --> 00:00:56.000]   Mac Break Weekly is brought to you by Audible.com.
[00:00:56.000 --> 00:00:58.300]   To download the free audiobook of your choice,
[00:00:58.300 --> 00:01:01.400]   go to audible.com/macbreak
[00:01:01.400 --> 00:01:03.500]   and buy Squarespace.
[00:01:03.500 --> 00:01:06.400]   The all-in-one platform makes it fast and easy
[00:01:06.400 --> 00:01:09.500]   to create your own professional website or online portfolio.
[00:01:09.500 --> 00:01:12.300]   For a free two-week trial and 10% off,
[00:01:12.300 --> 00:01:16.600]   go to squarespace.com and use the offer code Macbreak
[00:01:16.600 --> 00:01:19.000]   and buy Naturebox.
[00:01:19.000 --> 00:01:22.700]   Naturebox ships great tasting wholesome snacks right to your door.
[00:01:22.700 --> 00:01:24.300]   Forget the vending machine.
[00:01:24.300 --> 00:01:27.400]   Start snacking smarter with wholesome delicious treats
