
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[00:00:05.160 --> 00:00:10.520]   And you know what there's some good Apple news a new version of iOS 9.3 beta 1
[00:00:10.520 --> 00:00:17.880]   Just broke as long as well as new versions of iOS for Apple TV and watch OS 2.2
[00:00:17.880 --> 00:00:25.480]   Talk about that and what it means for rumors about new Macs in March a whole lot more all coming up next
[00:00:25.480 --> 00:00:27.480]   On that break weekly
[00:00:27.480 --> 00:00:33.180]   Netcast you love from people you trust
[00:00:33.180 --> 00:00:46.800]   This is Twitter bandwidth for Mac break weekly is provided by cash fly at CAC HE FLY calm
[00:00:50.880 --> 00:00:56.720]   This is back break weekly episode 489 recorded Tuesday January 12th
[00:00:56.720 --> 00:01:00.100]   2016 blowing down your snorkel
[00:01:00.100 --> 00:01:05.760]   Mac break weekly is brought to you by fresh books the super simple cloud accounting software
[00:01:05.760 --> 00:01:11.720]   It's giving thousands of freelancers and small businesses the tools to save time billing and get paid faster
[00:01:11.720 --> 00:01:20.080]   Try it free at fresh books comm slash Mac break and by Harry's stop over paying for a great shave
[00:01:20.080 --> 00:01:28.240]   It start the new year off right go to Harry's calm get $5 off your first purchase by entering the code Mac break when you check out
[00:01:28.240 --> 00:01:30.000]   and by
[00:01:30.000 --> 00:01:38.480]   Gazelle the online marketplace for buying and selling used gadgets shop from a variety of certified pre-owned electronics or trade one in for cash
[00:01:38.480 --> 00:01:42.680]   Give new life to a used device at Gazelle calm today
[00:01:42.680 --> 00:01:49.280]   It's time for Mac break weekly the show where we cover the latest Apple news with the team assembled
[00:01:49.840 --> 00:01:52.640]   Apple Mac break weekly team assemble
[00:01:52.640 --> 00:01:54.800]   low and behold
[00:01:54.800 --> 00:01:58.020]   Andy and I'll show some Chicago Sun times hello Andrew
[00:01:58.020 --> 00:02:03.520]   answering nature's call or not well wait a minute. That's no
[00:02:03.520 --> 00:02:07.440]   It's gonna be one of those shows have we started yet?
[00:02:07.440 --> 00:02:13.760]   Also here Renee Ritchie from i'm war.com
[00:02:13.760 --> 00:02:18.800]   Hey Leo. Hey nice haircut. Thank you very much. I clean myself up a little bit
[00:02:18.800 --> 00:02:26.800]   Yeah, cleaned up looks good and all the way from Washington DC mr. Alex Lindsey of the pixel core fame. Hello Alex
[00:02:26.800 --> 00:02:32.320]   Hello. Hello. Good to see you. I have not cleaned up. I'm gonna head on no, but you look at that kind of like you look
[00:02:32.320 --> 00:02:37.840]   Are you in the Charlie Rose studio? I'm not I'm not I'm in a server room. I think
[00:02:37.840 --> 00:02:45.520]   It's got a bunch of old drives in the back, you know, it's very classy. So uh, it was the quietest place I could find
[00:02:46.480 --> 00:02:48.480]   I was reading uh
[00:02:48.480 --> 00:02:53.600]   Interview with tesla who said it's just an open-seek with tesla his name is elan musk
[00:02:53.600 --> 00:03:00.720]   I just call him nica like tesla. He said it's a manifestly obvious that apple's doing an electric car, but who cares? It's good for the uh business
[00:03:00.720 --> 00:03:07.760]   Yep, so now we know apple's doing an electric car wasn't enough for the wall street journal elan musk has confirmed it
[00:03:07.760 --> 00:03:11.200]   Possibly because of the brain drain over there
[00:03:11.200 --> 00:03:14.880]   Uh, said the higher is made it obvious to people
[00:03:15.360 --> 00:03:19.280]   You can't hire a thousand engineers in silicon valley with that everybody knowing what you're up to
[00:03:19.280 --> 00:03:24.560]   Yes, that's probably the case. I think almost anywhere you start hiring a thousand of the same thing people go well
[00:03:24.560 --> 00:03:26.560]   Yeah, not a hobby anymore
[00:03:26.560 --> 00:03:28.240]   and
[00:03:28.240 --> 00:03:30.640]   Was there any uh before we go on to other
[00:03:30.640 --> 00:03:33.600]   Stories was there anything in ces?
[00:03:33.600 --> 00:03:37.120]   apple related that's worth talking about no none of you went to
[00:03:37.120 --> 00:03:43.840]   Vegas over the weekend over the week. No, I thought it was interesting that that I guess vw wanted to show carplay wireless
[00:03:44.480 --> 00:03:48.880]   And the news is apple told them not to or ask them not to show it
[00:03:48.880 --> 00:03:56.800]   Trust and it's it's unclear exactly why I think some of the speculation is is that apple wants to show it in a more robust form later in the year
[00:03:56.800 --> 00:04:04.320]   Um, but it was interesting that they that's what vw said is that they were asked by the the vendor not to make some
[00:04:04.320 --> 00:04:08.640]   Ford announced that they would support both android auto and carplay
[00:04:08.640 --> 00:04:10.480]   um
[00:04:10.480 --> 00:04:15.120]   So and that's starting well, it's interesting because that's starting in 2017
[00:04:15.120 --> 00:04:17.920]   So that means this fall when the 2017 models become available
[00:04:17.920 --> 00:04:20.560]   But some 2016 models will be upgradable
[00:04:20.560 --> 00:04:25.680]   And software so if you have sync three on a four that you buy this year
