
[00:00:00.000 --> 00:00:03.620]   It's time for Mac break weekly Rene Richie and Andy and not go over here
[00:00:03.620 --> 00:00:08.320]   We have lots to talk about of course we're gonna continue talking about rumors about the new iPhone
[00:00:08.320 --> 00:00:15.160]   We're only weeks away from an Apple announcement. We think also a hacker has announced he's been able to crack the
[00:00:15.160 --> 00:00:21.760]   encryption of the secure enclave processor in iOS. What does that mean?
[00:00:21.760 --> 00:00:25.160]   I'll find out next on Mac break weekly
[00:00:28.520 --> 00:00:31.720]   Netcast you love from people you trust
[00:00:31.720 --> 00:00:44.460]   This is tweet bandwidth for Mac break weekly is provided by cash fly at C A C A G F L Y
[00:00:44.460 --> 00:00:46.460]   .com
[00:00:46.460 --> 00:00:56.520]   This is Mac break weekly episode 572 recorded Tuesday August 22nd 2017
[00:00:57.200 --> 00:00:59.200]   Reverse Polish notation
[00:00:59.200 --> 00:01:06.720]   Mac break weekly is brought to you by tracker a coin size tracking device that pairs with your smartphone and keeps you from
[00:01:06.720 --> 00:01:14.640]   Losing your most valued possessions visit the tracker.com right now and enter the promo code Mac break to save 20% off any order
[00:01:14.640 --> 00:01:23.800]   And by captera captera is a free easy to use software comparison site with over 400 categories of business software to choose from and
[00:01:24.320 --> 00:01:30.520]   thousands of reviews from actual software users like you visit captera.com/macbreak today
[00:01:30.520 --> 00:01:38.440]   and by Gazelle the online marketplace for buying and selling used gadgets shop from a variety of certified pre-owned
[00:01:38.440 --> 00:01:45.240]   electronics or trade one in for cash give new life to a used device at Gazelle.com today
[00:01:45.240 --> 00:01:53.560]   It's time for Mac break weekly the show we cover the latest news from Apple the Mac break weekly team assemble
[00:01:54.360 --> 00:01:56.880]   Mr. Andy and I go from the Chicago Sun times
[00:01:56.880 --> 00:02:01.280]   joining us who eclipse headquarters
[00:02:01.280 --> 00:02:03.200]   in
[00:02:03.200 --> 00:02:04.600]   Massachusetts
