
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[00:00:05.160 --> 00:00:11.200]   The iPhone announcement will kind of plow through some of the rumors see what's true
[00:00:11.200 --> 00:00:18.000]   What's not? We've got a great team for doing that Renee Richie Alex Lindsey and Annie and Akkor here Mac break weekly is next
[00:00:18.000 --> 00:00:24.800]   Netcast you love from people you trust
[00:00:28.560 --> 00:00:35.120]   This is Twitter bandwidth for Mac break weekly is provided by cash fly at
[00:00:35.120 --> 00:00:38.320]   CACHLY.com
[00:00:38.320 --> 00:00:44.760]   This is Mac break weekly episode
[00:00:44.760 --> 00:00:47.640]   573 recorded Tuesday August 29th
[00:00:47.640 --> 00:00:51.160]   2017 a savage flick
[00:00:51.160 --> 00:00:57.600]   Mac break weekly is brought to you by rocket mortgage by quick and loans home plays a big role in your life
[00:00:57.600 --> 00:00:59.960]   That's why quick and loans created rocket mortgage
[00:00:59.960 --> 00:01:05.000]   It lets you apply simply and understand the entire mortgage process fully so you can be confident
[00:01:05.000 --> 00:01:10.160]   You're getting the right mortgage for you get started at rocket mortgage calm slash Mac break
[00:01:10.160 --> 00:01:19.340]   And by Casper an online retailer of premium mattresses for a fraction of the price because everyone deserves a good night's sleep
[00:01:19.340 --> 00:01:27.040]   Get $50 off any mattress purchased by visiting casper calm slash Mac break and enter the promo code Mac break
[00:01:27.920 --> 00:01:32.400]   And by zip recruiter are you looking to hire a tech professional with zipper cruder?
[00:01:32.400 --> 00:01:39.600]   You can post to 100 plus job boards including social networks all with a single click screen rate and higher the right candidates fast
[00:01:39.600 --> 00:01:43.760]   Try zipper cruder free at zipper cruder calm slash twit
[00:01:43.760 --> 00:01:50.040]   It's time for Mac break weekly the show we cover the latest news from the Apple verse
[00:01:50.040 --> 00:01:55.040]   Well versed in Apple he is from i'm more calm Renee Richie
[00:01:56.160 --> 00:01:58.640]   Mr. Pokemon go hello Renee
[00:01:58.640 --> 00:02:02.480]   I'll try to fit in a little bit of the Apple stuff in between the
[00:02:02.480 --> 00:02:06.320]   Everyone's anyway, it's all ar kid in ar core now
[00:02:06.320 --> 00:02:14.320]   So I'm back in business the king of the Northeast diner Andy and not go is also here from the Chicago Sun times wearing his Pixar cap
[00:02:14.320 --> 00:02:18.440]   Yes my occasion when I'm feeling that I need some more nerd cred
[00:02:18.440 --> 00:02:21.280]   I try to wear a hat or something that says oh oh
[00:02:21.720 --> 00:02:26.920]   Oh, sorry, you can't get this you have to know some you have to if you have to be there, you know, I was
[00:02:26.920 --> 00:02:29.720]   No, no, you can't just go there. You got it
[00:02:29.720 --> 00:02:34.760]   You got to have friends or business inside Pixar to go to the company store very nice very nice
[00:02:34.760 --> 00:02:37.800]   and the man who puts
[00:02:37.800 --> 00:02:40.280]   the video
[00:02:40.280 --> 00:02:42.760]   in video toaster mr. Alex Lindsay
[00:02:42.760 --> 00:02:46.280]   the pixe of core
[00:02:46.280 --> 00:02:51.480]   I never actually used a video toaster I tried I tried but i wasn't allowed i didn't we found that i didn't know enough about
[00:02:51.560 --> 00:02:57.320]   computer graphics back then so they forced him to use this funky old program called Photoshop and the rest is history
[00:02:57.320 --> 00:03:02.120]   Yep, the guy the video toaster expert. He's uh, he's uh, he's on the street
[00:03:02.120 --> 00:03:07.960]   But you you have a video tester was taken away in her place with an opal vision and i'm still sad about it opal vision
[00:03:07.960 --> 00:03:10.360]   Opal vision was the australian video toaster
[00:03:10.360 --> 00:03:11.480]   Interesting
[00:03:11.480 --> 00:03:12.280]   Oi
[00:03:12.280 --> 00:03:17.400]   It shows how hard it is to pick a winner winners and losers, isn't it? You just don't know you just don't know
[00:03:17.800 --> 00:03:21.320]   Like if you talk the entire nypd with windows phone. I mean you just don't know
[00:03:21.320 --> 00:03:24.760]   Well, it's uh not official
[00:03:24.760 --> 00:03:27.320]   It would be i thought that story too
[00:03:27.320 --> 00:03:31.400]   So I missed it. What was the reference to say it again? They were replacing all they just
[00:03:31.400 --> 00:03:37.560]   Nypd went with windows phone for their mobile solution and now they're replacing them all with iphones
[00:03:37.560 --> 00:03:39.640]   Oh my god
[00:03:39.640 --> 00:03:42.840]   Are and did not have the extended life that they were hoping for
[00:03:43.800 --> 00:03:50.360]   They uh when they announced this when de Blasio announced they were going all gonna give you 36,000 officers windows phones
[00:03:50.360 --> 00:03:55.400]   They said would you know technology revolution that the way it's changing the way police officers work
[00:03:55.400 --> 00:03:58.120]   They'll have excel on their
[00:03:58.120 --> 00:04:06.120]   Oh lord, that is so depressing millions of dollars down the tubes. I bet you microsoft said, you know all sorts of things make custom apps for you
[00:04:06.120 --> 00:04:09.160]   And now by the way, they're getting iPhones
[00:04:09.960 --> 00:04:13.800]   Yeah, the head of it would just put out a big stirring defense of her argument saying well
[00:04:13.800 --> 00:04:16.520]   We needed windows compatibility and they had the best security
[00:04:16.520 --> 00:04:18.360]   Which I actually don't think was true
[00:04:18.360 --> 00:04:23.240]   But I think they were about as good as the other guys but uh and that there was it was well under cost
[00:04:23.240 --> 00:04:26.760]   But people are still pointing out that well if you have to replace them all it's not really under cost
