
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[00:00:05.480 --> 00:00:11.180]   Yes, and Andy and not go - we're gonna have a lot of fun talking about the new iPhone the new Apple watch
[00:00:11.180 --> 00:00:17.940]   Yes, I'm just catching up now some tips some problems some work around Apple TV - it's all coming up next
[00:00:17.940 --> 00:00:20.520]   break weekly
[00:00:20.520 --> 00:00:25.820]   Netcasts you love from people you trust
[00:00:25.820 --> 00:00:36.180]   This is tweet bandwidth for Mac break weekly is provided by cash fly at
[00:00:36.180 --> 00:00:39.480]   C A C A G F L Y calm
[00:00:39.480 --> 00:00:45.580]   This is Mac break weekly episode
[00:00:45.580 --> 00:00:52.660]   578 recorded Tuesday October 3rd 2017 a wider scale of anger
[00:00:53.660 --> 00:00:57.820]   Mac break weekly is brought to you by video blocks by story blocks
[00:00:57.820 --> 00:01:06.340]   Uncage your creativity get all the stock video you need for only a hundred forty nine dollars a year visit video blocks calm
[00:01:06.340 --> 00:01:15.120]   Slash Mac break save on millions of studio quality clips from video blocks and by wordpress your customers want to find you
[00:01:15.120 --> 00:01:22.180]   So build a wordpress comm website and help them connect with your business get 15% off any new plan purchase at wordpress
[00:01:22.180 --> 00:01:29.460]   Dot-com slash Mac break and by texture access the world's most popular magazines anytime anywhere
[00:01:29.460 --> 00:01:35.380]   Using your smartphone or tablet try it free for 14 days at texture dot-com slash
[00:01:35.380 --> 00:01:41.700]   It's time for Mac break weekly the show we cover the latest news out of the Apple sphere
[00:01:41.700 --> 00:01:47.220]   Renee Richie from i'm wars dot-com is here. I go I went to i'm more soon as I got my new Apple watch
[00:01:47.820 --> 00:01:52.540]   Looking for all the tips and tricks and things I need to know about the new Apple watch
[00:01:52.540 --> 00:01:56.740]   That's the right place to get it. We are you went on to that's where I've been learning
[00:01:56.740 --> 00:01:57.620]   Oh, did you get?
[00:01:57.620 --> 00:02:01.340]   Why did you get the gray or the white the gray ceramic? Yes, so did I yeah?
[00:02:01.340 --> 00:02:04.280]   Yeah, we twins ease and then your boss is gonna steal it right?
[00:02:04.280 --> 00:02:10.860]   I'm still using the fluro elastomer band that came with it. Just I've been testing. Yeah. Yeah, it's time to test bands
[00:02:10.860 --> 00:02:14.340]   Yes, just make sure you know it pairs rightly. I don't any wrong pairings
[00:02:14.340 --> 00:02:19.620]   I have a question for you a second, but first let's introduce the rest of the panel Alex Lindsey is here from the pixel core
[00:02:19.620 --> 00:02:27.220]   Thrilled to have you Alex using a real microphone for a change. I know I figured you know you sound so good easier
[00:02:27.220 --> 00:02:29.220]   It's easier you sound so much better that way
[00:02:29.220 --> 00:02:31.700]   and all the way from
[00:02:31.700 --> 00:02:37.140]   No, England where the weather is starting to turn and drew a not go
[00:02:37.140 --> 00:02:43.740]   Less like we had some frost of the pumpkins. I feel like you're the official photography
[00:02:44.060 --> 00:02:46.860]   official photographer of the Boston public library now I
[00:02:46.860 --> 00:02:54.140]   They should almost give me a free library card there. I shouldn't have to pay $30 every time I visit. Oh really like that
[00:02:54.140 --> 00:02:57.580]   No, no, no, it's and the Boston public library is indeed free. Yeah
[00:02:57.580 --> 00:03:05.020]   I've I had to so the one of the cool things about doing NPR is that they often record one of renovations of the new
[00:03:05.020 --> 00:03:13.340]   We're wing meaning built 45 years ago is that they added they created like an NPR radio studio in there
[00:03:13.740 --> 00:03:16.140]   So I will do so so I did so I did
[00:03:16.140 --> 00:03:23.580]   Did a half hour of talking tech and then was able to take my usual like afternoon long photo walk of the Boston public library and
[00:03:23.580 --> 00:03:26.460]   The public garden shooting squirrels with the new iPhones
[00:03:26.460 --> 00:03:31.180]   Uh, but yeah, I obviously it's the it's it's a two prong thing where
[00:03:31.180 --> 00:03:38.300]   The I've been shabby pictures in this. Oh, that that's video too. By the way. Oh, really? That's still out of the video. Wow. Oh, it's a
[00:03:38.940 --> 00:03:41.980]   video. Oh, look at him. Oh, he's so cute
[00:03:41.980 --> 00:03:44.380]   and
[00:03:44.380 --> 00:03:46.300]   It's there are things that I can only find out
[00:03:46.300 --> 00:03:52.140]   I started off taking pictures of squirrels in the public garden as a joke after I think the it was the iPhone 4 came out
[00:03:52.140 --> 00:03:57.260]   And they had this really incredibly hyper close-up picture of a squirrel as one of the demo pictures
[00:03:57.260 --> 00:03:59.660]   And I felt that well, I can't if I'm gonna test
[00:03:59.660 --> 00:04:05.660]   I'm gonna see if this if I can take as good a picture, but it turns out that that will test fast focusing you'll test handling
[00:04:06.060 --> 00:04:08.940]   Uh, it's test video. I use the slow motion feature
[00:04:08.940 --> 00:04:16.780]   Uh, and I also have 200 frame 240 frame per second video of a similar squirrel also eating
[00:04:16.780 --> 00:04:21.260]   And here's the portrait lighting. Uh, the stage lighting for it
[00:04:21.260 --> 00:04:28.300]   I'm not a big fan. I have to say having now been playing with the iPhone 8 plus since uh, I got back on friday
[00:04:28.300 --> 00:04:33.420]   Not a big fan of these new uh filters the studio. It's super. Yeah, it's probably like an alpha than a beta
[00:04:33.740 --> 00:04:37.820]   Yeah, glad but look how the ear of the squirrels will cut off. It just feels like it's truncated
