
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[00:00:05.480 --> 00:00:12.080]   We'll spend some time talking about the iPhone 10 how to get ready for ordering it some of the features
[00:00:12.080 --> 00:00:16.320]   Hi Sierra is out and even the first supplemental fix
[00:00:16.320 --> 00:00:23.560]   We'll talk about the problems and the fixes and of course iOS 11.1 in the new emojis. There's lots to talk about next
[00:00:23.560 --> 00:00:25.560]   I'm back break quickly
[00:00:28.960 --> 00:00:32.280]   Netcasts you love from people you trust
[00:00:32.280 --> 00:00:45.920]   This is toys bandwidth from Mac break weekly is provided by cash fly at CAC HE FLY.com
[00:00:45.920 --> 00:00:55.680]   This is Mac break weekly episode 579 recorded Tuesday October 10th
[00:00:55.680 --> 00:00:57.800]   2017
[00:00:57.800 --> 00:00:59.800]   Shotten junken
[00:00:59.800 --> 00:01:06.240]   Mac break weekly is brought to you by Jamf now Apple management software for Mac iPad and iPhone devices
[00:01:06.240 --> 00:01:14.560]   Visit Jamf J amf.com/macbreak to create your free Jamf now account and manage your first three devices free
[00:01:14.560 --> 00:01:24.800]   M by IT pro TV a good IT pro is always learning and IT pro TV is the resource to keep you and your IT teams skills up to date
[00:01:25.000 --> 00:01:30.400]   Visit it pro TV slash Mac break and use the code Mac break 30 to get a free
[00:01:30.400 --> 00:01:35.520]   7-day trial and 30% off your monthly membership for the lifetime of your active account
[00:01:35.520 --> 00:01:40.480]   And by fresh books the ridiculously easy to use cloud accounting software
[00:01:40.480 --> 00:01:46.800]   Loved by over 10 million people try it free for 30 days at fresh books calm
[00:01:46.800 --> 00:01:49.320]   slash Mac break
[00:01:50.280 --> 00:01:57.680]   It's time for Mac break weekly the show where you get together and talk about Apple obsessively without end
[00:01:57.680 --> 00:02:01.240]   Renee Richie's here. Thank goodness from imore.com
[00:02:01.240 --> 00:02:08.200]   Hey a little bit of a snow on the roof there and are you is your beard getting wider? What's going on here?
[00:02:08.200 --> 00:02:12.800]   No, it's just I let it grow a little bit and it's punishing me by being incredibly bright
[00:02:12.800 --> 00:02:17.040]   Look at that you're starting out. You're like Kenny Rogers in a minute. Got a no
[00:02:17.040 --> 00:02:19.040]   No
[00:02:19.040 --> 00:02:29.540]   Also Andy and I go here in this copyright violation episode of Mac break from the Chicago Sun times find him online at
[00:02:29.540 --> 00:02:32.160]   CW OB calm hello Andrew
[00:02:32.160 --> 00:02:39.660]   I just gave me an idea to hold the show hostage if you if you don't pay pal $500 into my account in the next five minutes
[00:02:39.660 --> 00:02:41.900]   I'm going to start singing Beatles and Rolling Stones
[00:02:43.360 --> 00:02:47.120]   And not co-buster and I go buster. It's an an echo buster
[00:02:47.120 --> 00:02:55.960]   So October 27th is now 17 days away as we record this that is the day of course we will be able to
[00:02:55.960 --> 00:03:02.800]   Order the iPhone 10 Apple has received FCC approval
[00:03:02.800 --> 00:03:05.800]   goodness
[00:03:05.800 --> 00:03:07.800]   Wouldn't have been embarrassing
[00:03:07.800 --> 00:03:12.000]   Actually, if I guess they don't apply ahead of time because that would be you know
[00:03:12.000 --> 00:03:14.000]   They'd have we'd know all about it
[00:03:14.000 --> 00:03:20.880]   It did in fact say on the iPhone 10 product pages iPhone 10 has not been authorized as required by the rules of the FCC
[00:03:20.880 --> 00:03:26.480]   This device and is not and may not be offered for sale at least or sold at least until authorization has been obtained
[00:03:26.480 --> 00:03:31.120]   John say that you wanted Apple to announce the iPhone and not the FCC yeah. Yeah, yeah takes them a while
[00:03:31.120 --> 00:03:36.320]   so pre-orders are on although if you if you
[00:03:38.600 --> 00:03:42.360]   Listen to the rumors from even from people like who should know like Ming-Ji quote
[00:03:42.360 --> 00:03:46.720]   It sounds like it might be very very difficult to get an iPhone
[00:03:46.720 --> 00:03:53.640]   10 where you'll get one is just no no account of for when Leo. Yeah, November 3rd might be when you'll get yeah
[00:03:53.640 --> 00:03:56.360]   iPhone
[00:03:56.360 --> 00:03:58.960]   8 is of course Apple's answer to that
[00:03:58.960 --> 00:04:03.240]   You can buy an iPhone brand new iPhone right now get the iPhone 8
[00:04:03.240 --> 00:04:07.520]   Quo says the iPhone 8 is in fact selling better
[00:04:08.360 --> 00:04:10.600]   Than expected
[00:04:10.600 --> 00:04:15.800]   But he says the true super cycle. That's when you know the apples results go through the roof
[00:04:15.800 --> 00:04:19.760]   The true super cycle for the iPhone won't actually happen until next year
