
[00:00:00.000 --> 00:00:04.200]   This week on Mac Break Weekly, Leo's away so we get to play.
[00:00:04.200 --> 00:00:08.500]   We get to talk about things like writer repair, the iPhone earnings silly season,
[00:00:08.500 --> 00:00:13.700]   a new iPhone SE potentially, AT&T and Verizon cracking down on e-sims,
[00:00:13.700 --> 00:00:16.800]   and Apple plus Shazam taking on the EU.
[00:00:16.800 --> 00:00:22.000]   Netcast you love.
[00:00:22.000 --> 00:00:24.000]   From people you trust.
[00:00:24.000 --> 00:00:29.400]   This is Twit.
[00:00:30.000 --> 00:00:37.400]   Bandwidth for Mac Break Weekly is provided by cash fly at CACHFLY.com.
[00:00:37.400 --> 00:00:50.200]   This is Mac Break Weekly episode 607 recorded April 24, 2018, the iPad in Andy's pants.
[00:00:50.200 --> 00:00:55.700]   Mac Break Weekly is brought to you by Zip Recruiter.
[00:00:55.700 --> 00:00:59.300]   Hiring Zip Recruiter has revolutionized how you do it.
[00:00:59.300 --> 00:01:02.300]   Their technology identifies people with the right experience,
[00:01:02.300 --> 00:01:05.100]   then invites them to apply to your job.
[00:01:05.100 --> 00:01:06.900]   They find great candidates for you.
[00:01:06.900 --> 00:01:10.800]   Try it free today at ziprecruiter.com/macbreak
[00:01:10.800 --> 00:01:14.400]   And by Rocket Mortgage from Quick and Loans.
[00:01:14.400 --> 00:01:16.100]   Home plays a big role in your life.
[00:01:16.100 --> 00:01:18.900]   That's why Quick and Loans created Rocket Mortgage.
[00:01:18.900 --> 00:01:22.900]   It lets you apply simply and understand the entire mortgage process fully
[00:01:22.900 --> 00:01:26.000]   so you can be confident you're getting the right mortgage for you.
[00:01:26.000 --> 00:01:29.500]   Get started at Rocket Mortgage.com/macbreak
[00:01:29.500 --> 00:01:33.300]   And by Roman, a men's health company
[00:01:33.300 --> 00:01:36.900]   that offers online remote diagnosis for ED
[00:01:36.900 --> 00:01:40.900]   and convenient monthly private delivery of medication.
[00:01:40.900 --> 00:01:45.700]   For $50 off your first month, visit getroman.com/macbreak
[00:01:45.700 --> 00:01:49.800]   It's time for Mac Break Weekly.
[00:01:49.800 --> 00:01:53.300]   Yes, that one time a week where we get to talk about actual Apple news
[00:01:53.300 --> 00:01:55.700]   and you know all the other comic book and Star Wars
[00:01:55.700 --> 00:01:58.300]   and Batman stuff we usually talk about.
[00:01:58.300 --> 00:02:02.000]   Joining me as always, we have The Rock, the Foundation of the show,
[00:02:02.000 --> 00:02:04.300]   Andy Innotko. How are you, Andy?
[00:02:04.300 --> 00:02:06.600]   Very good. But don't disappoint me.
[00:02:06.600 --> 00:02:08.400]   I hope we get to talk about lawsuits as well.
[00:02:08.400 --> 00:02:10.700]   And like it will talk about some patents.
[00:02:10.700 --> 00:02:12.000]   Patents. Patents.
