
[00:00:00.000 --> 00:00:05.800]   It's time for Mac break weekly Andy Renee and Alex are all here and we have a lot to talk about
[00:00:05.800 --> 00:00:14.720]   Including those quarterly results Apple put out right after the show last week one trillion dollars next a Mac break weekly
[00:00:14.720 --> 00:00:21.400]   Netcasts you love from people you trust
[00:00:21.400 --> 00:00:27.200]   This is to it
[00:00:27.800 --> 00:00:39.620]   This is Mac break weekly episode 622 recorded Tuesday August 7th 2018
[00:00:39.620 --> 00:00:41.920]   Vestigial petals
[00:00:41.920 --> 00:00:45.820]   Mac break weekly is brought to you by slide belts high quality
[00:00:45.820 --> 00:00:53.480]   Comfortable ratchet belts that are easy to adjust if you want a better belt go to slide belts calm slash twit and use the code to it for
[00:00:53.480 --> 00:00:56.840]   20% off and by trace Pontus
[00:00:57.320 --> 00:01:04.380]   Premium quality extra virgin olive oil ship directly to you from the Casablanca Valley in Chile visit trace Pontus
[00:01:04.380 --> 00:01:10.600]   Dot com slash Mac break and use the code Mac break to save 20% off every bottle in your subscription
[00:01:10.600 --> 00:01:13.920]   And by rocket mortgage from quick and loans
[00:01:13.920 --> 00:01:17.520]   Introducing rate shield approval if you're in the market to buy a home
[00:01:17.520 --> 00:01:23.080]   Rate shield approval locks up your rate for up to 90 days while you shop. It's a real game changer
[00:01:23.160 --> 00:01:27.520]   Learn more and get started at rocket mortgage comm slash Mac break
[00:01:27.520 --> 00:01:36.200]   It's time for Mac break weekly the show we get together with the top journalists in the Macintosh space and talk about Apple
[00:01:36.200 --> 00:01:42.360]   Renee Richie who is in fact the top journalist in the Macintosh space at i'm more calm. Hello Renee
[00:01:42.360 --> 00:01:49.120]   Aylio, how are you doing doing great as you can see my eGPU has not exploded
[00:01:49.560 --> 00:01:53.360]   No, my i9 Mac book pro is not burst into flame
[00:01:53.360 --> 00:02:00.400]   All's right with the world and your keyboard hasn't failed yet. Well, okay. No attention to this keyboard. Oh
[00:02:00.400 --> 00:02:05.120]   Folger
[00:02:05.120 --> 00:02:10.400]   Now I gotta put it right back isn't that genius no crumbs on this
[00:02:10.400 --> 00:02:13.160]   mm-hmm and
[00:02:13.160 --> 00:02:15.560]   In our codes here. He's actually here with
[00:02:15.560 --> 00:02:18.440]   Alex Lindsey they're together
[00:02:18.720 --> 00:02:22.160]   So this puts the rest all the rumors that you two are the same person
[00:02:22.160 --> 00:02:28.160]   We did a lot of work on that it's actually a cloning technology that we've
[00:02:28.160 --> 00:02:35.120]   You'll know that's either real or fake depending on how smoothly I can pass this object
[00:02:35.120 --> 00:02:40.760]   Wow that almost looked real
[00:02:40.760 --> 00:02:45.960]   Great so what brings you to DC Andrew
[00:02:47.320 --> 00:02:54.840]   I'm seeing a person who's gonna brief me about a thing that I can't talk about and also to see Alex's wonderful new digs
[00:02:54.840 --> 00:02:57.160]   And also I've never been an 8k before
[00:02:57.160 --> 00:03:05.920]   Every frame like at least that we're capturing here is like 30 megapixels. Yes
[00:03:05.920 --> 00:03:08.560]   Unbelievable
[00:03:08.560 --> 00:03:13.120]   This is actually I think the first public stream that we've done with this studio
[00:03:13.120 --> 00:03:17.200]   I think the guys I go to the wide shot here. I'll show you Alex Lindsey
[00:03:17.200 --> 00:03:20.640]   And his new new broadcast studio and Washington
[00:03:20.640 --> 00:03:24.240]   Wow, so we just built we just finished building this and
[00:03:24.240 --> 00:03:29.360]   It's been many months of pain as you know because you built a studio so you know what that means
[00:03:29.360 --> 00:03:35.600]   Yeah, but you got it. That's nice and is this for a project you're working on or you gonna rent this out?
[00:03:35.600 --> 00:03:38.320]   What's the what's we're planning to rent it out planning?
[00:03:38.320 --> 00:03:40.320]   I mean we've got a couple you know
[00:03:40.320 --> 00:03:44.600]   We've got lots of clients here in DC that want to be able to do their broadcast and so we
[00:03:44.600 --> 00:03:47.080]   Podcasts mostly here
[00:03:47.080 --> 00:03:49.360]   No, I think mostly live. I mean but podcasts as well
[00:03:49.360 --> 00:03:51.520]   But I think that we're gonna do a lot of live work
[00:03:51.520 --> 00:03:58.360]   I mean we're connected to all the broadcasters and you know here and sat dishes and everything else so we can really do a
[00:03:58.360 --> 00:04:01.000]   lot
[00:04:01.000 --> 00:04:05.120]   And so that's you know the DC facility was already always kind of
[00:04:05.120 --> 00:04:11.800]   Built to do that and it was kind of the backbone for a lot of our shows and we decided to go ahead and put a studio on the front end
[00:04:11.800 --> 00:04:13.800]   And so so it's it's kind of fun
[00:04:13.800 --> 00:04:20.400]   I thought I thought you're a joke in a Renee. He actually does offer 8k 360 streaming
[00:04:20.400 --> 00:04:25.000]   Of course
[00:04:25.000 --> 00:04:27.000]   16ks not practically yet
[00:04:27.000 --> 00:04:33.720]   It's like if someone in the control control function for that is like the highest resolution picture
[00:04:33.720 --> 00:04:35.720]   I've ever have taken of me Wow
[00:04:35.720 --> 00:04:42.440]   Unbelievable and look at the depth of field on Alex - I know what kind of cameras you
[00:04:42.440 --> 00:04:49.200]   Up there these are black magic miniruses. Oh, I love those. Yeah with 4k glass and so they you know
[00:04:49.200 --> 00:04:51.200]   We one of the things we didn't want to do is have
[00:04:51.200 --> 00:04:54.040]   I mean broadcast is all two-thirds inch by doubling that
[00:04:54.040 --> 00:05:00.680]   That size it shortens it up the field a lot makes the set look bigger and and so the talk about the sensor
[00:05:00.680 --> 00:05:03.880]   I sir. Yeah, the sensor size super 35 sensors
[00:05:03.880 --> 00:05:11.040]   So it's about a little like to 2.2 times bigger than a traditional broadcast sensor so it
[00:05:12.040 --> 00:05:17.320]   We think it looks nice. I'm glad to see you I saw you stuck with a high LPR 40 microphones
[00:05:17.320 --> 00:05:20.920]   Just for you Leo
[00:05:20.920 --> 00:05:26.880]   You break these out for Mac break weekly and then you get the good microphones for the other stuff is that it?
[00:05:26.880 --> 00:05:30.840]   No, no, we we we do that with it's the you could choose
[00:05:30.840 --> 00:05:35.240]   You get to choose for podcasting for podcasting or anything that's going to be audio
[00:05:35.240 --> 00:05:40.800]   Primary, right then we use these and then if we're doing video primary then you end up using labs
[00:05:40.800 --> 00:05:45.000]   You know last thing but we I have had some experience and I know that you hate
[00:05:45.000 --> 00:05:47.600]   Labs, so not crazy about it
[00:05:47.600 --> 00:05:51.400]   But but if you're right if people are focused on the video they don't hear how but you know
[00:05:51.400 --> 00:05:58.080]   I didn't notice it until I was listening to one of the Sunday shows face the nation or meet the press as a podcast and
[00:05:58.080 --> 00:06:01.180]   The audio was terrible and you never noticed it on television
[00:06:01.180 --> 00:06:06.360]   But but as soon as you're hearing the audio only it's echo. It's it's television audio
[00:06:06.560 --> 00:06:11.040]   So yeah, it really is and you just don't you don't think about it because that's the way they all sound right
[00:06:11.040 --> 00:06:15.000]   But it's yeah, but it's so but so we have both options
[00:06:15.000 --> 00:06:21.160]   So well and I wonder if that maybe has changed like infomercials where they fake being a late night out like an interview show
[00:06:21.160 --> 00:06:25.780]   But it's actually promoting pills. Yeah. Yeah, vitamins. Are you guys selling vitamins?
[00:06:25.780 --> 00:06:32.440]   Hey before we go to that great by before we go to the vitamin's ads I
[00:06:33.880 --> 00:06:40.080]   Want to ask Renee Richie if you survived last week as we were signing off last week Apple was announcing
[00:06:40.080 --> 00:06:42.600]   Yet another record quarter
[00:06:42.600 --> 00:06:46.160]   Yeah, I mean so
[00:06:46.160 --> 00:06:49.080]   There every quarter of this doubt Leo and I understand it
[00:06:49.080 --> 00:06:53.600]   It's like being at a table in Vegas and the guy next to you rolls and wins and you're like okay
[00:06:53.600 --> 00:06:56.040]   He won he's probably gonna lose the next time and he wins again and you're like ah
[00:06:56.040 --> 00:07:01.000]   Okay for sure is when he wins and then he wins and then he wins and you're like he's got to lose and every time they win again
[00:07:01.000 --> 00:07:04.160]   You're like it's got to lose it's got to lose is just it's gambler's law
[00:07:04.160 --> 00:07:06.600]   You got to lose and once in a while they've had hiccups
[00:07:06.600 --> 00:07:08.720]   But over but you know repeatedly over and over again
[00:07:08.720 --> 00:07:15.360]   They managed to ride primarily the iPhone the iPhone goldmine into record shattering after record shattering quarters and
[00:07:15.360 --> 00:07:23.360]   It was a tough compare for Mac and iPad because last year Apple released all the new Macs at WwDC and the new iPad pros
[00:07:23.360 --> 00:07:25.520]   WwDC and this year they did not
[00:07:25.520 --> 00:07:30.720]   So there was no compare for those and the numbers but for iPhone it's it's still doing well
[00:07:30.960 --> 00:07:33.500]   And for iPhone it's the best quarter
[00:07:33.500 --> 00:07:39.080]   You know the best results since iPhone though hey day the heady days of iPhone 6
[00:07:39.080 --> 00:07:44.360]   These are the great color graphs that six colors does Jason Snell does
[00:07:44.360 --> 00:07:51.800]   This is year over year revenue change in an iPhone and the that big hump on the left is of course iPhone 6 era
[00:07:51.800 --> 00:07:56.640]   Which is 2015 but 20% growth year over year in iPhone
[00:07:57.120 --> 00:08:02.040]   Revenue this year this quarter that's that's that's you got to attribute that to the iPhone 10
[00:08:02.040 --> 00:08:03.000]   Yeah
[00:08:03.000 --> 00:08:08.600]   Well the iPhone 6 sort of sucked a lot of upgradeers up early because there was a lot of pent up same way like when the iPhone went to Verizon
[00:08:08.600 --> 00:08:10.880]   There was a lot of pent up demand for a bigger iPhone
[00:08:10.880 --> 00:08:17.480]   So people rushed to get it and that cost them upgrades and cost themselves later on yet to pay those are paid forward essentially
[00:08:17.480 --> 00:08:21.980]   And now with iPhone 10 their asp it's not so much that people are buying more of them
[00:08:21.980 --> 00:08:26.480]   But Apple increased the price and didn't lose enough customers to lose money
[00:08:26.480 --> 00:08:30.060]   They actually made money so you know that's that's sort of what you want to do in business
