
[00:00:00.000 --> 00:00:06.660]   It's time for Mac break weekly and he Renee and Alex Lindsay are here and we have I think
[00:00:06.660 --> 00:00:12.560]   probably nailed down all the details of Apple's next announcement including a
[00:00:12.560 --> 00:00:17.580]   Really big story from Mark Gurman at Bloomberg about Macintosh computers
[00:00:17.580 --> 00:00:25.060]   We'll also talk about problems with the new Mac books and why you shouldn't worry if you're if you're Apple Watch
[00:00:25.060 --> 00:00:27.460]   Delaminates, it's all coming up next
[00:00:27.460 --> 00:00:35.300]   You love from people you trust
[00:00:35.300 --> 00:00:41.020]   This is Twitter
[00:00:41.020 --> 00:00:47.940]   This is Mac break weekly episode
[00:00:47.940 --> 00:00:54.180]   624 recorded Tuesday August 21st 2018 cake time is over
[00:00:55.060 --> 00:00:58.780]   Mac break weekly is brought to you by rocket mortgage from quick and loans
[00:00:58.780 --> 00:01:02.500]   Introducing rate shield approval if you're in the market to buy a home
[00:01:02.500 --> 00:01:07.820]   Rate shield approval locks up your rate for up to 90 days while you shop. It's a real game changer
[00:01:07.820 --> 00:01:14.300]   Learn more and get started at rocket mortgage comm slash Mac break and by Casper a
[00:01:14.300 --> 00:01:20.660]   Sleep brand that continues to revolutionize its line of products to create an exceptionally comfortable sleep experience
[00:01:21.060 --> 00:01:26.740]   One night at a time you can say $50 towards select mattresses by visiting Casper.com
[00:01:26.740 --> 00:01:30.340]   Slash Mac break and using the promo code Mac break at checkout
[00:01:30.340 --> 00:01:32.180]   and by
[00:01:32.180 --> 00:01:35.780]   Last pass secure every password protected entry point to your business
[00:01:35.780 --> 00:01:41.620]   Join over 33,000 businesses and start managing and securing your company's passwords today
[00:01:41.620 --> 00:01:45.740]   Learn more at last pass comm slash twit
[00:01:46.940 --> 00:01:51.980]   It's time for Mac break weekly the show where you get together with the Mac minds the make making the Mac minds
[00:01:51.980 --> 00:01:56.060]   To talk about Mac news and there's Mac many news. It's so exciting
[00:01:56.060 --> 00:02:03.420]   Renee Richie is here from imore.com and the vector podcast hello Renee jazz hands Leo
[00:02:03.420 --> 00:02:11.700]   Also here Alex Lindsey. He's probably the most excited for pixel core calm big smile big smile
[00:02:13.060 --> 00:02:19.740]   And Andy and not go from a not code.com and wgb h public radio in Boston also smiling
[00:02:19.740 --> 00:02:25.860]   You're gonna smile even wider when I read you we'll get to the Mac news and and there is some in just a bit
[00:02:25.860 --> 00:02:28.860]   But I'm gonna you're gonna be even happier when I read you this
[00:02:28.860 --> 00:02:34.260]   mail from Gary Palmer IT director at forbidden planet calm on
[00:02:34.260 --> 00:02:42.060]   Episode 622 Andy mentioned the fantastic for comics is a great jump-off issue for all comic fans
[00:02:42.140 --> 00:02:48.940]   You joked about if you had a signed copy by Dan slot, so I've sent you all a signed copy by Dan slot
[00:02:48.940 --> 00:02:55.780]   So I have one for you. I have one for you. I have one for you, and I have one for me
[00:02:55.780 --> 00:02:58.540]   So
[00:02:58.540 --> 00:03:00.700]   Gary we really appreciate those
[00:03:00.700 --> 00:03:05.140]   We'll get this in the mail to you Renee. I know you'll be very excited to get that
[00:03:05.140 --> 00:03:08.500]   Dan Dan is Dan is awesome. I interviewed him or
[00:03:08.500 --> 00:03:11.420]   after talking a while with him
[00:03:11.820 --> 00:03:17.300]   And he's he is exactly the sort of person you want riding high for high profile comics
[00:03:17.300 --> 00:03:20.380]   This is sometimes sometimes you have writers who are like
[00:03:20.380 --> 00:03:26.220]   Clearly I want to be I want to be tapped to write screenplays for somebody at some point with a notice
[00:03:26.220 --> 00:03:28.740]   I get from comics and then you get some writers who are like nope
[00:03:28.740 --> 00:03:31.620]   I love comics all the stories I come up with our comic stories
