
[00:00:00.000 --> 00:00:05.060]   It's time for Mac break weekly Andy Renee and Alex are all here
[00:00:05.060 --> 00:00:11.200]   We're gonna talk about the latest Apple news is Apple really slowing down iPhone production or is just just business as usual
[00:00:11.200 --> 00:00:18.080]   Renee makes an apology for his iPad review and we'll visit the Apple holiday ad
[00:00:18.080 --> 00:00:21.520]   It's a great one this year and it's coming up next on Mac break weekly
[00:00:21.520 --> 00:00:28.360]   Netcasts you love from people you trust
[00:00:28.680 --> 00:00:32.840]   This is
[00:00:32.840 --> 00:00:45.720]   This is Mac break weekly episode 637 recorded Tuesday November 20th 2018 an attractive nuisance
[00:00:45.720 --> 00:00:50.160]   Mac break weekly is brought to you by rocket mortgage from quick and loans
[00:00:50.160 --> 00:00:57.680]   Introducing rate shield approval if you're in the market to buy a home rate shield approval locks up your rate for up to 90 days while you shop
[00:00:57.680 --> 00:01:05.320]   It's a real game changer learn more and get started at rocket mortgage comm slash Mac break and by gazelle
[00:01:05.320 --> 00:01:12.880]   The online marketplace for buying and selling used devices shop from a variety of certified pre-owned electronics or trade one in for cash
[00:01:12.880 --> 00:01:18.520]   Give new life to a used device visit gazelle.com today and by
[00:01:18.520 --> 00:01:24.720]   Fresh books the ridiculously easy to use cloud accounting software helping small business owners thrive
[00:01:24.920 --> 00:01:27.960]   Try it free for 30 days at fresh books.com
[00:01:27.960 --> 00:01:30.520]   slash Mac break
[00:01:30.520 --> 00:01:38.400]   It's time for Mac break weekly to show we cover the world of Apple from the perspective of three fine
[00:01:38.400 --> 00:01:42.520]   Apple journalists starting with of course from i'm more calm Renee
[00:01:42.520 --> 00:01:45.640]   Hello Renee
[00:01:45.640 --> 00:01:47.640]   I Leo let's get to see you again snowing
[00:01:47.640 --> 00:01:50.360]   It is it is snowing right now
[00:01:50.360 --> 00:01:54.760]   And I just want to say before we start tremendous episode of twit on Sunday you guys just
[00:01:54.760 --> 00:01:57.640]   Georgia and
[00:01:57.640 --> 00:01:59.880]   Georgia down Brianna woo
[00:01:59.880 --> 00:02:06.600]   Yeah, two of my my favorite people and then such a compelling debate though. There was some other guy in there
[00:02:06.600 --> 00:02:12.760]   I don't remember from cbs somebody from cbs. It was really it was a lot of fun. Yeah, we had a good time
[00:02:12.760 --> 00:02:17.800]   It was awesome. Well, thank you and yeah, I thought it we ended up not talking about tech news all that much
[00:02:19.080 --> 00:02:22.120]   Although Facebook is arguably the biggest tech story of the year. Yeah
[00:02:22.120 --> 00:02:29.880]   Yeah, we certainly talked about them quite a bit Andy and I goes here from WGBH in Boston and not go.com. Hello and not go
[00:02:29.880 --> 00:02:35.560]   Hello, hello. Have you are you spat shocking brining or defrosting it right?
[00:02:35.560 --> 00:02:39.640]   Oh, you're doing one of those three things one of those three and don't forget sous vide
[00:02:39.640 --> 00:02:47.000]   I'll tell you about that in a second, but first Alex Lindsey's also here from the pixel core. Hello. What up
[00:02:47.000 --> 00:02:53.160]   He's our he's mr. Suvi deep fat fry spatchcock guy. I do like to sous vide sous vide
[00:02:53.160 --> 00:02:57.320]   I'm not even making a turkey this year. I'm not making a turkey either
[00:02:57.320 --> 00:03:01.160]   I'm eating a turkey, but my mother-in-law's me. I know one in my house. We eating turkey
[00:03:01.160 --> 00:03:04.600]   I spent all day literally from noon to seven yesterday
[00:03:04.600 --> 00:03:10.520]   Making to lasagna's I made a red and a green pestle lasagna and bolognese
[00:03:11.240 --> 00:03:16.600]   But that's the side dish for the giant 15 pound ham that I will be brining
[00:03:16.600 --> 00:03:21.000]   in apple cider cinnamon and cloves
[00:03:21.000 --> 00:03:26.120]   And then baking because it's not a fully cooked ham's not one of them spiral sliced
[00:03:26.120 --> 00:03:28.520]   It's a it's a corn cob smoked ham
[00:03:28.520 --> 00:03:35.080]   And i'll be brining that and then uh getting up at four in the morning on Thanksgiving day to put that in the oven for eight hours
[00:03:35.080 --> 00:03:40.120]   So hungry right now that will be glazed with the apple cider brown sugar glaze
[00:03:40.120 --> 00:03:44.040]   I had a couple failures on you know with turkeys and so i'm not allowed to do the turkey
[00:03:44.040 --> 00:03:49.080]   Said do you ever deep fat fry turkeys? I said no I leave that to Alex you can burn the house down with it
[00:03:49.080 --> 00:03:52.360]   We need to do it outside. I believe Alex. He's a flamethrower though
[00:03:52.360 --> 00:03:57.720]   No, no just the I actually built a turkey derrick just like the all brown one that
[00:03:57.720 --> 00:04:01.720]   Except for the light on the top was identical to the old brown horse you did
[00:04:01.720 --> 00:04:05.560]   Down down dive dive
[00:04:05.560 --> 00:04:08.600]   Do you have a claxon when it comes up
[00:04:08.600 --> 00:04:10.600]   Got
[00:04:10.600 --> 00:04:15.720]   I don't know if the neighbors would appreciate that Alex shall slotted enough when the flames reaches pants so
[00:04:15.720 --> 00:04:23.240]   He's going Leo stop Leo no more ideas no more anything and then uh, let's see i'll be making a sweet potato pie
[00:04:23.240 --> 00:04:30.040]   I'll be making uh, i'm gonna do cornbread stick because there's nothing to no hole in a bird to stuff stuff into so i have to make the
[00:04:30.040 --> 00:04:34.440]   Dressing on the side i'm gonna make cornbread and sausage sounds good stuffing
[00:04:34.440 --> 00:04:38.760]   I'm making the cornbread from scratch everything's from scratch the noodles for the lasagna everything's from scratch the
[00:04:38.760 --> 00:04:41.720]   Uh, even the pesto i thought it was coming to you
[00:04:41.720 --> 00:04:46.120]   I know I thought I couldn't make pesto at this time of year, but I forgot we live in california
[00:04:46.120 --> 00:04:51.400]   Where everything is green and I was able to get some nice basil beautiful basil
[00:04:51.400 --> 00:04:55.640]   And I made a nice pesto so I had a lot of fun yesterday. It was a
[00:04:55.640 --> 00:05:00.600]   Big cooking day and then I guess really it's gonna be a big cooking week. What are you doing Renee?
[00:05:00.680 --> 00:05:06.520]   No, wait a minute. You already had Thanksgiving. I know I know it's totally not fair. I want to do over
[00:05:06.520 --> 00:05:10.840]   But you did the same thing right you did cranberry sauce and this stuff yep
[00:05:10.840 --> 00:05:15.640]   Yep turkey all of that it was great. So if spoiler alert Thanksgiving was tremendous
[00:05:15.640 --> 00:05:23.080]   Good to know he lives in the future and he will you be suveeding your uh, your turkey today
[00:05:23.080 --> 00:05:29.960]   I'm I'm doing my traditional like peanuts. Thanks. Happy Thanksgiving charlie brown thing where i've
[00:05:30.520 --> 00:05:34.840]   Going i'm going to be spending Thanksgiving with uh my sisters and their families
[00:05:34.840 --> 00:05:38.040]   But I will also be like cooking my own Thanksgiving dinner
[00:05:38.040 --> 00:05:44.600]   Like that so when I come home, I will have all the leftovers and everything I want. So yes, I'm suveeding a uh turkey bro
[00:05:44.600 --> 00:05:47.320]   A like 10 pound turkey breast
[00:05:47.320 --> 00:05:49.880]   Um, let's see got some stuffing going
[00:05:49.880 --> 00:05:55.320]   Um doing lots and lots of baking that i'm going to be doing for the family thanksgiving
[00:05:55.320 --> 00:05:58.840]   But i'm going to do some extra stuff for myself. So there will be bread and stuff. So yes
[00:05:59.400 --> 00:06:01.400]   I've ever said
[00:06:01.400 --> 00:06:07.320]   I am convinced that the what trips almost everybody up for cooking a turkey is
[00:06:07.320 --> 00:06:11.640]   Wanting to make it look like that norman rockwell like movie prop like golden
[00:06:11.640 --> 00:06:14.120]   Turkey shaped thing
[00:06:14.120 --> 00:06:19.000]   Whereas if you if you just buy two turkey breasts that are incredibly easy to cook
[00:06:19.000 --> 00:06:21.800]   Even if you don't suveeding them at a bunch of drumsticks
[00:06:21.800 --> 00:06:26.280]   Which are so easy to cook if they're not part of the bird and just cook gravy on the side
[00:06:26.520 --> 00:06:31.480]   It's like you can i bet uh, Alex can you rent like one of those like uh, like fiberglass
[00:06:31.480 --> 00:06:35.160]   Like thanksgiving turkeys and just do that for the pictures and the presentation
[00:06:35.160 --> 00:06:38.920]   And then go back into the kitchen and bring out a tray of perfectly cooked
[00:06:38.920 --> 00:06:43.480]   Breast and and and drumstick meat that's because I think that's the best way to do it
[00:06:43.480 --> 00:06:45.160]   I think you could 3d print it maybe
[00:06:45.160 --> 00:06:48.760]   I mean that maybe that would be the key just big printer and something else that looks good
[00:06:48.760 --> 00:06:51.160]   And just keep it in that you just keep it in a box. Um, yeah
[00:06:51.160 --> 00:06:54.360]   My my my solution is mostly I just stay out of my my mother-in-law's way
[00:06:54.360 --> 00:06:58.040]   She's uh from Louisiana and extremely skilled
[00:06:58.040 --> 00:07:03.720]   So I just uh, I just stay out of the kitchen and let my wife and my my mother-in-law do their thing
[00:07:03.720 --> 00:07:06.840]   And I cook a lot. I just don't cook on Thanksgiving or Christmas
[00:07:06.840 --> 00:07:10.920]   Those are the two days that I just you know, just better to just clear the space do it. Yeah, just clear the space
[00:07:10.920 --> 00:07:16.120]   Uh, rosica 23 pound frog. We'll get to apple news in a second
[00:07:16.120 --> 00:07:19.160]   I hope you've enjoyed turkey talk
[00:07:19.160 --> 00:07:23.960]   but uh, I should point out the internet has been really flaky this morning and uh
