;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[00:00:01.280 --> 00:00:03.400]   Leola Port is on special assignment.
[00:00:03.400 --> 00:00:06.880]   Today on Mac Break Weekly, we talked about Apple Security,
[00:00:06.880 --> 00:00:09.360]   locking out battery health information,
[00:00:09.360 --> 00:00:12.240]   and what it would take to make the iPhone Pro.
[00:00:12.240 --> 00:00:17.040]   Netcasts you love.
[00:00:17.040 --> 00:00:19.040]   From people you trust.
[00:00:19.040 --> 00:00:24.400]   This is great.
[00:00:27.040 --> 00:00:33.920]   This is Mac Break Weekly, episode 674 for Tuesday, August 13, 2019.
[00:00:33.920 --> 00:00:35.440]   Treat it like a burrito.
[00:00:35.440 --> 00:00:39.680]   Mac Break Weekly is brought to you by LastPass,
[00:00:39.680 --> 00:00:42.160]   the number one most preferred password manager.
[00:00:42.160 --> 00:00:46.080]   Just remember your master password and let LastPass remember the rest.
[00:00:46.080 --> 00:00:49.520]   Visit lasspass.com/twit to learn more.
[00:00:49.520 --> 00:00:50.080]   And bye.
[00:00:50.080 --> 00:00:56.240]   Molecule. Molecules reimagining the future of clean air,
[00:00:56.240 --> 00:00:58.000]   starting with the air purifier.
[00:00:58.000 --> 00:01:02.000]   For $75 off your first order, visit Molecule.com
[00:01:02.000 --> 00:01:03.840]   and enter the promo code MACBRAKE.
[00:01:03.840 --> 00:01:05.680]   And bye.
[00:01:05.680 --> 00:01:07.440]   Epson Eco Tank Printers.
[00:01:07.440 --> 00:01:09.600]   Gives expensive cartridges goodbye.
[00:01:09.600 --> 00:01:12.320]   Add an Epson Eco Tank printer to your home or office.
[00:01:12.320 --> 00:01:14.960]   Eco Tank comes with a ridiculous amount of ink.
[00:01:14.960 --> 00:01:17.040]   Just fill and chill.
[00:01:17.040 --> 00:01:20.480]   Check out epson.com/ecotankleo to learn more.
[00:01:20.480 --> 00:01:24.000]   It's time for Mac Break Weekly.
[00:01:24.000 --> 00:01:26.800]   I'm Renee Ritchie because Leo Laport is still off.
[00:01:26.800 --> 00:01:31.440]   I imagine trying to find some kind of 5G in the greater San Francisco area.
[00:01:31.440 --> 00:01:33.920]   But we still have a show to do and joining me,
[00:01:33.920 --> 00:01:37.440]   just like he does every week, the rock of Mac Break Weekly.
[00:01:37.440 --> 00:01:38.800]   And Iannako, how are you, Andy?
[00:01:38.800 --> 00:01:45.760]   5G is really easy to find at any city.
[00:01:45.760 --> 00:01:50.160]   Just look for the place where people have like huge bags of like frozen peas on top of their
[00:01:50.160 --> 00:01:51.200]   phones to keep them cool.
[00:01:53.120 --> 00:01:54.400]   That is true. That is true.
[00:01:54.400 --> 00:01:57.760]   Especially when they live in sunny, sunny Sacramento, like Lori Gill.
[00:01:57.760 --> 00:01:58.560]   How's it going, Lori?
[00:01:58.560 --> 00:02:02.400]   Yeah, and bags of oranges and avocados.
[00:02:02.400 --> 00:02:06.640]   We're just rife with 5G and all the good stuff because of our sunny, sunny weather.
[00:02:06.640 --> 00:02:08.640]   All right.
[00:02:08.640 --> 00:02:12.240]   So the first thing I want to talk about is Apple went back to Black Hat.
[00:02:12.240 --> 00:02:13.520]   Sorry.
[00:02:13.520 --> 00:02:17.360]   Yvonne Christick, Apple's head of security platform and architecture,
[00:02:17.360 --> 00:02:18.800]   went back to Black Hat.
[00:02:18.800 --> 00:02:20.880]   The last time he was there three years ago,
[00:02:20.880 --> 00:02:24.320]   they announced the original Bug Bounty program,
[00:02:24.320 --> 00:02:30.960]   which at the time offered up to $250,000 if you could find an exploit in iOS or iCloud.
[00:02:30.960 --> 00:02:36.400]   This year he announced that the program was expanding to include Mac OS, WatchOS, TVOS,
[00:02:36.400 --> 00:02:37.520]   all the OSes.
[00:02:37.520 --> 00:02:39.920]   But also they were going to kick up the bounty,
[00:02:39.920 --> 00:02:41.760]   not just to $500,000.
[00:02:41.760 --> 00:02:44.560]   But with a bunch of different bonuses and different factors,
[00:02:44.560 --> 00:02:47.600]   including a 50% bonus, if you could find a beta bug,
[00:02:47.600 --> 00:02:49.600]   it could hit 1 million.
[00:02:49.600 --> 00:02:55.200]   And Austin, sort of Dr. Evil, pinky finger to mouth, $1 million.
[00:02:55.200 --> 00:02:59.040]   But there was more, like in a sham while sense, there really was more.
[00:02:59.040 --> 00:03:04.560]   They also announced a research fused device because it can be really hard for researchers to
[00:03:04.560 --> 00:03:08.400]   get into iOS, to begin with, to do all of their research.
[00:03:08.400 --> 00:03:14.080]   So instead of hiding away their own full chain exploits or buying a developer fused phone off
[00:03:14.080 --> 00:03:21.520]   the gray black market, Apple is going to provide a phone with SSH and root terminal access
[00:03:21.520 --> 00:03:26.240]   to any researcher who has a history of finding just these kinds of exploits.
[00:03:26.240 --> 00:03:32.480]   And is it a whole new, whole warm, whole, awesomeer day when it comes to Apple and security researchers?
[00:03:32.480 --> 00:03:38.400]   Somebody was visited by Three Ghosts in the middle of the night in Cupertino for sure,
[00:03:38.400 --> 00:03:41.920]   because this addresses a couple of things that have been super, super important.
[00:03:41.920 --> 00:03:48.320]   Number one, you really do have to encourage people to find your bugs and your security flaws
[00:03:48.320 --> 00:03:49.760]   and show you where they are.
[00:03:49.760 --> 00:03:55.360]   And you have to understand that it is a competitive market for this stuff.
[00:03:55.360 --> 00:03:58.880]   There are lots of people who are security researchers.
[00:03:58.880 --> 00:04:04.960]   They are on the side of the angels and they will even be grudgingly after saying, hey, look,
[00:04:04.960 --> 00:04:08.800]   if you don't, I've told you about this bug like eight months ago, and you still haven't fixed it,
[00:04:08.800 --> 00:04:12.640]   I'm just going to make it public. You have three days to fix it. And then when the company says,
[00:04:12.640 --> 00:04:15.920]   oh, we're really going to fix it. Okay, fine. I'll delay it another month.
[00:04:15.920 --> 00:04:22.160]   But most people are like, hey, foreign government, how much are we willing to bid for this way to
[00:04:22.160 --> 00:04:27.680]   get into any lock iPhone anywhere? So the fact that they're willing to put their money with
[00:04:27.680 --> 00:04:33.280]   their mouth is by actually producing a really highly competitive bug bounty and also giving
[00:04:33.280 --> 00:04:38.160]   these researchers the tools they need to find those bugs means that when they put up those big
[00:04:38.160 --> 00:04:43.840]   posters about how private and secure iPhones are, they really are thinking of the inside of the
[00:04:43.840 --> 00:04:46.560]   donut as well as the outside of the donut. So that's really good sign.
[00:04:46.560 --> 00:04:51.120]   Yeah, what was interesting, Laurie, is that previously they would,
[00:04:51.120 --> 00:04:56.160]   researchers would say that one, because they needed to have their own exploits,
[00:04:56.160 --> 00:05:00.800]   just to get into iOS to do research, they didn't want to tell Cupertino about it because that
[00:05:00.800 --> 00:05:05.200]   would lock them out of their own research phones. And also they had to try to get these phones off
[00:05:05.200 --> 00:05:12.400]   the gray market. Meanwhile, foreign intelligence agencies, known bad actors, and even the companies
[00:05:12.400 --> 00:05:18.080]   that sell equipment to both of those were offering like 1.5 million for a zero day.
[00:05:18.080 --> 00:05:26.000]   Yeah, so this is a great thing that Apple is inviting the white hat hackers to come in and
[00:05:26.000 --> 00:05:30.800]   break these iPhones so that when it comes to market, when we get them in our hand,
[00:05:30.800 --> 00:05:35.600]   when we get the software updates on our hands, we're not seeing these unexpected glitches and
[00:05:35.600 --> 00:05:43.280]   bugs and security vulnerabilities. Especially when you think about what people, just like you're
[00:05:43.280 --> 00:05:48.560]   saying on the gray market, they can still get these things, they can just get them through other
[00:05:48.560 --> 00:05:53.200]   means. And so they're still going to be doing these kinds of hacking schemes. And this way,
[00:05:53.200 --> 00:05:59.360]   Apple can say, we want you to do this for us directly. So we're going to pay you up as much as we can
[00:06:00.400 --> 00:06:04.160]   to make sure that you do this for us and that you don't sell this information to someone else.
[00:06:04.160 --> 00:06:14.320]   Or even this idea of the right way to do it, this appropriate culturally way to do this,
[00:06:14.320 --> 00:06:19.120]   which would be to tell Apple, for example, hey, I found an exploit and I'm going to give you 90
[00:06:19.120 --> 00:06:24.480]   days to fix it or whatever that time limit is. What if they can't fix it in 90 days? And just
[00:06:24.480 --> 00:06:29.200]   like you're saying, Andy, sometimes they'll say, oh, okay, we'll postpone a little bit longer. But
[00:06:29.200 --> 00:06:35.520]   frankly, some of the people in the hacker industry make their name by finding these exploits. And so
[00:06:35.520 --> 00:06:41.680]   they're not opposed to, I gave them the amount of time that I'm supposed to give them and they
[00:06:41.680 --> 00:06:47.120]   didn't say anything, so I'm telling the world. And their names are known and their reputation
[00:06:47.120 --> 00:06:53.840]   is important too. So being able to be on the inside of this situation where Apple can have a
[00:06:53.840 --> 00:06:58.480]   little more control over who finds these bugs and how quickly they get fixed, I think, is a really
[00:06:58.480 --> 00:07:07.440]   great thing. I think the device that they get to access is maybe not worth more than the
[00:07:07.440 --> 00:07:14.160]   million dollar bounty, but worth it. >> Yeah. It's super interesting to me because they said that
[00:07:14.160 --> 00:07:19.440]   so far in the history of this program, which is around three years, 50 high value, high quality
[00:07:19.440 --> 00:07:24.400]   bugs have been reported and paid out through it. But it seems to me, Andy, it's like what Steve
[00:07:24.400 --> 00:07:30.000]   Jobs used to say about iTunes is that if you give people an ethical way to do something at a fair
[00:07:30.000 --> 00:07:35.600]   price, they're more likely to do it. And I think this addresses by removing the barrier of the
[00:07:35.600 --> 00:07:40.560]   full chain exploit, and also paying out a lot more, I think that really promotes the, it promotes
[00:07:40.560 --> 00:07:45.600]   people to find their ethicalness. >> Yeah, and I think for the people who are not ethical,
[00:07:45.600 --> 00:07:49.920]   they're always gonna go for the money. So that's not gonna affect them so much. I think what this
[00:07:49.920 --> 00:07:55.760]   does, I think it helps to breed another generation of ethical hackers who feel as though their work
[00:07:55.760 --> 00:08:01.520]   is being respected. I'll give you an example from my own personal life from two weeks ago,
[00:08:01.520 --> 00:08:11.600]   partly because I'm still stewing a little bit over this. I live in a 350 year old seaport town,
[00:08:11.600 --> 00:08:17.360]   which means that there are a million little streets, as opposed to big streets. And so a big,
[00:08:17.360 --> 00:08:23.920]   two or three FedEx packages that were supposed to go to a store at number whatever on a different
[00:08:23.920 --> 00:08:28.720]   similar street got delivered to my place instead. I said, well, you know what, I'm kind of going
[00:08:28.720 --> 00:08:33.360]   that way anyway, and I'll just carry them over there rather than have FedEx. It's a store, maybe
[00:08:33.360 --> 00:08:38.800]   this is merchandise they need. And so I walked, maybe it was only half a mile, but they're not
[00:08:38.800 --> 00:08:42.720]   like they're really heavy packages, but they were hard to carry because they're bulky.
[00:08:43.440 --> 00:08:48.000]   And so I walked in, walked to the counter, talked to the store owners. Oh, by the way,
[00:08:48.000 --> 00:08:53.360]   FedEx delivered these to my address by mistake. I thought you might like them. And they basically
[00:08:53.360 --> 00:08:59.520]   said, great, thanks, you can put it over there. And I felt like this was my like the
[00:08:59.520 --> 00:09:04.800]   curb your enthusiasm moment where I would come back up. But you know, you didn't really thank me
[00:09:04.800 --> 00:09:09.280]   last week when I dropped over the package. It really was a, I mean, there's no problem, but
[00:09:09.280 --> 00:09:14.720]   yeah, that wasn't really a thank you that you gave me. And so what I'm saying is that you
[00:09:14.720 --> 00:09:20.720]   previously Apple was kind of notorious for saying, Oh, wow, yeah, oh, you say this bug could like
[00:09:20.720 --> 00:09:24.480]   make anybody be able to get into anybody's phone remotely from anywhere in the internet.
[00:09:24.480 --> 00:09:32.960]   Oh, okay, great. What's your email address? Okay, great. Thanks. That's nice. And then you're like,
[00:09:32.960 --> 00:09:38.240]   I just saved your butts. I just saved you from being the top story in the tech news cycle for
[00:09:38.240 --> 00:09:44.640]   an entire week. And you're just saying, Oh, okay, thanks. And so a bug bounty is not just good
[00:09:44.640 --> 00:09:49.120]   money, which is good money. But it's also look, we are, we are thanking you, we are appreciative.
[00:09:49.120 --> 00:09:54.160]   And one way to tell you how much we appreciate it is to give you money for this sort of thing.
[00:09:54.160 --> 00:09:59.600]   And it's not invitation only anymore. It's like anybody can take part in this. If you find
[00:09:59.600 --> 00:10:04.000]   something that is worrisome and you send it to Apple and you're not on the list, they will still
[00:10:04.000 --> 00:10:07.680]   pay out and they will probably not even invite you to the list because there is no list anymore,
[00:10:07.680 --> 00:10:12.800]   Laurie, you could be on this bug bounty program tomorrow if you get your hacks together.
[00:10:12.800 --> 00:10:19.760]   You know, if I join the hacker industry, that's been my goal all along was to
[00:10:19.760 --> 00:10:22.960]   break my way into the hacker industry.
[00:10:22.960 --> 00:10:28.640]   So one of the other subjects that came up at Black Hat was on the complete opposite end of the
[00:10:28.640 --> 00:10:33.520]   spectrum. And that is this gentleman spent a lot of time in his kitchen modifying a lightning
[00:10:33.520 --> 00:10:40.160]   cable so that it could be used to take over your machine if you plugged it in. And we've seen
[00:10:40.160 --> 00:10:44.560]   different kinds of juice-jacking attacks in the past, which are basically when you modify the
[00:10:44.560 --> 00:10:52.640]   firmware of USB cables in order to make them malicious to carry a malicious payload. What makes
[00:10:52.640 --> 00:10:57.040]   this interesting is that it's a lightning cable, which I believe, or which I think they said was
[00:10:57.040 --> 00:11:02.400]   harder to do this on, but he still managed to do it in his kitchen and has plans to sort of mass
[00:11:02.400 --> 00:11:07.360]   produce these devices. And Laurie, I don't know how you stop this kind of stuff. I know they keep
[00:11:07.360 --> 00:11:11.040]   hardening the operating system, but it feels like we already get so many complaints from the
[00:11:11.040 --> 00:11:15.680]   Mac community about Macs being locked down. And then on the other side, you get people like this
[00:11:15.680 --> 00:11:19.680]   just getting up into your Macs. And I don't know ultimately how we balance this.
[00:11:19.680 --> 00:11:26.640]   I think the crazy thing that I took from that article specifically was that, yes,
[00:11:26.640 --> 00:11:30.960]   I figured out how to do this. And now I'm going to make hundreds of them for anybody who wants to
[00:11:30.960 --> 00:11:36.320]   buy one. That's the part that scared me about it was it's not just the discovery of it. It's the
[00:11:36.320 --> 00:11:43.520]   fact that somebody wants everybody to have access to one of these things. I guess in this particular
[00:11:43.520 --> 00:11:50.160]   instance, it's good to hear that the lightning cable is harder to hack than any. I think he even
[00:11:50.160 --> 00:11:56.400]   said than any other cable that he has tried to or that person tried to or has hacked. But I think
[00:11:56.400 --> 00:12:02.400]   that's almost why people are trying so hard to hack into Apple products is it's the
[00:12:02.400 --> 00:12:07.040]   it's difficult to do so they want to do it. So
[00:12:07.040 --> 00:12:14.000]   your question of what can be done about it, I don't think there is an answer. I think the
[00:12:14.000 --> 00:12:19.280]   answer is what Apple's doing now, which is offering large bounties and attending the White Hacker
[00:12:19.280 --> 00:12:25.840]   Conference and saying we want to be a part of this community too. We don't want to shut you out.
[00:12:25.840 --> 00:12:30.480]   We want to bring you in so that in circumstances like this person who
[00:12:30.480 --> 00:12:36.880]   figured out a way to juice jack the lightning cable, somebody on the on you know on Apple's team
