;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[00:00:04.040 --> 00:00:05.520]   We've got lots to talk about
[00:00:05.520 --> 00:00:10.240]   WWC's coming up next week. We'll let Andy weigh in on the arm transition
[00:00:10.240 --> 00:00:12.240]   We've got lots of interesting thoughts there
[00:00:12.240 --> 00:00:17.880]   I will also talk about the winners of the swift student challenge one of them is
[00:00:17.880 --> 00:00:22.200]   Definitely a hit and Apple stores are reopening
[00:00:22.200 --> 00:00:24.880]   How are they gonna test?
[00:00:24.880 --> 00:00:29.280]   Before they let you in we got an idea. It's all coming up next. I'm a great weekly
[00:00:29.720 --> 00:00:35.960]   Mac break weekly is brought to you from Twits LastPass studios stay in control when it comes to your company's access points and
[00:00:35.960 --> 00:00:41.320]   authentication LastPass makes enterprise level security simple for your remote workforce
[00:00:41.320 --> 00:00:45.080]   Check out lastpass.com/twit to learn more
[00:00:45.080 --> 00:00:50.440]   Podcasts you love from people you trust
[00:00:50.440 --> 00:00:53.600]   This is Twit
[00:00:55.760 --> 00:01:04.320]   This is Mac break weekly episodes 718 recorded Tuesday June 16th 2020 taste the mustard
[00:01:04.320 --> 00:01:11.760]   Mac break weekly is brought to you by worldwide technology worldwide technologies advanced technology center
[00:01:11.760 --> 00:01:19.280]   Is like no other testing and research lab with more than half a billion dollars of equipment including OEMs like NetApp and
[00:01:19.440 --> 00:01:26.240]   The ATC is virtual so you can access it 24/7 to learn more and to get insights into all it offers go to
[00:01:26.240 --> 00:01:28.840]   WWT.com/twit
[00:01:28.840 --> 00:01:35.120]   It's time for Mac break weekly the show we get together with a great team of people and talk about Apple
[00:01:35.120 --> 00:01:44.040]   Lori Gill is here. She's a senior editor of course at imore.com. It's great to see you managing editor is which is better senior or managing oh
[00:01:44.040 --> 00:01:46.560]   You know labels
[00:01:48.160 --> 00:01:53.560]   One of them here's you're one of them. You're an important person. I tell you what to do. That's all that matter
[00:01:53.560 --> 00:01:58.920]   Yeah, that's right. Do you still get to write as a managing editor or you just not as much as I want to yeah
[00:01:58.920 --> 00:02:03.320]   It's harder. Yeah, good team though, and it's all distributed right. There's no office
[00:02:03.320 --> 00:02:08.400]   No office. We all work remotely everyone's in a different place all over the world
[00:02:08.400 --> 00:02:13.360]   We have some people that live in different countries and stuff too, and that's not covid. That's just the way it is
[00:02:13.360 --> 00:02:16.880]   That's just the way it is. I know our our larger corporate parents
[00:02:16.880 --> 00:02:23.760]   They do have offices so when everyone had to start working from home. It was really funny to see our co-workers just
[00:02:23.760 --> 00:02:29.200]   Unable to handle how I work from home. I'm really even doing this for years
[00:02:29.200 --> 00:02:36.240]   Funny you talk about future. That's a future. That's right. Yes. I think I think Renee told us they have a New York office
[00:02:36.240 --> 00:02:42.560]   Which is a new York office and they have a bath office and I think England which is an a London office
[00:02:42.560 --> 00:02:48.200]   Yeah, yeah, Alex Lindsey is also here just fresh off his office hours
[00:02:48.200 --> 00:02:50.720]   Hi, Alex
[00:02:50.720 --> 00:02:57.680]   Hello 090 dot media if you need to stream. This is the cat. This is the guy who can do it and
[00:02:57.680 --> 00:02:59.840]   office hours
[00:02:59.840 --> 00:03:03.260]   Seen seven days a week on YouTube 7 a.m. Pacific
[00:03:03.260 --> 00:03:06.720]   It's we're set five days a week on YouTube
[00:03:06.720 --> 00:03:12.240]   And then seven days a week on zoom so we we do one one of the hours we do on
[00:03:12.240 --> 00:03:18.560]   One of the hours that we why would you do it or not put it on YouTube? Is that the secret hours?
[00:03:18.560 --> 00:03:22.880]   Well, it's just that we don't work that way. We don't have to worry about
[00:03:22.880 --> 00:03:28.960]   releases like your second hour that you're doing we could probably do if we wanted to but the
[00:03:28.960 --> 00:03:36.240]   For many of the folks we bring on then we'd have to talk to them about can we put this on YouTube and course everything else
[00:03:36.240 --> 00:03:39.680]   And so there's you know, so we have permission to do that because they're working
[00:03:39.680 --> 00:03:45.200]   Yeah, and so so it's easier to just just do one and rather than trying to change it per day
[00:03:45.200 --> 00:03:47.360]   We just decided to have it as a general rule that
[00:03:47.360 --> 00:03:52.320]   And the hour before that is really relaxed and so we talk about a lot of things
[00:03:52.320 --> 00:03:54.000]   It's not really worth putting on YouTube
[00:03:54.000 --> 00:03:56.720]   So there's just one hour that is just pure q&a
[00:03:56.720 --> 00:04:00.800]   And so we decided to go ahead and put that up on YouTube so people could get a sense of it
[00:04:00.800 --> 00:04:03.600]   And the weekends we take off to because I just don't want to think about it
[00:04:03.920 --> 00:04:09.680]   So so we we don't we because we do seven hours on saturday and then what three hours on sunday
[00:04:09.680 --> 00:04:12.800]   You just are running all day
[00:04:12.800 --> 00:04:15.680]   Are you cherry louis? Are you racing money for something?
[00:04:15.680 --> 00:04:20.560]   Yeah, exactly if you start sitting you'll never walk alone. I'm gonna really
[00:04:20.560 --> 00:04:23.440]   Who are you?
